name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999
			InsuranceAndClaims,"16,615,000","16,404,000","20,705,000","19,733,000","27,281,000","35,242,000","42,637,000","31,768,000","15,354,000","7,171,000","9,685,000","9,305,000",,,,,,,,,,
			OtherGandA,"27,085,000","27,556,000","27,225,000","26,575,000","24,356,000","18,617,000","14,618,000","12,417,000","11,643,000","20,961,000","20,434,000","2,932,000",,,,,,,,,,
		SellingAndMarketingExpense,,,,,,,,,,,,,,,,,,,,"490,000","435,000",
	DepreciationAmortizationDepletionIncomeStatement,"43,374,000","42,742,000","43,877,000","35,007,000","37,416,000","23,013,000","15,427,000","5,402,000","6,326,000","8,428,000","9,642,000","9,547,000",,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,"43,374,000","42,742,000","43,877,000","35,007,000","37,416,000","23,013,000","15,427,000","5,402,000","6,326,000","8,428,000","9,642,000","9,547,000",,,,,,,,,,
			DepreciationIncomeStatement,"25,570,000","24,016,000","21,371,000","20,767,000","20,899,000","13,603,000","9,159,000",,,,,,,,,,,,,,,
			Amortization,"17,804,000","18,726,000","22,506,000","14,240,000","16,517,000","9,410,000","6,268,000","5,402,000","6,326,000","8,428,000","9,642,000","9,547,000",,,,,,,,,,
				AmortizationOfIntangiblesIncomeStatement,"17,804,000","18,726,000","22,506,000","14,240,000","16,517,000","9,410,000","6,268,000","5,402,000","6,326,000","8,428,000","9,642,000","9,547,000",,,,,,,,,,
	OtherNonInterestExpense,"25,521,000","27,358,000","49,343,000","47,996,000","52,463,000","40,348,000","49,437,000","34,376,000","19,344,000","27,348,000","33,920,000","51,649,000","47,260,000","45,003,000","34,798,000","25,328,000","25,842,000","23,821,000","18,157,000","7,337,000","8,582,000","6,450,000"
SpecialIncomeCharges,"-1,469,731,000","-349,000","-1,770,000","-19,735,000","-200,000","-21,247,000","-101,016,000","-23,170,000","-26,687,000","-600,000","-874,000","65,774,000","-761,959,000","-1,731,000","-1,822,000",,,,,,,
	GainOnSaleOfBusiness,,,,,,,,,,"0","0","66,989,000",,,,,,,,,,
	RestructuringAndMergernAcquisition,"-269,000","349,000","1,770,000","19,735,000","200,000","21,247,000","101,016,000","23,170,000","4,089,000","600,000",,"1,215,000","258,000","1,731,000","1,822,000",,,,,,,
	ImpairmentOfCapitalAssets,,,,,,,,,,"0","874,000",,,,,,,,,,,
	WriteOff,,,,,,,,,,,"0","0",,,,,,,,,,
	LossonExtinguishmentofDebt,,,,,,,"0","0","22,598,000",,,,,,,,,,,,,
	OtherSpecialCharges,,,,,,,,,,,,,"761,701,000",,,,,,,,,
OtherNonOperatingIncomeExpenses,,,,,,,,,,,"874,000","-66,989,000",,,,,,,,,,
PretaxIncome,"-943,836,000","632,940,000","633,317,000","554,731,000","557,936,000","480,136,000","284,321,000","75,480,000","93,496,000","87,504,000","-108,730,000","-17,151,000","-707,976,000","152,770,000","127,368,000","85,491,000","60,659,000","53,751,000","28,129,000","10,486,000","4,707,000","7,430,000"
TaxProvision,"133,243,000","164,304,000","167,978,000","196,913,000","205,770,000","180,517,000","113,853,000","30,003,000","36,695,000","36,800,000","-46,714,000","-7,801,000","20,089,000","62,444,000","51,512,000","35,125,000","24,296,000","21,696,000","11,217,000","4,376,000","2,803,000","3,166,000"
NetIncomeCommonStockholders,"-1,082,037,000","463,454,000","460,220,000","353,634,000","348,178,000","296,727,000","166,964,000","44,033,000","54,956,000","50,704,000","-62,016,000","-9,595,000","-728,065,000","90,326,000","75,998,000","50,366,000","36,363,000","32,055,000","16,912,000","6,110,000","1,904,000","4,264,000"
	NetIncome,"-1,077,079,000","468,636,000","465,339,000","357,818,000","352,166,000","299,619,000","168,905,000","45,115,000","56,801,000","50,704,000","-62,016,000","-9,350,000","-728,065,000","90,326,000","75,998,000","50,366,000","36,363,000","32,055,000","16,912,000","6,110,000","1,904,000","4,264,000"
		NetIncomeIncludingNoncontrollingInterests,"-1,077,079,000","468,636,000","465,339,000","357,818,000","352,166,000","299,619,000","168,905,000","45,115,000","56,801,000","50,704,000","-62,016,000","-9,350,000","-728,065,000","90,326,000","75,998,000","50,366,000","36,363,000","32,055,000","16,912,000","6,110,000","1,904,000","4,264,000"
			NetIncomeContinuousOperations,"-1,077,079,000","468,636,000","465,339,000","357,818,000","352,166,000","299,619,000","170,468,000","45,477,000","56,801,000","50,704,000","-62,016,000","-9,350,000","-728,065,000","90,326,000","75,856,000","50,366,000","36,363,000","32,055,000","16,912,000","6,110,000","1,904,000","4,264,000"
			NetIncomeDiscontinuousOperations,,,,,"0","0","-1,563,000","-362,000",,,,,,,,,,,,,,
			NetIncomeExtraordinary,,,,,,,,,,,,,,,"142,000",,,,,,,
DilutedNIAvailtoComStockholders,"-1,082,037,000","463,454,000","460,220,000","353,634,000","348,178,000","296,727,000","166,964,000","44,033,000","54,956,000","50,704,000","-62,016,000","-9,595,000","-728,065,000","90,326,000","75,998,000","50,366,000","36,363,000","32,055,000","16,912,000","6,110,000","1,904,000","4,264,000"
BasicEPS,,"3.9","3.72","2.91","2.9","2.79","1.92","1.08","1.54","1.37","-1.77","-0.3","-26.79","3.16","3.23","3.05","2.34","2.08","1.64","1.3","0.49","1.1"
DilutedEPS,,"3.9","3.72","2.91","2.9","2.79","1.92","1.08","1.54","1.37","-1.77","-0.3","-26.79","3.15","3.21","2.98","2.27","2.02","1.58","1.23","0.47","1.05"
BasicAverageShares,,"118,966,000","123,640,000","121,613,000","120,239,000","106,327,000","86,853,000","40,823,000","35,684,100","35,490,800","35,037,288","35,015,322","27,177,000","28,584,177","23,528,793","16,513,443","15,539,744","15,411,058","8,628,000","4,700,000","3,885,714","3,876,364"
DilutedAverageShares,,"118,966,000","123,640,000","121,613,000","120,239,000","106,327,000","86,853,000","40,823,000","35,684,100","35,490,800","35,037,288","35,015,322","27,177,000","28,674,921","23,675,389","16,901,342","16,018,943","15,868,812","8,983,100","4,967,480","4,051,064","4,060,952"
InterestIncomeAfterProvisionForLoanLoss,"879,500,000","992,629,000","995,914,000","921,819,000","895,562,000","777,865,000","650,878,000","301,923,000","289,286,000","236,071,000","31,289,000","56,146,000","173,532,000","262,115,000","232,357,000","159,015,000","125,265,000","99,934,000","69,814,000","31,224,000","20,387,000","17,199,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"-1,077,079,000","468,636,000","465,339,000","357,818,000","352,166,000","299,619,000","168,905,000","45,115,000","56,801,000","50,704,000","-62,016,000","-9,350,000","-728,065,000","90,326,000","75,856,000","50,366,000","36,363,000","32,055,000","16,912,000","6,110,000","1,904,000","4,264,000"
NormalizedIncome,"-195,240,400","468,894,260","466,639,950","370,547,075","352,292,200","312,877,128","231,077,600","58,542,201","79,672,744","51,094,000","-61,447,900","-52,103,100","-232,594,700","85,966,450","76,949,200","50,008,400","35,280,600","31,507,200","17,101,387.465","5,843,600","1,715,600","4,264,000"
TotalMoneyMarketInvestments,"7,437,000","6,479,000","2,082,000","1,543,000","1,061,000","476,000","333,000","265,000","228,000","356,000","584,000","406,000","343,000","2,000,000","328,000","1,250,000","388,000","730,000","986,000","3,727,000","1,894,000",
ReconciledDepreciation,"43,374,000","87,234,000","57,674,000","46,269,000","49,401,000","53,970,000","39,153,000","31,509,000","25,792,000","20,084,000","16,722,000","14,617,000","14,538,000","23,057,000","18,874,000","12,740,000","16,840,000","9,988,000","6,017,000","1,952,000","1,198,000","893,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"-1,077,079,000","468,636,000","465,339,000","357,818,000","352,166,000","299,619,000","170,468,000","45,477,000","56,801,000","50,704,000","-62,016,000","-9,350,000","-728,065,000","90,326,000","75,856,000","50,366,000","36,363,000","32,055,000","16,912,000","6,110,000","1,904,000","4,264,000"
TotalUnusualItemsExcludingGoodwill,"-1,469,731,000","-349,000","-1,770,000","-19,735,000","-200,000","-21,247,000","-101,016,000","-21,667,000","-37,618,000","-600,000","-874,000","65,774,000","-762,262,000","6,707,000","-1,822,000","596,000","1,804,000","913,000","-315,000","444,000","314,000",
TotalUnusualItems,"-1,469,731,000","-349,000","-1,770,000","-19,735,000","-200,000","-21,247,000","-101,016,000","-21,667,000","-37,618,000","-600,000","-874,000","65,774,000","-762,262,000","6,707,000","-1,822,000","596,000","1,804,000","913,000","-315,000","444,000","314,000",
TaxRateForCalcs,"0.4","0.26","0.265","0.355","0.369","0.376","0.4","0.397","0.392","0.35","0.35","0.35","0.35","0.35","0.4","0.4","0.4","0.4","0.399","0.4","0.4","0.4"
TaxEffectOfUnusualItems,"-587,892,400","-90,740","-469,050","-7,005,925","-73,800","-7,988,872","-40,406,400","-8,601,799","-14,746,256","-210,000","-305,900","23,020,900","-266,791,700","2,347,450","-728,800","238,400","721,600","365,200","-125,612.535","177,600","125,600","0"
