name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006
TotalRevenue,"4,669,300,000","4,632,900,000","3,421,100,000","1,675,295,000","1,481,436,000","1,000,285,000","767,861,000","712,702,000","551,842,000","370,828,000","328,905,000","270,915,000","280,006,000","248,168,000","205,469,000"
	OperatingRevenue,"4,669,300,000","4,632,900,000","3,421,100,000","1,577,666,000","1,371,501,000","916,592,000","767,861,000","712,702,000","551,842,000","370,828,000","328,905,000","270,915,000","280,006,000","248,168,000","205,469,000"
CostOfRevenue,"2,615,400,000","2,611,700,000","2,051,100,000","886,425,000","800,489,000","532,350,000","410,731,000","388,800,000","299,917,000","184,288,000","165,932,000","137,740,000","142,433,000","128,882,000","100,016,000"
GrossProfit,"2,053,900,000","2,021,200,000","1,370,000,000","788,870,000","680,947,000","467,935,000","357,130,000","323,902,000","251,925,000","186,540,000","162,973,000","133,175,000","137,573,000","119,286,000","105,453,000"
OperatingExpense,"1,122,700,000","1,106,800,000","843,100,000","391,957,000","392,252,000","303,197,000","156,758,000","140,934,000","114,434,000","92,763,000","83,133,000","66,072,000","72,490,000","70,556,000","61,584,000"
	SellingGeneralAndAdministration,"728,900,000","723,100,000","524,900,000","238,623,000","239,563,000","192,782,000","99,471,000","87,072,000","68,655,000","57,113,000","51,691,000","39,559,000","45,686,000","44,274,000","37,964,000"
		GeneralAndAdministrativeExpense,"370,600,000","369,200,000","313,900,000","120,174,000","122,465,000","97,832,000","50,879,000","45,187,000","34,797,000","28,221,000","26,462,000","19,197,000","26,120,000","24,573,000","20,366,000"
			OtherGandA,"370,600,000","369,200,000","313,900,000","120,174,000","122,465,000","97,832,000","50,879,000","45,187,000","34,797,000","28,221,000","26,462,000","19,197,000","26,120,000","24,573,000","20,366,000"
		SellingAndMarketingExpense,"358,300,000","353,900,000","211,000,000","118,449,000","117,098,000","94,950,000","48,592,000","41,885,000","33,858,000","28,892,000","25,229,000","20,362,000","19,566,000","19,701,000","17,598,000"
	ResearchAndDevelopment,"393,800,000","383,700,000","318,200,000","153,334,000","152,689,000","110,415,000","57,287,000","53,862,000","45,779,000","35,650,000","31,442,000","26,513,000","26,804,000","26,282,000","23,620,000"
OperatingIncome,"931,200,000","914,400,000","526,900,000","396,913,000","288,695,000","164,738,000","200,372,000","182,968,000","137,491,000","93,777,000","79,840,000","67,103,000","65,083,000","48,730,000","43,869,000"
NetNonOperatingInterestIncomeExpense,"-380,700,000","-404,900,000","-271,000,000","-107,473,000","-128,454,000","-77,357,000","-25,472,000","-41,279,000","-32,501,000","-14,628,000","-30,412,000","-36,863,000","-41,130,000","-44,524,000","-47,039,000"
	InterestIncomeNonOperating,,"4,700,000","9,100,000","1,166,000","1,488,000","1,976,000","1,705,000","1,116,000","417,000","120,000","170,000","28,000","409,000","939,000","388,000"
	InterestExpenseNonOperating,"385,400,000","409,600,000","280,100,000","108,639,000","129,942,000","79,333,000","27,177,000","42,395,000","32,918,000","14,748,000","30,582,000","36,891,000","41,539,000","45,463,000","47,427,000"
OtherIncomeExpense,"8,400,000","22,200,000","-130,800,000","-6,810,000","3,375,000","-26,539,000","2,754,000","3,498,000","-34,505,000","-5,210,000","-4,981,000","-1,418,000","1,994,000","1,911,000","456,000"
	GainOnSaleOfSecurity,,,"8,200,000","-4,484,000","3,375,000","3,878,000","2,754,000","3,498,000","-15,875,000",,,,,,
	EarningsFromEquityInterest,,"3,600,000","2,100,000",,,,,,,,,,,,
	SpecialIncomeCharges,"-2,800,000","-7,100,000","-141,100,000","-2,326,000","0","-30,417,000","0","0","-18,630,000","-5,210,000","-4,981,000","-1,418,000","1,994,000","1,911,000","456,000"
		RestructuringAndMergernAcquisition,,"0","97,800,000",,,,"0","0","14,275,000",,,,,"0","0"
		OtherSpecialCharges,"2,800,000","7,100,000","43,300,000","2,326,000",,"30,417,000",,,"4,355,000",,,,,"-1,911,000","-456,000"
	OtherNonOperatingIncomeExpenses,"6,900,000","25,700,000","8,200,000","-4,484,000","3,375,000","3,878,000","2,754,000","3,498,000","-15,875,000",,,,,,
PretaxIncome,"558,900,000","531,700,000","125,100,000","282,630,000","163,616,000","60,842,000","177,654,000","145,187,000","70,485,000","73,939,000","44,447,000","28,822,000","25,947,000","6,117,000","-2,714,000"
TaxProvision,"102,000,000","93,200,000","21,900,000","-46,234,000","32,620,000","17,980,000","46,527,000","27,292,000","24,665,000","22,918,000","12,034,000","9,804,000","7,146,000","-458,000","-3,789,000"
