name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989
	StockholdersEquity,"21,640,716,000","19,364,188,000","16,283,273,000","13,981,581,000","12,943,035,000","17,712,582,000","15,418,459,000","13,284,764,000","12,640,904,000","10,231,632,000","9,998,042,000","9,014,497,000","6,990,094,000","5,599,671,000","4,316,292,000","2,945,424,000","2,223,381,000","1,672,395,000","1,642,686,000","1,380,925,000","1,129,600,000","1,280,300,000","1,281,000,000","1,265,100,000","1,163,700,000","1,043,400,000","933,100,000","834,000,000","650,200,000","610,000,000","582,300,000"
		CapitalStock,"205,822,000","205,804,000","205,788,000","205,770,000","205,502,000","205,492,000","202,732,000","202,720,000","202,693,000","202,542,000","202,526,000","202,498,000","207,472,000","255,382,000","301,557,000","300,073,000","349,663,000","349,246,000","348,829,000","348,411,000","348,400,000",,,,,,,,,,
			PreferredStock,,,,,,,,,,,,,"4,977,000","52,887,000","99,062,000","98,826,000","148,416,000","147,999,000","147,582,000","147,164,000","147,200,000",,,,,,,,,,
			CommonStock,"205,822,000","205,804,000","205,788,000","205,770,000","205,502,000","205,492,000","202,732,000","202,720,000","202,693,000","202,542,000","202,526,000","202,498,000","202,495,000","202,495,000","202,495,000","201,247,000","201,247,000","201,247,000","201,247,000","201,247,000","201,200,000",,,,,,,,,,
		RetainedEarnings,"15,648,604,000","13,543,130,000","10,593,533,000","8,398,118,000","9,870,816,000","14,763,098,000","12,168,277,000","10,175,631,000","9,789,345,000","8,870,179,000","8,866,747,000","8,466,143,000","6,156,721,000","5,151,034,000","3,920,483,000","2,706,845,000","2,121,214,000","1,723,948,000","1,668,708,000","1,301,067,000","930,900,000","838,400,000","800,700,000","697,600,000","576,700,000","453,800,000","325,000,000","213,200,000","132,000,000","92,200,000","62,000,000"
		AdditionalPaidInCapital,"5,817,475,000","5,658,794,000","5,536,547,000","5,420,385,000","2,923,461,000","2,837,150,000","2,646,879,000","2,500,340,000","2,272,052,000","729,992,000","596,702,000","323,805,000","221,102,000","129,986,000","84,705,000","21,047,000","1,625,000",,,"4,221,000",,,,,,,,,,,
		TreasuryStock,"26,533,000","42,182,000","33,298,000","23,682,000","23,406,000","70,102,000","15,263,000","33,822,000","24,932,000","11,152,000","7,653,000","5,736,000","61,903,000","113,435,000","131,344,000","200,695,000","299,582,000","335,889,000","304,780,000","237,262,000","128,300,000",,,,,,,,,,
		GainsLossesNotAffectingRetainedEarnings,"-4,652,000","-1,358,000","-19,297,000","-19,010,000","-33,338,000","-23,056,000","415,834,000","439,895,000","401,746,000","440,071,000","339,720,000","27,787,000","466,702,000","176,704,000","140,891,000","118,154,000","50,461,000","-64,910,000","-70,071,000","-35,512,000","-21,400,000",,,,,,,,,,
			ForeignCurrencyTranslationAdjustments,,,,,,,,,,,,,,,,,,,,,"-19,800,000",,,,,,,,,,
			OtherEquityAdjustments,,,,,,,,,,,,,,,,,,,,,"-1,600,000",,,,,,,,,,
