name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011
TaxProvision,"-900,000","-4,280,000","793,000","1,309,000","1,278,000","10,092,000","-355,000","1,517,000","282,000","1,502,000","-39,000","510,000","843,000","3,552,000","941,000","472,000","326,000","6,633,000","-925,000","1,661,000","-1,816,000","4,460,000","1,751,000","278,000","226,000","-228,000","-1,851,000","58,000","137,000","4,236,000","-450,000","14,166,000","12,929,000","16,695,000","9,664,000"
NetIncomeCommonStockholders,"321,385,000","-251,396,000","282,133,000","121,217,000","169,431,000","89,544,000","93,370,000","107,474,000","67,580,000","101,005,000","99,521,000","96,202,000","104,944,000","75,940,000","83,696,000","91,397,000","88,863,000","70,490,000","-125,245,000","88,284,000","67,795,000","55,287,000","57,164,000","59,952,000","55,254,000","50,497,000","48,801,000","44,338,000","35,475,000","27,748,000","-32,643,000","19,311,000","18,670,000","17,054,000","16,201,000"
	NetIncome,"322,054,000","-256,527,000","287,770,000","121,217,000","169,594,000","118,660,000","93,370,000","107,474,000","67,580,000","101,005,000","99,521,000","96,202,000","104,944,000","75,940,000","83,696,000","91,397,000","88,863,000","81,816,000","-125,245,000","88,284,000","67,795,000","57,029,000","57,164,000","59,952,000","55,254,000","49,541,000","48,801,000","44,338,000","34,711,000","32,315,000","-32,643,000","19,311,000","18,670,000","17,054,000","16,201,000"
		NetIncomeIncludingNoncontrollingInterests,"306,321,000","-289,400,000","295,440,000","125,223,000","175,058,000","211,979,000","108,784,000","154,677,000","34,563,000","150,488,000","149,587,000","146,601,000","174,353,000","102,661,000","144,269,000","169,175,000","165,777,000","117,759,000","-427,810,000","162,752,000","112,546,000","85,966,000","93,674,000","105,784,000","97,746,000","90,175,000","88,461,000","81,117,000","61,133,000","51,676,000","-13,544,000","40,916,000","39,749,000","45,628,000","38,242,000"
			NetIncomeContinuousOperations,"306,321,000","-289,400,000","295,440,000","125,223,000","175,058,000","211,979,000","108,784,000","154,677,000","34,563,000","150,488,000","149,587,000","146,601,000","174,353,000","102,661,000","144,269,000","169,175,000","165,777,000","117,759,000","-427,810,000","162,752,000","112,546,000","85,966,000","93,674,000","105,784,000","97,746,000","90,175,000","88,461,000","81,117,000","61,133,000","51,676,000","-13,544,000","40,916,000","39,749,000","45,628,000","38,242,000"
		MinorityInterests,"15,733,000","32,873,000","-7,670,000","-4,006,000","-5,464,000","-93,319,000","-15,414,000","-47,203,000","33,017,000","-49,483,000","-50,066,000","-50,399,000","-69,409,000","-26,721,000","-60,573,000","-77,778,000","-76,914,000","-35,943,000","302,565,000","-74,468,000","-44,751,000","-28,937,000","-36,510,000","-45,832,000","-42,492,000","-40,634,000","-39,611,000","-36,779,000","-26,422,000","-19,361,000","12,077,000","-21,605,000","-21,079,000","-28,574,000","-22,041,000"
	PreferredStockDividends,,"-5,131,000","5,637,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherunderPreferredStockDividend,"163,000","0","0","0","163,000","29,116,000",,,,,,"0","0","0","0",,"0","11,326,000","0","0","0","1,742,000","0","0","0","-956,000","0","0","-764,000","4,567,000",,,,,
DilutedNIAvailtoComStockholders,"321,385,000","-251,396,000","282,133,000","121,217,000","169,431,000","89,544,000","93,370,000","107,474,000","67,580,000","101,005,000","99,521,000","96,202,000","104,944,000","75,940,000","83,696,000","91,397,000","88,863,000","70,490,000","-125,245,000","88,284,000","67,795,000","55,287,000","57,164,000","59,952,000","55,254,000","50,497,000","48,801,000","44,338,000","35,475,000","27,748,000","-32,643,000","19,311,000","18,670,000","17,054,000","16,201,000"
BasicEPS,,"-0.57","0.62","0.27","0.37","0.3","0.43","0.49","0.31","0.46",,"0.44","0.48","0.35",,"0.42","0.41","0.32",,"0.4","0.31","0.25",,"0.27","0.25","0.23",,"0.2","0.16","0.13",,"0.378","0.366","0.334",
DilutedEPS,,"-0.57","0.62","0.27","0.37","0.3","0.43","0.49","0.31","0.46",,"0.44","0.48","0.35",,"0.42","0.41","0.32",,"0.4","0.31","0.25",,"0.27","0.25","0.23",,"0.2","0.16","0.13",,"0.378","0.366","0.334",
BasicAverageShares,,"443,971,000","452,934,000","453,021,000","453,000,000","299,556,000","218,938,000","218,938,000","218,934,000","218,933,000",,"218,933,000","218,931,000","218,929,000",,"218,922,000","218,921,000","218,919,000",,"218,914,000","218,912,000","218,910,000",,"218,903,000","218,903,000","218,903,000",,"218,896,000","218,896,000","218,896,000",,"218,895,515","51,036,968","51,036,968",
DilutedAverageShares,,"443,971,000","452,934,000","453,021,000","453,000,000","299,556,000","218,938,000","218,938,000","218,934,000","218,933,000",,"218,933,000","218,931,000","218,929,000",,"218,922,000","218,921,000","218,919,000",,"218,914,000","218,912,000","218,910,000",,"218,903,000","218,903,000","218,903,000",,"218,896,000","218,896,000","218,896,000",,"218,895,515","51,036,968","51,036,968",
TotalOperatingIncomeAsReported,"697,512,000","-214,903,000","333,630,000","268,725,000","310,060,000","318,928,000","164,400,000","199,630,000","74,040,000","187,294,000","181,136,000","178,692,000","206,996,000","137,575,000","180,469,000","196,558,000","175,343,000","152,165,000","-400,591,000","191,865,000","134,029,000","109,083,000","112,177,000","122,597,000","114,376,000","99,187,000","96,450,000","89,502,000","69,206,000","62,771,000","-6,856,000","61,312,000","59,280,000","67,221,000","46,094,000"
TotalExpenses,"1,788,418,000","453,721,000","449,627,000","448,336,000","436,734,000","409,967,000","368,996,000","325,990,000","274,054,000","270,266,000","462,444,000","415,435,000","376,577,000","358,591,000","342,173,000","310,426,000","271,307,000","240,640,000","249,675,000","292,456,000","287,324,000","284,231,000","242,234,000","222,931,000","228,576,000","189,521,000","194,171,000","188,499,000","185,920,000","166,976,000","219,693,000","173,422,000","161,030,000","157,455,000","169,103,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"322,054,000","-256,527,000","287,770,000","121,217,000","169,594,000","118,660,000","93,370,000","107,474,000","67,580,000","101,005,000","99,521,000","96,202,000","104,944,000","75,940,000","83,696,000","91,397,000","88,863,000","81,816,000","-125,245,000","88,284,000","67,795,000","57,029,000","57,164,000","59,952,000","55,254,000","49,541,000","48,801,000","44,338,000","34,711,000","32,315,000","-32,643,000","19,311,000","18,670,000","17,054,000","16,201,000"
NormalizedIncome,"679,775,200","324,378,856.034","289,752,678.23","124,047,410","171,433,420","119,591,000","147,878,370","132,473,480","193,382,270","101,036,680","106,075,400","98,281,764.851","68,724,123.776","114,243,360","93,724,588.155","86,366,036.44","90,566,649.778","88,608,500","407,922,199.319","11,812,440","67,795,000","57,029,000","57,164,000","59,952,000","55,254,000","49,541,000","48,801,000","44,338,000","34,711,000","32,315,000","-32,643,000","19,311,000","20,200,000","17,054,000","15,521,670.855"
InterestIncome,"16,900,000","4,225,000","4,225,000","4,225,000","4,225,000","4,225,000","4,225,000","4,225,000","4,225,000","4,225,000","4,225,000","4,225,000","4,225,000","4,225,000","4,225,000","4,225,000","4,225,000","4,225,000","4,225,000","4,225,000","4,225,000","4,225,000","4,225,000","4,225,000","4,225,000","4,225,000","4,725,000","4,725,000","4,725,000","4,825,000","5,825,000","4,625,000","4,625,000","4,625,000","9,568,000"
InterestExpense,"325,996,000","88,586,000","79,414,000","78,524,000","79,472,000","65,876,000","52,684,000","48,316,000","44,697,000","40,346,000","36,168,000","36,117,000","36,297,000","36,033,000","39,759,000","31,301,000","13,429,000","32,139,000","31,535,000","31,773,000","27,604,000","22,962,000","21,066,000","20,878,000","20,864,000","13,961,000","14,314,000","13,018,000","12,654,000","11,811,000","11,942,000","10,977,000","9,560,000","9,581,000","8,607,000"
NetInterestIncome,"-309,096,000","-84,361,000","-75,189,000","-74,299,000","-75,247,000","-61,651,000","-48,459,000","-44,091,000","-40,472,000","-36,121,000","-31,943,000","-31,892,000","-32,072,000","-31,808,000","-35,534,000","-27,076,000","-9,204,000","-27,914,000","-27,310,000","-27,548,000","-23,379,000","-18,737,000","-16,841,000","-16,653,000","-16,639,000","-9,736,000","-9,589,000","-8,293,000","-7,929,000","-6,986,000","-6,117,000","-6,352,000","-4,935,000","-4,956,000","961,000"
EBIT,"631,417,000","-205,094,000","375,647,000","205,056,000","255,808,000","287,947,000","161,113,000","204,510,000","79,542,000","192,336,000","185,716,000","183,228,000","211,493,000","142,246,000","184,969,000","200,948,000","179,532,000","156,531,000","-397,200,000","196,186,000","138,334,000","113,388,000","116,491,000","126,940,000","118,836,000","103,908,000","100,924,000","94,193,000","73,924,000","67,723,000","-2,052,000","66,059,000","62,238,000","71,904,000","56,513,000"
EBITDA,"1,133,045,000"
ReconciledCostOfRevenue,"935,082,000","235,589,000","229,785,000","225,714,000","243,994,000","228,009,000","227,752,000","188,519,000","146,941,000","154,641,000","351,436,000","311,762,000","277,308,000","259,061,000","240,522,000","212,889,000","172,154,000","141,562,000","156,279,000","193,409,000","212,254,000","208,212,000","172,675,000","154,044,000","161,831,000","132,562,000","133,591,000","131,131,000","129,956,000","115,523,000","198,621,000","117,562,000","110,197,000","110,223,000","86,606,000"
ReconciledDepreciation,"501,628,000","132,319,000","120,278,000","127,914,000","121,117,000","113,946,000","99,349,000","82,553,000","78,792,000","76,842,000","74,602,000","72,539,000","74,031,000","69,702,000","73,287,000","67,246,000","67,305,000","65,095,000","42,222,000","65,688,000","65,961,000","70,292,000","53,147,000","45,651,000","43,746,000","40,612,000","39,365,000","37,615,000","36,496,000","32,440,000","35,991,000","26,462,000","27,741,000","27,067,000","33,491,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"322,054,000","-256,527,000","287,770,000","121,217,000","169,594,000","118,660,000","93,370,000","107,474,000","67,580,000","101,005,000","99,521,000","96,202,000","104,944,000","75,940,000","83,696,000","91,397,000","88,863,000","81,816,000","-125,245,000","88,284,000","67,795,000","57,029,000","57,164,000","59,952,000","55,254,000","49,541,000","48,801,000","44,338,000","34,711,000","32,315,000","-32,643,000","19,311,000","18,670,000","17,054,000","16,201,000"
TotalUnusualItemsExcludingGoodwill,"-596,202,000","-589,497,000","-1,988,000","-2,859,000","-1,858,000","-980,000","-74,669,000","-25,252,000","-127,073,000","-32,000","-10,924,000","-2,087,000","36,395,000","-39,488,000","-10,094,000","5,045,000","-1,707,000","-7,150,000","-534,320,000","77,244,000",,,,,,,,,,,,,"-1,700,000",,"851,000"
TotalUnusualItems,"-596,202,000","-589,497,000","-1,988,000","-2,859,000","-1,858,000","-980,000","-74,669,000","-25,252,000","-127,073,000","-32,000","-10,924,000","-2,087,000","36,395,000","-39,488,000","-10,094,000","5,045,000","-1,707,000","-7,150,000","-534,320,000","77,244,000",,,,,,,,,,,,,"-1,700,000",,"851,000"
NormalizedEBITDA,"1,729,247,000","516,722,000","497,913,000","335,829,000","378,783,000","402,873,000","335,131,000","312,315,000","285,407,000","269,210,000","271,242,000","257,854,000","249,129,000","251,436,000","268,350,000","263,149,000","248,544,000","228,776,000","179,342,000","184,630,000","204,295,000","183,680,000","169,638,000","172,591,000","162,582,000","144,520,000","140,289,000","131,808,000","110,420,000","100,163,000","33,939,000","92,521,000","91,679,000","98,971,000","89,153,000"
TaxRateForCalcs,"0.4","0.015","0.003","0.01","0.01","0.05","0.27","0.01","0.01","0.01","0.4","0.003","0.005","0.03","0.006","0.003","0.002","0.05","0.002","0.01","0.4","0.05","0.018","0.003","0.002","0.35","0.35","0.001","0.002","0.076","0.032","0.09","0.1","0.268","0.202"
TaxEffectOfUnusualItems,"-238,480,800","-8,591,143.966","-5,321.77","-28,590","-18,580","-49,000","-20,160,630","-252,520","-1,270,730","-320","-4,369,600","-7,235.149","175,123.776","-1,184,640","-65,411.845","14,036.44","-3,350.222","-357,500","-1,152,800.681","772,440","0","0","0","0","0","0","0","0","0","0","0","0","-170,000","0","171,670.855"
