name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011
			CurrentDebt,,,,"31,063,000","174,943,000",,"2,358,000",,
				CurrentNotesPayable,,,"0","31,063,000","174,943,000",,,,
			CurrentCapitalLeaseObligation,"52,781,000",,,,,,,,
		CurrentDeferredLiabilities,"1,509,872,000","1,666,128,000","1,526,260,000","1,154,551,000","919,159,000","494,616,000","215,580,000","121,021,000","41,461,000"
			CurrentDeferredTaxesLiabilities,,,,,,,"0","26,629,000","0"
			CurrentDeferredRevenue,"1,509,872,000","1,666,128,000","1,526,260,000","1,154,551,000","919,159,000","494,616,000","215,580,000","94,392,000","41,461,000"
		OtherCurrentLiabilities,,,,,,"33,000","2,925,000",,
	TotalNonCurrentLiabilitiesNetMinorityInterest,"584,021,000","479,989,000","470,373,000","496,773,000","522,506,000","532,435,000","510,768,000","485,406,000","478,921,000"
		LongTermDebtAndCapitalLeaseObligation,"23,067,000",,,,,,,,
			LongTermCapitalLeaseObligation,"23,067,000",,,,,,,,
		NonCurrentDeferredLiabilities,"538,487,000","455,921,000","438,251,000","461,796,000","489,910,000","508,377,000","481,727,000","468,838,000","472,950,000"
			NonCurrentDeferredTaxesLiabilities,"538,487,000","455,921,000","438,251,000","461,796,000","489,910,000","508,377,000","481,727,000","468,838,000","472,950,000"
		OtherNonCurrentLiabilities,"22,467,000","24,068,000","32,122,000","34,977,000","32,596,000","24,058,000","29,041,000","16,568,000","5,971,000"
TotalEquityGrossMinorityInterest,"14,605,941,000","11,111,443,000","7,935,286,000","6,351,213,000","4,851,036,000","3,665,423,000","2,212,364,000","1,557,975,000","1,360,279,000"
	StockholdersEquity,"14,629,097,000","11,135,278,000","7,951,637,000","6,360,404,000","4,851,036,000","3,665,423,000","2,212,364,000","1,557,975,000","1,360,279,000"
		CapitalStock,"8,029,000","7,969,000","7,909,000","7,784,000","7,635,000","7,484,000","7,149,000","6,867,000","6,867,000"
			CommonStock,"8,029,000","7,969,000","7,909,000","7,784,000","7,635,000","7,484,000","7,149,000","6,867,000","6,867,000"
		AdditionalPaidInCapital,"3,774,373,000","3,500,620,000","3,246,475,000","3,006,152,000","2,787,103,000","2,649,111,000","1,949,013,000","1,128,314,000","1,099,172,000"
		RetainedEarnings,"10,698,280,000","7,498,314,000","4,627,299,000","3,221,459,000","1,993,545,000","1,002,896,000","254,216,000","422,211,000","254,240,000"
		GainsLossesNotAffectingRetainedEarnings,"148,415,000","128,375,000","69,954,000","125,009,000","62,753,000","5,932,000","1,986,000","583,000","0"
	MinorityInterest,"-23,156,000","-23,835,000","-16,351,000","-9,191,000",,,,,
TotalCapitalization,"14,629,097,000","11,135,278,000","7,951,637,000","6,360,404,000","4,851,036,000","3,665,423,000","2,212,364,000","1,557,975,000","1,360,279,000"
CommonStockEquity,"14,629,097,000","11,135,278,000","7,951,637,000","6,360,404,000","4,851,036,000","3,665,423,000","2,212,364,000","1,557,975,000","1,360,279,000"
CapitalLeaseObligations,"75,848,000",,,,,,,,
NetTangibleAssets,"13,097,073,000","9,591,596,000","6,396,436,000","4,826,459,000","3,312,603,000","2,121,745,000","662,725,000","4,352,000","-203,547,000"
WorkingCapital,"12,392,479,000","8,976,548,000","6,369,270,000","4,987,720,000","3,585,941,000","2,560,109,000","1,109,447,000","449,900,000","248,018,000"
InvestedCapital,"14,629,097,000","11,135,278,000","7,951,637,000","6,391,467,000","5,025,979,000","3,665,423,000","2,214,722,000","1,557,975,000","1,360,279,000"
TangibleBookValue,"13,097,073,000","9,591,596,000","6,396,436,000","4,826,459,000","3,312,603,000","2,121,745,000","662,725,000","4,352,000","-203,547,000"
TotalDebt,"75,848,000",,,"31,063,000","174,943,000",,"2,358,000",,
ShareIssued,"118,926,687","118,056,345","117,140,856","115,297,224","113,054,570","110,602,163","105,136,436","103,963,436","103,963,436"
OrdinarySharesNumber,"118,926,687","118,056,345","117,140,856","115,297,224","113,054,570","110,602,163","105,136,436","103,963,436","103,963,436"
