name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004
TotalAssets,"2,598,613,000","2,125,667,000","1,584,886,000","1,662,346,000","1,479,171,000","1,446,556,000","1,180,783,000","1,145,218,000","1,043,592,000","898,085,000","891,160,000","738,940,000","689,096,000","301,503,000","81,412,000","71,681,000"
	CashCashEquivalentsAndFederalFundsSold,"874,601,000","815,635,000","639,606,000","589,644,000","492,697,000","458,517,000","373,898,000","380,025,000","312,229,000","319,955,000","513,418,000","460,179,000","479,177,000","149,533,000","39,374,000","38,219,000"
		CashAndCashEquivalents,"848,604,000","790,590,000","609,587,000","558,524,000","448,764,000","352,160,000","298,453,000","259,431,000","182,905,000","141,337,000","206,682,000","175,902,000","193,475,000","65,420,000","37,855,000","37,379,000"
			CashAndDueFromBanks,"633,808,000","790,590,000","609,587,000","558,524,000","448,764,000","352,160,000","298,453,000","259,431,000","182,905,000","141,337,000","206,682,000","175,902,000","193,475,000","65,420,000","37,855,000","37,379,000"
			InterestBearingDepositsAssets,"214,796,000",,,,,,,,,,,,,,,
		RestrictedCashAndInvestments,"12,431,000","22,349,000","19,374,000","18,535,000","41,742,000","98,688,000","56,311,000","120,594,000","127,178,000","52,217,000","122,618,000","191,507,000","226,868,000","73,847,000","1,519,000","840,000"
			RestrictedCashAndCashEquivalents,,,,,,,,,,,,,,,"1,519,000","840,000"
			RestrictedInvestments,"12,431,000","22,349,000","19,374,000","18,535,000","41,742,000","98,688,000","56,311,000","120,594,000","127,178,000","52,217,000","122,618,000","191,507,000","226,868,000","73,847,000",,
		MoneyMarketInvestments,"13,566,000","2,696,000","10,645,000","12,585,000","2,191,000","7,669,000","19,134,000",,"2,146,000","126,401,000","184,118,000","92,770,000","58,834,000","10,266,000",,
			FederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,"13,566,000","2,696,000","10,645,000","12,585,000","2,191,000","7,669,000","19,134,000","0","2,146,000","126,401,000","184,118,000","92,770,000","58,834,000","10,266,000",,
				SecurityAgreeToBeResell,"13,566,000","2,696,000","10,645,000","12,585,000","2,191,000","7,669,000","19,134,000","0","2,146,000","126,401,000","184,118,000","92,770,000","58,834,000","10,266,000",,
	SecuritiesAndInvestments,"498,640,000","395,271,000","226,872,000","183,120,000","170,438,000","164,572,000","157,491,000","147,442,000","190,218,000","153,447,000","159,648,000","128,319,000","23,930,000","20,225,000","16,755,000","16,925,000"
		TradingSecurities,,,,,,,,,,,,,"7,647,000","10,214,000",,
		AvailableForSaleSecurities,"498,640,000","395,271,000","226,872,000","183,120,000","170,438,000","164,572,000","157,491,000","147,442,000","190,218,000","153,447,000","159,648,000","128,319,000","16,283,000","10,011,000","16,755,000","16,925,000"
	Receivables,"318,771,000","332,911,000","202,023,000","245,556,000","196,686,000","153,607,000","92,580,000","94,264,000","59,853,000","53,090,000","29,795,000","26,036,000","53,423,000","57,879,000","16,268,000","14,313,000"
		AccountsReceivable,"296,355,000","309,075,000","184,993,000","230,522,000","175,497,000","136,280,000","83,347,000","89,098,000","52,060,000","49,625,000","24,560,000","22,758,000","48,420,000","55,247,000","12,921,000","7,653,000"
			GrossAccountsReceivable,"304,236,000","398,569,000","187,765,000","233,273,000","176,810,000","137,642,000","85,783,000","92,984,000","54,024,000","50,393,000","25,324,000","28,702,000","49,011,000","55,455,000","13,177,000","7,653,000"
			AllowanceForDoubtfulAccountsReceivable,"-7,881,000","-89,494,000","-2,772,000","-2,751,000","-1,313,000","-1,362,000","-2,436,000","-3,886,000","-1,964,000","-768,000","-764,000","-5,944,000","-591,000","-208,000","-256,000","0"
		DueFromRelatedParties,"22,416,000","23,836,000","17,030,000","15,034,000","21,189,000","17,327,000","9,233,000","5,166,000","7,793,000","3,465,000","5,235,000","3,278,000","5,003,000","2,632,000","1,255,000","2,063,000"
		OtherReceivables,,,,,,,,,,,,,,,"2,092,000","4,597,000"
	PrepaidAssets,,,,,,,,,,,,,,,"604,000","298,000"
	NetPPE,"326,787,000","81,069,000","68,593,000","51,651,000","47,980,000","42,527,000","27,832,000","29,777,000","21,437,000","14,923,000","8,217,000","8,145,000","10,105,000","4,373,000","2,263,000","1,893,000"
		GrossPPE,"444,174,000","170,563,000","138,857,000","105,319,000","90,636,000","76,507,000","53,824,000","49,657,000","34,927,000","26,225,000","16,964,000","14,089,000","15,892,000","8,726,000","4,244,000","3,096,000"
			MachineryFurnitureEquipment,"110,366,000","78,966,000","66,658,000","50,326,000","38,383,000","31,018,000","21,105,000","18,773,000","15,037,000","12,230,000","9,291,000","6,870,000","8,411,000","6,372,000","2,637,000","1,849,000"
			Leases,"133,820,000","91,597,000","72,199,000","54,993,000","52,253,000","45,489,000","32,719,000","30,884,000","19,890,000","13,995,000","7,673,000","7,219,000","7,481,000","2,354,000","878,000","642,000"
			OtherProperties,"199,988,000",,,,,,,,,,,,,,"729,000","605,000"
		AccumulatedDepreciation,"-117,387,000","-89,494,000","-70,264,000","-53,668,000","-42,656,000","-33,980,000","-25,992,000","-19,880,000","-13,490,000","-11,302,000","-8,747,000","-5,944,000","-5,787,000","-4,353,000","-1,981,000","-1,203,000"
	GoodwillAndOtherIntangibleAssets,"133,061,000","141,765,000","153,808,000","190,331,000","207,471,000","287,776,000","216,005,000","224,081,000","218,758,000","188,263,000","57,341,000","38,163,000","51,037,000","61,046,000",,
		Goodwill,"130,758,000","131,387,000","134,231,000","160,961,000","166,461,000","218,232,000","189,274,000","188,684,000","177,849,000","139,031,000","49,764,000","32,750,000","42,044,000","37,966,000",,
		OtherIntangibleAssets,"2,303,000","10,378,000","19,577,000","29,370,000","41,010,000","69,544,000","26,731,000","35,397,000","40,909,000","49,232,000","7,577,000","5,413,000","8,993,000","23,080,000",,
