name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002
TotalRevenue,"17,983,654,000","4,696,647,000","5,410,593,000","3,997,910,000","3,878,504,000","4,902,411,000","3,810,781,000","3,672,234,000","3,699,668,000","4,018,329,000","3,536,444,000","3,494,635,000","3,558,825,000","3,745,807,000","3,438,589,000","3,027,842,000","3,223,084,000","3,196,992,000","2,822,852,000","2,468,641,000","2,843,601,000","2,823,532,000","2,754,153,000","2,791,930,000","3,101,886,000","2,772,359,000","2,796,278,000","2,645,043,000","2,990,719,000","2,710,673,000","2,478,285,000","2,588,397,000","2,711,582,000","2,592,799,000","2,341,566,000","2,295,690,000","3,873,601,000","1,835,635,000","1,769,788,000","1,752,003,000","3,673,559,000","1,628,971,000","1,623,623,000","1,653,366,000","1,835,581,000","1,717,266,000","1,627,339,000","1,540,069,000","1,551,020,320","1,497,099,440","1,445,836,644","1,454,243,604","1,437,327,483","1,404,982,189","1,312,970,397.75","1,348,674,092.2","2,565,993,461.55","1,222,542,891.9","1,238,150,980.5","1,154,812,522.5","1,179,067,370","1,088,472,762","1,038,634,696","1,091,658,755","1,110,844,682.5","1,035,339,650","963,235,191","991,969,608","985,287,480","952,882,480","954,601,094.5","897,747,256"
	OperatingRevenue,"19,080,598,000","4,989,748,000","5,683,598,000","4,267,577,000","3,878,504,000","5,155,615,000","4,055,722,000","3,916,894,000","3,928,049,000","4,228,770,000","3,712,622,000","3,681,012,000","3,752,219,000","3,951,882,000","3,620,621,000","3,195,908,000","3,396,176,000","3,342,405,000","2,952,002,000","2,592,958,000","2,979,538,000","2,965,408,000","2,902,766,000","2,975,658,000","3,261,396,000","2,944,632,000","2,964,272,000","2,814,456,000","3,167,424,000","2,710,673,000","2,478,285,000","2,588,397,000","2,711,582,000","2,592,799,000","2,341,566,000","2,295,690,000","3,873,601,000","1,835,635,000","1,769,788,000","1,752,003,000","3,673,559,000","1,628,971,000","1,623,623,000","1,653,366,000","1,835,581,000","1,717,266,000","1,627,339,000","1,540,069,000","2,028,389,320","1,497,099,440","1,445,836,644","1,454,243,604","1,430,434,093","1,404,982,189","1,312,970,397.75","1,348,674,092.2","2,563,981,546.05","1,222,542,891.9","1,238,150,980.5","1,154,812,522.5","1,180,164,042","1,088,472,762","1,038,634,696","1,091,658,755","1,094,002,502.5","1,035,339,650","963,235,191","991,969,608","985,475,740","952,882,480","954,601,094.5","897,747,256"
	ExciseTaxes,"1,096,944,000","293,101,000","273,005,000","269,667,000",,"253,204,000","244,941,000","244,660,000","228,381,000","210,441,000","176,178,000","186,377,000","193,394,000","206,075,000","182,032,000","168,066,000","173,092,000","145,413,000","129,150,000","124,317,000","135,937,000","141,876,000","148,613,000","183,728,000","159,510,000","172,273,000","167,994,000","169,413,000","176,705,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CostOfRevenue,"10,137,637,000","2,856,843,000","2,379,712,000","2,563,979,000","2,337,103,000","2,481,566,000","2,313,289,000","2,152,364,000","2,139,237,000","2,428,786,000","2,047,318,000","2,241,443,000","2,061,416,000","2,236,740,000","2,267,151,000","1,941,276,000","2,135,218,000","2,261,459,000","2,105,409,000","1,758,677,000","2,140,811,000","1,985,938,000","1,830,133,000","1,678,717,000","1,905,256,000","1,642,196,000","1,731,945,000","1,536,866,000","1,808,841,000","1,591,939,000","1,569,866,000","1,505,454,000","1,587,726,000","1,635,681,000","1,439,146,000","1,368,424,000","2,867,345,000","823,451,000","781,247,000","722,505,000","2,659,888,000","762,094,000","830,083,000","835,189,000","886,494,000","832,421,000","816,724,000","664,753,000","694,230,480","665,877,600","676,153,116","649,175,340","686,786,249","650,956,982","666,463,473.5","601,284,417.8","1,226,847,364.05","600,911,892","598,080,574.5","555,451,039","613,714,910","555,083,427","546,382,031","538,514,185","549,034,247.5","503,433,392.5","510,194,270","482,088,696","493,641,150","457,943,255","461,059,823.5","422,617,076"
GrossProfit,"7,846,017,000","1,839,804,000","3,030,881,000","1,433,931,000","1,541,401,000","2,420,845,000","1,497,492,000","1,519,870,000","1,560,431,000","1,589,543,000","1,489,126,000","1,253,192,000","1,497,409,000","1,509,067,000","1,171,438,000","1,086,566,000","1,087,866,000","935,533,000","717,443,000","709,964,000","702,790,000","837,594,000","924,020,000","1,113,213,000","1,196,630,000","1,130,163,000","1,064,333,000","1,108,177,000","1,181,878,000","1,118,734,000","908,419,000","1,082,943,000","1,123,856,000","957,118,000","902,420,000","927,266,000","1,006,256,000","1,012,184,000","988,541,000","1,029,498,000","1,013,671,000","866,877,000","793,540,000","818,177,000","949,087,000","884,845,000","810,615,000","875,316,000","856,789,840","831,221,840","769,683,528","805,068,264","750,541,234","754,025,207","646,506,924.25","747,389,674.4","1,339,146,097.5","621,630,999.9","640,070,406","599,361,483.5","565,352,460","533,389,335","492,252,665","553,144,570","561,810,435","531,906,257.5","453,040,921","509,880,912","491,646,330","494,939,225","493,541,271","475,130,180"
OperatingExpense,"2,138,095,000","628,127,000","474,677,000","633,782,000","401,509,000","527,316,000","371,713,000","448,821,000","475,259,000","565,513,000","343,784,000","494,749,000","469,316,000","446,003,000","332,037,000","460,921,000","359,990,000","240,718,000","225,587,000","-425,184,000","517,949,000","318,531,000","473,282,000","354,693,000","363,431,000","283,983,000","344,290,000","371,220,000","389,512,000","397,149,000","291,382,000","372,379,000","332,752,000","309,985,000","309,690,000","497,887,000","375,836,000","283,173,000","361,860,000","343,372,000","709,779,000","294,684,000","43,973,000","323,703,000","1,422,215,000","347,712,000","329,513,000","412,577,000","163,313,280","370,542,880","308,115,702","351,502,800","29,795,539","428,974,403","353,967,416","288,086,373.2","414,731,574","332,956,463.85","133,592,416.5","360,567,038","-256,359,631","149,951,691","557,710,857","364,651,925","-140,163,242.5","476,116,890","1,761,566","212,273,016","-2,115,261,140","1,457,205,420","967,533,813","166,145,084"
	SellingGeneralAndAdministration,"1,829,377,000","423,283,000","450,150,000","584,419,000","371,525,000","289,177,000","367,507,000","425,391,000","450,707,000","481,400,000","309,735,000","448,020,000","423,619,000","452,267,000","348,220,000","427,690,000","364,437,000","263,806,000","209,438,000","393,127,000","444,164,000","302,273,000","450,588,000","319,513,000","295,344,000","278,885,000","330,284,000","336,037,000","349,699,000","397,149,000","286,904,000","380,868,000","329,847,000","309,985,000","302,953,000","500,957,000","306,037,000","357,103,000","362,438,000","228,478,000","162,381,000","412,805,000","288,355,000","356,649,000","1,081,760,000","347,712,000","329,513,000","251,089,000","425,702,040","238,237,680","257,926,068","88,820,952","425,078,193","274,297,166","55,497,862.75","49,908,605.8","438,687,625.95","220,983,082.2","227,150,323.5","186,951,037","264,121,319","181,323,498","200,824,965","169,857,050","91,170,735","157,944,480","168,068,889","131,852,064","164,188,890","148,518,865","139,751,463.5","166,145,084"
		GeneralAndAdministrativeExpense,"1,025,973,000","261,086,000","291,882,000","300,435,000","172,570,000","234,587,000","178,178,000","199,985,000","226,552,000","289,444,000","185,116,000","234,582,000","184,939,000","218,041,000","213,278,000","222,412,000","-207,473,000","154,097,000","62,467,000","577,608,000","205,949,000","175,709,000","235,356,000","162,916,000","135,511,000","107,621,000","165,562,000","194,753,000","180,007,000","208,495,000","118,312,000","209,792,000","160,254,000","193,678,000","147,561,000","322,708,000","223,816,000","140,302,000","106,988,000","168,361,000","759,619,000","211,390,000","101,048,000","148,133,000","1,230,123,000","184,122,000","104,543,000","112,476,000",,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,"416,714,000","125,178,000","85,719,000","108,282,000","97,535,000","93,224,000","107,464,000","99,946,000","95,408,000","98,863,000","101,495,000","108,059,000","93,165,000",,,"102,097,000","92,233,000","90,052,000","88,904,000",,"80,833,000","84,858,000","89,023,000","84,245,000","68,799,000","75,865,000","77,187,000","73,593,000","70,115,000",,,,,,,,,,,"79,586,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"609,259,000","135,908,000","206,163,000","192,153,000","75,035,000","141,363,000","70,714,000","100,039,000","131,144,000","190,581,000","83,621,000","126,523,000","91,774,000","218,041,000","213,278,000","120,315,000","-115,240,000","64,045,000","26,437,000","577,608,000","125,116,000","90,851,000","146,333,000","78,671,000","66,712,000","31,756,000","88,375,000","121,160,000","109,892,000","208,495,000","118,312,000","209,792,000","160,254,000","193,678,000","147,561,000","322,708,000","223,816,000","140,302,000","106,988,000","88,775,000","335,687,000","211,390,000","101,048,000","148,133,000","1,230,123,000","184,122,000","104,543,000","112,476,000",,,,,,,,,,,,,,,,,,,,,,,,
