name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990
TotalRevenue,"1,672,671,000","392,039,000","436,769,000","424,494,000","423,360,000","417,046,000","372,836,000","401,190,000","397,146,000","381,307,000","386,525,000","370,333,000","359,695,000","343,282,000","278,701,000","352,853,000","369,149,000","336,298,000","329,854,000","349,121,000","342,100,000","327,988,000","353,719,000","243,612,000","231,080,000","222,112,000","245,770,000","251,101,000","244,523,000","262,395,000","297,398,000","267,198,000","272,728,000","267,895,000","347,656,000","293,143,000","274,024,000","269,569,000","280,079,000","279,909,000","257,484,000","226,985,000","225,201,000","212,938,000","190,196,000","187,346,000","196,337,000","204,855,000","204,453,000","206,245,000","198,164,000","198,220,000","192,900,000","187,815,000","188,268,000","190,482,000","188,542,000","183,567,000","182,675,000","182,334,000","179,236,000","166,890,000","166,071,000","161,725,000","156,441,000","154,010,000","150,438,000","153,519,000","156,616,000","145,303,000","149,414,000","150,897,000","151,988,000","151,241,000","147,933,000","145,316,000","145,829,000","145,394,000","141,958,000","158,815,000","135,803,000","130,956,000","130,600,000","135,600,000","127,400,000","123,900,000","127,600,000","119,700,000","116,300,000","109,900,000","109,300,000","107,600,000","104,500,000","98,100,000","102,700,000","99,000,000","96,500,000","91,000,000","87,200,000","86,000,000","83,800,000","81,600,000","80,700,000","79,400,000","76,500,000","74,700,000","81,200,000","76,100,000","80,000,000","75,100,000","75,100,000","74,400,000","73,200,000","71,400,000","66,200,000","65,900,000","59,900,000","54,500,000",,,,
	OperatingRevenue,"1,672,671,000","392,039,000","436,769,000","424,494,000","423,360,000","417,046,000","372,836,000","401,190,000","397,146,000","381,307,000","386,525,000","370,333,000","359,695,000","343,282,000","278,701,000","352,853,000","369,149,000","336,298,000","329,854,000","349,121,000","342,100,000","327,988,000","353,719,000","243,612,000","231,080,000","222,112,000","245,770,000","251,101,000","244,523,000","262,395,000","297,398,000","267,198,000","272,728,000","267,895,000","347,656,000","293,143,000","274,024,000","269,569,000","280,079,000","279,909,000","257,484,000","226,985,000","225,201,000","212,938,000","190,196,000","187,346,000","196,337,000","204,855,000","204,453,000","206,245,000","198,164,000","198,220,000","192,900,000","187,815,000","188,268,000","190,482,000","188,542,000","183,567,000","182,675,000","182,334,000","179,236,000","166,890,000","166,071,000","161,725,000","156,441,000","154,010,000","150,438,000","153,519,000","156,616,000","145,303,000","149,414,000","150,897,000","151,988,000","151,241,000","147,933,000","145,316,000","145,829,000","145,394,000","141,958,000","158,815,000","135,803,000","130,956,000","130,600,000","135,600,000","127,400,000","123,900,000","127,600,000","119,700,000","116,300,000","109,900,000","109,300,000","107,600,000","104,500,000","98,100,000","102,700,000","99,000,000","96,500,000","91,000,000","87,200,000","86,000,000","83,800,000","81,600,000","80,700,000","79,400,000","76,500,000","74,700,000","81,200,000","76,100,000","80,000,000","75,100,000","75,100,000","74,400,000","73,200,000","71,400,000","66,200,000","65,900,000","59,900,000","54,500,000",,,,
PretaxIncome,"521,405,000","74,085,000","131,528,000","160,164,000","155,628,000","144,728,000","115,926,000","133,516,000","122,715,000","131,453,000","123,111,000","103,649,000","211,879,000","105,059,000","81,055,000","78,950,000","109,574,000","81,488,000","66,922,000","88,842,000","69,690,000","101,491,000","90,985,000","40,265,000","39,359,000","32,985,000","42,179,000","66,641,000","69,198,000","86,646,000","32,559,000","59,498,000","48,264,000","53,849,000","45,975,000","132,471,000","32,565,000","100,630,000","43,390,000","43,185,000","43,882,000","174,754,000","28,883,000","133,366,000","8,569,000","12,281,000","18,395,000","29,101,000","41,622,000","50,486,000","40,083,000","33,981,000","48,397,000","45,093,000","48,662,000","51,804,000","50,362,000","45,118,000","43,702,000","46,458,000","48,291,000","40,219,000","38,380,000","33,372,000","25,176,000","27,267,000","26,475,000","28,219,000","33,449,000","28,458,000","37,452,000","34,393,000","35,874,000","35,824,000","33,577,000","32,733,000","34,513,000","36,918,000","37,814,000","53,361,000","34,875,000","31,210,000","31,300,000","37,200,000","31,800,000","30,000,000","31,300,000","28,000,000","26,800,000","24,500,000","26,800,000","29,700,000","27,600,000","26,000,000","30,500,000","19,000,000","26,000,000","26,200,000","24,700,000","24,500,000","19,400,000","18,700,000","19,800,000","20,800,000","20,500,000","16,800,000","20,500,000","19,000,000","22,600,000","22,100,000","18,100,000","20,800,000","20,000,000","18,600,000","12,000,000","14,100,000","10,600,000","6,600,000",,,,
TaxProvision,"118,224,000","16,916,000","29,654,000","35,385,000","36,269,000","33,369,000","26,453,000","16,198,000","29,424,000","31,222,000","68,704,000","36,585,000","77,219,000","37,438,000","28,365,000","27,546,000","40,258,000","29,416,000","24,174,000","32,884,000","25,168,000","37,675,000","27,702,000","13,902,000","12,809,000","10,619,000","14,953,000","25,659,000","25,292,000","31,061,000","10,813,000","19,974,000","10,681,000","18,354,000","15,942,000","50,536,000","11,265,000","37,951,000","13,305,000","15,439,000","15,280,000","67,140,000","9,883,000","50,898,000","2,369,000","3,618,000","5,502,000","9,547,000","15,396,000","18,101,000","13,920,000","11,362,000","17,546,000","16,109,000","15,467,000","18,877,000","18,650,000","16,461,000","15,866,000","16,505,000","18,215,000","15,222,000","13,608,000","16,504,000","9,304,000","9,936,000","9,901,000","8,672,000","12,677,000","10,164,000","13,142,000","12,275,000","12,744,000","12,626,000","12,260,000","11,977,000","12,509,000","14,059,000","13,826,000","20,006,000","13,421,000","11,696,000","12,000,000","14,100,000","11,500,000","11,000,000","11,600,000","9,900,000","9,300,000","8,800,000","9,400,000","10,700,000","10,000,000","9,400,000","10,600,000","6,600,000","9,600,000","9,400,000","8,400,000","8,700,000","6,800,000","6,500,000","6,800,000","7,100,000","7,100,000","5,800,000","7,100,000","6,500,000","7,600,000","7,400,000","6,100,000","6,800,000","6,600,000","6,200,000","3,900,000","4,600,000","3,500,000","2,100,000",,,,
NetIncomeCommonStockholders,"403,181,000","57,169,000","101,874,000","124,779,000","119,359,000","111,359,000","89,473,000","117,318,000","93,291,000","100,231,000","54,407,000","67,064,000","134,660,000","67,621,000","52,690,000","51,404,000","69,316,000","52,072,000","42,748,000","55,958,000","44,522,000","63,816,000","63,283,000","26,363,000","26,550,000","22,366,000","27,226,000","40,982,000","43,906,000","55,585,000","21,746,000","39,524,000","37,583,000","35,495,000","30,033,000","81,935,000","21,300,000","62,679,000","30,085,000","27,746,000","28,602,000","107,614,000","19,000,000","82,468,000","6,200,000","8,663,000","12,893,000","19,554,000","26,226,000","32,385,000","26,163,000","22,619,000","30,851,000","28,984,000","33,195,000","32,927,000","31,712,000","28,657,000","27,836,000","29,953,000","30,076,000","24,997,000","24,772,000","16,868,000","15,872,000","17,331,000","16,574,000","19,547,000","20,772,000","18,294,000","24,310,000","22,118,000","23,130,000","23,198,000","21,317,000","20,756,000","22,004,000","22,859,000","23,988,000","33,355,000","21,454,000","19,514,000","19,300,000","23,100,000","20,300,000","19,000,000","19,700,000","18,100,000","17,500,000","15,700,000","17,400,000","19,000,000","17,600,000","16,600,000","19,900,000","12,400,000","16,400,000","16,800,000","16,300,000","15,800,000","12,600,000","12,200,000","13,000,000","13,700,000","13,400,000","11,000,000","13,400,000","12,500,000","15,000,000","14,700,000","12,000,000","14,000,000","13,400,000","12,400,000","8,100,000","9,500,000","7,100,000","4,500,000",,,,
	NetIncome,"403,181,000","57,169,000","101,874,000","124,779,000","119,359,000","111,359,000","89,473,000","117,318,000","93,291,000","100,231,000","54,407,000","67,064,000","134,660,000","67,621,000","52,690,000","51,404,000","69,316,000","52,072,000","42,748,000","55,958,000","44,522,000","63,816,000","63,283,000","26,363,000","26,550,000","22,366,000","27,226,000","40,982,000","43,906,000","55,585,000","21,746,000","39,524,000","37,583,000","35,495,000","30,033,000","81,935,000","21,300,000","62,679,000","30,085,000","27,746,000","28,602,000","107,614,000","19,000,000","82,468,000","6,200,000","8,663,000","12,893,000","19,554,000","26,226,000","32,385,000","26,163,000","22,619,000","30,851,000","28,984,000","33,195,000","32,927,000","31,712,000","28,657,000","27,836,000","29,953,000","30,076,000","24,997,000","24,772,000","16,868,000","15,872,000","17,331,000","16,574,000","19,547,000","20,772,000","18,294,000","24,310,000","22,118,000","23,130,000","23,198,000","21,317,000","20,756,000","22,004,000","22,859,000","23,988,000","33,355,000","21,454,000","19,514,000","19,300,000","23,100,000","20,300,000","19,000,000","19,700,000","18,100,000","17,500,000","15,700,000","17,400,000","19,000,000","17,600,000","16,600,000","19,900,000","12,400,000","16,400,000","16,800,000","16,300,000","15,800,000","12,600,000","12,200,000","13,000,000","13,700,000","13,400,000","11,000,000","13,400,000","12,500,000","15,000,000","14,700,000","12,000,000","14,000,000","13,400,000","12,400,000","8,100,000","9,500,000","7,100,000","4,500,000",,,,
		NetIncomeIncludingNoncontrollingInterests,"403,181,000","57,169,000","101,874,000","124,779,000","119,359,000","111,359,000","89,473,000","117,318,000","93,291,000","100,231,000","54,407,000","67,064,000","134,660,000","67,621,000","52,690,000","51,404,000","69,316,000","52,072,000","42,748,000","55,958,000","44,522,000","63,816,000","63,283,000","26,363,000","26,550,000","22,366,000","27,226,000","40,982,000","43,906,000","55,585,000","21,746,000","39,524,000","37,583,000","35,495,000","30,033,000","81,935,000","21,300,000","62,679,000","30,085,000","27,746,000","28,602,000","107,614,000","19,000,000","82,468,000","6,200,000","8,663,000","12,893,000","19,554,000","26,226,000","32,385,000","26,163,000","22,619,000","30,851,000","28,984,000","33,195,000","32,927,000","31,712,000","28,657,000","27,836,000","29,953,000","30,076,000","24,997,000","24,772,000","16,868,000","15,872,000","17,331,000","16,574,000","19,547,000","20,772,000","18,294,000","24,310,000","22,118,000","23,130,000","23,198,000","21,317,000","20,756,000","22,004,000","22,859,000","23,988,000","33,355,000","21,454,000","19,514,000","19,300,000","23,100,000","20,300,000","19,000,000","19,700,000","18,100,000","17,500,000","15,700,000","17,400,000","19,000,000","17,600,000","16,600,000","19,900,000","12,400,000","16,400,000","16,800,000","16,300,000","15,800,000","12,600,000","12,200,000","13,000,000","13,700,000","13,400,000","11,000,000","13,400,000","12,500,000","15,000,000","14,700,000","12,000,000","14,000,000","13,400,000","12,400,000","8,100,000","9,500,000","7,100,000","4,500,000","5,200,000","8,100,000","7,900,000","7,200,000"
			NetIncomeContinuousOperations,"403,181,000","57,169,000","101,874,000","124,779,000","119,359,000","111,359,000","89,473,000","117,318,000","93,291,000","100,231,000","54,407,000","67,064,000","134,660,000","67,621,000","52,690,000","51,404,000","69,316,000","52,072,000","42,748,000","55,958,000","44,522,000","63,816,000","63,283,000","26,363,000","26,550,000","22,366,000","27,226,000","40,982,000","43,906,000","55,585,000","21,746,000","39,524,000","37,583,000","35,495,000","30,033,000","81,935,000","21,300,000","62,679,000","30,085,000","27,746,000","28,602,000","107,614,000","19,000,000","82,468,000","6,200,000","8,663,000","12,893,000","19,554,000","26,226,000","32,385,000","26,163,000","22,619,000","30,851,000","28,984,000","33,195,000","32,927,000","31,712,000","28,657,000","27,836,000","29,953,000","30,076,000","24,997,000","24,772,000","16,868,000","15,872,000","17,331,000","16,574,000","19,547,000","20,772,000","18,294,000","24,310,000","22,118,000","23,130,000","23,198,000","21,317,000","20,756,000","22,004,000","22,859,000","23,988,000","33,355,000","21,454,000","19,514,000","19,300,000","23,100,000","20,300,000","19,000,000","19,700,000","18,100,000","17,500,000","15,700,000","17,400,000","19,000,000","17,600,000","16,600,000","19,900,000","12,400,000","16,400,000","16,800,000","16,300,000","15,800,000","12,600,000","12,200,000","13,000,000","13,700,000","13,400,000","11,000,000","13,400,000","12,500,000","15,000,000","14,700,000","12,000,000","14,000,000","13,400,000","12,400,000","8,100,000","9,500,000","7,100,000","4,500,000","5,200,000","8,100,000","7,900,000","7,200,000"
DilutedNIAvailtoComStockholders,"403,181,000","57,169,000","101,874,000","124,779,000","119,359,000","111,359,000","89,473,000","117,318,000","93,291,000","100,231,000","54,407,000","67,064,000","134,660,000","67,621,000","52,690,000","51,404,000","69,316,000","52,072,000","42,748,000","55,958,000","44,522,000","63,816,000","63,283,000","26,363,000","26,550,000","22,366,000","27,226,000","40,982,000","43,906,000","55,585,000","21,746,000","39,524,000","37,583,000","35,495,000","30,033,000","81,935,000","21,300,000","62,679,000","30,085,000","27,746,000","28,602,000","107,614,000","19,000,000","82,468,000","6,200,000","8,663,000","12,893,000","19,554,000","26,226,000","32,385,000","26,163,000","22,619,000","30,851,000","28,984,000","33,195,000","32,927,000","31,712,000","28,657,000","27,836,000","29,953,000","30,076,000","24,997,000","24,772,000","16,868,000","15,872,000","17,331,000","16,574,000","19,547,000","20,772,000","18,294,000","24,310,000","22,118,000","23,130,000","23,198,000","21,317,000","20,756,000","22,004,000","22,859,000","23,988,000","33,355,000","21,454,000","19,514,000","19,300,000","23,100,000","20,300,000","19,000,000","19,700,000","18,100,000","17,500,000","15,700,000","17,400,000","19,000,000","17,600,000","16,600,000","19,900,000","12,400,000","16,400,000","16,800,000","16,300,000","15,800,000","12,600,000","12,200,000","13,000,000","13,700,000","13,400,000","11,000,000","13,400,000","12,500,000","15,000,000","14,700,000","12,000,000","14,000,000","13,400,000","12,400,000","8,100,000","9,500,000","7,100,000","4,500,000",,,,
BasicEPS,,"5.46","9.55","11.27","10.56","9.67","7.62","9.8","7.77","8.35","4.53","5.584","11.21","5.63","4.39","4.28","5.77","4.34","3.56","4.66","3.71","5.31","5.24","2.74","2.76","2.33","2.83","4.26","4.56","5.78","2.15","3.85","3.66","3.45",,"7.91","2.04","6.01",,"2.66","2.74","10.31",,"7.9","0.59","0.83",,"1.87","2.51","3.1",,"2.17","2.96","2.78",,"3.16","3.04","2.75",,"2.87","2.88","2.4",,"1.62","1.52","1.66",,"1.87","1.98","1.75",,"2.11","2.21","2.21",,"1.98","2.09","2.17",,"3.17","2.03","1.84",,"2.18","1.91","1.79",,"1.7","1.68","1.39",,"1.67","1.54","1.46",,"1.08","1.43","1.52",,"1.49","1.19","1.17",,"1.37","1.36","1.13",,"1.28","1.54","1.53",,"1.47","1.41","1.32",,"1","0.77","0.49",,,,"0.77"
