name,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,06/30/2011,03/31/2011,06/30/2010,03/31/2010
TotalAssets,"52,983,000,000","43,687,000,000","43,689,000,000","42,891,000,000","23,993,000,000","23,391,175,000","21,468,806,000","21,140,594,000","17,427,442,000","15,779,445,000","15,003,483,000","9,953,437,000","9,993,364,000","9,690,458,000","9,523,966,000","8,926,210,000","7,693,521,000","7,214,340,000","6,561,233,000","6,129,457,000","6,182,906,000","6,181,912,000","5,807,396,000","5,379,549,000","5,185,052,000","4,856,016,000","4,566,306,000","4,211,415,000","4,330,187,000","4,017,229,000","3,799,891,000","3,476,965,000","3,524,950,000","3,093,933,000","2,965,899,000","2,720,611,000","1,597,994,000"
	CurrentAssets,"18,256,000,000","5,864,000,000","5,489,000,000","5,733,000,000","6,974,000,000","6,110,550,000","5,990,512,000","5,531,122,000","5,761,124,000","5,094,154,000","4,577,596,000","4,123,288,000","4,174,681,000","4,003,863,000","3,788,708,000","3,135,126,000","2,961,978,000","2,657,122,000","1,949,254,000","1,464,365,000","1,596,664,000","1,654,838,000","1,395,377,000","1,139,007,000","1,042,388,000","981,302,000","908,953,000","766,199,000","996,906,000","990,536,000","1,000,525,000","1,021,289,000","1,173,817,000","1,268,532,000","1,273,028,000","1,469,321,000","410,648,000"
		CashCashEquivalentsAndShortTermInvestments,"6,142,000,000","4,076,000,000","3,422,000,000","3,924,000,000","4,351,000,000","4,017,152,000","4,255,455,000","3,658,372,000","3,604,630,000","3,440,837,000","2,980,375,000","2,375,492,000","3,235,007,000","3,046,582,000","2,512,647,000","1,861,755,000","1,771,053,000","1,271,091,000","1,164,861,000","703,558,000","835,480,000","910,422,000","685,143,000","476,711,000","397,435,000","366,191,000","306,058,000","182,212,000","457,918,000","465,695,000","541,143,000","615,682,000","781,601,000","974,701,000","1,002,002,000","1,285,430,000","258,374,000"
			CashAndCashEquivalents,"3,234,000,000","4,013,000,000","3,346,000,000","3,840,000,000","4,262,000,000","3,927,561,000","4,146,471,000","3,547,531,000","3,474,719,000","3,333,108,000","2,980,375,000","2,375,492,000","3,235,007,000","3,001,831,000","2,466,352,000","1,414,760,000","1,237,838,000","799,228,000","893,476,000","663,150,000","808,865,000","849,522,000","682,272,000","476,711,000","397,435,000","353,803,000","297,984,000","174,138,000","449,844,000","465,695,000","541,143,000","615,682,000","781,601,000","974,701,000","902,002,000","1,285,430,000","258,374,000"
			OtherShortTermInvestments,"2,908,000,000","63,000,000","76,000,000","84,000,000","89,000,000","89,591,000","108,984,000","110,841,000","129,911,000","107,729,000",,,"0","44,751,000","46,295,000","446,995,000","533,215,000","471,863,000","271,385,000","40,408,000","26,615,000","60,900,000","2,871,000",,"0","12,388,000","8,074,000","8,074,000","8,074,000",,,,"0","0","100,000,000",,
		Receivables,"593,000,000","664,000,000","677,000,000","615,000,000","465,000,000","445,393,000","444,581,000","471,620,000","662,027,000","346,771,000","353,923,000","326,896,000","262,512,000","236,796,000","248,617,000","170,810,000","110,113,000","105,539,000","110,819,000","107,863,000","105,536,000","116,756,000","106,754,000","98,453,000","75,304,000","76,306,000","88,893,000","92,281,000","50,633,000","48,125,000","54,153,000","42,667,000","37,416,000","46,466,000","37,548,000","24,174,000","25,032,000"
			AccountsReceivable,"218,000,000","194,000,000","253,000,000","226,000,000","195,000,000","195,639,000","204,840,000","198,529,000","162,910,000","171,536,000","163,737,000","135,569,000","141,649,000","143,545,000","137,477,000","119,179,000","93,956,000","89,516,000","94,023,000","90,318,000","89,243,000","101,196,000","91,893,000","90,774,000","74,646,000","76,306,000","85,602,000","81,847,000","50,633,000","48,125,000","50,871,000","41,851,000","37,416,000","31,245,000","31,942,000","24,174,000","20,946,000"
				GrossAccountsReceivable,"235,000,000",,,,"212,000,000",,,,"173,187,000",,"173,859,000",,"153,073,000",,,,"99,515,000",,,,"95,220,000",,,,"81,902,000",,,,"53,316,000",,,,"38,194,000",,,,
				AllowanceForDoubtfulAccountsReceivable,"-17,000,000",,,,"-17,000,000",,,,"-10,277,000",,"-10,122,000",,"-11,424,000",,,,"-5,559,000",,,,"-5,977,000",,,,"-7,256,000",,,,"-2,683,000",,,,"-778,000",,,,
			LoansReceivable,"193,000,000","192,000,000","181,000,000","165,000,000","94,000,000","104,267,000","115,660,000","160,675,000","380,580,000","86,691,000","65,885,000","20,071,000","22,410,000",,,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,,,,,,,,,,,,,,,,,,,,,,,,"4,309,000",,,"3,291,000","10,434,000",,,"3,282,000","816,000",,"15,221,000","2,339,000",,
			DuefromRelatedPartiesCurrent,"182,000,000","278,000,000","243,000,000","224,000,000","176,000,000","145,487,000","124,081,000","112,416,000","118,537,000","88,544,000","124,301,000","171,256,000","98,453,000","93,251,000","111,140,000","51,631,000","16,157,000","16,023,000","16,796,000","17,545,000","16,293,000","15,560,000","14,861,000","3,370,000","658,000",,,,,,,,,,,,
			OtherReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,267,000",,"4,086,000"
		Inventory,"57,000,000","47,000,000","37,000,000","41,000,000","41,000,000","39,137,000","30,139,000","27,217,000","24,006,000","27,712,000","33,239,000","23,354,000","21,606,000","21,759,000","21,162,000","22,627,000","24,529,000","25,818,000","27,371,000","29,087,000","29,882,000","32,758,000","29,386,000","30,970,000","34,013,000","31,195,000","34,411,000","32,466,000","37,971,000","32,980,000","31,783,000","27,662,000","31,232,000","21,710,000","20,804,000","7,864,000","7,818,000"
		PrepaidAssets,"0","0","0","0","955,000,000","571,072,000","562,048,000","563,521,000","659,973,000","528,381,000","502,447,000","481,024,000","446,127,000","402,974,000","380,670,000","423,039,000","429,588,000","450,779,000","420,269,000","391,652,000","385,158,000","371,804,000","384,347,000","372,582,000","363,581,000","360,944,000","344,569,000","343,615,000","321,305,000","278,276,000","256,894,000","231,665,000","228,087,000","168,050,000","154,964,000","92,032,000","62,771,000"
		RestrictedCash,"10,765,000,000","438,000,000","719,000,000","617,000,000","622,000,000","619,879,000","340,439,000","497,176,000","481,348,000","493,512,000","467,500,000","500,000","500,000","2,157,000","360,500,000","360,500,000","360,500,000","580,000,000",,,"0",,"755,000","1,755,000","3,317,000","4,247,000","5,547,000","4,102,000","1,790,000","61,455,000","14,955,000","14,495,000","1,500,000","3,776,000","3,245,000","13,270,000","1,000,000"
		CurrentDeferredAssets,,,,,,,,,,,,,,"98,200,000","98,200,000","98,200,000","98,200,000","80,026,000","80,026,000","80,026,000","80,026,000","51,759,000","51,759,000","51,759,000","51,759,000","44,231,000","44,231,000","44,231,000","44,231,000","40,119,000","40,119,000","40,119,000","40,119,000","17,940,000","17,940,000",,"18,272,000"
			CurrentDeferredTaxesAssets,,,,,,,,,,,,,,"98,200,000","98,200,000","98,200,000","98,200,000","80,026,000","80,026,000","80,026,000","80,026,000","51,759,000","51,759,000","51,759,000","51,759,000","44,231,000","44,231,000","44,231,000","44,231,000","40,119,000","40,119,000","40,119,000","40,119,000","17,940,000","17,940,000",,"18,272,000"
		OtherCurrentAssets,"699,000,000","639,000,000","634,000,000","536,000,000","540,000,000","417,917,000","357,850,000","313,216,000","329,140,000","256,941,000","240,112,000","916,022,000","208,929,000","195,395,000","166,912,000","198,195,000","167,995,000","143,869,000","145,908,000","152,179,000","160,582,000","171,339,000","137,233,000","106,777,000","116,979,000","98,188,000","85,244,000","67,292,000","83,058,000","63,886,000","61,478,000","48,999,000","53,862,000","35,889,000","36,525,000","46,551,000","37,381,000"
	TotalNonCurrentAssets,"34,727,000,000","37,823,000,000","38,200,000,000","37,158,000,000","17,019,000,000","17,280,625,000","15,478,294,000","15,609,472,000","11,666,318,000","10,685,291,000","10,425,887,000","5,830,149,000","5,818,683,000","5,686,595,000","5,735,258,000","5,791,084,000","4,731,543,000","4,557,218,000","4,611,979,000","4,665,092,000","4,586,242,000","4,527,074,000","4,412,019,000","4,240,542,000","4,142,664,000","3,874,714,000","3,657,353,000","3,445,216,000","3,333,281,000","3,026,693,000","2,799,366,000","2,455,676,000","2,351,133,000","1,825,401,000","1,692,871,000","1,251,290,000","1,187,346,000"
		NetPPE,"26,944,000,000","26,450,000,000","26,437,000,000","25,859,000,000","5,238,000,000","5,177,785,000","4,813,975,000","4,793,181,000","4,662,986,000","4,619,522,000","4,605,774,000","3,782,792,000","3,855,989,000","3,792,742,000","3,876,258,000","3,884,909,000","3,805,886,000","3,795,565,000","3,855,014,000","3,934,551,000","3,907,343,000","3,860,165,000","3,788,550,000","3,697,214,000","3,634,039,000","3,445,462,000","3,238,255,000","3,032,899,000","2,951,509,000","2,670,518,000","2,448,027,000","2,197,399,000","2,095,794,000","1,608,484,000","1,485,005,000","1,089,906,000","1,048,778,000"
			GrossPPE,"31,862,000,000","26,450,000,000","26,437,000,000","25,859,000,000","9,587,000,000","5,177,785,000","4,813,975,000","4,793,181,000","8,379,402,000","4,619,522,000","8,033,103,000","3,782,792,000","7,056,632,000",,,,"6,388,070,000",,,,"5,916,225,000",,,,"5,097,586,000",,,,"3,965,203,000",,,,"2,758,796,000",,,,
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,
				LandAndImprovements,"215,000,000","217,000,000","217,000,000","218,000,000","225,000,000","221,711,000","137,413,000","138,764,000","149,668,000","141,467,000","142,826,000","144,178,000","149,668,000",,,,,,,,,,,,,,,,,,,,,,,,
				BuildingsAndImprovements,"247,000,000",,,,"247,000,000",,,,"247,406,000",,"255,646,000",,"255,646,000",,,,"12,115,000",,,,"12,115,000",,,,"12,115,000",,,,"11,860,000",,,,"11,860,000",,,,
				MachineryFurnitureEquipment,"1,271,000,000",,,,"1,163,000,000",,,,"1,034,761,000",,"1,037,398,000",,"925,994,000",,,,"839,200,000",,,,"743,502,000",,,,"620,020,000",,,,"480,641,000",,,,"349,541,000",,,,
				OtherProperties,"20,875,000,000","26,233,000,000","26,220,000,000","25,641,000,000",,"4,956,074,000","4,676,562,000","4,654,417,000","4,522,878,000","4,478,055,000",,"3,638,614,000","3,710,468,000",,,,,,,,,,,,,,,,,,,,,,,,
				ConstructionInProgress,"840,000,000",,,,"563,000,000",,,,"495,095,000",,"277,867,000",,"161,509,000",,,,"182,205,000",,,,"244,338,000",,,,"274,758,000",,,,"252,221,000",,,,"184,174,000",,,,
				Leases,"8,414,000,000",,,,"7,389,000,000",,,,"6,452,472,000",,"6,319,366,000",,"5,563,815,000",,,,"5,354,550,000",,,,"4,916,270,000",,,,"4,190,693,000",,,,"3,220,481,000",,,,"2,213,221,000",,,,
			AccumulatedDepreciation,"-4,918,000,000",,,,"-4,349,000,000",,,,"-3,716,416,000",,"-3,427,329,000",,"-3,200,643,000",,,,"-2,582,184,000",,,,"-2,008,882,000",,,,"-1,463,547,000",,,,"-1,013,694,000",,,,"-663,002,000",,,,
		GoodwillAndOtherIntangibleAssets,"4,319,000,000","4,316,000,000","4,319,000,000","4,322,000,000","4,464,000,000","4,422,140,000","3,889,017,000","3,899,390,000","3,908,730,000","3,936,960,000","3,943,093,000","510,858,000","514,198,000","663,394,000","658,128,000","770,379,000","253,156,000","174,816,000","177,285,000","177,440,000","169,191,000","166,804,000","167,958,000","168,784,000","166,687,000","162,757,000","161,537,000","163,085,000","165,160,000","160,570,000","163,439,000","110,236,000","112,315,000","99,245,000","97,448,000","52,590,000","38,841,000"
			Goodwill,"2,657,000,000","2,657,000,000","2,657,000,000","2,657,000,000","2,630,000,000","2,572,907,000","2,264,758,000","2,264,759,000","2,264,758,000","2,136,710,000","2,136,710,000","171,504,000","171,504,000","167,505,000","170,280,000","550,363,000","108,344,000","64,654,000","64,654,000","64,654,000","64,654,000","64,842,000","64,842,000","64,842,000","64,842,000","64,180,000","64,180,000","64,180,000","64,180,000","42,689,000","42,689,000","42,536,000","42,536,000","41,373,000","41,373,000","18,452,000","18,452,000"
			OtherIntangibleAssets,"1,662,000,000","1,659,000,000","1,662,000,000","1,665,000,000","1,834,000,000","1,849,233,000","1,624,259,000","1,634,631,000","1,643,972,000","1,800,250,000","1,806,383,000","339,354,000","342,694,000","495,889,000","487,848,000","220,016,000","144,812,000","110,162,000","112,631,000","112,786,000","104,537,000","101,962,000","103,116,000","103,942,000","101,845,000","98,577,000","97,357,000","98,905,000","100,980,000","117,881,000","120,750,000","67,700,000","69,779,000","57,872,000","56,075,000","34,138,000","20,389,000"
		InvestmentsAndAdvances,"1,929,000,000","5,730,000,000","6,130,000,000","5,747,000,000","6,152,000,000","6,750,741,000","5,889,394,000","6,039,743,000","2,361,969,000","1,485,610,000","1,282,714,000","1,135,342,000","1,064,321,000","913,105,000","837,098,000","815,505,000","356,578,000","301,376,000","294,224,000","266,650,000","229,005,000","242,325,000","194,433,000","120,517,000","90,517,000","28,437,000","28,525,000","28,129,000","28,129,000","28,129,000","28,129,000",,,,,,
		NonCurrentAccountsReceivable,,,,,,,,,,,,,,,"47,961,000",,,,,,,,,,,,,,,,,,,,,,
		NonCurrentNoteReceivables,"280,000,000","273,000,000","293,000,000","235,000,000","189,000,000","164,799,000","123,924,000","124,379,000","42,330,000","37,021,000","6,856,000","7,196,000","7,269,000",,,,,,,,,,,,,,,,,,,,,,,,
		DuefromRelatedPartiesNonCurrent,,,,,,,,,,,,,,,"47,961,000",,,,,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredAssets,"548,000,000","488,000,000","500,000,000","497,000,000","505,000,000","405,975,000","399,424,000","401,162,000","325,643,000","236,827,000","241,795,000","172,466,000","176,414,000","111,500,000","116,409,000","120,477,000","120,477,000","83,470,000","83,470,000","83,470,000","83,470,000","67,408,000","67,408,000","67,408,000","67,408,000","54,947,000","54,947,000","54,947,000","54,947,000","40,968,000","40,968,000","40,968,000","40,968,000","28,155,000","28,155,000",,"37,442,000"
			NonCurrentDeferredTaxesAssets,"548,000,000","488,000,000","500,000,000","497,000,000","505,000,000","405,975,000","399,424,000","401,162,000","325,643,000","236,827,000","241,795,000","172,466,000","176,414,000","111,500,000","116,409,000","120,477,000","120,477,000","83,470,000","83,470,000","83,470,000","83,470,000","67,408,000","67,408,000","67,408,000","67,408,000","54,947,000","54,947,000","54,947,000","54,947,000","40,968,000","40,968,000","40,968,000","40,968,000","28,155,000","28,155,000",,"37,442,000"
		OtherNonCurrentAssets,"707,000,000","566,000,000","521,000,000","498,000,000","471,000,000","359,185,000","362,560,000","351,617,000","364,660,000","369,351,000","345,655,000","221,495,000","200,492,000","205,854,000","199,404,000","199,814,000","195,446,000","201,991,000","201,986,000","202,981,000","197,233,000","190,372,000","193,670,000","186,619,000","184,013,000","183,111,000","174,089,000","166,156,000","133,536,000","126,508,000","118,803,000","107,073,000","102,056,000","89,517,000","82,263,000","108,794,000","62,285,000"
TotalLiabilitiesNetMinorityInterest,"45,483,000,000","36,186,000,000","36,552,000,000","36,345,000,000","17,674,000,000","15,988,370,000","14,762,832,000","14,636,519,000","10,953,162,000","9,468,270,000","8,955,759,000","4,361,286,000","4,577,207,000","4,437,816,000","4,585,568,000","4,233,453,000","4,252,773,000","3,720,893,000","3,134,823,000","2,883,581,000","2,964,193,000","2,988,462,000","2,820,219,000","2,547,425,000","2,357,261,000","2,109,361,000","1,963,004,000","1,710,432,000","1,839,622,000","1,552,476,000","1,454,842,000","1,225,041,000","1,269,066,000","932,194,000","853,174,000","712,496,000","625,812,000"
