name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990
DilutedAverageShares,,"11,141,069","11,938,439","12,010,405","12,010,405","12,010,405","10,221,721","9,618,952","10,244,472","10,376,445","10,434,811","10,431,408","10,434,453","10,434,453","10,434,453","10,434,453","10,435,247","10,452,523","10,478,843","10,507,289","10,551,607","10,629,252","10,754,717","11,391,863","11,340,982","10,597,066","9,941,520","9,703,316","9,504,587","9,358,974","9,311,475"
InterestIncomeAfterProvisionForLoanLoss,"1,281,251,000","1,279,928,000","1,180,432,000","1,034,204,000","911,734,000","904,241,000","709,457,000","772,441,000","771,803,000","638,690,000","630,724,000","431,151,000","433,966,000","446,748,000","450,609,000","414,674,000","352,818,000","337,753,000","355,601,000","344,783,000","349,854,000","340,600,000","307,500,000","295,600,000","277,000,000","241,000,000","225,100,000","211,700,000","202,300,000","160,600,000","143,400,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"403,181,000","457,371,000","400,313,000","323,752,000","225,482,000","210,386,000","138,562,000","167,699,000","134,348,000","195,028,000","193,044,000","116,331,000","91,058,000","108,617,000","126,491,000","112,862,000","74,843,000","75,187,000","92,756,000","86,936,000","98,311,000","81,800,000","71,000,000","70,600,000","65,500,000","56,900,000","51,000,000","55,600,000","51,800,000","29,200,000","28,400,000"
NormalizedIncome,"418,397,959.751","470,640,318","384,340,655","248,314,000","225,167,420","192,183,452","147,458,584","167,699,000","134,348,000","100,437,241.011","105,316,267.649","50,304,060.951","91,058,000","108,617,000","126,491,000","112,862,000","74,586,281.791","71,505,060.994","92,756,000","86,746,653.328","95,757,264.562","78,600,766.871","71,000,000","70,600,000","65,500,000","56,900,000","51,000,000","55,600,000","51,800,000","29,200,000","28,400,000"
TotalMoneyMarketInvestments,,,,,,,,,,,,,"8,755,000","32,169,000","30,903,000","19,208,000",,,"8,973,000","28,676,000","26,129,000","16,500,000","6,700,000","142,900,000","123,300,000","90,200,000","3,300,000","93,000,000","2,300,000","5,400,000","5,300,000"
ReconciledDepreciation,"126,590,000","127,689,000","120,429,000","113,646,000","110,585,000","110,611,000","82,436,000","70,841,000","68,941,000","65,170,000","68,964,000","59,664,000","65,695,000","49,789,000","45,297,000","47,528,000","53,124,000","62,011,000","64,977,000","55,997,000","40,656,000","55,300,000","48,700,000","28,300,000","36,800,000","42,400,000","47,300,000","33,800,000","12,700,000","15,300,000","14,300,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"403,181,000","457,371,000","400,313,000","323,752,000","225,482,000","210,386,000","138,562,000","167,699,000","134,348,000","195,028,000","193,044,000","116,331,000","91,058,000","108,617,000","126,491,000","112,862,000","74,843,000","75,187,000","92,756,000","86,936,000","98,311,000","81,800,000","71,000,000","70,600,000","65,500,000","56,900,000","51,000,000","55,600,000","51,800,000","29,200,000","28,400,000"
TotalUnusualItemsExcludingGoodwill,"-19,679,000","-17,166,000","20,091,000","125,730,000","490,000","28,756,000","-13,064,000","0","0","150,417,000","137,952,000","103,923,000",,,,,"426,000","5,710,000",,"300,000","4,085,000","5,100,000",,,,,,,,,
TotalUnusualItems,"-19,679,000","-17,166,000","20,091,000","125,730,000","490,000","28,756,000","-13,064,000","0","0","150,417,000","137,952,000","103,923,000",,,,,"426,000","5,710,000",,"300,000","4,085,000","5,100,000",,,,,,,,,
TaxRateForCalcs,"0.227","0.227","0.205","0.4","0.358","0.367","0.319","0.366","0.308","0.371","0.364","0.365","0.348","0.352","0.354","0.368","0.397","0.355","0.354","0.369","0.375","0.373","0.359","0.359","0.356","0.348","0.345","0.34","0.332","0.324","0.327"
TaxEffectOfUnusualItems,"-4,462,040.249","-3,896,682","4,118,655","50,292,000","175,420","10,553,452","-4,167,416","0","0","55,826,241.011","50,224,267.649","37,896,060.951","0","0","0","0","169,281.791","2,028,060.994","0","110,653.328","1,531,264.562","1,900,766.871","0","0","0","0","0","0","0","0","0"
