name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001
TotalRevenue,"17,983,654,000","17,983,654,000","16,085,094,000","14,608,233,000","14,098,208,000","11,711,569,000","11,213,216,000","11,315,567,000","10,754,435,000","9,941,637,000","9,231,027,000","8,579,519,000","6,838,803,000","5,970,842,000","5,527,333,000","4,953,363,000","4,397,072,000","4,109,884,000","3,767,147,000","3,417,254,915.5"
	OperatingRevenue,"19,080,598,000","19,080,598,000","17,056,279,000","15,374,623,000","14,855,109,000","12,283,541,000","11,823,371,000","11,984,756,000","11,409,310,000","9,941,637,000","9,231,027,000","8,579,519,000","6,838,803,000","6,448,211,000","5,520,439,610","4,951,351,084.5","4,398,168,672","4,093,041,820","3,767,335,260","3,417,254,915.5"
	ExciseTaxes,"1,096,944,000","1,096,944,000","971,185,000","766,390,000","756,901,000","571,972,000","610,155,000","669,189,000","654,875,000",,,,,,,,,,,
CostOfRevenue,"10,137,637,000","10,137,637,000","9,086,456,000","8,778,963,000","9,013,120,000","8,260,763,000","7,635,599,000","6,816,263,000","6,465,398,000","6,030,977,000","5,194,548,000","5,087,254,000","3,318,940,000","2,695,696,000","2,616,764,000","2,390,421,000","2,253,380,000","2,046,834,000","1,814,976,000","1,120,040,290.5"
	FuelAndPurchasePower,"1,140,160,000","1,140,160,000","956,840,000","794,352,000","932,435,000","815,164,000","597,454,000","551,630,000","589,512,000",,,,,,,,,,,
	OtherCostofRevenue,"8,997,477,000","8,997,477,000","8,129,616,000","7,984,611,000","8,080,685,000","7,445,599,000","7,038,145,000","6,264,633,000","5,875,886,000",,,,,,,,,,,
GrossProfit,"7,846,017,000","7,846,017,000","6,998,638,000","5,829,270,000","5,085,088,000","3,450,806,000","3,577,617,000","4,499,304,000","4,289,037,000","3,910,660,000","4,036,479,000","3,492,265,000","3,519,863,000","3,275,146,000","2,910,569,000","2,562,942,000","2,143,692,000","2,063,050,000","1,952,171,000","2,297,214,625"
OperatingExpense,"2,138,095,000","2,138,095,000","1,828,493,000","1,873,362,000","1,660,221,000","409,412,000","1,664,455,000","1,362,924,000","1,443,777,000","1,466,135,000","1,364,316,000","1,371,947,000","2,350,529,000","1,198,742,000","1,106,592,000","873,369,000","816,077,000","551,040,000","611,163,000","2,094,803,272.5"
	SellingGeneralAndAdministration,"1,829,377,000","1,829,377,000","1,532,782,000","1,662,774,000","1,509,983,000","408,468,000","1,516,538,000","1,240,551,000","1,339,424,000","1,443,884,000","1,336,889,000","1,220,444,000","2,010,074,000","1,140,761,000","1,106,592,000","873,369,000","816,077,000","551,040,000","611,163,000","520,391,604.5"
		GeneralAndAdministrativeExpense,"1,025,973,000","1,025,973,000","839,302,000","894,081,000","779,936,000","189,657,000","779,930,000","603,448,000","641,550,000","824,342,000","623,943,000","1,220,444,000","1,631,264,000","501,209,000","387,407,000","335,505,000","313,557,000","253,738,000","226,024,000",
