name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,09/30/2017,06/30/2017,12/31/2016
TotalAssets,"2,899,627,000","2,566,561,000","1,637,162,000","1,233,265,000","1,125,952,000","979,743,000","808,995,000","740,698,000","736,224,000","650,524,000","650,141,000","155,667,000"
	CurrentAssets,"789,047,000","502,172,000","159,624,000","134,198,000","60,003,000","47,563,000","35,883,000","47,461,000","90,889,000","96,725,000","108,878,000","11,905,000"
		CashCashEquivalentsAndShortTermInvestments,"257,739,000","22,704,000","13,539,000","73,004,000","9,040,000","16,418,000","19,248,000","35,805,000","83,177,000","91,327,000","107,579,000","0"
			CashAndCashEquivalents,"257,739,000","22,704,000","13,539,000","73,004,000","9,040,000","16,418,000","19,248,000","35,805,000","83,177,000","91,327,000","107,579,000","0"
		Receivables,"489,299,000","455,390,000","122,836,000","40,719,000","35,528,000","23,138,000","15,878,000","10,699,000","6,755,000","2,422,000","1,299,000","11,905,000"
			AccountsReceivable,"67,082,000","58,303,000","49,498,000","40,719,000","35,528,000","23,138,000","15,878,000","10,699,000","6,755,000","2,422,000","1,299,000","11,905,000"
			OtherReceivables,"422,217,000","397,087,000","73,338,000",,,,,,,,,
		RestrictedCash,"42,009,000","24,078,000","23,249,000","20,475,000","15,435,000","8,007,000","757,000","957,000","957,000","2,976,000",,
	TotalNonCurrentAssets,"2,110,580,000","2,064,389,000","1,477,538,000","1,099,067,000","1,065,949,000","932,180,000","773,112,000","693,237,000","645,335,000","553,799,000","541,263,000","143,762,000"
		NetPPE,"29,382,000","29,659,000","29,935,000","30,211,000","30,486,000",,,,,,,
			GrossPPE,"29,382,000","29,659,000","29,935,000","30,211,000","30,486,000",,,,,,,
				OtherProperties,"29,382,000","29,659,000","29,935,000","30,211,000","30,486,000",,,,,,,
		GoodwillAndOtherIntangibleAssets,"241,171,000","242,837,000","244,503,000","235,457,000","236,919,000","262,531,000","221,090,000","197,665,000","183,606,000","140,069,000","131,696,000","135,000"
			OtherIntangibleAssets,"241,171,000","242,837,000","244,503,000","235,457,000","236,919,000","262,531,000","221,090,000","197,665,000","183,606,000","140,069,000","131,696,000","135,000"
		InvestmentProperties,"670,109,000","671,616,000","673,123,000","663,232,000","661,098,000","659,666,000","526,562,000","477,203,000","450,722,000","410,393,000","405,593,000","104,478,000"
		InvestmentsAndAdvances,"1,157,103,000","1,112,122,000","486,699,000","159,847,000","128,538,000",,,,,,,
			LongTermEquityInvestment,"128,123,000","127,524,000","21,410,000",,,,,,,,,
			OtherInvestments,"1,028,980,000","984,598,000","465,289,000","159,847,000","128,538,000",,,,,,,
		FinancialAssets,"0","7,000","312,000","32,000","961,000","2,991,000","9,127,000","6,395,000","4,363,000",,,
		NonCurrentAccountsReceivable,,,,,"3,590,000",,,,,,,
		NonCurrentDeferredAssets,"4,745,000","5,141,000","2,134,000","2,122,000","2,774,000","2,776,000","3,197,000","2,487,000","2,459,000","2,656,000","2,840,000","33,308,000"
		NonCurrentPrepaidAssets,"400,000","1,575,000","32,497,000","5,000,000","500,000","1,800,000","11,900,000","8,000,000","3,710,000",,,
		OtherNonCurrentAssets,"7,670,000","1,432,000","8,335,000","3,166,000","4,673,000","2,416,000","1,236,000","1,487,000","475,000","681,000","1,134,000","5,841,000"
TotalLiabilitiesNetMinorityInterest,"1,668,389,000","1,473,263,000","792,036,000","640,201,000","524,542,000","622,385,000","438,398,000","372,326,000","372,567,000","292,293,000","291,619,000","1,576,000"
	CurrentLiabilities,"21,266,000","18,509,000","13,911,000","9,990,000","9,137,000","8,920,000","7,581,000","5,930,000","6,016,000","5,433,000","5,146,000","1,576,000"
		PayablesAndAccruedExpenses,"21,266,000","18,509,000","13,911,000","9,990,000","9,137,000","8,920,000","7,581,000","5,930,000","6,016,000","5,433,000","5,146,000","1,576,000"
			Payables,"10,843,000","9,962,000","8,242,000","6,373,000","6,139,000","3,661,000","3,654,000","2,979,000","4,075,000","4,415,000","3,743,000",
				AccountsPayable,,,,,,"0","0","244,000","1,347,000","1,567,000","3,743,000",
				DividendsPayable,"7,985,000","7,472,000","6,322,000","4,834,000","4,627,000","2,741,000","2,735,000","2,735,000","2,728,000","2,848,000",,
				OtherPayable,"2,858,000","2,490,000","1,920,000","1,539,000","1,512,000","920,000","919,000",,,,,
			CurrentAccruedExpenses,"10,423,000","8,547,000","5,669,000","3,617,000","2,998,000","5,259,000","3,927,000","2,951,000","1,941,000","1,018,000","1,403,000",
				InterestPayable,"8,736,000","5,801,000","3,260,000","1,750,000","1,524,000","1,663,000","1,162,000","1,069,000","993,000","574,000",,
	TotalNonCurrentLiabilitiesNetMinorityInterest,"1,647,123,000","1,454,754,000","778,125,000","630,211,000","515,405,000","613,465,000","430,817,000","366,396,000","366,551,000","286,860,000","286,473,000","0"
		LongTermDebtAndCapitalLeaseObligation,"1,548,218,000","1,378,774,000","697,448,000","550,854,000","442,637,000","543,965,000","371,375,000","307,276,000","307,178,000","227,396,000","227,406,000",
			LongTermDebt,"1,542,396,000","1,372,922,000","691,567,000","544,945,000","436,699,000","543,965,000","371,375,000","307,276,000","307,178,000","227,396,000","227,406,000",
			LongTermCapitalLeaseObligation,"5,822,000","5,852,000","5,881,000","5,909,000","5,938,000",,,,,,,
		DerivativeProductLiabilities,"36,605,000","13,672,000","20,096,000","19,348,000","13,311,000","10,092,000","107,000","266,000","531,000",,,
		OtherNonCurrentLiabilities,"62,300,000","62,308,000","60,581,000","60,009,000","59,457,000","59,408,000","59,335,000","58,854,000","58,842,000","59,464,000","59,067,000",
TotalEquityGrossMinorityInterest,"1,231,238,000","1,093,298,000","845,126,000","593,064,000","601,410,000","357,358,000","370,597,000","368,372,000","363,657,000","358,231,000","358,522,000","154,091,000"
	StockholdersEquity,"1,229,610,000","1,091,812,000","843,768,000","591,835,000","356,864,000","355,351,000","368,732,000","366,567,000","361,884,000","358,231,000","358,522,000","154,091,000"
		CapitalStock,"510,000","478,000","404,000","309,000","183,000","183,000","182,000","182,000","182,000","182,000","182,000",
			CommonStock,"510,000","478,000","404,000","309,000","183,000","183,000","182,000","182,000","182,000","182,000","182,000",
		AdditionalPaidInCapital,"1,283,643,000","1,132,603,000","888,457,000","626,793,000","372,093,000","370,530,000","369,625,000","369,612,000","366,227,000","363,465,000","360,070,000",
		RetainedEarnings,"7,236,000","-2,146,000","-5,809,000","-4,926,000","-4,619,000","-8,486,000","-10,053,000","-9,328,000","-8,295,000","-5,173,000","-1,604,000",
		GainsLossesNotAffectingRetainedEarnings,"-61,779,000","-39,123,000","-39,284,000","-30,341,000","-10,793,000","-6,876,000","8,978,000","6,101,000","3,770,000","-243,000","-126,000",
		OtherEquityInterest,,,,,,,,,,,,"154,091,000"
	MinorityInterest,"1,628,000","1,486,000","1,358,000","1,229,000","244,546,000","2,007,000","1,865,000","1,805,000","1,773,000",,,
TotalCapitalization,"2,772,006,000","2,464,734,000","1,535,335,000","1,136,780,000","793,563,000","899,316,000","740,107,000","673,843,000","669,062,000","585,627,000","585,928,000","154,091,000"
CommonStockEquity,"1,229,610,000","1,091,812,000","843,768,000","591,835,000","356,864,000","355,351,000","368,732,000","366,567,000","361,884,000","358,231,000","358,522,000","154,091,000"
CapitalLeaseObligations,"5,822,000","5,852,000","5,881,000","5,909,000","5,938,000",,,,,,,
NetTangibleAssets,"988,439,000","848,975,000","599,265,000","356,378,000","119,945,000","92,820,000","147,642,000","168,902,000","178,278,000","218,162,000","226,826,000","153,956,000"
WorkingCapital,"767,781,000","483,663,000","145,713,000","124,208,000","50,866,000","38,643,000","28,302,000","41,531,000","84,873,000","91,292,000","103,732,000","10,329,000"
InvestedCapital,"2,772,006,000","2,464,734,000","1,535,335,000","1,136,780,000","793,563,000","899,316,000","740,107,000","673,843,000","669,062,000","585,627,000","585,928,000","154,091,000"
