name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011
MarketCap,"34,619,442,006","50,025,644,136","42,673,307,640","31,099,971,600","27,734,235,514","26,966,698,281","30,858,873,081","20,973,506,840","13,371,350,034","9,617,357,319"
EnterpriseValue,"70,246,442,006","85,151,644,136","75,202,307,640","63,334,971,600","58,498,235,514","56,130,698,281","58,813,873,081","48,866,506,840","41,596,350,034","35,854,357,319"
PeRatio,"11.666","14.796","13.89","12.531","11.712","14.149","18.77","15.292","8.645","13.036"
ForwardPeRatio,"16.026","12.92","12.285","11.82","10.526","11.806","14.535","11.891","7.424","6.325"
PegRatio,"1.643","1.319","0.829","1.017","0.881","1.005","1.152","1.397","0.86","0.492"
PsRatio,"0.688","1.032","0.969","0.777","0.727","0.751","0.923","0.653","0.42","0.339"
EnterprisesValueRevenueRatio,"1.359","1.659","1.611","1.452","1.41","1.415","1.593","1.43","1.26","1.103"
EnterprisesValueEBITDARatio,"7.774","8.811","8.028","7.722","6.896","7.458","8.349","7.464","6.529","5.076"
