name,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,03/31/2011,03/31/2010,03/31/2009,03/31/2008,03/31/2007,03/31/2006,03/31/2005
TotalAssets,"1,012,329,000","785,630,000","759,563,000","704,123,000","525,451,000","530,301,000","538,425,000","534,893,000","525,021,000","528,419,000","549,890,000","551,926,000","346,505,000","275,881,000","134,803,000","97,979,000"
	CurrentAssets,"428,834,000","335,411,000","400,549,000","363,054,000","322,458,000","315,080,000","253,860,000","203,806,000","225,623,000","184,765,000","176,937,000","163,541,000","182,078,000","183,422,000","57,395,000","43,994,000"
		CashCashEquivalentsAndShortTermInvestments,"222,570,000","153,357,000","220,789,000","181,795,000","174,843,000","165,990,000","117,508,000","74,351,000","73,109,000","27,102,000","43,728,000","53,235,000","110,772,000","124,340,000","18,549,000","9,099,000"
			CashAndCashEquivalents,"96,929,000","85,444,000","99,829,000","69,803,000","41,854,000","32,448,000","33,691,000","27,878,000","46,725,000","27,090,000","32,311,000","38,931,000","102,698,000","112,340,000","18,549,000","9,099,000"
				CashFinancial,"57,523,000","43,933,000","47,738,000","46,110,000","25,194,000","24,976,000","25,546,000","21,323,000",,,,,,,,
				CashEquivalents,"39,406,000","41,511,000","52,091,000","23,693,000","16,660,000","7,472,000","8,145,000","6,555,000",,,,,,,,
			OtherShortTermInvestments,"125,641,000","67,913,000","120,960,000","111,992,000","132,989,000","133,542,000","83,817,000","46,473,000","26,384,000","12,000","11,417,000","14,304,000","8,074,000","12,000,000",,
		Receivables,"162,463,000","146,983,000","140,777,000","118,582,000","106,419,000","102,517,000","103,807,000","95,746,000","102,299,000","110,655,000","46,347,000","62,066,000","49,067,000","41,881,000","29,003,000","26,014,000"
			AccountsReceivable,"89,772,000","73,872,000","71,388,000","60,423,000","54,911,000","55,768,000","61,983,000","64,438,000","66,421,000","78,030,000","44,821,000","61,321,000","47,888,000","40,592,000","28,081,000","25,235,000"
				GrossAccountsReceivable,"91,362,000","75,054,000","71,952,000","62,136,000","59,357,000","61,104,000","66,982,000","69,583,000",,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-1,590,000","-1,182,000","-564,000","-1,713,000","-4,446,000","-5,336,000","-4,999,000","-5,145,000",,,,,,,,
			TaxesReceivable,"5,953,000","1,117,000","6,569,000","8,029,000","5,871,000","5,971,000","5,710,000","4,588,000",,,,,,,,
			DuefromRelatedPartiesCurrent,,,,,,,,,,"556,000",,,,,,
			OtherReceivables,"66,738,000","71,994,000","62,820,000","50,130,000","45,637,000","40,778,000","36,114,000","26,720,000","35,878,000","32,069,000","1,526,000","745,000","1,179,000","1,289,000","922,000","779,000"
		PrepaidAssets,"8,890,000","9,529,000","10,871,000","10,906,000","8,293,000","5,745,000","5,724,000","4,211,000","21,925,000","10,809,000","7,703,000","7,850,000","6,552,000","5,387,000","3,713,000","3,691,000"
		RestrictedCash,"15,833,000","8,598,000","11,601,000","10,746,000","11,895,000","12,737,000","15,936,000","19,877,000",,,,,,,,
		CurrentDeferredAssets,,"0","571,000","423,000","191,000","132,000","702,000","498,000","3,860,000","3,078,000","42,851,000","1,743,000","618,000","701,000","353,000","432,000"
			CurrentDeferredTaxesAssets,,,,,,,,,"3,860,000","3,078,000","1,959,000","1,743,000","618,000","701,000","353,000","432,000"
		HedgingAssetsCurrent,"13,198,000","13,394,000","11,738,000","35,401,000","13,890,000","24,152,000","6,792,000","7,589,000","3,724,000",,,,,,,
		OtherCurrentAssets,"5,880,000","3,550,000","4,202,000","5,201,000","6,927,000","3,807,000","3,391,000","1,534,000","20,706,000","33,121,000","36,308,000","38,647,000","15,069,000","11,113,000","5,777,000","4,758,000"
	TotalNonCurrentAssets,"583,495,000","450,219,000","359,014,000","341,069,000","202,993,000","215,221,000","284,565,000","331,087,000","299,398,000","343,654,000","372,953,000","388,385,000","164,427,000","92,459,000","77,408,000","53,985,000"
		NetPPE,"216,082,000","60,998,000","60,606,000","54,796,000","50,417,000","48,230,000","45,165,000","48,440,000","45,418,000","48,592,000","51,700,000","55,992,000","50,840,000","41,830,000","30,623,000","24,670,000"
			GrossPPE,"421,530,000","236,129,000","232,881,000","211,855,000","197,442,000","189,532,000","188,650,000","187,749,000","184,839,000","188,234,000","171,505,000","146,141,000","116,305,000","87,340,000","59,679,000","47,661,000"
				Properties,"183,839,000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
				BuildingsAndImprovements,"9,602,000","9,963,000","10,223,000","10,246,000","10,150,000","10,405,000","10,623,000","11,132,000","11,495,000","12,673,000","12,424,000","11,048,000","24,349,000","17,884,000","9,857,000","8,564,000"
				MachineryFurnitureEquipment,"154,210,000","151,150,000","151,126,000","139,335,000","130,522,000","126,611,000","125,279,000","122,619,000","122,177,000","125,526,000","53,568,000","46,138,000","87,510,000","68,680,000","47,948,000","38,484,000"
				OtherProperties,"216,100,000",,,,,,,,,,"59,828,000","49,010,000",,,,
				ConstructionInProgress,"2,951,000","3,315,000","2,366,000","1,282,000","4,181,000","3,158,000","5,574,000","6,113,000","3,243,000","5,592,000","5,492,000","8,181,000","4,446,000","776,000","1,874,000","613,000"
				Leases,"70,928,000","71,701,000","69,166,000","60,992,000","52,589,000","49,358,000","47,174,000","47,885,000","47,924,000","44,443,000","40,193,000","31,764,000",,,,
			AccumulatedDepreciation,"-205,448,000","-175,131,000","-172,275,000","-157,059,000","-147,025,000","-141,302,000","-143,485,000","-139,309,000","-139,421,000","-139,642,000","-119,805,000","-90,149,000","-65,465,000","-45,510,000","-29,056,000","-22,991,000"
		GoodwillAndOtherIntangibleAssets,"191,404,000","210,999,000","224,838,000","230,632,000","103,359,000","122,332,000","152,876,000","179,236,000","201,836,000","250,623,000","278,741,000","299,051,000","96,863,000","44,447,000","42,487,000","26,701,000"
			Goodwill,"121,304,000","130,811,000","135,186,000","134,008,000","76,242,000","79,058,000","85,654,000","87,132,000","86,695,000","94,036,000","90,662,000","81,679,000","87,470,000","37,356,000","33,774,000","26,550,000"
			OtherIntangibleAssets,"70,100,000","80,188,000","89,652,000","96,624,000","27,117,000","43,274,000","67,222,000","92,104,000","115,141,000","156,587,000","188,079,000","217,372,000","9,393,000","7,091,000","8,713,000","151,000"
		InvestmentsAndAdvances,"80,135,000","82,487,000","542,000","429,000",,"0","28,674,000","43,218,000","2,000","2,000","7,086,000",,,,,
		FinancialAssets,"2,095,000","5,687,000","3,245,000","6,581,000","4,847,000","5,715,000","4,131,000","3,756,000","1,550,000",,,,,,,
