name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2005,09/30/2004,09/30/2003,09/30/2002,09/30/2001,09/30/2000,09/30/1999,09/30/1998,09/30/1997
EBIT,"158,273,000","281,912,000","397,190,000","394,253,000","364,742,000",,"248,231,000","368,908,000","334,930,000","151,766,000","229,234,000","198,381,000","91,367,000","191,934,000","183,777,000","135,456,474.118","102,663,060.25","69,429,438.863","87,778,991.547","65,994,925.806","19,166,689.918","48,807,135.916","28,576,853.201","16,840,961.022","8,697,636.456"
EBITDA,"305,287,000"
ReconciledCostOfRevenue,"2,008,802,000","2,119,440,000","2,102,612,000","1,949,597,000","1,865,367,000",,"1,830,135,000","1,701,311,000","1,550,266,000","1,552,128,000","1,288,293,000","947,206,000","807,986,000","847,392,000","651,787,000","521,605,119.112","450,101,152.539","378,315,043.729","325,619,893.209","272,200,913.015","252,737,311.351","218,444,669.196","167,864,028.219","107,962,592.204","67,581,635.298"
ReconciledDepreciation,"147,014,000","156,794,000","158,076,000","162,150,000","140,597,000",,"116,631,000","95,618,000","95,278,000","94,573,000","79,808,000","69,197,000","62,970,000","58,932,000","42,270,000","32,414,700.878","25,588,345.59","22,252,126.959","17,464,301.086","11,084,645.096","10,278,097.02","6,243,485.756","4,696,196.222","2,706,583.033","1,699,538.15"
NetIncomeFromContinuingOperationNetMinorityInterest,"137,786,000","259,809,000","350,774,000","362,334,000","346,638,000",,"237,300,000","359,552,000","320,178,000","148,464,000","239,904,000","198,245,000","95,329,000","144,592,000","130,020,000","106,933,578.721","85,953,466.649","60,190,665.958","57,146,615.44","41,896,310.765","517,412.175","36,345,272.897","16,486,645.92","8,620,968.228","4,098,885.913"
TotalUnusualItemsExcludingGoodwill,"-163,123,000","-74,052,000","-32,745,000","-21,618,000","-12,180,000",,"-18,183,000","-461,000","-12,916,000","-15,245,000","-8,878,000","-7,628,000","-4,071,000","-5,489,000","-28,012,000","-20,405,956.475","-10,714,838.515",,,,,"-1,560,623.669","-399,676.549","-501,219.129",
TotalUnusualItems,"-163,123,000","-74,052,000","-32,745,000","-21,618,000","-12,180,000",,"-18,183,000","-461,000","-12,916,000","-15,245,000","-8,878,000","-7,628,000","-4,071,000","-5,489,000","-28,012,000","-20,405,956.475","-10,714,838.515",,,,,"-1,560,623.669","-399,676.549","-501,219.129",
NormalizedEBITDA,"468,410,000","512,758,000","588,011,000","578,021,000","517,519,000",,"383,045,000","464,987,000","443,124,000","261,584,000","317,920,000","275,206,000","158,408,000","256,355,000","254,059,000","188,277,131.471","138,966,244.356","91,681,565.823","105,243,292.633","77,079,570.902","29,444,786.937","56,611,245.341","33,672,725.973","20,048,763.184","10,397,174.605"
TaxRateForCalcs,"0.4","0.265","0.058","0.038","0.015",,"0.016","0.019","0.032","0.03","0.255","0.28","0.29","0.192","0.38","0.043","0.015","0.049","0.097","0.099","0.4","0.101","0.229","0.338","0.369"
TaxEffectOfUnusualItems,"-65,249,200","-19,623,780","-1,899,210","-821,484","-182,700",,"-290,928","-8,759","-413,312","-457,350","-2,263,890","-2,135,840","-1,180,590","-1,054,916.421","-10,644,560","-874,298.033","-165,758.458","0","0","0","0","-157,860.258","-91,514.723","-169,643.394","0"
