name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,04/30/2002,04/30/2001,04/30/2000,04/30/1999,04/30/1998,04/30/1997
TotalRevenue,"5,188,529,000","5,178,864,000","5,123,208,000","4,741,019,000","4,025,208,000","4,029,889,000","3,714,669,000","3,109,646,000","3,140,256,000","2,690,532,000","2,002,118,000","1,846,526,000","2,261,929,000","1,940,149,000","1,794,847,000","1,516,108,000","1,120,236,000","753,674,000","444,684,000","445,478,000","450,013,000","278,200,000","188,500,000","142,000,000","116,600,000"
	OperatingRevenue,"5,188,529,000","5,178,864,000","5,123,208,000","4,741,019,000","4,025,208,000","4,029,889,000","3,714,669,000","3,109,646,000","3,140,256,000","2,690,532,000","2,002,118,000","1,846,526,000","2,261,929,000","1,940,149,000","1,794,847,000","1,516,108,000","1,120,236,000","753,674,000","444,684,000","445,478,000","450,013,000","278,200,000","188,500,000","142,000,000","116,600,000"
CostOfRevenue,"4,524,545,000","4,522,291,000","4,428,564,000","4,231,462,000","3,543,711,000","3,540,655,000","3,230,215,000","2,720,192,000","2,712,129,000","2,209,746,000","1,409,671,000","1,308,830,000","1,629,234,000","1,388,508,000","1,277,084,000","1,127,408,000","806,947,000","524,960,000","299,828,000","294,609,000","364,956,000","224,800,000","154,500,000","122,800,000","108,700,000"
	MaintenanceAndRepairs,,,,,,,,,,"1,445,396,000",,,,,,,,,,,,,,,
	DDACostofRevenue,"397,858,000","392,292,000","260,593,000","270,757,000","193,086,000","176,226,000","152,874,000","135,896,000","147,631,000",,,,,,,"68,521,000","44,635,000",,,,,,,,
	OtherCostofRevenue,"4,126,687,000","4,129,999,000","4,167,971,000","3,960,705,000","3,350,625,000","3,364,429,000","3,077,341,000","2,584,296,000","2,564,498,000","764,350,000",,,,,,"1,058,887,000","762,312,000",,,,,,,,
GrossProfit,"663,984,000","656,573,000","694,644,000","509,557,000","481,497,000","489,234,000","484,454,000","389,454,000","428,127,000","480,786,000","592,447,000","537,696,000","632,695,000","551,641,000","517,763,000","388,700,000","313,289,000","228,714,000","144,856,000","150,869,000","85,057,000","53,400,000","34,000,000","19,200,000","7,900,000"
OperatingExpense,"206,824,000","207,057,000","279,857,000","411,580,000","243,713,000","240,234,000","230,697,000","196,316,000","189,783,000","294,436,000","458,926,000","433,754,000","475,738,000","1,860,812,000","1,643,282,000","252,024,000","215,052,000","697,016,000","83,282,000","83,581,000","49,573,000","31,400,000","21,100,000","13,200,000","6,800,000"
	SellingGeneralAndAdministration,,,,,,,,,,"168,340,000","332,267,000","311,152,000","352,732,000","308,636,000","276,094,000","252,024,000","215,052,000","138,502,000","83,282,000","83,581,000","19,113,000","11,000,000","7,300,000","5,000,000",
		GeneralAndAdministrativeExpense,,,,,,,,,,,,"311,152,000","352,732,000",,,"252,024,000","215,052,000",,,,,,,,
			SalariesAndWages,,,,,,,,,,,,"900,000","8,885,000",,,,,,,,,,,,
			OtherGandA,,,,,,,,,,,,"310,252,000","343,847,000",,,"252,024,000","215,052,000",,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,"260,593,000","142,981,000","193,086,000","176,226,000","152,874,000","135,896,000","147,631,000","132,593,000","126,659,000","122,602,000","123,006,000","107,668,000","90,104,000","68,521,000","44,635,000","33,554,000","20,120,000","23,994,000","30,460,000","20,400,000","13,800,000","8,200,000","6,800,000"
		DepreciationAndAmortizationInIncomeStatement,,,"260,593,000","142,981,000","193,086,000","176,226,000","152,874,000","135,896,000","147,631,000","132,593,000","126,659,000","122,602,000","123,006,000","107,668,000","90,104,000","68,521,000","44,635,000","33,554,000","20,120,000","23,994,000","30,460,000","20,400,000","13,800,000","8,200,000","6,800,000"
			DepreciationIncomeStatement,,,"198,492,000","209,557,000","139,439,000","129,096,000","112,957,000","98,043,000","103,410,000","97,550,000","99,089,000","102,557,000","106,307,000","96,593,000","82,884,000","65,619,000","43,987,000","33,554,000","20,120,000","23,994,000","30,460,000","20,400,000","13,800,000","8,200,000","6,800,000"
			Amortization,,,"62,101,000","142,981,000","53,647,000","47,130,000","39,917,000","37,853,000","44,221,000","35,043,000","27,570,000","20,045,000","16,699,000","11,075,000","7,220,000","2,902,000","648,000",,,,,,,,
				AmortizationOfIntangiblesIncomeStatement,,,"62,101,000","142,981,000","53,647,000","47,130,000","39,917,000","37,853,000","44,221,000","35,043,000","27,570,000","20,045,000","16,699,000","11,075,000","7,220,000","2,902,000","648,000",,,,,,,,
	OtherOperatingExpenses,"206,824,000","207,057,000","279,857,000","268,599,000","243,713,000","240,234,000","230,697,000","196,316,000","189,783,000","-6,497,000",,,,"1,444,508,000","1,277,084,000",,,"524,960,000","-20,120,000","-23,994,000",,,,,
OperatingIncome,"457,160,000","449,516,000","414,787,000","97,977,000","237,784,000","249,000,000","253,757,000","193,138,000","238,344,000","186,350,000","133,521,000","103,942,000","156,957,000","-1,309,171,000","-1,125,519,000","136,676,000","98,237,000","-468,302,000","61,574,000","67,288,000","35,484,000","22,000,000","12,900,000","6,000,000","1,100,000"
NetNonOperatingInterestIncomeExpense,"-82,197,000","-81,870,000","-60,222,000","-60,196,000","-48,998,000","-64,711,000","-64,403,000","-50,192,000","-54,414,000","-50,271,000","-37,630,000","-34,996,000","-46,597,000",,,"-15,333,000","-10,879,000",,,,,,,,
	InterestIncomeNonOperating,"2,897,000","3,001,000","2,807,000","2,638,000","2,374,000",,,,,"3,468,000",,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"77,786,000","76,841,000","54,609,000","56,758,000","41,201,000","60,036,000","45,413,000","41,856,000","46,951,000","53,739,000","37,630,000","34,996,000","46,597,000",,,"15,333,000","10,879,000",,,,,,,,
