name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003
TotalOperatingIncomeAsReported,"568,100,000","108,400,000","143,600,000","153,100,000","163,000,000","148,200,000","187,300,000","191,800,000","155,800,000","149,100,000","119,300,000","204,900,000","143,800,000","158,200,000","151,500,000","-19,900,000","168,300,000","142,600,000","161,600,000","143,800,000","135,600,000","161,967,000","27,642,000","196,288,000","127,603,000","181,859,000","192,140,000","192,357,000","168,921,000","159,793,000","160,843,000","186,706,000","154,105,000","134,349,000","151,347,000","153,174,000","123,400,000","106,243,000","100,955,000","116,355,000","63,959,000","84,085,000","77,834,000","71,819,000","62,293,000","60,868,000","88,495,000","93,238,000","89,651,000","85,661,000","78,296,000","78,073,000","71,128,000","63,264,000","64,487,000","65,115,000","64,080,000","54,244,000","61,313,000","52,388,000","51,126,000","27,699,000","36,098,000","38,184,000","36,738,000","12,228,000","15,344,000","40,272,000","39,192,000"
TotalExpenses,"4,309,000,000","1,111,900,000","1,100,900,000","1,087,000,000","1,009,200,000","1,038,400,000","1,055,500,000","1,093,700,000","1,021,100,000","944,200,000","966,100,000","942,000,000","958,300,000","886,800,000","970,500,000","1,221,700,000","951,300,000","955,800,000","941,300,000","1,018,500,000","969,800,000","971,620,000","1,228,522,000","1,109,912,000","1,135,046,000","1,087,020,000","1,021,403,000","1,026,882,000","954,726,000","1,882,502,000","525,797,000","510,047,000","492,537,000","457,111,000","453,029,000","437,248,000","407,319,000","-268,135,000","587,476,000","572,451,000","554,674,000","546,786,000","522,384,000","499,986,000","459,390,000","452,009,000","513,704,000","546,462,000","514,786,000","492,436,000","451,247,000","452,027,000","436,971,000","424,121,000","411,887,000","400,872,000","391,708,000","354,782,000","339,684,000","332,279,000","320,934,000","313,943,000","283,711,000","285,976,000","287,314,000","287,897,000","275,047,000","248,606,000","240,847,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"311,000,000","56,700,000","81,500,000","76,500,000","96,300,000","48,900,000","71,200,000","94,400,000","82,100,000","-63,400,000","54,500,000","137,600,000","85,200,000","99,400,000","87,700,000","-22,900,000","95,800,000","84,500,000","93,600,000","82,800,000","78,200,000","103,292,000","11,248,000","119,532,000","74,628,000","123,540,000","141,950,000","143,162,000","118,856,000","117,881,000","117,779,000","133,368,000","108,162,000","105,357,000","108,022,000","111,180,000","87,568,000","80,990,000","75,739,000","81,933,000","51,871,000","55,656,000","57,895,000","48,253,000","41,542,000","33,659,000","58,084,000","67,080,000","62,367,000","53,833,000","48,330,000","48,109,000","41,180,000","41,650,000","26,467,000","36,326,000","38,696,000","29,953,000","27,137,000","22,774,000","13,276,000","-37,405,000","11,490,000","12,088,000","-484,000","1,063,000","1,699,000","17,214,000","16,871,000"
NormalizedIncome,"311,000,000","56,700,000","81,500,000","76,500,000","96,300,000","48,900,000","71,200,000","94,400,000","82,100,000","-63,400,000","54,500,000","137,600,000","85,200,000","99,400,000","87,700,000","-22,900,000","95,800,000","84,500,000","93,600,000","82,800,000","78,200,000","103,292,000","11,248,000","119,532,000","74,628,000","123,540,000","141,950,000","143,162,000","118,856,000","117,881,000","365,057,469.475","376,916,452.639","333,033,044.352","332,915,729.26","316,081,062.291","322,294,921.71","279,291,243.805","80,990,000","75,739,000","81,933,000","51,871,000","55,656,000","57,895,000","48,253,000","41,542,000","33,659,000","58,084,000","67,080,000","62,367,000","53,833,000","48,330,000","48,109,000","41,180,000","41,650,000","26,467,000","36,326,000","38,696,000","29,953,000","27,137,000","22,774,000","13,276,000","-37,405,000","11,490,000","12,088,000","-484,000","1,063,000","1,699,000","17,214,000","16,871,000"
InterestIncome,"20,600,000","3,100,000","5,100,000","6,100,000",,"5,800,000","4,100,000","4,800,000","4,700,000","3,600,000","4,600,000","4,000,000","2,300,000","1,400,000","1,900,000","1,500,000","1,100,000","1,200,000","1,400,000","1,100,000","1,900,000","2,700,000","4,100,000","2,800,000","2,800,000","2,592,000","2,000,000",,"1,427,000","1,895,000","1,500,000","1,300,000",,"1,673,000","2,800,000","2,245,000","3,300,000","847,000","500,000","400,000","2,453,000",,"600,000","1,600,000","1,600,000",,,,,,,,,,,,,,,,,,,,,,,,
InterestExpense,"153,000,000","31,500,000","36,700,000","42,400,000","36,100,000","43,300,000","44,000,000","49,100,000","44,600,000","43,400,000","43,000,000","41,900,000","32,500,000","24,700,000","24,000,000","24,600,000","26,000,000","26,800,000","25,500,000","24,800,000","23,400,000","25,700,000","24,000,000","24,200,000","17,800,000","5,452,000","6,700,000","5,559,000","6,800,000","4,348,000","5,046,000","4,500,000","1,373,000","316,000","3,145,000","3,100,000","5,948,000","1,973,000","2,692,000","2,500,000","2,400,000","-2,697,000","1,600,000","2,900,000","3,312,000",,,,,,,,,,,,,,,,,,,,,,,,
NetInterestIncome,"-132,400,000","-28,400,000","-31,600,000","-36,300,000","-36,100,000","-37,500,000","-39,900,000","-44,300,000","-39,900,000","-39,800,000","-38,400,000","-37,900,000","-30,200,000","-23,300,000","-22,100,000","-23,100,000","-24,900,000","-25,600,000","-24,100,000","-23,700,000","-21,500,000","-23,000,000","-19,900,000","-21,400,000","-15,000,000","-2,860,000","-4,700,000","-5,559,000","-5,373,000","-2,453,000","-3,546,000","-3,200,000","-1,373,000","1,357,000","-345,000","-855,000","-2,648,000","-1,126,000","-2,192,000","-2,100,000","53,000","-1,003,000","-1,000,000","-1,300,000","-1,712,000",,,,,,,,,,,,,,,,,,,,,,,,
EBIT,"604,400,000","111,500,000","150,000,000","165,100,000","171,500,000","156,700,000","160,500,000","191,900,000","136,100,000","153,100,000","123,900,000","208,900,000","146,100,000","159,600,000","153,400,000","-18,400,000","169,400,000","143,800,000","163,000,000","144,900,000","135,200,000","164,690,000","21,947,000","199,082,000","127,281,000","184,409,000","194,114,000","192,357,000","170,348,000","161,688,000","162,343,000","188,037,000","154,105,000","136,022,000","154,147,000","155,419,000","126,700,000","107,090,000","101,455,000","116,709,000","64,406,000","80,372,000","78,397,000","73,381,000","63,893,000","60,868,000","88,495,000","93,238,000","89,651,000","85,661,000","78,296,000","78,073,000","71,128,000","63,264,000","64,487,000","65,115,000","64,080,000","54,244,000","61,313,000","52,388,000","51,126,000","27,699,000","36,098,000","38,184,000","36,738,000","12,228,000","15,344,000","40,272,000","39,192,000"
EBITDA,"702,100,000"
ReconciledCostOfRevenue,"958,000,000","229,800,000","243,400,000","243,200,000","241,600,000","225,900,000","218,100,000","235,400,000","239,900,000","209,800,000","215,400,000","218,800,000","204,600,000","196,100,000","209,100,000","236,300,000","213,100,000","204,400,000","206,900,000","229,300,000","215,400,000","219,573,000","254,941,000","257,221,000","251,165,000","251,807,000","238,415,000","247,224,000","225,977,000","211,105,000","201,597,000","203,737,000","196,144,000","170,960,000","175,308,000","171,023,000","162,793,000","148,513,000","133,265,000","136,561,000","140,472,000","136,515,000","131,777,000","122,442,000","102,400,000","96,061,000","116,620,000","128,049,000","117,666,000","113,851,000","105,886,000","111,361,000","107,283,000","99,173,000","97,159,000","92,640,000","91,366,000","83,154,000","79,482,000","77,373,000","75,737,000","71,089,000","68,961,000","66,245,000","63,618,000","61,436,000","58,987,000","58,401,000","56,961,000"
ReconciledDepreciation,"97,700,000","24,300,000","24,400,000","24,600,000","24,400,000","24,400,000","25,200,000","25,200,000","25,600,000","26,000,000","25,200,000","24,100,000","24,500,000","25,700,000","24,700,000","24,000,000","23,900,000","25,400,000","24,600,000","25,100,000","22,900,000","24,009,000","24,415,000","23,493,000","21,283,000","21,532,000","20,897,000","21,346,000","20,964,000","18,982,000","18,789,000","18,023,000","18,590,000","17,413,000","17,783,000","18,095,000","18,562,000","16,866,000","17,352,000","17,141,000","17,262,000","16,791,000","15,960,000","14,865,000","14,821,000","13,584,000","12,666,000","11,993,000","10,489,000","9,375,000","8,884,000","8,852,000","8,339,000","7,723,000","7,758,000","7,504,000","7,350,000","7,986,000","7,769,000","10,613,000","10,465,000","11,252,000",,,,,,,
NetIncomeFromContinuingOperationNetMinorityInterest,"311,000,000","56,700,000","81,500,000","76,500,000","96,300,000","48,900,000","71,200,000","94,400,000","82,100,000","-63,400,000","54,500,000","137,600,000","85,200,000","99,400,000","87,700,000","-22,900,000","95,800,000","84,500,000","93,600,000","82,800,000","78,200,000","103,292,000","11,248,000","119,532,000","74,628,000","123,540,000","141,950,000","143,162,000","118,856,000","117,881,000","117,779,000","133,368,000","108,162,000","105,357,000","108,022,000","111,180,000","87,568,000","80,990,000","75,739,000","81,933,000","51,871,000","55,656,000","57,895,000","48,253,000","41,542,000","33,659,000","58,084,000","67,080,000","62,367,000","53,833,000","48,330,000","48,109,000","41,180,000","41,650,000","26,467,000","36,326,000","38,696,000","29,953,000","27,137,000","22,774,000","13,276,000","-37,405,000","11,490,000","12,088,000","-484,000","1,063,000","1,699,000","17,214,000","16,871,000"
TotalUnusualItemsExcludingGoodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-330,247,000","-335,164,000","-317,533,000","-293,109,000","-290,842,000","-289,232,000","-264,377,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TotalUnusualItems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-330,247,000","-335,164,000","-317,533,000","-293,109,000","-290,842,000","-289,232,000","-264,377,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NormalizedEBITDA,"702,100,000","135,800,000","174,400,000","189,700,000","195,900,000","181,100,000","185,700,000","217,100,000","161,700,000","179,100,000","149,100,000","233,000,000","170,600,000","185,300,000","178,100,000","5,600,000","193,300,000","169,200,000","187,600,000","170,000,000","158,100,000","188,699,000","46,362,000","222,575,000","148,564,000","205,941,000","215,011,000","213,703,000","191,312,000","180,670,000","511,379,000","541,224,000","490,228,000","446,544,000","462,772,000","462,746,000","409,639,000","123,956,000","118,807,000","133,850,000","81,668,000","97,163,000","94,357,000","88,246,000","78,714,000","74,452,000","101,161,000","105,231,000","100,140,000","95,036,000","87,180,000","86,925,000","79,467,000","70,987,000","72,245,000","72,619,000","71,430,000","62,230,000","69,082,000","63,001,000","61,591,000","38,951,000","36,098,000","38,184,000","36,738,000","12,228,000","15,344,000","40,272,000","39,192,000"
TaxRateForCalcs,"0.311","0.291","0.281","0.377","0.289","0.27","0.389","0.339","0.103","0.4","0.326","0.176","0.25","0.263","0.322","0.4","0.332","0.278","0.319","0.311","0.301","0.257","0.35","0.316","0.318","0.31","0.243","0.234","0.273","0.251","0.251","0.273","0.292","0.224","0.285","0.27","0.275","0.23","0.233","0.283","0.163","0.33","0.246","0.315","0.314","0.35","0.317","0.255","0.274","0.346","0.36","0.365","0.4","0.312","0.315","0.396","0.334","0.375","0.4","0.4","0.4","0.074","0.4","0.4","0.4","0.4","0.4","0.4","0.4"
TaxEffectOfUnusualItems,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-82,968,530.525","-91,615,547.361","-92,661,955.648","-65,550,270.74","-82,782,937.709","-78,117,078.29","-72,653,756.195","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
