name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016
MarketCap,"2,805,904,150","2,603,850,628","3,031,647,268","3,026,425,369","2,343,267,138","2,112,672,311","1,887,796,616","2,131,088,804","1,527,621,827","1,244,447,766","1,284,680,414","1,195,830,451","1,151,096,971","1,214,165,257","1,468,766,468","1,215,792,002"
EnterpriseValue,"2,723,300,150","2,517,142,628","2,998,379,268","3,050,058,369","2,415,159,138","2,169,118,311","1,979,241,616","2,272,379,804","1,702,943,827","1,439,573,766","1,445,133,414","1,324,404,451","1,282,416,971","1,340,708,257","1,608,744,468","1,566,151,002"
PeRatio,"27.164","27.483","33.759","35.61","31.452","29.934","32.079","43.101","36.441","35.622","54.119","55.158","64.181","80.676","159.254","187.69"
ForwardPeRatio,"33.557","21.097","25.907","25.907","24.331","22.321","18.762","22.883","21.93","18.553",,,"17.794","18.315","21.978","18.248"
PsRatio,"3.361","3.203","3.824","3.988","3.272","3.089","3.135","4.042","3.367","3.189","3.44","2.952","2.752","2.572","3.587","2.908"
PbRatio,"3.909","3.585","4.381","4.599","3.776","3.573","3.363","3.948","2.991","2.462","2.337","1.965","1.854","1.988","2.402","2.877"
EnterprisesValueRevenueRatio,"3.056","10.902","13.043","14.105","11.28","10.806","10.302","12.677","10.009","8.828","12.825","11.97","12.074","12.576","14.862","14.528"
EnterprisesValueEBITDARatio,"17.446","63.001","72.866","87.708","60.053","64.85","48.671","61.196","50.927","48.518","52.887","46.009","46.268","49.382","90.946","58.391"
