name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016
MarketCap,"1,996,159,406","1,449,428,745","3,654,767,763","3,547,789,234","4,400,883,767","4,409,610,580","3,489,309,013","4,283,712,294","3,403,408,962","3,110,753,712","2,967,876,536","2,632,494,920","2,419,325,277","2,564,289,099","2,310,474,104","1,941,246,567","1,433,084,000"
EnterpriseValue,"3,235,459,406","2,697,228,745","4,952,367,763","4,939,289,234","5,843,583,767","5,083,810,580","4,180,709,013","4,949,012,294","4,096,408,962","3,474,453,712","3,351,076,536","3,070,394,920","2,891,725,277","3,022,589,099","2,801,874,104","2,452,146,567","1,499,284,000"
PeRatio,"9.906","8.092","20.368","21.052","27.749","26.602","21.187","28.458","24.957","24.811","31.887","49.976","53.753","73.313","71.081","30.807","21.928"
ForwardPeRatio,"15.974","6.873",,"14.881","21.834","21.739","18.116","23.585","24.753","23.866","22.523","20.04","23.419","24.45","24.155","20.04","19.011"
PegRatio,,,,,,,,,,,,,,"2.444","2.417","2.004","1.902"
PsRatio,"1.565","1.149","2.914","2.95","3.804","3.969","3.288","4.187","3.481","3.223","3.141","2.812","2.609","2.832","2.526","2.111","1.533"
PbRatio,"3.976","2.731","8.244","8.854","12.27","13.041","10.813","12.657","11.366","11.755","13.366","14.179","16.15","20.191","18.44","14.944","2.713"
EnterprisesValueRevenueRatio,"2.481","9.359","16.323","13.724","16.563","18.366","15.006","15.903","13.274","14.772","14.602","11.626","11.109","13.833","13.755","9.731","6.028"
EnterprisesValueEBITDARatio,"7.961","29.35","51.055","44.498","54.258","95.921","59.81","54.565","46.392","55.063","65.069","44.955","43.881","63.5","82.896","100.498","28.449"
