name,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016
TotalAssets,"4,628,400,000","4,553,800,000","4,594,300,000","4,566,800,000","4,487,100,000","4,516,400,000","4,604,600,000","4,775,400,000","4,621,200,000","4,552,600,000","4,422,900,000","4,312,567,000","4,315,948,000"
	CurrentAssets,"1,543,900,000","1,494,100,000","1,463,900,000","1,398,300,000","1,331,200,000","1,407,500,000","1,445,600,000","1,513,400,000","1,463,600,000","1,403,400,000","1,266,500,000","1,182,760,000","1,188,513,000"
		CashCashEquivalentsAndShortTermInvestments,"505,500,000","406,400,000","317,500,000","263,700,000","221,200,000","269,000,000","337,800,000","353,800,000","393,300,000","303,000,000","245,700,000","225,577,000","255,803,000"
			CashAndCashEquivalents,"505,500,000","406,400,000","317,500,000","263,700,000","221,200,000","269,000,000","337,800,000","353,800,000","393,300,000","303,000,000","245,700,000","225,577,000","255,803,000"
		Receivables,"459,100,000","458,400,000","498,600,000","509,900,000","525,400,000","525,000,000","495,500,000","541,600,000","536,300,000","531,600,000","475,200,000","435,818,000","441,578,000"
			AccountsReceivable,"459,100,000","458,400,000","498,600,000","509,900,000","525,400,000","525,000,000","495,500,000","541,600,000","536,300,000","531,600,000","475,200,000","435,818,000","441,578,000"
				GrossAccountsReceivable,"477,500,000","475,400,000","516,800,000","527,800,000","542,800,000","544,100,000","514,900,000","561,100,000","555,000,000","551,000,000","494,900,000","453,728,000","460,273,000"
				AllowanceForDoubtfulAccountsReceivable,"-18,400,000","-17,000,000","-18,200,000","-17,900,000","-17,400,000","-19,100,000","-19,400,000","-19,500,000","-18,700,000","-19,400,000","-19,700,000","-17,910,000","-18,695,000"
		Inventory,"502,500,000","539,300,000","557,600,000","555,100,000","523,900,000","550,100,000","555,600,000","567,200,000","494,500,000","507,600,000","485,800,000","463,143,000","443,949,000"
			RawMaterials,"370,500,000","390,500,000","403,400,000","400,500,000","369,200,000","368,100,000","380,500,000","388,100,000","362,600,000","347,100,000","331,600,000","308,675,000","312,974,000"
			WorkInProcess,"47,600,000","57,800,000","59,900,000","58,500,000","58,100,000","84,600,000","80,500,000","79,700,000","57,900,000","69,200,000","59,400,000","63,120,000","45,278,000"
			FinishedGoods,"71,400,000","77,800,000","81,100,000","82,900,000","83,400,000","84,000,000","81,200,000","86,000,000","60,600,000","75,400,000","78,900,000","75,440,000","69,789,000"
			InventoriesAdjustmentsAllowances,"13,000,000","13,200,000","13,200,000","13,200,000","13,200,000","13,400,000","13,400,000","13,400,000","13,400,000","15,900,000","15,900,000","15,908,000","15,908,000"
		OtherCurrentAssets,"76,800,000","90,000,000","90,200,000","69,600,000","60,700,000","63,400,000","56,700,000","50,800,000","39,500,000","61,200,000","59,800,000","58,222,000","47,183,000"
	TotalNonCurrentAssets,"3,084,500,000","3,059,700,000","3,130,400,000","3,168,500,000","3,155,900,000","3,108,900,000","3,159,000,000","3,262,000,000","3,157,600,000","3,149,200,000","3,156,400,000","3,129,807,000","3,127,435,000"
		NetPPE,"326,600,000","334,000,000","345,100,000","349,500,000","356,600,000","346,900,000","353,900,000","365,300,000","363,200,000","352,000,000","356,200,000","354,200,000","358,391,000"
			GrossPPE,"625,000,000","609,900,000","614,200,000","605,900,000","606,600,000","585,600,000","580,900,000","584,900,000","567,000,000","540,500,000","529,100,000","511,648,000","504,470,000"
				Properties,"0",,,,"0",,,,"0",,,,"0"
				LandAndImprovements,"33,700,000",,,,"35,000,000",,,,"34,700,000",,,,"34,422,000"
				BuildingsAndImprovements,"135,000,000",,,,"140,800,000",,,,"137,400,000",,,,"122,675,000"
				MachineryFurnitureEquipment,"404,500,000",,,,"377,700,000",,,,"355,000,000",,,,"286,756,000"
				OtherProperties,"19,600,000",,,,"18,900,000",,,,"16,900,000",,,,"9,792,000"
				ConstructionInProgress,"32,200,000",,,,"34,200,000",,,,"23,000,000",,,,"50,825,000"
			AccumulatedDepreciation,"-298,400,000","-275,900,000","-269,100,000","-256,400,000","-250,000,000","-238,700,000","-227,000,000","-219,600,000","-203,800,000","-188,500,000","-172,900,000","-157,448,000","-146,079,000"
		GoodwillAndOtherIntangibleAssets,"2,542,700,000","2,532,300,000","2,588,700,000","2,618,600,000","2,657,900,000","2,625,200,000","2,668,500,000","2,757,500,000","2,658,800,000","2,666,600,000","2,659,900,000","2,624,650,000","2,624,574,000"
			Goodwill,"1,287,700,000","1,266,000,000","1,284,900,000","1,283,300,000","1,289,500,000","1,268,400,000","1,276,200,000","1,308,300,000","1,227,600,000","1,216,900,000","1,200,100,000","1,167,454,000","1,154,652,000"
			OtherIntangibleAssets,"1,255,000,000","1,266,300,000","1,303,800,000","1,335,300,000","1,368,400,000","1,356,800,000","1,392,300,000","1,449,200,000","1,431,200,000","1,449,700,000","1,459,800,000","1,457,196,000","1,469,922,000"
		NonCurrentDeferredAssets,"3,000,000","1,100,000","1,100,000","1,200,000","1,300,000","1,100,000","1,100,000","1,100,000","1,000,000","900,000","900,000","754,000","1,376,000"
			NonCurrentDeferredTaxesAssets,"3,000,000","1,100,000","1,100,000","1,200,000","1,300,000","1,100,000","1,100,000","1,100,000","1,000,000","900,000","900,000","754,000","1,376,000"
		OtherNonCurrentAssets,"212,200,000","192,300,000","195,500,000","199,200,000","140,100,000","135,700,000","135,500,000","138,100,000","134,600,000","129,700,000","139,400,000","150,203,000","143,094,000"
TotalLiabilitiesNetMinorityInterest,"2,758,500,000","2,763,300,000","2,809,000,000","2,829,100,000","2,811,100,000","2,893,000,000","3,035,500,000","3,207,700,000","3,144,400,000","3,280,800,000","3,213,900,000","4,028,889,000","4,044,190,000"
	CurrentLiabilities,"574,600,000","595,800,000","591,300,000","616,200,000","596,400,000","586,800,000","571,400,000","611,100,000","561,800,000","559,600,000","500,700,000","483,308,000","497,849,000"
		PayablesAndAccruedExpenses,"493,200,000","499,600,000","499,400,000","517,000,000","508,800,000","482,000,000","480,500,000","503,600,000","491,700,000","473,900,000","425,400,000","387,611,000","410,147,000"
			Payables,"345,400,000","352,400,000","353,300,000","371,000,000","364,300,000","335,500,000","326,000,000","332,800,000","304,200,000","306,700,000","281,000,000","256,336,000","251,973,000"
				AccountsPayable,"322,900,000","336,600,000","331,800,000","342,400,000","340,000,000","320,000,000","310,900,000","284,600,000","269,700,000","263,600,000","246,400,000","217,639,000","214,856,000"
				TotalTaxPayable,"22,500,000","15,800,000","21,500,000","28,600,000","24,300,000","15,500,000","15,100,000","48,200,000","34,500,000","43,100,000","34,600,000","38,697,000","37,117,000"
			CurrentAccruedExpenses,"147,800,000","147,200,000","146,100,000","146,000,000","144,500,000","146,500,000","154,500,000","170,800,000","187,500,000","167,200,000","144,400,000","131,275,000","158,174,000"
				InterestPayable,"700,000","700,000","700,000","700,000","300,000","700,000","500,000","900,000","800,000","500,000","300,000","5,355,000","15,497,000"
		CurrentProvisions,"5,000,000","7,000,000","5,800,000","8,700,000","10,100,000","6,400,000","2,300,000","4,100,000","6,500,000","9,100,000","10,300,000","14,529,000","20,238,000"
