name,ttm,12/31/2019,12/31/2018,12/31/2017
MarketCap,"1,901,211,925","3,673,878,780","2,081,933,316","3,671,508,547"
EnterpriseValue,"5,004,973,925","6,331,628,780","2,077,687,316","3,669,089,547"
PeRatio,,,"44.72","651.75"
ForwardPeRatio,"4.309","8.306","8.224",
PsRatio,"1.891","4.662","38.935","6.22"
PbRatio,"0.734","1.043","82.86","422.985"
EnterprisesValueRevenueRatio,"4.744","7.453","2.021",
EnterprisesValueEBITDARatio,"-7.44","-32.53","20.972","-89.198"
