name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996
TotalRevenue,"2,659,069,000","459,103,000","658,673,000","739,658,000","801,635,000","623,935,000","742,748,000","754,356,000","764,193,000","647,268,000","653,695,000","716,395,000","715,368,000","665,358,000","587,887,000","715,026,000","688,867,000","593,290,000","674,508,000","714,153,000","636,191,000","390,620,000","666,001,000","693,783,000","548,795,000","451,415,000","626,165,000","614,322,000","523,040,000","420,776,000","561,652,000","600,239,000","482,565,000","303,797,000","481,755,000","529,777,000","383,229,000","331,280,000","368,935,000","395,324,000","326,789,000","220,415,000","301,720,000","307,797,000","244,807,000","183,568,899.753","324,800,500.884","380,739,626.646","293,591,974.157","251,177,106.937","256,056,337.717","291,116,702.677","232,040,738.558","185,726,657.515","235,305,788.394","234,207,241.967","184,079,161.091","120,468,071.293","179,062,414.521","199,291,593.744","165,251,280.483","108,754,338.929","144,765,115.533","168,563,274.476","141,415,082.9","77,441,493.094","110,132,142.499","151,484,808.98","117,901,006.963","64,965,433.746","87,846,613.439","129,063,705.902","98,237,766.631","55,487,459.013","62,688,201.05","100,271,534.853","96,304,051.396","57,434,661.554","79,068,069.924","99,102,424.467","82,673,794.87","47,448,485.497","67,131,919.961","76,908,604.164","51,615,523.069","29,275,648.275","39,185,049.91","51,129,208.359","30,077,516.731","22,278,067.086","25,891,313.13","24,494,006.229","21,373,443.728","15,400,294.804"
	OperatingRevenue,"2,659,069,000","459,103,000","658,673,000","739,658,000","801,635,000","623,935,000","742,748,000","754,356,000","764,193,000","647,268,000","653,695,000","716,395,000","715,368,000","665,358,000","587,887,000","715,026,000","688,867,000","593,290,000","674,508,000","714,153,000","636,191,000","390,620,000","666,001,000","693,783,000","548,795,000","451,415,000","626,165,000","614,322,000","523,040,000","420,776,000","561,652,000","600,239,000","482,565,000","303,797,000","481,755,000","529,777,000","383,229,000","331,280,000","368,935,000","395,324,000","326,789,000","220,415,000","301,720,000","307,797,000","244,807,000","183,568,899.753","324,800,500.884","380,739,626.646","293,591,974.157","251,177,106.937","256,056,337.717","291,116,702.677","232,040,738.558","185,726,657.515","235,305,788.394","234,207,241.967","184,079,161.091","120,468,071.293","179,062,414.521","199,291,593.744","165,251,280.483","108,754,338.929","144,765,115.533","168,563,274.476","141,415,082.9","77,441,493.094","110,132,142.499","151,484,808.98","117,901,006.963","64,965,433.746","87,846,613.439","129,063,705.902","98,237,766.631","55,487,459.013","62,688,201.05","100,271,534.853","96,304,051.396","57,434,661.554","79,068,069.924","99,102,424.467","82,673,794.87","47,448,485.497","67,131,919.961","76,908,604.164","51,615,523.069","29,275,648.275","39,185,049.91","51,129,208.359","30,077,516.731","22,278,067.086","25,891,313.13","24,494,006.229","21,373,443.728","15,400,294.804"
CostOfRevenue,"2,008,802,000","352,557,000","540,458,000","536,944,000","578,843,000","463,195,000","547,360,000","535,514,000","548,252,000","471,486,000","476,724,000","494,159,000","502,102,000","476,612,000","431,025,000","497,587,000","499,835,000","436,920,000","462,553,000","523,548,000","496,263,000","347,771,000","473,934,000","499,593,000","395,568,000","332,216,000","449,253,000","421,020,000","371,840,000","308,153,000","401,457,000","456,751,000","396,472,000","297,448,000","383,304,000","379,957,000","275,641,000","249,391,000","268,268,000","288,190,000","236,071,000","154,677,000","224,064,000","232,747,000","206,070,000","144,768,962.202","221,397,514.836","260,394,492.042","193,979,001.263","172,034,209.835","173,538,310.944","196,887,374.354","153,324,375.867","131,878,329.616","163,192,804.446","158,398,358.463","122,572,203.637","77,516,712.588","121,147,431.845","136,358,250.343","115,592,231.958","76,434,565.858","99,959,311.483","117,536,627.262","103,865,847.074","56,481,558.796","76,596,982.698","104,952,088.375","82,996,215.373","45,887,473.242","63,175,247.337","90,640,075.833","72,157,783.56","40,482,686.968","68,225,452.084","72,963,100.099","68,454,493.655","40,643,421.807","56,174,603.369","71,118,177.092","59,421,041.761","33,663,451.7","48,571,122.38","57,308,351.818","38,511,582.658","21,529,170.729","28,417,150.097","38,722,121.026","23,782,222.614",,,,,
GrossProfit,"650,267,000","106,546,000","118,215,000","202,714,000","222,792,000","160,740,000","195,388,000","218,842,000","215,941,000","175,782,000","176,971,000","222,236,000","213,266,000","188,746,000","156,862,000","217,439,000","189,032,000","156,370,000","211,955,000","190,605,000","139,928,000","42,849,000","192,067,000","194,190,000","153,227,000","119,199,000","176,912,000","193,302,000","151,200,000","112,623,000","160,195,000","143,488,000","86,093,000","6,349,000","98,451,000","149,820,000","107,588,000","81,889,000","100,667,000","107,134,000","90,718,000","65,738,000","77,656,000","75,050,000","38,737,000","38,799,937.551","103,402,986.048","120,345,134.604","99,612,972.894","79,142,897.102","82,518,026.773","94,229,328.323","78,716,362.691","53,848,327.9","72,112,983.947","75,808,883.504","61,506,957.454","42,951,358.705","57,914,982.677","62,933,343.401","49,659,048.524","32,319,773.071","44,805,804.05","51,026,647.214","37,549,235.826","20,959,934.298","33,535,159.801","46,532,720.605","34,904,791.59","19,077,960.503","24,671,366.101","38,423,630.069","26,079,983.071","15,004,772.045","-5,537,251.034","27,308,434.754","27,849,557.741","16,791,239.747","22,893,466.555","27,984,247.375","23,252,753.108","13,785,033.798","18,560,797.581","19,600,252.345","13,103,940.41","7,746,477.546","10,767,899.813","12,407,087.332","6,295,294.118",,,,,
OperatingExpense,"321,446,000","73,948,000","76,496,000","78,972,000","92,030,000","92,989,000","95,474,000","88,063,000","91,934,000","93,075,000","103,930,000","94,842,000","89,346,000","89,205,000","86,784,000","86,812,000","83,599,000","79,238,000","78,414,000","80,131,000","77,066,000","79,557,000","72,172,000","71,752,000","69,279,000","72,812,000","69,722,000","69,861,000","73,552,000","69,428,000","64,058,000","57,204,000","53,939,000","50,834,000","53,291,000","56,485,000","47,715,000","41,641,000","42,045,000","39,927,000","38,703,000","33,999,000","34,151,000","36,213,000","30,942,000","33,401,468.365","54,054,113.775","59,213,653.96","51,641,916.837","32,339,716.248","33,404,837.952","31,731,231.564","37,999,726.942","26,095,620.281","56,070,217.422","22,002,635.972","28,463,794.819","18,086,732.392","34,645,526.717","19,171,574.806","30,158,276.432","16,296,631.84","42,876,134.156","15,641,459.39","15,155,938.744","17,799,056.887","11,540,384.056","13,975,560.884","14,065,407.622","10,077,809.326","8,350,763.408","12,905,471.151","9,864,537.589","8,239,325.871","13,016,084.816","12,856,555.005","12,491,286.802","9,447,260.42","9,407,612.076","10,425,523.411","10,741,484.572","8,290,998.598","9,186,222.271","8,456,961.544","7,402,226.007","5,734,405.017","5,133,340.67","4,902,801.035","3,597,311.025",,,,,
	SellingGeneralAndAdministration,"321,446,000","73,948,000","76,496,000","78,972,000","92,030,000","92,989,000","95,474,000","88,063,000","91,934,000","93,075,000","103,930,000","94,842,000","89,346,000","89,205,000","86,784,000","86,812,000","83,599,000","79,238,000","78,414,000","80,131,000","77,066,000","79,557,000","72,172,000","71,752,000","69,279,000","72,812,000","69,722,000","69,861,000","73,552,000","69,428,000","64,058,000","57,204,000","53,939,000","50,834,000","53,291,000","56,485,000","47,715,000","41,641,000","42,045,000","39,927,000","38,703,000","33,999,000","34,151,000","36,213,000","30,942,000","33,401,468.365","38,367,209.078","43,889,038.121","36,574,694.453","32,700,750.278","28,039,541.099","28,381,906.999","28,528,534.154","26,095,620.281","23,655,516.545","22,002,635.972","20,739,366.958","18,086,732.392","20,966,521.187","19,171,574.806","18,277,288.584","16,296,631.84","20,624,007.197","15,641,459.39","15,155,938.744","11,321,344.572","11,540,384.056","13,975,560.884","14,066,408.454","10,077,809.326","8,350,763.408","12,906,470.821","9,864,537.589","8,238,325.858","20,922,736.921","9,943,788.57","9,837,376.269","7,196,960.32","7,949,235.863","8,646,969.584","9,139,395.129","6,792,625.299","8,071,798.846","7,362,531.458","6,101,835.014","4,627,765.646","4,127,729.66","4,202,400.79","2,997,759.07",,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,686,903.714","15,324,616.821","15,067,223.356","12,883,937.191","10,304,247.534","10,254,623.767","9,471,193.655","8,769,167.811","9,077,570.201","8,178,157.422","7,724,427.861","7,439,762.356","7,139,187.195","6,054,866.78","6,487,262.958","5,869,063.503","6,541,612.093","5,521,398.032","5,250,710.788","4,899,260.47","4,822,515.759","4,358,337.169","3,854,399.842","3,492,894.03","2,712,826.435","3,035,758.655","2,555,548.31","2,522,793.628","2,371,445.55","2,912,766.435","2,653,910.533","2,250,300.1","1,458,376.213","1,778,553.826","1,602,089.443","1,498,373.299","1,114,424.106","1,094,430.086","1,300,390.993","1,106,639.371","1,005,611.009","700,400.245","599,551.955",,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,686,903.714","15,324,616.821","15,067,223.356","12,883,937.191","10,304,247.534","10,254,623.767","9,471,193.655","8,769,167.811","9,077,570.201","8,178,157.422","7,724,427.861","7,439,762.356","7,139,187.195","6,054,866.78","6,487,262.958","5,869,063.503","6,541,612.093","5,521,398.032","5,250,710.788","4,899,260.47","4,822,515.759","4,358,337.169","3,854,399.842","3,492,894.03","2,712,826.435","3,035,758.655","2,555,548.31","2,522,793.628","2,371,445.55","2,912,766.435","2,653,910.533","2,250,300.1","1,458,376.213","1,778,553.826","1,602,089.443","1,498,373.299","1,114,424.106","1,094,430.086","1,300,390.993","1,106,639.371","1,005,611.009","700,400.245","599,551.955",,,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-0.983","-0.972","-13,244,971.221","-4,938,950.681","-6,905,299.202","-0.867","-8,769,167.811",,"-8,178,157.422",,"-7,439,762.356","6,539,818.335","-6,054,866.78","5,393,724.89","-5,869,063.503",,"-5,521,398.032","-5,250,710.788","1,578,451.846","-4,822,515.759","-4,358,337.169","-3,855,400.673","-3,492,894.03","-2,712,826.435","-3,036,758.325","-2,555,548.31","-2,521,793.615",,,,,,,,,,,,,,,,,,,,
OperatingIncome,"328,821,000","32,598,000","41,719,000","123,742,000","130,762,000","67,751,000","99,914,000","130,779,000","124,007,000","82,707,000","73,041,000","127,394,000","123,920,000","99,541,000","70,078,000","130,627,000","105,433,000","77,132,000","133,541,000","110,474,000","62,862,000","-36,708,000","119,895,000","122,438,000","83,948,000","46,387,000","107,190,000","123,441,000","77,648,000","43,195,000","96,137,000","86,284,000","32,154,000","-44,485,000","45,160,000","93,335,000","59,873,000","40,248,000","58,622,000","67,207,000","52,015,000","31,739,000","43,505,000","38,837,000","7,795,000","5,398,469.187","49,348,872.274","61,131,480.645","47,971,056.058","46,803,180.854","49,113,188.821","62,498,096.759","40,716,635.749","27,752,707.618","16,042,766.525","53,806,247.532","33,043,162.635","24,864,626.313","23,269,455.96","43,761,768.595","19,500,772.092","16,023,141.231","1,929,669.893","35,385,187.824","22,393,297.082","3,160,877.411","21,994,775.746","32,557,159.72","20,839,383.968","9,000,151.177","16,320,602.693","25,518,158.919","16,215,445.482","6,765,446.174","-18,553,335.851","14,451,879.749","15,358,270.939","7,343,979.326","13,485,854.479","17,558,723.964","12,511,268.536","5,494,035.199","9,374,575.309","11,143,290.801","5,701,714.403","2,012,072.529","5,634,559.143","7,504,286.298","2,697,983.093","22,278,067.086","-52,387,415.695","24,494,006.229","21,373,443.728","15,400,294.804"
