name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012
TotalRevenue,"1,091,000,000","267,000,000","291,000,000","270,000,000","263,000,000","302,000,000","270,000,000","265,000,000","254,000,000","256,000,000","339,000,000","204,000,000","197,000,000","194,000,000","436,400,000","110,200,000","110,200,000","96,200,000","72,400,000","66,100,000","63,200,000","63,900,000","66,900,000","53,400,000","56,900,000","51,800,000","29,900,000","29,500,000","26,200,000","21,000,000","87,300,000","21,300,000","18,500,000","18,200,000"
	OperatingRevenue,"1,091,000,000","267,000,000","291,000,000","270,000,000","263,000,000","302,000,000","270,000,000","265,000,000","254,000,000","256,000,000","339,000,000","204,000,000","197,000,000","194,000,000","436,400,000","110,200,000","110,200,000","96,200,000","72,400,000","66,100,000","63,200,000","63,900,000","66,900,000","53,400,000","56,900,000","51,800,000","29,900,000","29,500,000","26,200,000","21,000,000","87,300,000","21,300,000","18,500,000","18,200,000"
CostOfRevenue,"121,000,000","30,000,000","32,000,000","30,000,000","29,000,000","29,000,000","30,000,000","30,000,000","29,000,000","28,000,000","34,000,000","30,000,000","26,000,000","26,000,000","52,500,000","15,100,000","14,500,000","13,800,000","5,700,000","5,700,000","5,300,000","5,100,000","4,700,000","4,000,000","3,900,000","3,600,000","1,500,000","1,600,000","1,500,000","1,600,000","8,600,000","1,800,000","1,700,000","1,500,000"
GrossProfit,"970,000,000","237,000,000","259,000,000","240,000,000","234,000,000","273,000,000","240,000,000","235,000,000","225,000,000","228,000,000","305,000,000","174,000,000","171,000,000","168,000,000","383,900,000","95,100,000","95,700,000","82,400,000","66,700,000","60,400,000","57,900,000","58,800,000","62,200,000","49,400,000","53,000,000","48,200,000","28,400,000","27,900,000","24,700,000","19,400,000","78,700,000","19,500,000","16,800,000","16,700,000"
OperatingExpense,"457,000,000","115,000,000","117,000,000","115,000,000","110,000,000","166,000,000","113,000,000","107,000,000","110,000,000","122,000,000","162,000,000","92,000,000","80,000,000","80,000,000","199,100,000","35,600,000","41,000,000","36,900,000","18,000,000","24,000,000","27,000,000","23,400,000","25,000,000","18,500,000","19,400,000","19,400,000","11,100,000","10,300,000","8,900,000","8,600,000","49,000,000","7,500,000","7,200,000","8,500,000"
	SellingGeneralAndAdministration,"66,000,000","17,000,000","16,000,000","16,000,000","17,000,000","18,000,000","16,000,000","16,000,000","16,000,000","16,000,000","21,000,000","16,000,000","16,000,000","16,000,000","39,000,000","9,200,000","7,800,000","8,900,000","6,600,000","6,200,000","6,400,000","7,400,000","8,600,000","4,900,000","5,400,000","6,700,000","3,100,000","2,500,000","2,500,000","1,900,000","8,300,000","2,300,000","1,700,000","1,400,000"
		GeneralAndAdministrativeExpense,,,"16,000,000","16,000,000","17,000,000","18,000,000","16,000,000","16,000,000","16,000,000","16,000,000","21,000,000","16,000,000","16,000,000","16,000,000","39,000,000","9,200,000","7,800,000","8,900,000","6,600,000","6,200,000","6,400,000","7,400,000","8,600,000","4,900,000","5,400,000","6,700,000","3,100,000","2,500,000","2,500,000","1,900,000","8,300,000","2,300,000","1,700,000","1,400,000"
			OtherGandA,,,"16,000,000","16,000,000","17,000,000","18,000,000","16,000,000","16,000,000","16,000,000","16,000,000","21,000,000","16,000,000","16,000,000","16,000,000","39,000,000","9,200,000","7,800,000","8,900,000","6,600,000","6,200,000","6,400,000","7,400,000","8,600,000","4,900,000","5,400,000","6,700,000","3,100,000","2,500,000","2,500,000","1,900,000","8,300,000","2,300,000","1,700,000","1,400,000"
	OtherTaxes,"39,000,000","11,000,000","9,000,000","10,000,000","9,000,000","11,000,000","8,000,000","8,000,000","9,000,000","10,000,000","10,000,000","7,000,000","7,000,000","9,000,000","20,700,000","1,200,000","5,600,000","5,400,000","2,200,000","2,400,000","3,100,000","1,300,000","900,000","1,100,000","1,000,000","1,200,000","400,000","400,000","400,000","500,000","3,300,000","300,000","400,000","400,000"
	OtherOperatingExpenses,"-2,000,000","-1,000,000","2,000,000","-2,000,000","-1,000,000","-2,000,000","1,000,000","-1,000,000",,"-1,000,000","-2,000,000",,,"-7,000,000","-200,000","-300,000","-300,000","-200,000","-5,200,000","-100,000",,"-100,000",,,,"-100,000","-100,000","-100,000",,,,,,
OperatingIncome,"513,000,000","122,000,000","142,000,000","125,000,000","124,000,000","107,000,000","127,000,000","128,000,000","115,000,000","106,000,000","143,000,000","82,000,000","91,000,000","88,000,000","184,800,000","59,500,000","54,700,000","45,500,000","48,700,000","36,400,000","30,900,000","35,400,000","37,200,000","30,900,000","33,600,000","28,800,000","17,300,000","17,600,000","15,800,000","10,800,000","29,700,000","12,000,000","9,600,000","8,200,000"
NetNonOperatingInterestIncomeExpense,"-107,000,000","-29,000,000","-25,000,000","-26,000,000","-27,000,000","-27,000,000","-27,000,000","-28,000,000","-29,000,000","-30,000,000","-27,000,000","-23,000,000","-24,000,000","-24,000,000","-21,200,000","-9,900,000","-11,000,000","-9,900,000","-9,300,000","-9,200,000","-9,500,000","-5,900,000","-2,000,000","-1,400,000","-1,300,000","-500,000","-200,000","-100,000",,,"0","0",,
	InterestExpenseNonOperating,"110,000,000","29,000,000","28,000,000","26,000,000","27,000,000","27,000,000","28,000,000","28,000,000","29,000,000","30,000,000","30,000,000","23,000,000","24,000,000","24,000,000","21,200,000","9,900,000","11,000,000","9,900,000","9,300,000","9,200,000","9,500,000","5,900,000","2,100,000","1,400,000","1,300,000","500,000","200,000","100,000",,,"0","0",,
OtherIncomeExpense,"548,000,000","134,000,000","138,000,000","139,000,000","137,000,000","119,000,000","123,000,000","117,000,000","100,000,000","98,000,000","112,000,000","40,000,000","37,000,000","33,000,000","24,600,000","33,700,000","29,900,000","24,800,000","25,200,000","25,200,000","20,500,000","6,100,000","-200,000",,,"100,000","100,000","100,000",,,,,,
	EarningsFromEquityInterest,"552,000,000","136,000,000","140,000,000","139,000,000","137,000,000","119,000,000","123,000,000","118,000,000","100,000,000","98,000,000","112,000,000","41,000,000","37,000,000","33,000,000","25,500,000","33,800,000","29,900,000","24,800,000","25,200,000","25,200,000","20,600,000","6,100,000",,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,,"-2,000,000","-2,000,000","2,000,000","1,000,000","2,000,000","0","-1,000,000",,"1,000,000","0","-1,000,000",,"7,000,000","-900,000","-100,000","300,000","200,000","0","100,000","-100,000","100,000","-200,000",,,"100,000","100,000","100,000",,,,,,
PretaxIncome,"954,000,000","227,000,000","255,000,000","238,000,000","234,000,000","199,000,000","223,000,000","217,000,000","186,000,000","174,000,000","228,000,000","99,000,000","104,000,000","97,000,000","188,200,000","83,300,000","73,600,000","60,400,000","64,600,000","52,400,000","41,900,000","35,600,000","35,100,000","29,500,000","32,300,000","28,300,000","17,100,000","17,500,000","15,800,000","10,800,000","29,600,000","12,000,000","9,600,000","8,200,000"
TaxProvision,"3,000,000","1,000,000","0","1,000,000","1,000,000","1,000,000","2,000,000","0",,"2,000,000","3,000,000","0","1,000,000","0","1,200,000","200,000","400,000","200,000","100,000","100,000","-100,000","200,000","200,000","100,000","200,000","300,000","100,000","200,000","100,000","100,000","0","100,000","100,000","100,000"
NetIncomeCommonStockholders,"843,000,000","216,000,000","246,000,000","228,000,000","153,000,000","119,000,000","144,000,000","144,000,000","121,000,000","110,000,000","105,000,000","56,000,000","66,000,000","65,000,000","69,000,000","57,100,000","46,400,000","36,500,000","50,400,000","40,800,000","33,000,000","29,000,000","32,400,000","27,400,000","30,400,000","17,500,000","16,600,000","11,700,000","15,700,000","13,600,000","-29,500,000","11,900,000","9,500,000","8,100,000"
	NetIncome,"951,000,000","226,000,000","255,000,000","237,000,000","233,000,000","198,000,000","221,000,000","217,000,000","186,000,000","172,000,000","162,000,000","99,000,000","103,000,000","97,000,000","98,100,000","83,100,000","67,500,000","52,300,000","64,500,000","52,300,000","42,000,000","35,400,000","36,200,000","29,400,000","32,100,000","18,300,000","17,000,000","11,900,000","15,700,000","13,600,000","-29,500,000","11,900,000","9,500,000","8,100,000"
		NetIncomeIncludingNoncontrollingInterests,"951,000,000","226,000,000","255,000,000","237,000,000","233,000,000","198,000,000","221,000,000","217,000,000","186,000,000","172,000,000","225,000,000","99,000,000","103,000,000","97,000,000","187,000,000","83,100,000","73,200,000","60,200,000","64,500,000","52,300,000","42,000,000","35,400,000","34,900,000","29,400,000","32,100,000","28,000,000","17,000,000","17,300,000","15,700,000","13,600,000","29,600,000","11,900,000","9,500,000","8,100,000"
			NetIncomeContinuousOperations,"951,000,000","226,000,000","255,000,000","237,000,000","233,000,000","198,000,000","221,000,000","217,000,000","186,000,000","172,000,000","225,000,000","99,000,000","103,000,000","97,000,000","187,000,000","83,100,000","73,200,000","60,200,000","64,500,000","52,300,000","42,000,000","35,400,000","34,900,000","29,400,000","32,100,000","28,000,000","17,000,000","17,300,000","15,700,000","10,700,000","29,600,000","11,900,000","9,500,000","8,100,000"
		MinorityInterests,,,,,,,"0","0","0","0","-63,000,000","0","0","0","-88,900,000","0","-5,700,000","-3,000,000","0","0","0","0","1,300,000","0","0","-9,700,000","0","-5,400,000",,,,,,
	PreferredStockDividends,"108,000,000","10,000,000","9,000,000","9,000,000","80,000,000","79,000,000","77,000,000","73,000,000","65,000,000","62,000,000","57,000,000","43,000,000","37,000,000","32,000,000","29,100,000","26,000,000","21,100,000","15,800,000","14,100,000","11,500,000","9,000,000","6,400,000","3,800,000","2,000,000","1,700,000","800,000","400,000","200,000",,,,,,
