name,ttm,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,01/31/2013,01/31/2012,01/31/2011,01/31/2010,01/31/2009,01/31/2008,01/31/2007,01/31/2006,01/31/2005,01/31/2004,01/31/2003
TotalRevenue,"7,398,068,000","7,398,068,000","6,716,615,000","5,884,506,000","4,854,737,000","3,924,116,000","3,241,369,000","2,670,573,000","2,220,256,000","1,776,151,000","1,454,838,000","1,222,771,000","1,084,646,000","912,141,000","755,113,000","579,075,000","491,152,000","423,863,000","362,217,000"
	OperatingRevenue,"7,398,068,000","7,398,068,000","6,716,615,000","5,884,506,000","4,854,737,000","3,924,116,000","3,241,369,000","2,670,573,000","2,220,256,000","1,776,151,000","1,454,838,000","1,222,771,000","1,084,646,000","912,141,000","755,113,000","579,075,000","491,152,000","423,863,000","362,217,000"
CostOfRevenue,"4,717,004,000","4,717,004,000","4,307,304,000","3,787,697,000","3,107,508,000","2,539,783,000","2,104,582,000","1,729,325,000","1,436,582,000","1,159,311,000","970,753,000","849,722,000","756,712,000","628,495,000","519,929,000","404,794,000",,"312,203,000","259,836,000"
GrossProfit,"2,681,064,000","2,681,064,000","2,409,311,000","2,096,809,000","1,747,229,000","1,384,333,000","1,136,787,000","941,248,000","783,674,000","616,840,000","484,085,000","373,049,000","327,934,000","283,646,000","235,184,000","174,281,000",,"111,660,000","102,381,000"
OperatingExpense,"1,779,970,000","1,779,970,000","1,555,231,000","1,311,518,000","1,092,405,000","878,036,000","726,372,000","613,660,000","503,696,000","420,645,000","365,201,000","304,896,000","281,633,000","236,925,000","195,096,000","144,857,000",,"100,764,000","89,133,000"
	SellingGeneralAndAdministration,"1,760,716,000","1,760,716,000","1,535,464,000","1,287,232,000","1,073,834,000","863,354,000","712,006,000","596,390,000","488,880,000","410,658,000","365,201,000","304,896,000","281,633,000","236,925,000","195,096,000","144,857,000",,"98,446,000","86,382,000"
	OtherOperatingExpenses,"19,254,000","19,254,000","19,767,000","24,286,000","18,571,000","14,682,000","14,366,000","17,270,000","14,816,000","9,987,000",,,,,,,,"2,318,000","2,751,000"
OperatingIncome,"901,094,000","901,094,000","854,080,000","785,291,000","654,824,000","506,297,000","410,415,000","327,588,000","279,978,000","196,195,000","118,884,000","68,153,000","46,301,000","46,721,000","40,088,000","29,424,000","491,152,000","10,896,000","13,248,000"
NetNonOperatingInterestIncomeExpense,"5,056,000","5,056,000","5,061,000","1,568,000","890,000","1,143,000","894,000","118,000","-185,000","-587,000","-755,000","-2,202,000","-3,943,000",,,,,,
	InterestIncomeNonOperating,"5,056,000","5,056,000","5,061,000","1,568,000","890,000","1,143,000","894,000","118,000",,,,,,,,,,,
	InterestExpenseNonOperating,,,,,,,,,"185,000","587,000","755,000","2,202,000","3,943,000",,,,,,
	TotalOtherFinanceCost,"-5,056,000","-5,056,000","-5,061,000","-1,568,000","-890,000","-1,143,000","-894,000","-118,000",,,,,,,,,,,
PretaxIncome,"906,150,000","906,150,000","859,141,000","786,859,000","655,714,000","507,440,000","411,309,000","327,706,000","279,793,000","195,608,000","118,129,000","65,951,000","42,358,000","42,179,000","36,774,000","26,473,000",,"8,107,000","10,899,000"
