name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014
MarketCap,"10,500,903,789","22,179,465,299","16,862,076,709","30,215,860,479","29,939,644,239","25,356,719,819","24,804,496,522"
PeRatio,"4.043","6.571","7.448","14.681","13.635","11.607","13.236"
ForwardPeRatio,"7.267","7.704","5.173","11.919","11.877","10.707","11.236"
PegRatio,,"2.001","0.834","2.128","3.084","1.189","1.843"
PsRatio,"0.692","1.434","1.121","2.079","2.25","2.061","2.13"
PbRatio,"0.935","1.467","1.205","2.066","2.12","2.086","2.495"
