name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,12/31/2005
TotalAssets,"5,215,295,000","5,538,897,000","5,527,850,000","5,488,661,000","5,280,235,000","5,203,491,000","5,485,788,000","5,348,967,000","5,287,128,000","5,123,672,000","4,999,024,000","4,804,024,000","4,815,824,000","4,800,227,000","4,930,581,000","3,448,094,000","3,534,979,000","3,359,663,000","3,464,300,000","3,393,274,000","3,237,593,000","3,338,955,000","3,347,536,000","3,155,749,000","3,196,434,000","2,238,221,000","2,185,499,000","2,093,880,000","2,009,690,000","1,966,493,000","1,726,699,000","1,697,944,000","895,360,000","253,573,000","207,813,000","193,409,000","154,178,000","135,729,000","97,264,000","106,706,000","107,396,000","102,172,000","108,574,000","109,937,000","117,498,000","179,793,000","186,591,000","239,018,000","207,554,000","258,767,000","276,870,000","197,910,000","214,571,000","164,781,000"
	CurrentAssets,"1,517,637,000","1,630,268,000","1,520,556,000","1,370,066,000","1,305,617,000","1,234,005,000","1,464,389,000","1,306,931,000","1,126,321,000","968,277,000","830,944,000","662,504,000","752,853,000","748,069,000","744,229,000","1,230,890,000","1,270,618,000","1,257,667,000","1,314,943,000","1,244,910,000","1,102,935,000","1,015,845,000","878,520,000","544,912,000","517,320,000","864,617,000","810,067,000","734,176,000","647,372,000","551,572,000","385,012,000","300,442,000","327,140,000","199,131,000","152,140,000","136,088,000","94,840,000","74,458,000","32,083,000","38,742,000","36,954,000","29,144,000","32,725,000","33,544,000","43,999,000","69,704,000","70,196,000","119,245,000","116,091,000","144,978,000","161,155,000","79,266,000","91,563,000","31,384,000"
		CashCashEquivalentsAndShortTermInvestments,"981,602,000","1,077,344,000","1,070,175,000","882,739,000","832,466,000","824,622,000","1,064,018,000","815,081,000","708,169,000","601,035,000","452,615,000","319,213,000","406,995,000","425,963,000","425,985,000","916,375,000","980,544,000","988,785,000","998,859,000","921,643,000","782,603,000","684,042,000","575,040,000","268,255,000","251,376,000","636,504,000","588,462,000","504,307,000","450,511,000","387,196,000","189,793,000","154,543,000","244,218,000","157,898,000","113,348,000","102,396,000","65,061,000","44,794,000","9,574,000","18,998,000","15,595,000","12,230,000","15,772,000","17,015,000","25,907,000","50,906,000","52,702,000","105,181,000","102,945,000","130,911,000","148,000,000","67,667,000","78,948,000","20,614,000"
			CashAndCashEquivalents,"701,602,000","637,344,000","795,175,000","637,739,000","547,466,000","309,622,000","499,018,000","485,081,000","453,169,000","386,035,000","252,615,000","239,213,000","346,995,000","365,963,000","366,567,000","867,966,000","979,780,000","988,785,000","998,859,000","921,643,000","782,603,000","684,042,000","575,040,000","268,255,000","245,874,000","636,504,000","588,462,000","504,307,000","450,511,000","387,196,000","189,793,000","154,543,000","170,654,000","82,076,000","101,215,000","102,396,000","65,061,000","44,794,000","9,574,000","18,998,000","15,595,000","12,230,000","15,772,000","17,015,000","24,903,000","49,907,000","51,202,000","100,771,000","102,945,000","119,972,000","148,000,000","67,667,000","78,948,000","20,614,000"
				CashFinancial,"226,349,000","333,172,000","297,243,000","261,194,000","192,328,000","215,606,000","281,047,000","228,018,000","136,883,000","225,235,000","122,154,000","94,011,000","136,990,000","215,963,000","211,567,000","265,798,000","263,502,000","274,945,000","193,256,000","243,964,000","187,491,000","338,262,000","163,040,000","268,255,000","245,874,000","495,990,000",,,,"343,548,000",,,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,"475,253,000","304,172,000","497,932,000","376,545,000","355,138,000","94,016,000","217,971,000","257,063,000","316,286,000","160,800,000","130,461,000","145,202,000","210,005,000","150,000,000","155,000,000","602,168,000","716,278,000","713,840,000","805,603,000","677,679,000","595,112,000","345,780,000","412,000,000",,,"140,514,000",,,,"43,648,000",,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,"280,000,000","440,000,000","275,000,000","245,000,000","285,000,000","515,000,000","565,000,000","330,000,000","255,000,000","215,000,000","200,000,000","80,000,000","60,000,000","60,000,000","59,418,000","48,409,000","764,000",,,,,,,,"5,502,000",,,,,"0","0","0","73,564,000","75,822,000","12,133,000",,,,,,"0","0","0","0","1,004,000","999,000","1,500,000","4,410,000",,"10,939,000",,,,
		Receivables,"317,301,000","355,987,000","267,031,000","311,249,000","320,485,000","263,838,000","279,437,000","278,441,000","281,424,000","224,129,000","258,616,000","238,752,000","243,035,000","234,244,000","238,072,000","231,837,000","223,802,000","209,685,000","195,816,000","193,647,000","189,682,000","186,371,000","187,604,000","160,775,000","154,986,000","124,805,000","113,271,000","114,075,000","93,833,000","75,480,000","88,304,000","78,130,000","56,143,000","34,374,000","31,428,000","24,999,000","21,383,000","22,081,000","14,095,000","11,955,000","12,313,000","9,202,000","9,197,000","7,012,000","6,643,000","6,686,000","5,221,000","5,310,000","5,389,000","6,566,000","6,462,000","6,167,000","5,380,000","3,597,000"
			AccountsReceivable,"317,301,000","355,987,000","267,031,000","311,249,000","320,485,000","263,838,000","279,437,000","278,441,000","281,424,000","224,129,000","258,616,000","238,752,000","243,035,000","234,244,000","238,072,000","231,837,000","223,802,000","209,685,000","195,816,000","193,647,000","189,682,000","186,371,000","187,604,000","160,775,000","154,986,000","124,805,000","113,271,000","114,075,000","93,833,000","75,480,000","88,304,000","78,130,000","56,143,000","34,374,000","31,428,000","24,999,000","21,383,000","22,081,000","14,095,000","11,955,000","12,313,000","9,202,000","9,197,000","7,012,000","6,643,000","6,686,000","5,221,000","5,310,000","5,389,000","6,566,000","6,462,000","6,167,000","5,380,000","3,597,000"
				GrossAccountsReceivable,,"357,283,000",,,,"264,372,000",,,,"228,291,000",,,,"239,398,000",,,,"213,378,000",,,,"189,854,000",,,,"128,485,000",,,,"79,259,000",,,"57,630,000","34,740,000","31,782,000","25,292,000",,,,,,,,,,,,,,,,,,
