name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005
TotalRevenue,"9,728,345,000","2,271,355,000","2,339,370,000","2,419,500,000","2,813,389,000","2,737,556,000","2,902,875,000","2,903,050,000","3,133,957,000","2,961,313,000","2,918,035,000","2,479,533,000","2,262,647,000","2,040,081,000","1,849,581,000","1,856,051,000","1,862,841,000","1,655,502,000","1,809,948,000","1,945,355,000","1,996,071,000","2,126,075,000","2,154,576,000","2,218,346,000","2,203,742,000","2,149,393,000","2,116,012,000","2,143,800,000","2,134,400,000","2,135,730,000","2,070,952,000","2,197,955,000","2,157,216,000","2,181,931,000","2,197,598,000","2,467,100,000","2,345,628,000","2,146,873,000","1,927,531,000","1,877,234,000","1,926,640,000","1,650,599,000","1,365,200,000","1,278,835,000","1,140,300,000","1,174,655,000","1,689,736,000","2,447,675,000","2,374,792,000","2,427,678,000","2,081,674,000","2,343,350,000","1,961,064,000","1,798,293,000","1,587,528,000","1,743,491,000","1,709,072,000","1,528,883,000","1,309,917,000","1,309,918,000","913,923,000","913,923,000"
	OperatingRevenue,"9,728,345,000","2,271,355,000","2,339,370,000","2,419,500,000","2,813,389,000","2,737,556,000","2,902,875,000","2,903,050,000","3,133,957,000","2,961,313,000","2,918,035,000","2,479,533,000","2,262,647,000","2,040,081,000","1,849,581,000","1,856,051,000","1,862,841,000","1,655,502,000","1,809,948,000","1,945,355,000","1,996,071,000","2,126,075,000","2,154,576,000","2,218,346,000","2,203,742,000","2,149,393,000","2,116,012,000","2,143,800,000","2,134,400,000","2,135,730,000","2,070,952,000","2,197,955,000","2,157,216,000","2,181,931,000","2,197,598,000","2,467,100,000","2,345,628,000","2,146,873,000","1,927,531,000","1,877,234,000","1,926,640,000","1,650,599,000","1,365,200,000","1,278,835,000","1,140,300,000","1,174,655,000","1,689,736,000","2,447,675,000","2,374,792,000","2,427,678,000","2,081,674,000","2,343,350,000","1,961,064,000","1,798,293,000","1,587,528,000","1,743,491,000","1,709,072,000","1,528,883,000","1,309,917,000","1,309,918,000","913,923,000","913,923,000"
CostOfRevenue,"8,157,870,000","1,920,477,000","2,016,372,000","1,994,086,000","2,325,047,000","2,216,554,000","2,271,729,000","2,012,636,000","2,233,024,000","2,203,492,000","2,321,459,000","1,916,963,000","1,668,168,000","1,496,435,000","1,416,576,000","1,291,278,000","1,389,727,000","1,286,809,000","1,438,376,000","1,620,842,000","1,689,751,000","1,728,303,000","1,765,055,000","1,759,726,000","1,763,013,000","1,637,375,000","1,610,192,000","1,679,200,000","1,653,800,000","1,657,096,000","1,731,647,000","1,751,446,000","1,689,083,000","1,712,302,000","1,739,652,000","1,909,500,000","1,770,095,000","1,675,074,000","1,604,471,000","1,448,149,000","1,398,989,000","1,215,577,000","1,011,737,000","1,005,363,000","1,048,700,000","1,044,572,000","1,358,340,000","1,732,798,000","1,584,120,000","1,766,892,000","1,562,455,000","1,700,955,000","1,308,740,000","1,223,890,000","1,153,740,000","1,082,402,000","1,078,057,000","987,185,000",,,"452,960,000",
GrossProfit,"1,570,475,000","350,878,000","322,998,000","425,414,000","488,342,000","521,002,000","631,146,000","890,414,000","900,933,000","757,821,000","596,576,000","562,570,000","594,479,000","543,646,000","433,005,000","564,773,000","473,114,000","368,693,000","371,572,000","324,513,000","306,320,000","397,772,000","389,521,000","458,620,000","440,729,000","512,018,000","505,820,000","464,600,000","480,600,000","478,634,000","339,305,000","446,509,000","468,133,000","469,629,000","458,046,000","557,600,000","575,533,000","471,799,000","323,060,000","429,085,000","527,651,000","436,954,000","353,463,000","273,472,000","91,600,000","130,083,000","331,396,000","714,877,000","790,672,000","660,786,000","519,219,000","642,395,000","652,324,000","574,403,000","433,788,000","661,089,000","631,015,000","541,698,000",,,"460,963,000",
OperatingExpense,"877,518,000","215,202,000","225,369,000","201,045,000","250,091,000","213,718,000","223,802,000","201,118,000","250,585,000","234,750,000","246,610,000","212,725,000","201,657,000","179,495,000","186,305,000","165,625,000","179,600,000","166,337,000","179,950,000","184,011,000","203,251,000","193,626,000","198,241,000","144,076,000","209,381,000","193,029,000","210,197,000","198,600,000","204,700,000","206,828,000","208,854,000","197,638,000","210,556,000","186,442,000","180,258,000","205,600,000","226,888,000","180,775,000","189,376,000","161,518,000","168,464,000","141,523,000","110,362,000","114,594,000","143,700,000","156,566,000","172,563,000","189,995,000","180,315,000","225,931,000","227,471,000","209,834,000","201,698,000","158,987,000","174,629,000","152,884,000","154,335,000","149,174,000",,,"190,690,000",
	SellingGeneralAndAdministration,"649,552,000","157,460,000","166,221,000","208,303,000","250,443,000","162,537,000","182,299,000","205,951,000","245,001,000","174,482,000","171,406,000","211,249,000","189,048,000","172,275,000","143,986,000","168,442,000","180,020,000","164,016,000","133,359,000","188,043,000","204,799,000","151,386,000","154,019,000","206,180,000","212,976,000","148,457,000","8,311,000","209,900,000","215,800,000","161,421,000","21,896,000","197,638,000","211,382,000","144,980,000","-30,626,000","203,900,000","209,681,000","131,869,000","182,683,000","170,105,000","168,208,000","103,726,000","137,803,000","114,570,000","143,000,000","136,166,000","270,586,000","186,222,000","181,783,000","193,255,000","313,355,000","225,345,000","201,698,000","164,548,000","151,093,000","152,680,000","155,392,000","150,993,000",,,"84,699,000",
		GeneralAndAdministrativeExpense,"649,552,000","157,460,000","166,221,000",,,"162,537,000","182,299,000",,,"174,482,000","171,406,000",,,,"143,986,000",,,,"133,359,000",,,"151,386,000","154,019,000",,,"148,457,000",,,,"161,421,000",,,,"82,888,000",,,,"131,869,000",,,,"103,726,000",,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,"212,775,000","52,011,000","52,894,000",,,"54,696,000","63,126,000",,,"61,482,000","61,872,000",,,,"53,073,000",,,,"45,136,000",,,"56,481,000","55,024,000",,,"58,359,000",,,,"60,806,000",,,,"49,065,000",,,,"42,970,000",,,,"35,397,000",,,,,,,,,,,,,,,,,,,,
			OtherGandA,"436,777,000","105,449,000","113,327,000",,,"107,841,000","119,173,000",,,"113,000,000","109,534,000",,,,"90,913,000",,,,"88,223,000",,,"94,905,000","98,995,000",,,"90,098,000",,,,"100,615,000",,,,"33,823,000",,,,"88,899,000",,,,"68,329,000",,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"62,092,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
