name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,04/30/2015,04/30/2014,04/30/2013,04/30/2012,04/30/2011,04/30/2010,04/30/2009,04/30/2008,04/30/2007,04/30/2006,04/30/2005,04/30/2004,04/30/2003,04/30/2002
NetInterestIncome,"6,026,000","5,507,000","3,249,000","-9,092,000","-10,518,000",,"-9,684,716.528","-11,923,951.041","-7,692,155.661","391,333.592","739,985.187","397,578.902","460,677.64","1,506,478.418","784,155.096","518,567.338",,,,
NetIncomeFromContinuingAndDiscontinuedOperation,"652,812,000","560,080,000","273,943,000","132,426,000","42,107,000",,"16,455,285.635","-10,110,349.486","-3,602,980.414","42,058,170.108","21,258,244.63","-12,211,621.468","-8,780,881.183","-3,315,438.723","-7,568,194.096","-5,777,682.327","-22,323,755.351","-16,482,638.545","-3,443,376.966","-1,389,174.627"
NormalizedIncome,"642,512,447.035","575,836,390","271,167,865","159,453,696","56,768,780",,"16,455,285.635","-10,110,349.486","-3,602,980.414","42,058,170.108","21,354,496.328","-11,498,701.79","-8,780,881.183","-3,343,116.805","-7,568,194.096","-5,767,538.522","-22,323,755.351","-16,482,638.545","-3,443,376.966","-1,389,174.627"
EBIT,"934,665,000","799,104,000","395,806,000","205,671,000","84,212,000",,"33,975,100.007","-1,265,961.428","6,119,928.059","43,389,111.958","20,326,111.523","-11,619,034.15","-9,241,558.822","-3,242,289.509","-8,069,015.799","-6,457,934.676","-22,402,586.016","-16,035,520.946","-2,908,861.413","-1,296,231.492"
EBITDA,"1,155,125,000"
ReconciledCostOfRevenue,"642,443,000","486,387,000","427,568,000","458,366,000","273,022,000",,"141,206,410.459","148,551,948.23","122,538,885.705","100,205,857.775","70,422,672.733","49,645,812.626","35,175,419.022",,,"28,792,624.609","29,399,638.497","18,632,400.956","7,692,441.284",
ReconciledDepreciation,"220,460,000","168,921,000","133,718,000","148,655,000","59,066,000",,"28,514,400.246","23,788,574.401","19,569,342.056","14,045,207.183","8,308,772.617","4,087,506.1","3,581,546.258","3,851,207.295","3,138,615.69","3,447,972.26","1,866,446.012","896,064.484","547,968.155","143,849.234"
NetIncomeFromContinuingOperationNetMinorityInterest,"652,812,000","560,080,000","273,943,000","157,330,000","42,107,000",,"16,455,285.635","-10,110,349.486","-3,602,980.414","42,058,170.108","21,258,244.63","-12,211,621.468","-8,780,881.183","-3,315,438.723","-7,568,194.096","-5,777,682.327","-22,323,755.351","-16,482,638.545","-3,443,376.966","-1,389,174.627"
TotalUnusualItemsExcludingGoodwill,"14,722,000","-22,445,000","3,993,000","-2,648,000","-19,948,000",,,,,,"-129,196.91","-990,166.22",,"27,678.081",,"-11,439.821",,,,
TotalUnusualItems,"14,722,000","-22,445,000","3,993,000","-2,648,000","-19,948,000",,,,,,"-129,196.91","-990,166.22",,"27,678.081",,"-11,439.821",,,,
NormalizedEBITDA,"1,140,403,000","990,470,000","525,531,000","356,974,000","163,226,000",,"62,489,500.254","22,522,612.974","25,689,270.115","57,434,319.141","28,764,081.05","-6,541,361.83","-5,660,012.564","581,239.705","-4,930,400.108","-2,998,522.595","-19,849,002.695","-14,760,136.868","-2,195,515.567","-1,152,382.258"
TaxRateForCalcs,"0.3","0.298","0.305","0.198","0.265",,"0.224","0.291","0.25","0.025","0.255","0.28","0.29","0","0.072","0.113","0.034","0.4","0.4","0.4"
TaxEffectOfUnusualItems,"4,422,447.035","-6,688,610","1,217,865","-524,304","-5,286,220",,"0","0","0","0","-32,945.212","-277,246.542","0","0","0","-1,296.016","0","0","0","0"
