name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2006
MarketCap,"2,270,338,076","2,729,212,916","2,239,188,251","2,351,380,607","2,363,001,507","1,661,103,508","2,608,209,614","2,215,893,543","1,851,938,217","1,211,865,632","1,197,131,340","764,141,982","724,803,357"
EnterpriseValue,"3,580,542,814","4,446,221,000","3,329,977,200","3,551,297,373","3,001,409,403","2,905,249,551","3,605,537,457","2,993,850,284","2,690,941,380","1,247,696,831","1,855,866,942","1,446,746,317","1,065,389,003"
PeRatio,"9.465","11.835","9.651","34.741","22.598","16.066","53.006","19.228",,,"11.603",,
ForwardPeRatio,"14.771","10.776","9.443","13.928","13.986","12.563","14.164","13.755",,,,,
PsRatio,"0.611","0.74","0.657","0.621","0.873","0.571","0.839","0.859",,,"0.606",,
PbRatio,"1.74","2.418","1.976","2.073","2.272","2.354","3.216","2.993",,,"1.972",,
EnterprisesValueRevenueRatio,"0.69","0.859","0.65","0.749","0.746","0.721","0.971","0.963","0.857","0.464","0.927","0.783","0.594"
EnterprisesValueEBITDARatio,"3.913","4.967","4.775","7.983","6.859","6.648","9.49","11.993","6.671","3.87","6.14","7.617","-1.031"
