name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005
TotalRevenue,"4,685,252,000","1,165,079,000","1,194,826,000","1,139,184,000","1,186,163,000","1,162,093,000","1,153,358,000","1,132,460,000","1,130,981,000","1,120,294,000","1,197,837,000","1,201,441,000","1,157,562,000","1,156,962,000","1,220,872,000","1,179,849,000","1,177,236,000","1,289,666,000","1,285,446,000","1,245,689,000","1,234,279,000","1,229,095,000","1,263,846,000","1,222,107,000","763,286,000","249,206,000","261,750,000","262,508,000","230,009,000","227,750,000","220,213,000","269,113,000","252,555,000","257,278,000","183,835,000","337,175,000","363,613,000","361,583,000","397,012,000","477,340,000","593,126,000","364,036,000","277,455,000","212,510,000","294,695,000","205,881,000","326,432,000","301,934,000","333,353,000","294,533,000","284,559,000","335,874,000","246,616,000","309,472,000","211,623,000","200,932,000","200,932,000","200,932,000","151,717,000","123,270,000","123,270,000","123,270,000"
	OperatingRevenue,"4,685,252,000","1,165,079,000","1,194,826,000","1,139,184,000","1,186,163,000","1,162,093,000","1,153,358,000","1,132,460,000","1,130,981,000","1,120,294,000","1,197,837,000","1,201,441,000","1,157,562,000","1,156,962,000","1,220,872,000","1,179,849,000","1,177,236,000","1,289,666,000","1,285,446,000","1,245,689,000","1,234,279,000","1,229,095,000","1,263,846,000","1,222,107,000","763,286,000","249,061,000","261,533,000","258,005,000","229,768,000","226,841,000","218,201,000","269,113,000","252,555,000","257,497,000","183,835,000","337,175,000","363,613,000","361,583,000","397,012,000","477,340,000","593,126,000","362,714,000","285,111,000","210,077,000","292,093,000","205,881,000","307,917,000","301,934,000","333,353,000","294,533,000","284,559,000","335,874,000","246,616,000","309,472,000","256,293,000","186,042,000","186,042,000","186,042,000","113,787,000","113,788,000","113,788,000","113,788,000"
CostOfRevenue,"1,965,596,000","519,095,000","502,771,000","459,393,000","484,337,000","517,570,000","551,801,000","497,536,000","521,043,000","555,181,000","566,587,000","566,161,000","571,350,000","560,950,000","576,839,000","568,580,000","594,433,000","634,014,000","598,028,000","592,620,000","632,812,000","544,914,000","587,003,000","484,061,000","298,897,000","102,568,000","106,429,000","92,989,000","93,749,000","93,586,000","435,588,000","0","0","0","-144,021,000","78,057,000","78,965,000","86,926,000","125,779,000","202,053,000","316,747,000","156,138,000","82,694,000","39,973,000","105,496,000","33,824,000","146,596,000","108,850,000","163,253,000","113,659,000","109,122,000","155,755,000","72,905,000","124,240,000","64,116,000","76,263,000",,,,,,
GrossProfit,"2,719,656,000","645,984,000","692,055,000","679,791,000","701,826,000","644,523,000","601,557,000","634,924,000","609,938,000","565,113,000","631,250,000","635,280,000","586,212,000","596,012,000","644,033,000","611,269,000","582,803,000","655,652,000","687,418,000","653,069,000","601,467,000","684,181,000","676,843,000","738,046,000","464,389,000","146,638,000","155,321,000","169,519,000","136,260,000","134,164,000","-215,375,000","269,113,000","252,555,000","257,278,000","327,856,000","259,118,000","284,648,000","274,657,000","271,233,000","275,287,000","276,379,000","207,898,000","194,761,000","172,537,000","189,199,000","172,057,000","179,836,000","193,084,000","170,100,000","180,874,000","175,437,000","180,119,000","173,711,000","185,232,000","147,507,000","124,669,000",,,,,,
OperatingExpense,"251,496,000","59,946,000","67,037,000","62,367,000","62,146,000","63,463,000","65,069,000","61,064,000","81,886,000","82,668,000","92,956,000","80,997,000","80,938,000","79,974,000","93,196,000","75,075,000","81,971,000","82,472,000","71,727,000","80,826,000","59,943,000","82,626,000","81,493,000","80,620,000","53,503,000","18,358,000","16,307,000","18,972,000","19,042,000","13,992,000","-333,951,000","140,464,000","133,051,000","126,355,000","183,838,000","122,153,000","163,679,000","128,804,000","142,803,000","132,549,000","137,198,000","107,637,000","96,327,000","99,340,000","105,490,000","102,167,000","116,021,000","88,184,000","72,890,000","76,035,000","73,967,000","63,805,000","65,128,000","64,444,000","113,494,000","46,024,000",,,,,,
	SellingGeneralAndAdministration,"265,169,000","64,584,000","71,330,000","64,712,000","64,543,000","66,873,000","70,771,000","63,401,000","85,272,000","85,782,000","96,256,000","83,920,000","84,633,000","83,482,000","96,768,000","80,750,000","86,466,000","87,028,000","103,579,000","91,191,000","91,458,000","95,080,000","116,482,000","93,752,000","63,069,000","22,800,000","21,394,000","23,790,000","24,152,000","19,628,000","-41,161,000","47,100,000","39,964,000","37,327,000","92,982,000","32,018,000","62,433,000","28,839,000","48,833,000","42,089,000","50,825,000","43,520,000","36,829,000","41,722,000","53,126,000","49,688,000","-3,867,000","42,855,000","33,363,000","37,560,000","39,152,000","28,662,000","27,905,000","30,476,000","83,454,000","21,908,000",,,,,,
		GeneralAndAdministrativeExpense,"265,169,000","64,584,000","71,330,000","64,712,000","64,543,000","66,873,000","70,771,000","63,401,000","85,272,000","85,782,000","96,256,000","83,920,000","84,633,000","83,482,000","96,768,000","80,750,000","86,466,000","87,028,000","103,579,000","91,191,000","91,458,000","95,080,000","116,482,000","93,752,000","63,069,000","22,800,000","21,394,000","23,790,000","24,152,000","19,628,000","-41,161,000","47,100,000","39,964,000","37,327,000",,,,,"48,833,000","42,089,000","50,825,000","43,520,000","36,829,000","41,722,000","53,126,000","49,688,000",,,,,,,,,,,,,,,,
			SalariesAndWages,"190,977,000","44,677,000","51,129,000","46,700,000","47,736,000","49,340,000","51,823,000","45,468,000","68,675,000","65,073,000","77,067,000","63,813,000","63,994,000","62,917,000","74,243,000","59,716,000","60,178,000","61,261,000","73,642,000","61,777,000","60,838,000","68,652,000","79,089,000","66,208,000","42,164,000","2,400,000","15,010,000","17,135,000","14,044,000","12,858,000","16,541,000","10,912,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			RentAndLandingFees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23,314,000","17,866,000","18,477,000",,,,,"15,093,000","20,379,000","15,926,000","13,641,000","3,424,000","13,916,000","25,349,000","22,475,000",,,,,,,,,,,,,,,,
			OtherGandA,"74,192,000","19,907,000","20,201,000","18,012,000","16,807,000","17,533,000","18,948,000","17,933,000","16,597,000","20,709,000","19,189,000","20,107,000","20,639,000","20,565,000","22,525,000","21,034,000","26,288,000","25,767,000","29,937,000","29,414,000","30,620,000","26,428,000","37,393,000","27,544,000","20,905,000","20,400,000","6,384,000","6,655,000","10,108,000","6,770,000","1,955,000","12,874,000","22,098,000","18,850,000",,,,,"33,740,000","21,710,000","34,899,000","29,879,000","33,405,000","27,806,000","27,777,000","27,213,000",,,,,,,,,,,,,,,,
