name,ttm,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019
MarketCap,"30,873,026,180","36,333,650,000","38,326,693,859","41,489,904,240","48,436,052,966","34,908,737,456"
EnterpriseValue,"75,419,026,180","81,505,650,000","82,289,693,859","87,111,904,240","92,281,052,966","66,091,737,456"
PeRatio,"6.924","9.232","15.474",,,
ForwardPeRatio,"7.262","7.283","7.375","8.953","10.616","7.457"
PegRatio,"0.981","1.858","1.292","0.738","0.681",
PsRatio,"0.34","0.387","0.418","0.455","0.433","0.395"
PbRatio,,,,,,"4.598"
EnterprisesValueRevenueRatio,"0.818","3.392","3.602","3.728","4.212","2.772"
EnterprisesValueEBITDARatio,"8.557","36.128","35.67","41.901","42.487","28.451"
