name,06/30/2019,06/30/2018,06/30/2017,06/30/2016,06/30/2015,06/30/2014,06/30/2013,06/30/2012,06/30/2011,06/30/2010,06/30/2009,06/30/2008,06/30/2007,06/30/2006,06/30/2005,06/30/2004,06/30/2003,06/30/2002,06/30/2001,06/30/2000,06/30/1999,06/30/1998,06/30/1997,06/30/1996,06/30/1995,06/30/1994,06/30/1993,06/30/1992,06/30/1991,06/30/1990,06/30/1989,06/30/1988,06/30/1987,06/30/1986
TotalAssets,"2,331,697,000","2,285,741,000","1,387,595,000","1,312,529,000","1,434,968,000","1,334,169,000","1,058,706,000","962,183,000","914,931,000","891,520,000","809,328,000","798,771,000","777,369,000","730,671,000","690,170,000","596,841,000","553,404,000","534,566,000","578,854,000","594,667,000","574,300,000","606,100,000","394,100,000","404,100,000","359,200,000","343,500,000","315,900,000","330,600,000","327,900,000","380,200,000","251,400,000","223,000,000","223,200,000","231,900,000"
	CurrentAssets,"1,148,138,000","1,058,020,000","882,542,000","781,626,000","859,305,000","836,148,000","737,280,000","665,762,000","618,914,000","618,860,000","525,594,000","606,197,000","600,533,000","558,444,000","527,501,000","443,033,000","400,494,000","381,058,000","406,460,000","414,991,000","389,200,000","414,900,000","285,500,000","295,100,000","265,400,000","249,200,000","221,200,000","233,900,000","235,200,000","300,400,000","187,400,000","167,300,000","168,600,000","177,500,000"
		CashCashEquivalentsAndShortTermInvestments,"108,219,000","54,150,000","105,057,000","59,861,000","69,470,000","71,189,000","73,164,000","78,442,000","91,092,000","175,777,000","27,642,000","101,830,000","119,665,000","106,428,000","127,136,000","69,667,000","55,079,000","23,060,000","13,981,000","12,349,000","19,200,000","9,300,000","22,400,000","9,200,000","4,800,000","10,900,000","4,600,000","9,300,000","8,400,000","5,700,000","7,100,000","2,300,000","22,100,000","11,000,000"
			CashAndCashEquivalents,"108,219,000","54,150,000","105,057,000","59,861,000","69,470,000","71,189,000","73,164,000","78,442,000","91,092,000","175,777,000","27,642,000","101,830,000","119,665,000","106,428,000","127,136,000","69,667,000","55,079,000","23,060,000","13,981,000","12,349,000","19,200,000","9,300,000","22,400,000","9,200,000","4,800,000","10,900,000","4,600,000","9,300,000","8,400,000","5,700,000","7,100,000","2,300,000","22,100,000","11,000,000"
		Receivables,"540,902,000","548,811,000","390,931,000","347,857,000","376,305,000","375,732,000","329,880,000","307,043,000","290,751,000","246,402,000","198,792,000","245,119,000","248,698,000","231,524,000","202,226,000","190,815,000","173,915,000","180,904,000","190,935,000","212,254,000","195,700,000","206,300,000","153,100,000","155,500,000","145,700,000","129,800,000","113,000,000","110,000,000","104,200,000","128,800,000","79,100,000","70,400,000","62,700,000","60,300,000"
			AccountsReceivable,"540,902,000","548,811,000","390,931,000","347,857,000","376,305,000","375,732,000","329,880,000","307,043,000","290,751,000","246,402,000","198,792,000","245,119,000","248,698,000","231,524,000","202,226,000","190,815,000","173,915,000","180,904,000","190,935,000",,,,,,,,,,,,,,,
				GrossAccountsReceivable,"551,400,000","562,377,000","400,559,000","358,891,000","386,926,000","386,117,000","337,617,000","315,375,000","297,767,000",,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-10,498,000","-13,566,000","-9,628,000","-11,034,000","-10,621,000","-10,385,000","-7,737,000","-8,332,000","-7,016,000",,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"447,555,000","422,069,000","345,145,000","338,221,000","362,419,000","335,747,000","281,417,000","228,506,000","204,066,000","173,253,000","254,690,000","210,723,000","199,886,000","190,537,000","175,533,000","159,594,000","159,798,000","166,083,000","191,570,000","182,102,000","169,700,000","192,000,000","103,100,000","127,900,000","112,600,000","106,200,000","95,000,000","101,700,000","111,200,000","155,400,000","96,700,000","92,500,000","81,500,000","93,600,000"
			OtherInventories,"599,209,000","561,232,000","482,718,000","485,465,000",,"487,160,000","427,125,000","373,262,000","341,712,000","316,424,000","421,578,000","360,818,000","341,230,000","328,166,000",,,"274,375,000",,"300,465,000",,,,,,,,,,,,,,,
			InventoriesAdjustmentsAllowances,"-151,654,000","-139,163,000","-137,573,000","-147,244,000",,"-151,413,000","-145,708,000","-144,756,000","-137,646,000","-143,171,000","-166,888,000","-150,095,000","-141,344,000","-137,629,000",,,"-114,577,000",,"-108,895,000",,,,,,,,,,,,,,,
		OtherCurrentAssets,"51,462,000","32,990,000","41,409,000","35,687,000","51,111,000","53,480,000","52,819,000","51,771,000","33,005,000","23,428,000","44,470,000","48,525,000","32,284,000","29,955,000","22,606,000","22,957,000","11,702,000","11,011,000","9,974,000","8,286,000","4,600,000","7,300,000","6,900,000","2,500,000","2,300,000","2,300,000","8,600,000","12,900,000","11,400,000","10,500,000","4,500,000","2,100,000","2,300,000","12,600,000"
	TotalNonCurrentAssets,"1,183,559,000","1,227,721,000","505,053,000","530,903,000","575,663,000","498,021,000","321,426,000","296,421,000","296,017,000","272,660,000","283,734,000","192,574,000","176,836,000","172,227,000","162,669,000","153,808,000","152,910,000","153,508,000","172,394,000","179,676,000","185,100,000","191,200,000","108,600,000","109,000,000","93,800,000","94,300,000","94,700,000","96,700,000","92,700,000","79,800,000","64,000,000","55,700,000","54,600,000","54,400,000"
		NetPPE,"124,303,000","121,343,000","108,068,000","107,765,000","104,447,000","103,596,000","83,243,000","83,103,000","69,014,000","58,471,000","62,735,000","64,997,000","67,788,000","70,794,000","71,441,000","77,025,000","77,942,000","83,095,000","90,263,000","97,200,000","107,200,000","113,100,000","90,800,000","86,300,000","79,300,000","80,100,000","80,100,000","82,600,000","78,100,000","70,400,000","58,400,000","50,000,000","51,500,000","52,200,000"
