name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003
TotalAssets,"12,935,533,000","12,547,862,000","12,122,566,000","8,322,870,000","8,062,593,000","9,606,159,000","10,372,624,000","10,866,999,000","10,746,574,000","11,112,331,000","10,292,673,000","10,671,247,000","13,767,310,000","8,770,539,000","8,659,981,000","2,646,630,000","2,186,888,000"
	CurrentAssets,"4,178,213,000","4,426,038,000","4,395,283,000","2,700,314,000","2,582,204,000","3,348,869,000","3,219,462,000","3,655,628,000","5,554,228,000","5,522,932,000","5,033,292,000","5,179,839,000","4,378,871,000","2,646,213,000","2,543,558,000","918,220,000","576,078,000"
		CashCashEquivalentsAndShortTermInvestments,"732,167,000","292,854,000","470,465,000","328,233,000","388,594,000","363,205,000","475,852,000","720,116,000","2,576,561,000","2,627,816,000","2,142,642,000","2,474,460,000","1,191,378,000","643,352,000","765,630,000","194,875,000","129,020,000"
			CashAndCashEquivalents,"519,896,000","248,325,000","337,729,000","183,380,000","151,403,000","213,210,000","306,349,000","559,366,000","2,158,591,000","1,779,416,000","2,095,798,000","1,065,552,000","1,126,041,000","643,352,000","765,630,000","194,875,000","129,020,000"
				CashFinancial,"115,575,000","87,863,000","100,739,000","70,711,000","45,610,000","75,354,000","102,465,000","98,052,000",,,,,,,,,
				CashEquivalents,"404,321,000","160,462,000","236,990,000","112,669,000","105,793,000","137,856,000","203,884,000","461,314,000",,,,,,,,,
			OtherShortTermInvestments,"212,271,000","44,529,000","132,736,000","144,853,000","237,191,000","149,995,000","169,503,000","160,750,000","417,970,000","848,400,000","46,844,000","1,408,908,000","65,337,000",,,,
		Receivables,"1,284,385,000","1,438,220,000","1,368,771,000","713,565,000","600,948,000","832,443,000","783,841,000","922,352,000","840,593,000","758,075,000","574,135,000","871,983,000","1,273,865,000","750,134,000","764,062,000","380,304,000",
			AccountsReceivable,"949,672,000","1,128,470,000","1,006,598,000","633,745,000","511,464,000","720,214,000","671,453,000","735,140,000","735,002,000","663,502,000","437,835,000","622,992,000","847,827,000","577,866,000","472,760,000","171,605,000",
				GrossAccountsReceivable,"962,633,000","1,142,816,000","1,023,141,000","639,764,000","519,049,000","731,586,000","684,256,000","750,444,000",,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-12,961,000","-14,346,000","-16,543,000","-6,019,000","-7,585,000","-11,372,000","-12,803,000","-15,304,000",,,,,,,,,
			TaxesReceivable,"276,241,000","246,895,000","259,430,000","48,056,000","53,014,000","67,051,000","69,952,000","113,927,000",,,,,,,,,
			OtherReceivables,"54,776,000","53,319,000","73,553,000","31,055,000","35,229,000","39,737,000","36,855,000","71,513,000","105,591,000","94,573,000","136,300,000","248,991,000","426,038,000","172,268,000","291,302,000","208,699,000",
			DuefromRelatedPartiesCurrent,"3,696,000","9,536,000","29,190,000","709,000","1,241,000","5,441,000","5,581,000","1,772,000",,,,,,,,,
		Inventory,"2,158,298,000","2,689,829,000","2,550,930,000","1,647,869,000","1,579,120,000","2,134,034,000","1,941,130,000","2,000,137,000","2,137,024,000","1,953,390,000","1,350,568,000","1,826,547,000","1,913,051,000","1,241,325,000","1,000,119,000","254,286,000",
			RawMaterials,"731,901,000","850,182,000","616,870,000","401,481,000","364,367,000","539,611,000","560,720,000","575,212,000","593,903,000","523,832,000","438,231,000","708,333,000","732,437,000","519,530,000","578,088,000","125,711,000",
			WorkInProcess,"975,553,000","1,187,071,000","1,251,779,000","811,378,000","761,086,000","1,119,123,000","934,909,000","1,001,625,000","1,188,967,000","1,081,766,000","757,465,000","1,088,362,000","672,656,000","458,839,000","282,358,000","71,228,000",
			FinishedGoods,"513,011,000","708,030,000","718,478,000","468,443,000","486,112,000","523,318,000","493,326,000","489,402,000","414,614,000","415,985,000","213,025,000","315,670,000","360,526,000","262,873,000","192,492,000","69,871,000",
			OtherInventories,,,,,,,,,,,,,"229,934,000","78,862,000",,,
			InventoriesAdjustmentsAllowances,"-62,167,000","-55,454,000","-36,197,000","-33,433,000","-32,445,000","-48,018,000","-47,825,000","-66,102,000","-60,460,000","-68,193,000","-58,153,000","-285,818,000","-82,502,000","-78,779,000","-52,819,000","-12,524,000",
		PrepaidAssets,"39,708,000","38,980,000","63,915,000","19,016,000","25,886,000","26,013,000","21,058,000","46,882,000",,,,,,"3,550,000",,,
		RestrictedCash,"69,000","2,216,000","50,000","83,000","88,000","93,000","869,000","941,000",,,,,,,,,
		AssetsHeldForSaleCurrent,"2,098,000","2,149,000","2,763,000","10,248,000","11,667,000","14,756,000","17,770,000","12,018,000",,,,,,,,,
		HedgingAssetsCurrent,"1,196,000","770,000","2,304,000","316,000","1,787,000","4,338,000","0","64,000","50,000","212,000",,,,,,,
		OtherCurrentAssets,,,,,,,,,,"183,439,000","965,947,000","6,849,000","577,000","7,852,000","13,747,000","88,755,000","447,058,000"
	TotalNonCurrentAssets,"8,757,320,000","8,121,824,000","7,727,283,000","5,622,556,000","5,480,389,000","6,257,290,000","7,153,162,000","7,211,371,000","5,192,346,000","5,589,399,000","5,259,381,000","5,491,408,000","9,388,439,000","6,124,326,000","6,116,423,000","1,728,410,000","1,610,810,000"
		NetPPE,"6,663,620,000","5,917,106,000","5,454,423,000","4,238,173,000","4,309,116,000","4,370,941,000","4,797,591,000","4,516,364,000","4,032,675,000","4,262,896,000","4,040,415,000","4,212,313,000","6,858,779,000","5,420,683,000","5,463,871,000","1,244,691,000","1,275,699,000"
			GrossPPE,"13,099,269,000","11,940,644,000","8,534,100,000","7,151,931,000","6,933,717,000","7,284,682,000","7,511,686,000","7,375,993,000","6,810,731,000","6,978,608,000","6,530,566,000","6,561,686,000","9,530,579,000","7,722,101,000","10,244,627,000","3,118,099,000","1,275,699,000"
				MineralProperties,"276,258,000","239,412,000","226,529,000","208,620,000","194,107,000","181,097,000","157,128,000","137,979,000",,,,,,,,,
				LandAndImprovements,"594,435,000","587,174,000","562,042,000","528,991,000","528,435,000","527,467,000","503,267,000","498,757,000","476,987,000","489,750,000","424,722,000","412,087,000","523,693,000","311,516,000","314,996,000","23,427,000",
				BuildingsAndImprovements,"3,412,904,000","3,303,174,000","2,096,959,000","1,590,063,000","1,505,296,000","1,717,832,000","1,839,727,000","1,768,194,000","1,720,296,000","1,799,404,000","1,511,825,000","1,536,847,000","2,011,957,000","1,556,693,000","2,128,951,000","682,576,000",
				MachineryFurnitureEquipment,"7,200,368,000","7,068,714,000","5,079,361,000","4,403,791,000","4,161,889,000","4,419,850,000","4,208,575,000","3,897,078,000","4,065,546,000","4,333,976,000","4,024,494,000","4,030,337,000","6,575,728,000","5,477,022,000","7,631,978,000","2,375,231,000",
				OtherProperties,"495,956,000","124,220,000","113,188,000","82,652,000","87,858,000","85,811,000","61,435,000","52,633,000",,"37,148,000","181,804,000","202,365,000","70,425,000","25,587,000","18,619,000",,
				ConstructionInProgress,"1,119,348,000","617,950,000","456,021,000","337,814,000","456,132,000","352,625,000","741,554,000","1,021,352,000","547,902,000","318,330,000","387,721,000","380,050,000","348,776,000","351,283,000","150,083,000","36,865,000",
			AccumulatedDepreciation,"-6,435,649,000","-6,023,538,000","-3,079,677,000","-2,913,758,000","-2,624,601,000","-2,913,741,000","-2,714,095,000","-2,859,629,000","-2,778,056,000","-2,715,712,000","-2,490,151,000","-2,349,373,000","-2,671,800,000","-2,301,418,000","-4,780,756,000","-1,873,408,000",
		GoodwillAndOtherIntangibleAssets,"819,799,000","913,027,000","987,909,000","740,361,000","786,656,000","1,058,972,000","872,808,000","886,959,000","986,072,000","1,129,348,000","1,085,412,000","1,136,367,000","1,452,230,000","551,587,000","552,882,000","10,049,000",
			Goodwill,"662,307,000","662,307,000","662,307,000","662,307,000","662,307,000","662,307,000","662,307,000","663,807,000",,,,,,"397,493,000","399,694,000",,
			OtherIntangibleAssets,"157,492,000","250,720,000","325,602,000","78,054,000","124,349,000","396,665,000","210,501,000","223,152,000","986,072,000","1,129,348,000","1,085,412,000","1,136,367,000","1,452,230,000","154,094,000","153,188,000","10,049,000",
		InvestmentsAndAdvances,"516,901,000","502,436,000","481,728,000","424,377,000","250,412,000","748,178,000","1,375,165,000","1,717,651,000","23,398,000","43,787,000","22,991,000","22,533,000",,,,,
			LongTermEquityInvestment,"513,648,000","495,241,000","478,348,000","418,379,000","250,412,000","748,178,000","1,375,165,000","1,710,514,000",,,,,,,,,
			OtherInvestments,"3,253,000","7,195,000","3,380,000","5,998,000",,,"0","7,137,000",,,,,,,,,
		FinancialAssets,"0","818,000",,,,"0","1,535,000",,,,,,,,,,
		NonCurrentAccountsReceivable,"593,462,000","654,213,000","682,131,000","133,850,000","36,147,000","47,573,000","81,161,000","77,856,000","131,727,000","56,471,000","101,317,000","120,195,000",,,,,
		DuefromRelatedPartiesNonCurrent,"126,948,000","151,388,000","126,859,000","103,525,000","10,419,000","0","43,000","115,000",,,,,,,,,
		NonCurrentDeferredAssets,"163,538,000","134,224,000","121,092,000","85,795,000","98,058,000","31,626,000","24,902,000","12,541,000","8,101,000","12,387,000",,"0","31,793,000","36,439,000","29,126,000",,
			NonCurrentDeferredTaxesAssets,"163,538,000","134,224,000","121,092,000","85,795,000","98,058,000","31,626,000","24,902,000","12,541,000","8,101,000","12,387,000",,"0","31,793,000","36,439,000","29,126,000",,
		NonCurrentPrepaidAssets,"59,478,000","84,659,000","35,157,000","11,248,000","13,651,000","23,489,000","28,868,000","69,453,000",,,,,,,,,
		OtherNonCurrentAssets,,,,"-100,000",,,,,"10,373,000","84,510,000","9,246,000",,"1,045,637,000","115,617,000","70,544,000","473,670,000","335,111,000"
TotalLiabilitiesNetMinorityInterest,"5,220,660,000","5,063,286,000","6,269,795,000","3,156,277,000","3,259,596,000","3,971,456,000","4,034,580,000","4,371,353,000","3,905,375,000","4,096,230,000","4,031,434,000","5,109,783,000","7,400,420,000","3,283,398,000","5,084,062,000","874,779,000","2,186,888,000"
	CurrentLiabilities,"1,768,125,000","1,826,530,000","2,827,274,000","1,831,492,000","1,700,617,000","2,091,386,000","1,849,159,000","2,125,446,000","1,970,600,000","1,555,636,000","1,158,767,000","1,734,819,000","1,771,586,000","1,407,504,000","1,393,433,000","515,269,000","257,154,000"
		PayablesAndAccruedExpenses,"1,128,807,000","1,347,117,000","1,243,933,000","988,740,000","757,155,000","811,756,000","1,036,884,000","985,366,000","784,372,000","882,988,000","516,138,000","632,786,000","983,884,000","621,754,000","555,330,000","194,943,000",
			Payables,"1,128,807,000","1,347,117,000","1,243,933,000","988,740,000","757,155,000","811,756,000","1,036,884,000","985,366,000","784,372,000","882,988,000","516,138,000","632,786,000","983,884,000","621,754,000","555,330,000","194,943,000",
				AccountsPayable,"876,803,000","904,171,000","897,732,000","603,119,000","568,478,000","564,513,000","755,880,000","762,225,000","677,747,000","588,086,000","412,967,000","438,711,000","983,884,000","621,754,000","555,330,000","194,943,000",
				TotalTaxPayable,"144,005,000","265,539,000","162,952,000","254,732,000","110,430,000","147,734,000","188,816,000","153,071,000","106,625,000","294,902,000","103,171,000","194,075,000",,,,,
					IncomeTaxPayable,"47,053,000","150,276,000","52,940,000","178,112,000","41,064,000","51,083,000","92,009,000","153,071,000",,,,,,,,,
				OtherPayable,"107,999,000","177,407,000","183,249,000","130,889,000","78,247,000","99,509,000","92,188,000","70,070,000",,,,,,,,,
		CurrentProvisions,"8,502,000","9,851,000","2,659,000","4,262,000","1,132,000","2,081,000",,,,,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,"600,328,000","407,886,000","1,513,600,000","821,893,000","913,786,000","1,264,208,000","797,944,000","1,121,610,000","1,041,550,000","513,083,000","539,525,000","941,460,000","407,404,000","508,694,000","516,399,000","121,998,000","80,238,000"
			CurrentDebt,,,,,,,,,"1,041,550,000","513,083,000","539,525,000","941,460,000","407,404,000","508,694,000","516,399,000","121,998,000","80,238,000"
				OtherCurrentBorrowings,,,,,,,,,,"513,083,000",,,,,,,
			BankIndebtedness,"559,782,000","399,856,000","1,505,570,000","821,893,000","913,786,000","1,264,208,000","797,944,000","1,121,610,000",,,,,,,,,
			CurrentCapitalLeaseObligation,"40,546,000","8,030,000","8,030,000",,,,,,,,,,,,,,
		CurrentDeferredLiabilities,,,,,,,,,"29,902,000",,,,,,,,
		OtherCurrentLiabilities,"30,488,000","61,676,000","67,082,000","16,597,000","28,544,000","13,341,000","14,331,000","18,470,000","114,776,000","159,565,000","103,104,000","160,573,000","380,298,000","277,056,000","321,704,000","198,328,000","176,916,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"3,452,535,000","3,236,756,000","3,442,521,000","1,324,785,000","1,558,979,000","1,880,070,000","2,185,421,000","2,245,907,000","1,934,775,000","2,540,594,000","2,872,667,000","3,374,964,000","5,628,834,000","1,875,894,000","3,690,629,000","359,510,000",
		LongTermProvisions,"639,908,000","668,504,000","796,346,000","25,251,000","26,415,000","30,811,000","33,837,000","17,499,000","15,340,000","16,144,000","18,913,000","24,400,000",,,,,
		LongTermDebtAndCapitalLeaseObligation,"1,927,111,000","1,702,899,000","1,785,342,000","396,742,000","607,237,000","900,611,000","1,204,880,000","1,302,753,000","948,495,000","1,426,574,000","1,787,204,000","2,325,867,000","3,677,497,000","548,401,000","2,399,878,000","1,008,000",
			LongTermDebt,"1,628,892,000","1,637,101,000","1,716,337,000","396,742,000","607,237,000","900,611,000","1,204,880,000","1,302,753,000","948,495,000","1,426,574,000","1,787,204,000","2,325,867,000","3,677,497,000","548,401,000","2,399,878,000","1,008,000",
			LongTermCapitalLeaseObligation,"298,219,000","65,798,000","69,005,000",,,,,,,,,,,,,,
		NonCurrentDeferredLiabilities,"403,278,000","474,431,000","513,357,000","609,004,000","609,514,000","586,523,000","605,883,000","682,091,000","748,999,000","877,742,000","857,297,000","810,160,000","1,337,039,000","985,155,000","1,048,188,000","337,473,000",
			NonCurrentDeferredTaxesLiabilities,"403,278,000","474,431,000","513,357,000","609,004,000","609,514,000","586,523,000","605,883,000","682,091,000","748,999,000","877,742,000","857,297,000","810,160,000","1,337,039,000","985,155,000","1,048,188,000","337,473,000",
		TradeandOtherPayablesNonCurrent,"1,174,000","935,000","2,259,000","9,305,000","13,413,000","11,969,000","15,243,000","18,337,000",,,,,,,,,
		EmployeeBenefits,"450,431,000","351,184,000","307,262,000","284,348,000","298,688,000","348,700,000","322,407,000","179,125,000",,,,,,,,,
			NonCurrentPensionAndOtherPostretirementBenefitPlans,"405,935,000","312,293,000","275,950,000","252,624,000","273,792,000","313,146,000","291,822,000","175,802,000",,,,,,,,,
		DerivativeProductLiabilities,"17,000",,,,,,"0","271,000","0","18,822,000","32,627,000","65,847,000",,,,,
		OtherNonCurrentLiabilities,"30,616,000","38,803,000","37,955,000","135,000","3,712,000","1,456,000","3,171,000","45,831,000","221,941,000","201,312,000","176,626,000","148,690,000","614,298,000","342,338,000","242,563,000","21,029,000",
TotalEquityGrossMinorityInterest,"7,714,873,000","7,484,576,000","5,852,771,000","5,166,593,000","4,802,997,000","5,634,703,000","6,338,044,000","6,495,646,000","6,841,199,000","7,016,101,000","6,261,239,000","5,561,464,000","6,366,890,000","5,487,141,000","3,575,919,000","1,771,851,000",
	StockholdersEquity,"6,611,665,000","6,393,255,000","5,010,424,000","4,391,298,000","4,033,148,000","4,697,201,000","5,340,035,000","5,420,883,000","5,756,372,000","5,880,740,000","5,296,342,000","4,597,370,000","4,452,680,000","3,757,558,000","1,842,454,000","1,026,725,000",
		CapitalStock,"2,004,743,000",,,,,,,,"2,004,743,000","2,004,743,000","2,004,743,000","2,004,743,000","2,004,744,000","2,004,744,000",,,
			CommonStock,"2,004,743,000",,,,,,,,"2,004,743,000","2,004,743,000","2,004,743,000","2,004,743,000","2,004,744,000","2,004,744,000",,,
		RetainedEarnings,"8,532,149,000",,,,,,,,"5,572,103,000","5,106,464,000","4,484,388,000","3,766,988,000","2,959,874,000","2,175,384,000","704,406,000","324,904,000",
		AdditionalPaidInCapital,"-2,324,866,000",,,,,,,,,,,,,,,,
		TreasuryStock,"150,000,000",,,,,,,,"150,000,000",,,,,,,,
		GainsLossesNotAffectingRetainedEarnings,"-1,427,066,000",,,,,,,,,"-1,230,467,000","-570,844,000","-528,485,000","-511,938,000","-422,570,000","1,138,048,000","701,821,000",
			ForeignCurrencyTranslationAdjustments,"-2,760,046,000",,,,,,,,,"-517,432,000","-570,844,000","-528,485,000","-110,739,000","-121,608,000",,,
			OtherEquityAdjustments,"1,332,980,000",,,,,,,,,"-713,035,000",,,"-401,199,000","-300,962,000",,,
		OtherEquityInterest,"-23,295,000",,,,,,,,"-1,670,474,000",,"-621,945,000","-645,876,000",,,,,
	MinorityInterest,"1,103,208,000","1,091,321,000","842,347,000","775,295,000","769,849,000","937,502,000","998,009,000","1,074,763,000","1,084,827,000","1,135,361,000","964,897,000","964,094,000","1,914,210,000","1,729,583,000","1,733,465,000","745,126,000","550,264,000"
