name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014
MarketCap,"4,654,147,902","6,989,428,442","4,914,783,199","4,760,728,843","3,526,675,393","3,073,848,737","2,266,536,660"
EnterpriseValue,"4,654,147,902","6,989,428,442","4,914,783,199","4,760,728,843","3,526,675,393","3,073,848,737","2,266,536,660"
PeRatio,"11.651","19.898","11.91","15.892","59.76",,
ForwardPeRatio,"9.99","9.94","8.764","11.547",,,
PsRatio,"2.089","3.26","2.785","4.14","11.114","27.601","79.263"
PbRatio,"2.43","3.899","3.315","5.25","6.756","6.845","14.774"
EnterprisesValueRevenueRatio,"0.274","0.411","0.367","0.553","0.918","3.534","8.164"
EnterprisesValueEBITDARatio,"1.082","1.624","1.315","1.953","3.322","38.621","-15.66"
