name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011
MarketCap,"3,266,690,467","5,726,832,000","4,773,810,000","5,602,067,878","5,018,808,571","1,580,796,000","2,369,031,000","4,096,380,000","2,965,584,000","3,579,490,000"
EnterpriseValue,"5,476,690,467","7,914,832,000","6,980,810,000","8,683,067,878","7,326,808,571","5,220,796,000","4,351,031,000","5,764,380,000","4,320,584,000","3,529,490,000"
PeRatio,"8.902","7.851",,,,"9.41",,,,"73.051"
ForwardPeRatio,"50","15.152","36.63",,,,"17.483","500","50.505",
PegRatio,"2.197","0.364","1.759",,,,,,,
PsRatio,"0.937","2.456","1.982","4.812","3.099","0.708","0.684","1.383","0.951","0.904"
PbRatio,"0.673","1.233","1.212","1.426","1.476","0.334","0.579","0.807","0.563","0.517"
EnterprisesValueRevenueRatio,"2.24","3.237","3.132","6.514","8.141","3.552","1.422","1.998","1.389","0.892"
EnterprisesValueEBITDARatio,"3.87","5.594","5.523","12.369","-74.008","-3.659","3.656","-7.179","5.976","5.498"
