name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993
	GainOnSaleOfSecurity,"59,000,000","166,000,000","-29,000,000","94,000,000","241,000,000","-75,000,000","-12,000,000","43,000,000","259,000,000","7,000,000",,,,,,,,,,,,,,,,,,
	EarningsFromEquityInterest,"-7,000,000","-3,000,000","-3,000,000","6,000,000","2,000,000","-2,000,000","-3,000,000","-2,000,000","-10,000,000","-5,000,000",,,"21,855,270","-4,965,736",,,,"10,000,000","17,000,000","-1,000,000",,,,,,,,
	SpecialIncomeCharges,"-3,592,000,000","-2,952,000,000","800,000,000","-64,000,000","-216,000,000","-3,552,000,000","-46,000,000","-63,000,000","-941,000,000","401,000,000","861,000,000","789,000,000","-614,375,911","-75,479,194","178,238,583","155,000,000","-41,000,000","62,000,000","7,000,000","-107,000,000","55,000,000","49,800,000","-77,100,000","-266,400,000","330,200,000","41,600,000","23,300,000","-15,800,000"
		RestructuringAndMergernAcquisition,,,,"11,000,000","8,000,000","22,000,000","11,000,000",,,,,,,,,,,,,,,,,,,,,
		ImpairmentOfCapitalAssets,"3,337,000,000","2,690,000,000","41,000,000","163,000,000","294,000,000","3,631,000,000","18,000,000",,"0",,"0","27,000,000",,,,,,,,,,,,,,,,
		WriteOff,,,,,,,,,,"92,000,000",,,,,,,,,,"169,000,000",,"41,500,000","94,000,000","321,500,000","287,300,000",,,
		OtherSpecialCharges,"241,000,000","242,000,000","-844,000,000","251,000,000","-24,000,000","-27,000,000","15,000,000","30,000,000","965,000,000","-493,000,000","-861,000,000","-816,000,000",,,,,,,,"-62,000,000",,"-91,300,000","-16,900,000","-55,100,000","-42,900,000",,,
		GainOnSaleOfBusiness,,,,,,,,,,"-5,000,000",,,,,,,,,,,,,,,,,,
		GainOnSaleOfPPE,"-14,000,000","-20,000,000","-3,000,000","35,000,000","62,000,000","74,000,000","-2,000,000","-33,000,000","24,000,000",,,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,,"26,000,000",,,,,"-4,000,000","-2,000,000","-101,000,000",,,,,,,,,,,,,,,,,,,
PretaxIncome,"-1,831,000,000","-468,000,000","4,510,000,000","3,976,000,000","1,628,000,000","-3,320,000,000","724,000,000","1,643,000,000","1,485,000,000","4,166,000,000","2,915,000,000","2,640,000,000","1,395,094,706","2,507,696,891","3,610,205,033","1,920,000,000","899,000,000","210,000,000","35,000,000","35,000,000","126,000,000","29,200,000","-70,300,000","-254,700,000","382,200,000","126,600,000","103,900,000","68,200,000"
TaxProvision,"-288,000,000","120,000,000","1,365,000,000","1,438,000,000","587,000,000","-836,000,000","342,000,000","633,000,000","615,000,000","1,398,000,000","932,000,000","695,000,000","658,086,450","794,517,827","1,215,051,258","575,000,000","305,000,000","61,000,000","5,000,000","56,000,000","41,000,000","-16,000,000","-21,200,000","-79,100,000","127,400,000","37,000,000","34,800,000","39,000,000"
EarningsFromEquityInterestNetOfTax,,,,,,,,,,,"-8,000,000","-126,000,000",,,,,,,,,,,,,,,,
