name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013
MarketCap,"23,483,949,591","19,257,496,000","24,986,788,950","31,959,581,600","26,825,232,509","25,248,965,071","21,964,746,180","21,568,295,139","32,868,946,841","21,783,741,024","17,834,473,687","12,448,258,705","13,160,718,900","10,909,687,750","11,652,918,411","16,451,269,050","11,943,533,000","11,588,359,650","16,062,214,480","18,357,158,460","24,426,007,380","32,709,301,280","23,042,349,950","32,606,709,640","25,101,581,540","27,502,537,660","36,275,535,300"
EnterpriseValue,"19,950,278,591","15,907,129,000","21,715,517,950","28,767,084,600","23,851,589,509","21,760,254,071","18,716,033,180","18,603,365,139","30,148,720,841","19,174,383,024","15,348,869,687","10,114,357,705","10,935,400,900","8,821,760,750","9,642,959,411","14,483,839,050","9,969,806,000","9,695,967,650","14,175,134,480","16,393,471,460","22,469,553,380","30,694,713,280","20,920,419,950","30,711,351,640","23,117,773,540","25,466,129,660","36,114,938,300"
PeRatio,"18.59","13.134","15.634","13.597","20.173","21.077","21.289","91.806","2,183.5",,,,,,,,,,,,,,,,,,
ForwardPeRatio,"60.976","39.683","30.488","37.453","37.594","39.216","32.258","33.113","66.225","54.645","53.476","48.309","59.524","42.735","28.571","42.735","38.023","26.178","50","54.054","67.114","82.645","181.818","250","1,666.667","500",
PegRatio,"66.42",,"1.908","2.341","2.383","2.391","0.985","1.026","2.321","1.923","5.819","7.226","4.445","4.159","1.633","2.342","1.572","0.649","0.863","0.798","0.941","2.241","4.917",,,,
PsRatio,"6.762","5.577","7.461","9.737","8.555","8.351","7.665","7.961","12.686","8.7","7.174","4.931","5.107","4.15","4.485","6.384","4.804","4.943","7.562","9.621","14.196","21.595","19.437","32.449","30.14","13.302","53.579"
PbRatio,"2.67","2.212","2.969","3.83","3.803","3.71","3.404","3.885","6.344","4.322","3.713","2.647","2.806","2.369","2.541","3.61","2.667","2.653","3.758","4.339","6.625","9.02","6.537","10.703","8.547","9.323","51.451"
EnterprisesValueRevenueRatio,"5.733","19.696","21.557","34.924","28.348","27.653","20.593","24.539","42.431","28.839","20.981","17.154","19.056","16.091","13.445","23.515","16.562","16.309","19.952","28.799","44.726","70.411","43.668","85.01","74.056","101.664","148.82"
EnterprisesValueEBITDARatio,"22.542","114.949","72.158","141.032","98.678","88.014","52.791","78.316","149.376","102.131","72.137","94.799","667.444","126.321","-548.675","492.162","730.871","270.754","571.624","-751.133","-403.766","-440.845","-585.596","-303.244","-221.689","-284.792","-75.8"
