name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","174,000","168,000","173,000","176,000","178,000","197,000","186,000","436,000","550,000","541,000","531,000","537,000","1,787,000","582,000","573,000","566,000","1,161,000","385,000","384,000","384,000","384,000","385,000","384,000","384,000","384,000","385,000","384,000","384,000","471,764","471,764","473,220","558,587","907,713","688,384","788,976","905,933","1,086,601","1,097,446","1,233,989","1,439,271","849,827","869,236","992,140","1,139,858","1,210,939","1,455,902","1,456,980","1,396,749","1,616,093","1,336,866",,"575,442"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","174,000","168,000","173,000","176,000","178,000","197,000","186,000","436,000","550,000","541,000","531,000","537,000","1,787,000","582,000","573,000","566,000","1,161,000","385,000","384,000","384,000","384,000","385,000","384,000","384,000","384,000","385,000","384,000","384,000","471,764","471,764","473,220","558,587","907,713","688,384","788,976","905,933","1,086,601","1,097,446","1,233,989","1,439,271","849,827","869,236","992,140","1,139,858","1,210,939","1,455,902","1,456,980","1,396,749","1,616,093","1,336,866",,"575,442"
			Amortization,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","174,000","168,000","173,000","176,000","178,000","197,000","186,000","436,000","550,000","541,000","531,000","537,000","1,787,000","582,000","573,000","566,000","1,161,000","385,000","384,000","384,000","384,000","385,000","384,000","384,000","384,000","385,000","384,000","384,000","471,764","471,764","473,220","558,587","907,713","688,384","788,976","905,933","1,086,601","1,097,446","1,233,989","1,439,271","849,827","869,236","992,140","1,139,858","1,210,939","1,455,902","1,456,980","1,396,749",,,,
				AmortizationOfIntangiblesIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","174,000","168,000","173,000","176,000","178,000","197,000","186,000","436,000","550,000","541,000","531,000","537,000","1,787,000","582,000","573,000","566,000","1,161,000","385,000","384,000","384,000","384,000","385,000","384,000","384,000","384,000","385,000","384,000","384,000","471,764","471,764","473,220","558,587","907,713","688,384","788,976","905,933","1,086,601","1,097,446","1,233,989","1,439,271","849,827","869,236","992,140","1,139,858","1,210,939","1,455,902","1,456,980","1,396,749",,,,
	OtherOperatingExpenses,"14,573,000","0",,,"14,573,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-115,671,000",,,,"-77,213,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"482,762,000","-93,830,000","-79,307,000","-68,589,000","724,488,000","-44,642,000","-36,038,000","-33,161,000","-31,018,000","-18,092,000","-20,120,000","-21,201,000","-20,538,000","59,959,000","-9,636,000","-20,143,000","-19,171,000","-25,367,000","-25,153,000","-26,935,000","-21,705,000","-30,121,000","-26,180,000","-25,334,000","-23,501,000","-22,004,000","-19,906,000","39,909,000","-21,053,000","-20,254,000","-19,090,000","1,860,000","-19,603,000","-18,329,000","-19,302,000","-19,984,000","-21,717,000","-22,431,000","-21,743,000","-26,964,000","-25,217,000","-28,648,000","-27,238,000","-29,653,000","-49,524,000","-59,942,000","-53,865,000","-63,592,000","59,140,000","-43,428,000","-35,448,000","-43,273,000","41,062,000","-39,008,000","-22,596,000","-16,862,000","-14,356,000","-20,017,854","-16,419,348","-17,020,226","-17,678,159","-17,300,075","-12,818,941","-16,197,772","-11,466,815","-15,120,235","-12,853,590","-13,473,396","-10,015,134","-9,781,651","-11,725,049","-7,310,376","-7,510,367","-4,404,406","-5,677,302","-4,699,821","-933,738","-1,803,449","-3,074,975","-3,307,595","-3,232,664"
NetNonOperatingInterestIncomeExpense,"22,081,000","4,776,000","5,686,000","6,373,000","5,246,000","1,621,000","1,101,000","1,054,000","-698,000","-1,066,000","-1,503,000","-1,522,000","-1,536,000","-1,562,000","-1,555,000","-1,514,000","-1,591,000","-1,642,000","-1,646,000","-1,720,000","-1,662,000","-1,696,000","-1,707,000","-1,711,000","-1,718,000","-1,737,000","-1,740,000","-1,762,000","-1,763,000","-1,758,000","-1,763,000","-2,464,000","-3,016,000","-3,207,000","-3,191,000","-3,149,000","-4,645,000","-5,352,000","-6,160,000","-2,189,000","-7,511,000","-7,329,000","-7,264,000","-1,889,000","-1,547,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"26,872,000","5,901,000","6,889,000","7,595,000","6,487,000","2,972,000","2,524,000","2,502,000","774,000","429,000","13,000","16,000","34,000","43,000","54,000","105,000","88,000","53,000","37,000","34,000","34,000","14,000","16,000","24,000","29,000","21,000","28,000","16,000","24,000","38,000","41,000","25,000","15,000","15,000","20,000","33,000","49,000","131,000","107,000","92,000","139,000","398,000","75,000","46,000","170,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"4,791,000","1,125,000","1,203,000","1,222,000","1,241,000","1,351,000","1,423,000","1,448,000","1,472,000","1,495,000","1,516,000","1,538,000","1,570,000","1,605,000","1,609,000","1,619,000","1,679,000","1,695,000","1,683,000","1,754,000","1,696,000","1,710,000","1,723,000","1,735,000","1,747,000","1,758,000","1,768,000","1,778,000","1,787,000","1,796,000","1,804,000","2,489,000","3,031,000","3,222,000","3,211,000","3,182,000","4,694,000","5,483,000","6,267,000","2,281,000","7,650,000","7,727,000","7,339,000","1,935,000","1,717,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	TotalOtherFinanceCost,"-25,142,000","-5,562,000","-6,470,000","-7,153,000","-5,957,000","-3,090,000",,"-1,333,000","164,000","670,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,006,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
