name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
MarketCap,"23,218,109,934","55,657,516,869","49,897,352,809","93,352,785,289","116,800,340,096","87,631,666,605","108,924,432,425","117,803,539,550","92,046,265,510","91,680,626,991","113,643,500,000","77,770,371,726","50,633,793,979","117,818,863,925","74,395,750,870","57,402,893,524","39,400,186,337","32,063,092,508","24,503,666,410","31,645,177,370","45,782,466,588","30,859,994,500","25,190,430,750","40,091,778,471","24,623,243,639","16,837,218,970","12,202,541,159","14,399,883,334","13,841,332,500","14,967,677,742","13,781,532,000","11,674,898,531","7,755,760,419","7,826,037,500","8,926,798,250","10,803,051,000"
EnterpriseValue,"36,516,109,934","70,038,516,869","64,417,352,809","105,560,785,289","127,321,340,096","93,274,666,605","115,242,432,425","123,782,539,550","97,402,265,510","97,099,626,991","116,766,500,000","83,250,371,726","52,233,011,979","120,115,931,925","77,659,880,870","58,818,023,524","41,062,813,337","36,859,664,508","29,931,732,410","37,258,366,370","46,085,733,588","29,910,994,500","25,314,830,750","40,254,278,471","24,715,343,639","17,878,918,970","12,614,841,159","14,843,283,334","14,224,432,500","15,391,177,742","14,153,432,000","10,486,698,531","5,337,960,419","5,408,237,500","5,628,898,250","7,245,151,000"
PeRatio,,,,"168.475",,"26.222","16.024","18.094","17.069","21.28","24.704","24.939","9.577","23.421","24.015","31.138","39.382","67.556",,"60.385","83.269","96.767","25.483","31.944","28.783","26.431","24.694","25.053","20.743","18.238","24.115","28.561","13.481","15.797",,"30.932"
ForwardPeRatio,"57.804","23.095","18.904","31.153","44.444","25.84","15.244","15.221","13.85","13.967","22.075",,,,,,,,,,,,,,,,,,,,,,,,,
PegRatio,"2.629","1.289","0.728","0.706","4.663","1.889","1.364","0.773","0.703","0.665","1.381",,,,,,,,,,,,,,,,,,,,,,,,,
PsRatio,"0.713","1.696","1.524","3.2","3.911","2.213","2.351","2.684","2.201","2.48","3.842","3.439","1.908","5.235","4.378","4.391","3.574","2.283","1.789","2.279","5.109","3.769","2.193","3.889","2.732","2.298","1.868","2.203","2.167","2.421","2.592","2.583","1.826","1.81","1.997","1.774"
PbRatio,"1.492","2.328","1.366","2.357","2.766","2.31","2.689","3.11","2.641","2.881","3.614","4.044","3.003","7.92","7.75","7.889","6.441","5.452","4.371","3.777","5.63","3.997","3.103","5.988","4.376","3.457","2.674","3.268","3.272","3.885","4.234","4.238","2.022","2.04","2.165","1.571"
EnterprisesValueRevenueRatio,"1.124","2.128","1.963","3.468","4.578","2.629","2.372","2.735","2.311","2.456","4.254","3.667","1.924","5.16","4.038","4.111","3.577","2.622","2.199","2.664","4.795","3.563","2.142","3.781","2.76","2.346","1.884","2.214","2.247","2.505","2.667","2.238","1.084","1.229","1.232","1.184"
EnterprisesValueEBITDARatio,"-2.444","-11.26","9.536","32.783","46.148","12.769","9.523","9.71","8.83","9.791","14.377","12.555","5.576","14.263","12.026","14.304","14.189","13.958","-94.344","10.935","22.111","22.537","10.427","15.36","13.031","11.311","9.188","10.422","10.083","11.068","11.698","10.61","5.242","7.01","6.936","4.221"
