name,11/30/2019,11/30/2018,11/30/2017,11/30/2016,11/30/2015,11/30/2014,11/30/2013,11/30/2012,11/30/2011,11/30/2010,11/30/2009,11/30/2008,11/30/2007,11/30/2006,11/30/2005,11/30/2004,11/30/2003,11/30/2002,11/30/2001,11/30/2000,11/30/1999,11/30/1998,11/30/1997,11/30/1996,11/30/1995,11/30/1994,11/30/1993,11/30/1992,11/30/1991,11/30/1990,11/30/1989,11/30/1988,11/30/1987,11/30/1986
		LongTermDebtAndCapitalLeaseObligation,"9,675,000,000","7,897,000,000","6,993,000,000","8,357,000,000","7,413,000,000","7,363,000,000","8,092,000,000","7,168,000,000","8,053,000,000","8,011,000,000","9,097,000,000","7,735,000,000","6,313,000,000","6,355,000,000","5,727,000,000","6,291,000,000","6,918,000,000","3,011,969,000","2,954,854,000","2,099,077,000","867,515,000","1,563,014,000","1,015,294,000","1,316,632,000","1,150,031,000","1,161,904,000","1,031,200,000","776,600,000","921,700,000","1,069,000,000","819,800,000","76,400,000","90,200,000","185,200,000"
			LongTermDebt,"9,675,000,000","7,897,000,000","6,993,000,000","8,357,000,000","7,413,000,000","7,363,000,000","8,092,000,000","7,168,000,000","8,053,000,000","8,011,000,000","9,097,000,000","7,735,000,000","6,313,000,000","6,355,000,000","5,727,000,000","6,291,000,000","6,918,000,000","3,011,969,000","2,954,854,000","2,099,077,000","867,515,000","1,563,014,000","1,015,294,000","1,316,632,000","1,150,031,000","1,161,904,000","1,031,200,000","776,600,000","921,700,000","1,069,000,000","819,800,000","76,400,000","90,200,000","185,200,000"
		NonCurrentDeferredLiabilities,,,,,,,,,,"693,000,000","736,000,000","786,000,000",,,,,"299,000,000","170,814,000","157,998,000","146,332,000","82,680,000","63,036,000","20,241,000","91,630,000",,,,,,,,,,
			NonCurrentDeferredTaxesLiabilities,,,,,,,,,,,,,,,,,,"170,814,000","157,998,000",,,,,,,,,,,,,,,
			NonCurrentDeferredRevenue,,,,,,,,,,"693,000,000","736,000,000","786,000,000",,,,,"299,000,000","170,814,000","157,998,000","146,332,000","82,680,000","63,036,000","20,241,000","91,630,000",,,,,,,,,,
		DerivativeProductLiabilities,,,,,,,,,,,,,,,,,"166,000,000","114,356,000","379,683,000",,,,,,,,,,,,,,,
		OtherNonCurrentLiabilities,"891,000,000","857,000,000","769,000,000","910,000,000","1,097,000,000","960,000,000","736,000,000","724,000,000","647,000,000","693,000,000","736,000,000",,"645,000,000","572,000,000","541,000,000","551,000,000",,,,,,,,,"15,873,000","14,028,000","10,500,000","9,400,000","6,200,000","4,100,000","3,200,000",,,
TotalEquityGrossMinorityInterest,"25,365,000,000","24,443,000,000","24,216,000,000","22,597,000,000","23,771,000,000","24,288,000,000","24,556,000,000","23,929,000,000","23,832,000,000","23,031,000,000","22,035,000,000","19,098,000,000","19,963,000,000","18,210,000,000","16,972,000,000","15,760,000,000","13,793,000,000","7,417,903,000","6,590,777,000","5,870,617,000","5,931,247,000","4,418,160,000","3,605,098,000","3,030,884,000","2,344,873,000","1,928,934,000","1,627,200,000","1,384,800,000","1,171,100,000","1,036,100,000","893,200,000","752,300,000","635,500,000","207,800,000"
	StockholdersEquity,"25,365,000,000","24,443,000,000","24,216,000,000","22,597,000,000","23,771,000,000","24,288,000,000","24,556,000,000","23,929,000,000","23,832,000,000","23,031,000,000","22,035,000,000","19,098,000,000","19,963,000,000","18,210,000,000","16,972,000,000","15,760,000,000","13,793,000,000","7,417,903,000","6,590,777,000","5,870,617,000","5,931,247,000","4,285,476,000","3,605,098,000","3,030,884,000","2,344,873,000","1,928,934,000","1,627,200,000","1,384,800,000","1,171,100,000","1,036,100,000","893,200,000","752,300,000","635,500,000","207,800,000"
		CapitalStock,"365,000,000","365,000,000","365,000,000","365,000,000","365,000,000","365,000,000","365,000,000","363,000,000","363,000,000","361,000,000","360,000,000","360,000,000","360,000,000","360,000,000","359,000,000","359,000,000","355,000,000","5,868,000","6,200,000","6,176,000","6,170,000","5,955,000","2,972,000","2,947,000","2,848,000","2,826,000",,,,,,,,
