name,09/30/2019,03/31/2019,09/30/2018,03/31/2018,09/30/2017,03/31/2017,09/30/2016,03/31/2016,09/30/2015,03/31/2015,09/30/2014,03/31/2014,09/30/2013,03/31/2013,09/30/2012
			LongTermDebt,"296,527,000,000","347,209,000,000","397,180,000,000","267,888,000,000","303,156,000,000","332,654,000,000","412,122,000,000","493,784,000,000","501,772,000,000","517,852,000,000","506,052,000,000","314,255,900,000","593,441,800,000","11,791,600,000","22,923,200,000"
		NonCurrentDeferredLiabilities,"41,696,000,000","44,154,000,000","56,438,000,000","43,340,000,000","20,065,000,000","27,119,000,000","33,122,000,000","40,198,000,000","162,797,000,000","155,812,000,000","285,645,000,000","28,989,600,000","29,655,800,000","252,700,000","2,709,000,000"
			NonCurrentDeferredTaxesLiabilities,"41,696,000,000","44,154,000,000","56,438,000,000","43,340,000,000","20,065,000,000","24,015,000,000","33,122,000,000","30,212,000,000","162,797,000,000","155,812,000,000","285,645,000,000","28,989,600,000","29,655,800,000","252,700,000","2,709,000,000"
			NonCurrentDeferredRevenue,,,,,,"3,104,000,000",,"9,986,000,000",,,,,,,
		TradeandOtherPayablesNonCurrent,,"1,118,000,000",,,,"3,086,900,000",,"3,162,800,000",,"10,510,100,000",,"13,554,500,000",,,
		DuetoRelatedPartiesNonCurrent,,,,,,,,"123,834,600,000",,"162,099,900,000",,"234,016,100,000",,,
		EmployeeBenefits,"1,586,000,000","1,445,000,000","1,404,000,000","1,551,000,000","1,431,000,000","1,390,000,000","1,182,000,000","1,584,000,000","1,760,000,000","2,159,000,000","1,547,000,000",,,,
			NonCurrentPensionAndOtherPostretirementBenefitPlans,"1,586,000,000","1,445,000,000","1,404,000,000","1,551,000,000","1,431,000,000","1,390,000,000","1,182,000,000","1,584,000,000","1,760,000,000","2,159,000,000","1,547,000,000",,,,
		DerivativeProductLiabilities,"984,000,000","2,942,000,000","392,000,000","1,178,000,000","964,000,000","557,000,000","216,000,000","78,000,000","15,000,000","9,000,000","815,000,000",,,,
		PreferredSecuritiesOutsideStockEquity,,,,,,"30,100,000,000",,,,,,,,,
		OtherNonCurrentLiabilities,"13,378,000,000","12,621,000,000","2,975,000,000","4,395,000,000","4,344,000,000","18,000,000","5,794,000,000","4,876,000,000","21,131,000,000","12,577,000,000","13,154,000,000","440,300,000","12,635,700,000","23,200,000","556,400,000"
TotalEquityGrossMinorityInterest,"771,341,000,000","731,946,000,000","791,137,000,000","752,930,000,000","758,431,000,000","713,788,000,000","809,838,000,000","776,258,000,000","1,042,217,000,000","1,028,608,000,000","1,282,200,000,000","1,068,061,100,000","1,004,325,600,000","174,754,000,000","332,071,600,000"
	StockholdersEquity,"608,798,000,000","581,338,000,000","619,474,000,000","595,566,000,000","605,141,000,000","576,538,000,000","429,960,000,000","411,160,000,000","560,179,000,000","561,119,000,000","719,409,000,000","730,086,600,000","693,747,700,000","174,754,000,000","332,071,600,000"
		CapitalStock,"3,718,000,000","3,718,000,000","3,718,000,000","3,718,000,000","3,718,000,000","3,718,000,000","2,965,000,000","2,965,000,000","2,965,000,000","2,965,000,000","2,965,000,000","2,965,000,000","2,965,000,000","869,100,000","1,738,200,000"
			CommonStock,"3,718,000,000","3,718,000,000","3,718,000,000","3,718,000,000","3,718,000,000","3,718,000,000","2,965,000,000","2,965,000,000","2,965,000,000","2,965,000,000","2,965,000,000","2,965,000,000","2,965,000,000","869,100,000","1,738,200,000"
		AdditionalPaidInCapital,"190,452,000,000","190,452,000,000","190,452,000,000","190,452,000,000","190,452,000,000","190,452,000,000","200,010,000,000","200,010,000,000","200,010,000,000","200,010,000,000","200,010,000,000",,,,
		RetainedEarnings,"304,572,000,000","281,344,000,000","306,563,000,000","302,281,000,000","399,467,000,000","369,390,000,000","213,485,000,000","194,982,000,000","340,584,000,000","337,451,000,000","492,588,000,000",,,,
		TreasuryStock,"3,971,000,000","3,971,000,000","2,540,000,000","2,607,000,000","2,893,000,000","1,034,000,000",,,,,,,,,
		GainsLossesNotAffectingRetainedEarnings,,,,,,,,"443,758,200,000",,"535,787,700,000",,"727,121,600,000","690,782,700,000","173,884,900,000","330,333,400,000"
		OtherEquityInterest,"114,027,000,000","109,795,000,000","121,281,000,000","101,722,000,000","14,397,000,000","14,012,000,000","13,500,000,000","13,203,000,000","16,620,000,000","20,693,000,000","23,846,000,000",,,,
	MinorityInterest,"162,543,000,000","150,608,000,000","171,663,000,000","157,364,000,000","153,290,000,000","137,250,000,000","379,878,000,000","365,098,000,000","482,038,000,000","467,489,000,000","562,791,000,000","337,974,500,000","310,577,900,000",,
TotalCapitalization,"905,325,000,000","928,547,000,000","1,016,654,000,000","863,454,000,000","908,297,000,000","909,192,000,000","842,082,000,000","904,944,000,000","1,061,951,000,000","1,078,971,000,000","1,225,461,000,000","1,044,342,500,000","1,287,189,500,000","186,545,600,000","354,994,800,000"
CommonStockEquity,"608,798,000,000","581,338,000,000","619,474,000,000","595,566,000,000","605,141,000,000","576,538,000,000","429,960,000,000","411,160,000,000","560,179,000,000","561,119,000,000","719,409,000,000","730,086,600,000","693,747,700,000","174,754,000,000","332,071,600,000"
NetTangibleAssets,"600,833,000,000","573,626,000,000","611,365,000,000","587,263,000,000","599,115,000,000","570,160,000,000","423,772,000,000","404,860,000,000","553,818,000,000","554,526,000,000","711,959,000,000","336,350,600,000","288,464,300,000","152,993,700,000","293,788,800,000"
WorkingCapital,"-137,471,000,000","-165,918,000,000","-641,000,000","-104,630,000,000","-9,696,000,000","-32,699,000,000","152,962,000,000","213,237,000,000","268,624,000,000","268,429,000,000","238,652,000,000","195,009,400,000","239,747,500,000","-25,472,100,000","-28,919,000,000"
InvestedCapital,"1,167,706,000,000","1,243,600,000,000","1,283,194,000,000","1,177,154,000,000","1,163,121,000,000","1,322,318,000,000","1,096,682,000,000","1,087,272,000,000","1,236,072,000,000","1,240,204,000,000","1,436,264,000,000","1,218,306,500,000","1,493,820,100,000","219,769,400,000","354,994,800,000"
TangibleBookValue,"600,833,000,000","573,626,000,000","611,365,000,000","587,263,000,000","599,115,000,000","570,160,000,000","423,772,000,000","404,860,000,000","553,818,000,000","554,526,000,000","711,959,000,000","336,350,600,000","288,464,300,000","152,993,700,000","293,788,800,000"
TotalDebt,"558,908,000,000","662,262,000,000","663,720,000,000","581,588,000,000","557,980,000,000","745,780,000,000","666,722,000,000","676,112,000,000","675,893,000,000","679,085,000,000","716,855,000,000","570,277,300,000","800,072,400,000","45,091,500,000","22,923,200,000"
NetDebt,"478,022,000,000","589,971,000,000","632,525,000,000","539,396,000,000","541,725,000,000","648,578,000,000","646,910,000,000","655,242,000,000","658,833,000,000","670,464,000,000","680,974,000,000","411,379,300,000","677,306,100,000","44,654,200,000","20,690,400,000"
ShareIssued,"3,718,000,000","3,702,197,937","3,707,962,768","3,707,962,768","3,707,962,768","2,960,709,983","2,965,004,871","2,964,694,239","2,965,004,871","2,964,694,239","2,964,694,239","2,964,674,487","2,964,674,487","869,101,423",
OrdinarySharesNumber,"3,718,000,000","3,702,197,937","3,707,962,768","3,707,962,768","3,707,962,768","2,960,709,983","2,965,004,871","2,964,694,239","2,965,004,871","2,964,694,239","2,964,694,239","2,964,674,487","2,964,674,487","869,101,423",
