name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002
TotalAssets,"84,582,000,000","91,713,000,000","93,896,000,000","95,732,000,000","94,150,000,000","88,190,000,000","85,486,000,000","88,087,000,000","94,384,000,000","99,184,000,000","102,092,000,000","98,305,000,000","103,008,000,000","99,014,000,000","102,087,000,000","100,970,000,000","95,272,000,000","88,492,000,000","99,025,000,000","107,348,000,000","104,550,000,000","116,489,000,000","122,847,000,000","128,751,000,000","127,637,000,000","124,597,000,000","131,277,000,000","126,531,000,000","133,154,000,000","131,478,000,000","136,454,000,000","129,556,000,000","134,432,000,000","128,728,000,000","130,747,874,161.285","143,213,000,000","134,195,000,000","129,139,000,000","125,295,000,000","110,803,000,000","104,340,000,000","102,279,000,000","100,757,000,000","89,056,000,000","81,730,000,000","79,931,000,000","91,738,000,000","85,932,000,000","78,814,000,000","76,717,000,000","73,411,000,000","68,315,000,000","64,777,000,000","60,954,000,000","31,548,000,000","29,482,000,000","27,761,000,000","22,938,000,000","22,103,000,000","19,567,000,000","16,374,000,000","16,372,000,000","14,720,000,000","12,434,000,000","12,161,000,000","11,434,000,000","11,500,000,000","9,783,000,000","8,588,000,000","7,955,000,000","7,492,000,000","9,261,000,000","10,486,000,000"
	CurrentAssets,"19,944,000,000","17,042,000,000","18,486,000,000","15,914,000,000","15,075,000,000","15,292,000,000","15,131,000,000","15,468,000,000","15,239,000,000","18,954,000,000","19,889,000,000","19,862,000,000","22,421,000,000","22,567,000,000","19,507,000,000","18,274,000,000","17,225,000,000","15,473,000,000","17,701,000,000","18,067,000,000","17,703,000,000","20,234,000,000","21,267,000,000","22,576,000,000","22,991,000,000","24,377,000,000","24,746,000,000","21,051,000,000","22,876,000,000","22,897,000,000","25,316,000,000","20,787,000,000","22,727,000,000","21,736,000,000","27,572,780,515.013","31,673,000,000","27,878,000,000","31,791,000,000","31,489,000,000","25,039,000,000","22,812,000,000","21,294,000,000","23,148,000,000","20,528,000,000","22,033,000,000","23,238,000,000","29,192,000,000","13,791,000,000","12,765,000,000","11,380,000,000","12,147,000,000","10,801,000,000","12,421,000,000","12,940,000,000","7,579,000,000","6,313,000,000","5,647,000,000","5,380,000,000","5,006,000,000","4,634,000,000","3,923,000,000","4,493,000,000","4,246,000,000","3,069,000,000","2,938,000,000","2,474,000,000","3,139,000,000","2,482,000,000","2,696,000,000","2,589,000,000","2,893,000,000","3,069,000,000","3,566,000,000"
		CashCashEquivalentsAndShortTermInvestments,"12,267,000,000","8,176,000,000","9,465,000,000","6,450,000,000","5,020,000,000","5,816,000,000","6,106,000,000","6,387,000,000","5,375,000,000","4,346,000,000","4,724,000,000","5,730,000,000","6,793,000,000","4,280,000,000","5,484,000,000","4,306,000,000","3,809,000,000","3,619,000,000","4,462,000,000","3,264,000,000","3,685,000,000","4,122,000,000","8,332,000,000","7,065,000,000","7,182,000,000","5,324,000,000","7,202,000,000","6,256,000,000","6,609,000,000","6,078,000,000","8,636,000,000",,"4,922,000,000","3,531,000,000","8,031,997,222.055","13,227,000,000","11,811,000,000","9,377,000,000","9,723,000,000","6,235,000,000","11,136,000,000","11,040,000,000","13,020,000,000","11,192,000,000","12,214,000,000","12,639,000,000","15,584,000,000","2,154,000,000","2,264,000,000","1,046,000,000","2,508,000,000","1,774,000,000","3,954,000,000","4,448,000,000","2,891,000,000","1,894,000,000","1,644,000,000","1,157,000,000","1,235,000,000","956,000,000","1,122,000,000","1,475,000,000",,"1,059,000,000","1,001,000,000","585,000,000","1,340,000,000",,"1,284,000,000","1,091,000,000","1,402,000,000","1,572,000,000","2,008,000,000"
			CashAndCashEquivalents,"11,788,000,000","7,350,000,000","8,559,000,000","6,048,000,000","5,008,000,000","5,784,000,000","6,100,000,000","6,369,000,000","5,368,000,000","4,328,000,000","4,719,000,000","5,720,000,000","6,716,000,000","4,262,000,000","5,369,000,000","4,168,000,000","3,782,000,000","3,591,000,000","4,397,000,000","3,158,000,000","3,684,000,000","3,974,000,000","7,882,000,000","7,065,000,000","7,182,000,000","5,321,000,000","7,121,000,000","5,887,000,000","6,042,000,000","5,832,000,000","7,951,000,000",,"4,922,000,000","3,531,000,000","8,024,590,280.474","13,227,000,000","11,271,000,000","7,584,000,000","9,723,000,000","6,235,000,000","11,124,000,000","7,293,000,000","8,458,000,000","8,192,000,000","8,997,000,000","10,331,000,000","14,945,000,000","2,154,000,000","2,264,000,000","1,046,000,000","2,508,000,000","1,774,000,000","3,954,000,000","4,448,000,000","2,891,000,000","1,894,000,000","1,644,000,000","1,157,000,000","1,235,000,000","956,000,000","1,122,000,000","1,475,000,000",,"1,059,000,000","1,001,000,000","585,000,000","1,340,000,000",,"1,284,000,000","1,091,000,000","1,402,000,000","1,572,000,000","2,008,000,000"
				CashFinancial,,,,,,,,,,,,,,,"2,921,000,000","2,581,000,000","2,622,000,000","2,018,000,000","1,429,000,000","1,806,000,000","2,347,000,000","2,109,000,000","2,865,000,000","2,465,000,000","2,062,000,000","1,558,000,000","1,827,000,000","1,649,000,000","1,788,000,000","1,194,000,000","1,084,000,000",,"900,000,000","945,000,000","1,154,582,788.772","1,087,000,000","923,000,000","560,000,000","569,000,000","1,423,000,000","681,000,000","728,000,000","541,000,000","503,000,000","583,000,000","767,000,000",,,,"424,000,000",,,,"1,542,000,000",,,,,,,,,,,,,,,,,,,
				CashEquivalents,,,,,,,,,,,,,,,"2,448,000,000","1,587,000,000","1,160,000,000","1,573,000,000","2,968,000,000","1,352,000,000","1,337,000,000","1,865,000,000","5,017,000,000","4,600,000,000","5,120,000,000","3,763,000,000","5,294,000,000","4,238,000,000","4,254,000,000","4,638,000,000","6,867,000,000",,"4,022,000,000","2,586,000,000","6,870,007,491.702","12,140,000,000","10,348,000,000","7,024,000,000","9,154,000,000","4,812,000,000","10,443,000,000","6,565,000,000","7,917,000,000","7,689,000,000","8,414,000,000","9,564,000,000",,,,"622,000,000",,,,"2,906,000,000",,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,"479,000,000","826,000,000","906,000,000","402,000,000","12,000,000","32,000,000","6,000,000","18,000,000","7,000,000","18,000,000","5,000,000","10,000,000","77,000,000","18,000,000","115,000,000","138,000,000","27,000,000","28,000,000","65,000,000","106,000,000","1,000,000","148,000,000","450,000,000",,,"3,000,000","81,000,000","369,000,000","567,000,000","246,000,000","685,000,000",,"0","0","7,406,941.581","0","540,000,000","1,793,000,000","0","0","12,000,000","3,747,000,000","4,562,000,000","3,000,000,000","3,217,000,000","2,308,000,000","639,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"2,764,000,000","3,400,000,000","3,226,000,000","3,667,000,000","3,942,000,000","3,895,000,000","3,733,000,000","3,708,000,000","4,039,000,000","5,670,000,000","5,951,000,000","5,035,000,000","6,703,000,000","5,359,000,000","4,542,000,000","4,600,000,000","4,176,000,000","2,950,000,000","3,735,000,000","4,734,000,000","4,361,000,000","5,554,000,000","5,481,000,000","7,556,000,000","7,651,000,000","7,543,000,000","7,763,000,000","7,376,000,000","8,824,000,000","9,439,000,000","8,713,000,000",,"9,794,000,000","10,817,000,000","11,289,417,561.205","10,595,000,000","9,401,000,000","9,910,000,000","9,028,000,000","7,147,000,000","5,551,000,000","4,738,000,000","4,657,000,000","3,652,000,000","4,478,000,000","5,250,000,000","5,984,000,000","6,200,000,000","5,232,000,000","5,175,000,000","4,600,000,000","4,670,000,000","4,295,000,000","4,172,000,000","2,561,000,000","2,348,000,000","1,996,000,000","1,790,000,000","1,593,000,000","1,738,000,000","1,113,000,000","1,158,000,000",,"903,000,000","837,000,000","818,000,000","742,000,000",,"632,000,000","660,000,000","605,000,000","608,000,000","614,000,000"
			AccountsReceivable,"2,096,000,000","2,529,000,000","2,297,000,000","2,983,000,000","2,453,000,000","2,648,000,000","2,450,000,000","2,348,000,000","2,689,000,000","2,600,000,000","2,712,000,000","1,709,000,000","3,237,000,000","3,663,000,000","2,556,000,000","2,452,000,000","2,553,000,000","1,476,000,000","2,028,000,000","2,788,000,000","2,291,000,000","3,275,000,000","3,359,000,000","4,170,000,000","4,103,000,000","5,703,000,000","5,381,000,000","4,912,000,000","6,143,000,000","6,795,000,000","6,625,000,000",,"7,658,000,000","8,505,000,000","9,065,407,477.484","8,233,000,000","7,507,000,000","8,211,000,000","7,558,000,000","5,844,000,000","3,876,000,000","3,120,000,000","3,328,000,000","2,749,000,000","2,768,000,000","3,204,000,000","5,890,000,000","4,882,000,000","3,839,000,000","3,671,000,000","4,082,000,000","4,091,000,000","3,843,000,000","2,929,000,000","2,258,000,000","1,959,000,000","1,586,000,000","1,790,000,000","1,593,000,000","1,738,000,000","1,113,000,000","1,158,000,000",,"903,000,000","837,000,000","818,000,000","742,000,000",,"632,000,000","660,000,000","605,000,000","608,000,000","614,000,000"
				GrossAccountsReceivable,"2,143,000,000","2,592,000,000","2,363,000,000","3,048,000,000","2,515,000,000","2,710,000,000","2,507,000,000","2,407,000,000","2,784,000,000","2,660,000,000","2,777,000,000","1,770,000,000","3,298,000,000","3,723,000,000","2,621,000,000","2,515,000,000","2,613,000,000","1,534,000,000","2,086,000,000","2,861,000,000","2,365,000,000","3,362,000,000","3,454,000,000","4,264,000,000","4,216,000,000","5,792,000,000","5,481,000,000","5,008,000,000","6,255,000,000","6,909,000,000",,,,"8,610,000,000",,,,"8,329,000,000",,,,"3,247,000,000",,,,"3,289,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
