name,ttm,03/31/2019,03/31/2018,03/31/2017
MarketCap,"3,423,853,930","2,215,121,848","1,757,892,334","876,962,739"
EnterpriseValue,"3,418,896,930","2,208,058,848","1,773,832,334","1,063,938,739"
PeRatio,"37.494","24.211","394.641","4.374"
ForwardPeRatio,"35.461"
PsRatio,"6.864","3.792","8.25","1.827"
PbRatio,"23.847","21.403","31.435",
EnterprisesValueRevenueRatio,"12.945","8.756","7.269","5.917"
EnterprisesValueEBITDARatio,"25.975","16.287","12.025","11.662"
