name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000
TotalAssets,"1,777,914,000,000","1,531,933,657,000","1,496,939,000,000","1,557,209,000,000","1,542,743,372,000","1,429,223,392,000","1,325,385,000,000","1,444,140,000,000","1,407,964,000,000","1,486,211,852,000","1,395,337,000,000","1,351,487,742,000","1,411,479,000,000","1,515,042,274,000","1,466,394,000,000","1,439,490,510,000","1,320,076,000,000","1,296,486,813,000","1,293,672,634,000","1,289,552,469,000","1,218,880,000,000","1,278,356,669,000","1,199,785,133,000","1,060,912,403,000","1,018,222,775,000","1,025,592,433,000","1,027,993,000,000","982,822,842,000","948,969,379,000","1,003,898,013,000","966,088,000,000","991,645,000,000","923,657,000,000","945,616,861,000","962,547,000,000","895,667,000,000","879,112,000,000","876,694,534,000","915,117,000,000","655,362,000,000","512,555,000,000","453,007,961,000","441,323,000,000","423,688,000,000","412,639,000,000","435,455,470,000","363,854,484,000","356,180,616,000","355,810,652,500","349,970,304,000","350,349,801,510","331,929,945,000","328,077,669,150","318,161,035,000","279,127,175,000","275,994,042,000","243,952,566,000","230,166,647,865","216,777,780,000","207,461,389,500","188,149,405,500","193,991,134,122","175,233,555,000","164,413,846,000","156,869,230,000","149,497,648,149","136,518,441,400","124,432,791,560","116,713,339,660","113,890,904,820","107,257,900,960","108,758,520,000","97,920,680,000","92,031,054,462.72","93,274,080,000","83,833,225,000","92,581,686,960","89,378,274,150"
	CurrentAssets,"487,786,000,000","330,844,323,000","353,375,000,000","368,377,000,000","358,479,914,000","349,055,524,000","306,456,000,000","353,920,000,000","326,937,000,000","342,235,218,000","324,583,000,000","306,656,456,000","308,379,000,000","341,909,007,000","336,050,000,000","364,733,794,000","333,577,000,000","351,331,654,000","366,864,125,000","350,599,720,000","276,667,000,000","288,408,157,000","290,125,513,000","274,362,178,000","229,865,299,000","236,698,068,000","250,033,000,000","204,357,076,000","198,412,500,000","209,131,239,000","205,457,000,000","222,643,000,000","222,515,000,000","240,277,267,000","295,890,000,000","244,749,000,000","242,142,000,000","233,711,972,000","318,393,000,000","231,083,000,000","192,190,000,000","108,098,322,000","97,195,000,000","95,954,000,000","87,190,000,000","113,485,879,000","89,378,698,500","83,772,066,000","90,816,534,500","82,536,261,000","95,165,373,060","84,867,165,000","87,818,602,740","107,863,640,000","97,216,550,000","91,702,080,000","70,607,268,000","60,211,899,715","51,140,025,000","58,997,067,500","47,514,505,500","55,133,449,164","42,392,102,000","38,517,653,000","34,936,330,000","29,458,651,232","31,960,471,800","23,502,345,440","18,890,082,580","21,516,882,310","16,646,279,440","21,341,970,000","21,551,920,000","22,367,240,876.16","20,398,950,000","17,689,000,000","30,478,437,060","33,657,816,600"
		CashCashEquivalentsAndShortTermInvestments,"155,702,000,000","67,463,681,000","67,025,000,000","81,588,000,000",,"70,675,896,000","61,182,000,000","68,949,000,000","68,003,000,000","83,391,149,000","78,531,000,000","70,318,875,000","62,215,000,000","78,075,540,000","75,170,000,000","106,024,943,000","97,277,000,000","101,507,501,000","124,923,263,000","118,609,986,000","56,209,000,000","66,473,703,000","89,728,451,000","94,126,626,000",,"48,163,550,000","72,226,000,000","31,585,252,000",,"45,487,200,000","47,955,000,000","62,361,000,000","60,344,000,000","59,123,996,000","126,658,000,000","87,460,000,000","93,209,000,000","95,938,465,000","178,448,000,000","154,740,000,000","114,017,000,000","27,445,880,000","16,562,000,000","19,659,000,000","7,779,000,000","22,092,139,000","12,121,924,500","8,311,293,000","17,835,733,500","12,058,551,000","27,382,180,050","17,460,915,000","21,363,967,350","43,126,025,000","43,691,475,000","41,726,694,000","23,633,550,000","12,791,595,135","11,056,140,000","22,589,596,000","15,492,162,000","19,046,345,760","14,929,195,000","15,755,658,000","15,380,425,000","10,049,708,247","18,462,389,380","12,702,557,700","8,868,532,780","10,680,519,080","5,524,974,560","7,548,255,000","11,217,450,000","12,341,423,577.6","10,232,760,000","9,737,975,000","17,546,181,360","24,202,399,050"
			CashAndCashEquivalents,,"19,745,656,000",,,,"21,659,962,000",,,"68,003,000,000","24,270,473,000",,"20,897,722,000",,"23,218,383,000","75,170,000,000","46,909,470,000","97,277,000,000","45,160,032,000","69,874,151,000","118,609,986,000","56,209,000,000","66,473,703,000","89,728,451,000","94,126,626,000",,"48,163,550,000","72,226,000,000","31,585,252,000",,"45,487,200,000","47,955,000,000","62,361,000,000","60,344,000,000","59,123,996,000","126,658,000,000","87,460,000,000","93,209,000,000","95,938,465,000","178,448,000,000","154,740,000,000","114,017,000,000","27,445,880,000","16,562,000,000","19,659,000,000","7,779,000,000","22,092,139,000","12,121,924,500","8,311,293,000","17,835,733,500","12,004,086,000","27,382,180,050","17,460,915,000","21,363,967,350","41,074,975,000","43,691,475,000","41,726,694,000","23,633,550,000","11,285,485,860","11,056,140,000","22,589,596,000","15,492,162,000","16,464,689,424","14,929,195,000","9,001,595,000","15,380,425,000","9,257,385,447","18,462,389,380","12,702,557,700","8,868,532,780","9,215,584,070","5,524,974,560","7,548,255,000","11,217,450,000","2,509,985,473.92","10,232,760,000","9,737,975,000","17,546,181,360","22,573,484,100"
				CashFinancial,,,,,,,,,,,,,,,,,,"45,160,000,000",,,"56,209,000,000","38,601,071,000",,,,"22,617,446,000","72,226,000,000",,,"17,225,343,000",,,,,,,,,"178,448,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,,,,,,,,,,,,,,,,,,,,,,"27,872,632,000",,,,"25,546,104,000",,,,"28,261,857,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,,"47,718,025,000",,,,"49,015,934,000",,,,"59,120,676,000",,"49,421,153,000",,"54,857,157,000",,"59,115,473,000",,"56,347,469,000","55,049,112,000",,,,,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,"54,465,000",,,,"2,051,050,000",,,,"1,506,109,275",,,,"2,581,656,336",,"6,754,063,000",,"792,322,800",,,,"1,464,935,010",,,,"9,831,438,103.68",,,,"1,628,914,950"
		Receivables,"271,589,000,000","205,979,436,000","226,816,000,000","226,500,000,000",,"217,490,525,000","182,817,000,000","206,220,000,000","197,152,000,000","194,644,374,000","186,593,000,000","178,815,700,000","188,918,000,000","206,515,031,000","197,381,000,000","192,166,752,000","175,350,000,000","156,086,760,000","149,952,013,000","145,751,447,000","163,189,000,000","146,904,514,000","129,666,201,000","127,491,453,000",,"129,219,049,000","126,265,000,000","113,036,960,000",,"120,895,007,000","112,003,000,000","113,279,000,000","114,145,000,000","124,973,353,000","122,988,000,000","112,243,000,000","104,524,000,000","96,735,223,000","100,305,000,000","48,910,000,000","50,556,000,000","56,387,080,000","52,237,000,000","47,195,000,000","46,391,000,000","53,823,472,000","44,192,011,500","42,112,611,000","41,978,318,500","44,868,267,000","41,669,010,120","43,431,195,000","41,314,711,020","41,906,190,000","31,926,275,000","29,982,984,000","29,838,036,000","30,864,481,835","23,435,145,000","21,397,844,500","19,275,910,500","20,740,255,092","15,360,609,000","12,430,228,000","11,449,255,000","11,378,079,947","5,985,724,100","5,122,842,200","4,956,895,600","6,316,882,880","4,383,282,400","3,987,945,000","3,622,020,000","4,353,741,077.76","6,590,430,000","4,593,725,000","9,531,025,080","4,443,371,550"
			AccountsReceivable,"271,589,000,000","205,979,436,000","226,816,000,000","226,500,000,000",,"217,490,525,000","182,817,000,000","206,220,000,000","197,152,000,000","169,804,355,000","186,593,000,000","178,815,700,000","188,918,000,000","176,300,586,000","197,381,000,000","192,166,752,000","175,350,000,000","132,438,539,000","149,952,013,000","145,751,447,000","163,189,000,000","122,810,355,000","129,666,201,000","127,491,453,000",,"97,354,369,000","126,265,000,000","113,036,960,000",,"96,825,426,000","112,003,000,000","113,279,000,000","114,145,000,000","124,973,353,000","122,988,000,000","112,243,000,000","104,524,000,000","93,164,187,000","100,305,000,000","48,910,000,000","50,556,000,000","55,918,984,000","52,237,000,000","47,195,000,000","46,391,000,000","52,770,676,000","44,192,011,500","42,112,611,000","41,978,318,500","44,868,267,000","41,669,010,120","43,431,195,000","41,314,711,020","41,906,190,000","31,926,275,000","29,982,984,000","29,838,036,000","30,864,481,835","23,435,145,000","21,397,844,500","19,275,910,500","20,740,255,092","15,360,609,000","12,430,228,000","11,449,255,000","11,378,079,947","5,985,724,100","5,122,842,200","4,956,895,600","6,316,882,880","4,383,282,400","3,987,945,000","3,622,020,000","4,353,741,077.76","6,590,430,000","3,267,050,000","3,022,263,420","4,443,371,550"
			TaxesReceivable,,,,,,,,,,"40,477,188,000",,,,"41,899,517,000",,,,"26,042,534,000",,,,"23,556,336,000",,,,"31,116,185,000",,,,"26,102,082,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			DuefromRelatedPartiesCurrent,,,,,,"1,263,605,000",,,,"868,230,000",,"861,455,000",,"740,492,000",,"848,864,000",,"845,633,000","795,107,000","899,472,000",,"1,320,107,000","1,041,655,000","785,710,000",,"1,346,392,000",,"393,876,000",,"689,053,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,,,,,,,,,"23,407,756,000",,,,"25,666,605,000",,,,"25,100,845,000",,,,"26,223,351,000",,,,"21,040,594,000",,,,"20,405,643,000",,,,,,,,"3,571,036,000",,,,"468,096,000",,,,"1,052,796,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,326,675,000","6,508,761,660",
			ReceivablesAdjustmentsAllowances,,,,,,,,,,"-39,044,925,000",,,,"-37,351,677,000",,,,"-27,495,158,000",,,,"-25,685,528,000",,,,"-20,292,099,000",,,,"-22,438,144,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"39,270,000,000","41,102,012,000","41,697,000,000","38,632,000,000",,"40,305,362,000","39,553,000,000","40,295,000,000","35,085,000,000","38,809,565,000","37,077,000,000","33,060,477,000","29,720,000,000","36,871,292,000","40,355,000,000","36,823,990,000","35,790,000,000","35,577,472,000","34,593,453,000","34,139,447,000","33,568,000,000","35,930,282,000","34,122,732,000","30,742,322,000",,"36,718,953,000","36,512,000,000","33,460,372,000",,"28,697,820,000","29,169,000,000","30,175,000,000","28,837,000,000","34,141,317,000","28,868,000,000","27,745,000,000","25,194,000,000","26,081,530,000","23,900,000,000","20,983,000,000","19,677,000,000","21,536,018,000","21,723,000,000","21,557,000,000","25,129,000,000","31,805,142,000","26,506,462,500","25,201,653,000","22,919,502,500","21,110,634,000","19,763,266,080","17,191,290,000","17,168,459,550","19,193,510,000","16,078,375,000","14,373,402,000","11,670,084,000","12,962,390,485","11,443,320,000","10,425,141,500","8,549,709,000","11,206,842,480","8,764,516,000","6,960,469,000","4,908,410,000","5,212,488,025","3,602,417,440","3,042,340,980","2,596,982,260","3,033,766,120","2,273,190,640","2,466,360,000","2,748,050,000","3,384,973,797.12","2,196,810,000","2,346,500,000","2,709,615,480","3,604,817,700"
			RawMaterials,,"43,954,616,000",,,,"43,723,492,000",,,,"42,262,511,000",,,,"41,020,172,000",,,,"39,076,612,000",,,,"38,946,979,000",,,,"39,238,656,000",,,,"30,976,789,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			FinishedGoods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"36,479,153,000",,,,"27,785,743,000",,,,"23,195,148,000",,,,"33,035,047,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherInventories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22,243,506,000",,,,"20,162,814,640",,,,"13,766,965,025",,,,,,,,,,,,,,,,"3,411,531,313.92",,,,
			InventoriesAdjustmentsAllowances,,"-2,852,604,000",,,,"-3,418,130,000",,,,"-3,452,946,000",,,,"-4,148,880,000",,,,"-3,499,140,000",,,,"-3,016,697,000",,,,"-2,519,703,000",,,,"-2,278,969,000",,,,"-2,337,836,000",,,,"-1,704,213,000",,,,"-1,659,130,000",,,,"-1,229,905,000",,,,"-1,132,872,000",,,,"-969,304,640",,,,"-804,574,540",,,,,,,,,,,,,,,,"-26,557,516.8",,,,
		PrepaidAssets,,"8,697,270,000",,,,"13,880,837,000",,,,"10,219,745,000",,,,"12,864,797,000",,,,"10,254,631,000",,,,"10,232,285,000",,,,"8,604,466,000",,,,"10,855,588,000",,,,,,,,,,,,"2,281,290,000",,,,,,,,,,,,,,,,,,,,"172,698,300",,,,"184,203,860",,,,"893,506,460",,,,"624,501,826.56",,,,"481,927,500"
		CurrentDeferredAssets,,,,,,"599,628,000",,,,"6,182,010,000",,,,"5,914,166,000",,,,"6,270,374,000",,,,"5,061,591,000",,,,"3,041,371,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		HedgingAssetsCurrent,,"6,825,760,000",,,,"5,287,548,000",,,,"8,037,384,000",,"1,031,765,000",,"909,051,000",,"4,281,680,000",,"40,882,008,000","37,978,463,000","30,692,525,000",,"22,536,056,000","16,796,723,000","3,579,588,000",,"10,469,316,000",,"10,598,790,000",,"2,779,749,000",,,,"7,777,953,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,"21,225,000,000","776,164,000","17,837,000,000","21,657,000,000",,"815,728,000","22,904,000,000","38,456,000,000","26,697,000,000","950,991,000","22,382,000,000","23,429,639,000","27,526,000,000","759,130,000","23,144,000,000","25,436,429,000","25,160,000,000","752,908,000","19,416,933,000","21,406,315,000","23,701,000,000","1,269,726,000","19,811,406,000","18,422,189,000",,"481,363,000","15,030,000,000","15,675,702,000",,"415,875,000","16,330,000,000","16,828,000,000","19,189,000,000","14,260,648,000","17,376,000,000","17,301,000,000","19,215,000,000","14,956,754,000","15,740,000,000","6,450,000,000","7,940,000,000","448,054,000","6,673,000,000","7,543,000,000","7,891,000,000","5,765,126,000","6,558,300,000","8,146,509,000","8,082,980,000","4,498,809,000","6,350,916,810","6,783,765,000","7,971,464,820","3,637,915,000","5,520,425,000","5,619,000,000","5,465,598,000","3,593,432,260","5,205,420,000","4,584,485,500","4,196,724,000","3,967,307,532","3,337,782,000","3,371,298,000","3,198,240,000","2,634,171,153","3,909,940,880","2,634,604,560","2,467,671,940","592,207,770","4,464,831,840","7,339,410,000","3,964,400,000","1,662,600,597.12","1,378,950,000","1,010,800,000","691,615,140","925,300,800"
