name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999
TotalRevenue,"8,094,000,000","8,094,000,000","7,658,000,000","7,015,000,000","6,632,000,000","6,416,000,000","5,817,000,000","5,441,000,000","4,982,000,000","4,504,000,000","3,779,000,000","3,286,000,000","3,388,000,000","2,842,000,000","2,363,000,000","1,701,000,000","1,265,972,000","998,351,000","635,191,000","321,000,000","104,618,000","0"
	OperatingRevenue,"7,786,000,000","7,786,000,000","7,381,000,000","6,288,000,000","6,013,000,000","5,893,000,000","5,343,000,000","4,971,000,000","4,550,000,000","4,504,000,000","3,779,000,000","3,286,000,000","3,388,000,000","2,842,000,000","2,363,000,000","1,701,000,000","1,265,972,000","998,351,000","635,191,000","321,000,000","104,618,000","0"
CostOfRevenue,"5,884,000,000","5,884,000,000","5,582,000,000","4,815,000,000","4,195,000,000","4,187,000,000","4,389,000,000","4,189,000,000","3,853,000,000","2,044,000,000","933,000,000","755,000,000","1,151,000,000","2,032,000,000","1,689,000,000","1,215,000,000","837,570,000","586,854,000","381,472,000",,,
	Fuel,"1,847,000,000","1,847,000,000","1,899,000,000","1,363,000,000","1,074,000,000","1,348,000,000","1,912,000,000","1,899,000,000","1,806,000,000","1,664,000,000",,,,,,,,,,,,
	MaintenanceAndRepairs,"619,000,000","619,000,000","625,000,000","622,000,000","563,000,000","490,000,000","418,000,000","432,000,000","338,000,000",,,,,,,,,,,,,
	RentandLandingFeesCostofRevenue,"573,000,000","573,000,000","523,000,000","497,000,000","467,000,000","464,000,000","445,000,000","433,000,000","407,000,000","380,000,000",,,,,,,,,,,,
	DDACostofRevenue,"525,000,000","525,000,000","491,000,000","446,000,000","393,000,000","345,000,000","320,000,000","290,000,000","258,000,000",,,,,,,,,,,,,
	OtherCostofRevenue,"2,320,000,000","2,320,000,000","2,044,000,000","1,887,000,000","1,698,000,000","1,540,000,000","1,294,000,000","1,135,000,000","1,044,000,000",,,,,,,,,,,,,
GrossProfit,"2,210,000,000","2,210,000,000","2,076,000,000","2,200,000,000","2,437,000,000","2,229,000,000","1,428,000,000","1,252,000,000","1,129,000,000","2,460,000,000","2,846,000,000","2,531,000,000","2,237,000,000","810,000,000","674,000,000","486,000,000","428,402,000","411,497,000","253,719,000",,,
OperatingExpense,"1,396,000,000","1,396,000,000","1,353,000,000","1,200,000,000","1,125,000,000","1,013,000,000","913,000,000","824,000,000","753,000,000","2,138,000,000","1,805,000,000","1,574,000,000","1,472,000,000","2,977,000,000","2,497,000,000","1,839,000,000","1,314,426,000","958,172,000","614,930,000","294,000,000","125,806,000","14,216,000"
	SellingGeneralAndAdministration,"290,000,000","290,000,000","294,000,000","267,000,000","259,000,000","264,000,000","231,000,000","223,000,000","204,000,000","1,146,000,000","1,070,000,000","927,000,000","845,000,000","605,000,000","523,000,000","379,000,000","315,776,000","250,932,000","128,607,000","28,000,000","28,090,000","1,334,000"
		GeneralAndAdministrativeExpense,,,,,,,,,,"947,000,000","891,000,000","776,000,000","694,000,000","484,000,000","419,000,000","298,000,000","252,578,000","197,345,000","84,262,000",,"11,112,000","447,000"
			SalariesAndWages,,,,,,,,,,"947,000,000","891,000,000","776,000,000","694,000,000","648,000,000","553,000,000","428,000,000","337,118,000","267,334,000","162,191,000",,,
			RentAndLandingFees,,,,,,,,,,"380,000,000","354,000,000","339,000,000","328,000,000","304,000,000","261,000,000","186,000,000","161,397,000","128,654,000","84,726,000",,,
			OtherGandA,,,,,,,,,,"380,000,000","354,000,000","339,000,000","328,000,000","1,436,000,000","1,233,000,000","912,000,000","751,093,000","593,333,000","331,179,000",,"11,112,000","447,000"
		SellingAndMarketingExpense,"290,000,000","290,000,000","294,000,000","267,000,000","259,000,000","264,000,000","231,000,000","223,000,000","204,000,000","199,000,000","179,000,000","151,000,000","151,000,000","121,000,000","104,000,000","81,000,000","63,198,000","53,587,000","44,345,000","28,000,000","16,978,000","887,000"
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,"233,000,000","220,000,000","228,000,000","205,000,000","176,000,000","151,000,000","115,000,000","76,540,000","50,397,000","26,922,000","10,000,000","3,995,000","111,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,"233,000,000","220,000,000","228,000,000","205,000,000","176,000,000","151,000,000","115,000,000","76,540,000","50,397,000","26,922,000","10,000,000","3,995,000","111,000"
			DepreciationIncomeStatement,,,,,,,,,,,,,,"176,000,000","151,000,000","115,000,000","76,540,000","50,397,000","26,922,000",,,
