name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008
TotalRevenue,"20,173,000,000","21,353,000,000","21,389,000,000","17,314,000,000","12,282,000,000","13,207,000,000","20,107,000,000","18,993,000,000","17,229,000,000","15,696,000,000","12,973,000,000","10,617,594,000","20,152,303,000"
	OperatingRevenue,"20,173,000,000","21,353,000,000","21,389,000,000","17,314,000,000","12,282,000,000","13,207,000,000","20,107,000,000","18,993,000,000","17,229,000,000","15,696,000,000","12,973,000,000","10,617,594,000","20,152,303,000"
CostOfRevenue,"11,781,000,000","11,848,000,000","11,420,000,000","10,142,000,000","8,624,000,000","9,631,000,000","13,366,000,000","12,568,000,000","11,195,000,000","11,901,000,000","8,885,000,000","6,705,628,400","13,305,461,000"
GrossProfit,"8,392,000,000","9,505,000,000","9,969,000,000","7,172,000,000","3,658,000,000","3,576,000,000","6,741,000,000","6,425,000,000","6,034,000,000","3,795,000,000","4,088,000,000","3,911,965,600","6,846,842,000"
OperatingExpense,"8,132,000,000","7,764,000,000","11,357,000,000","6,978,000,000","4,090,000,000","4,526,000,000","5,168,000,000","4,491,000,000","4,023,000,000","1,342,000,000","2,646,000,000","2,688,952,800","2,817,355,000"
	SellingGeneralAndAdministration,"285,000,000","336,000,000","391,000,000","308,000,000","326,000,000","335,000,000","358,000,000","349,000,000","352,000,000","295,000,000","1,391,000,000","900,506,000","1,375,210,000"
		GeneralAndAdministrativeExpense,"285,000,000","336,000,000","391,000,000","308,000,000","326,000,000","335,000,000","358,000,000","349,000,000","352,000,000",,"326,000,000","196,854,800","203,239,000"
			OtherGandA,"285,000,000","336,000,000","391,000,000","308,000,000","326,000,000","335,000,000","358,000,000","349,000,000","352,000,000",,"326,000,000","196,854,800","203,239,000"
		SellingAndMarketingExpense,,,,,,,,,,,"1,065,000,000","703,651,200","1,171,971,000"
	ResearchAndDevelopment,"19,000,000","20,000,000","25,000,000","36,000,000","36,000,000","27,000,000","15,000,000","24,000,000",,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,"1,295,000,000","1,310,000,000","1,406,255,300","1,604,006,000"
	OtherTaxes,,"1,000,000","1,000,000","1,000,000","12,000,000","18,000,000","46,000,000","35,000,000","37,000,000",,,"39,789,800","91,275,000"
	OtherOperatingExpenses,"7,869,000,000","7,407,000,000","10,940,000,000","6,633,000,000","3,716,000,000","4,146,000,000","4,749,000,000","4,083,000,000","3,634,000,000","-248,000,000","-55,000,000","342,401,700","-253,136,000"
OperatingIncome,"260,000,000","1,741,000,000","-1,388,000,000","194,000,000","-432,000,000","-950,000,000","1,573,000,000","1,934,000,000","2,011,000,000","2,453,000,000","1,442,000,000","1,223,012,800","4,029,487,000"
NetNonOperatingInterestIncomeExpense,"-417,000,000","-441,000,000","-546,000,000","-535,000,000","-310,000,000","-328,000,000","-292,000,000","-336,000,000","-260,000,000","-323,000,000","-279,000,000","-228,267,800","-265,306,000"
	InterestIncomeNonOperating,"11,000,000","12,000,000","19,000,000","62,000,000","52,000,000","28,000,000","33,000,000","96,000,000","109,000,000","124,000,000",,,
	InterestExpenseNonOperating,"469,000,000","489,000,000","516,000,000","571,000,000","341,000,000","328,000,000","307,000,000","369,000,000","348,000,000","447,000,000","279,000,000","228,267,800","265,306,000"
	TotalOtherFinanceCost,"-41,000,000","-36,000,000","49,000,000","26,000,000","21,000,000","28,000,000","18,000,000","63,000,000","21,000,000",,,,
OtherIncomeExpense,"-748,000,000","97,000,000","-1,992,000,000","2,557,000,000","-185,000,000","1,815,000,000","-86,000,000","-504,000,000","25,000,000","77,000,000",,,
	GainOnSaleOfSecurity,"-421,000,000","248,000,000","-1,159,000,000","-84,000,000","-145,000,000","-575,000,000","251,000,000","-501,000,000","413,000,000",,,,
	SpecialIncomeCharges,"-356,000,000","-162,000,000","-845,000,000","2,636,000,000","-6,000,000","2,392,000,000","-341,000,000","-1,000,000","-393,000,000","77,000,000",,,
		RestructuringAndMergernAcquisition,"-229,000,000","164,000,000","50,000,000","-2,637,000,000",,,,,,,,,
		ImpairmentOfCapitalAssets,,,,,"0","0","497,000,000","0","393,000,000",,,,
		OtherSpecialCharges,,,"50,000,000","-138,000,000",,,,,,,,,
		GainOnSaleOfPPE,"6,000,000","2,000,000","-795,000,000","-1,000,000","-6,000,000","2,392,000,000","156,000,000","-1,000,000","0",,,,
	OtherNonOperatingIncomeExpenses,"29,000,000","11,000,000","12,000,000","5,000,000","-34,000,000","-2,000,000","4,000,000","-2,000,000","5,000,000",,,,
PretaxIncome,"-905,000,000","1,397,000,000","-3,926,000,000","2,216,000,000","-927,000,000","537,000,000","1,195,000,000","1,094,000,000","1,776,000,000","2,207,000,000","1,163,000,000","994,745,000","3,764,181,000"
TaxProvision,"-1,192,000,000","-797,000,000","-1,010,000,000","-52,000,000","-382,000,000","-81,000,000","451,000,000","432,000,000","783,000,000","729,000,000","170,000,000","316,224,200","882,325,000"
NetIncomeCommonStockholders,"287,000,000","2,194,000,000","-2,669,000,000","3,366,000,000","-545,000,000","618,000,000","744,000,000","662,000,000","993,000,000","1,478,000,000","993,000,000","678,520,800","2,881,856,000"
	NetIncome,"287,000,000","2,194,000,000","-2,669,000,000","3,366,000,000","-545,000,000","618,000,000","744,000,000","662,000,000","993,000,000","1,478,000,000","993,000,000","678,520,800","2,881,856,000"
		NetIncomeIncludingNoncontrollingInterests,"287,000,000","2,194,000,000","-2,669,000,000","3,366,000,000","-545,000,000","618,000,000","744,000,000","662,000,000","993,000,000","1,478,000,000","993,000,000","678,520,800","2,881,856,000"
			NetIncomeContinuousOperations,"287,000,000","2,194,000,000","-2,916,000,000","2,268,000,000","-545,000,000","618,000,000","744,000,000","662,000,000","993,000,000","1,478,000,000","993,000,000","678,520,800","2,881,856,000"
			NetIncomeDiscontinuousOperations,,"0","247,000,000","1,098,000,000",,,,,,,,,
DilutedNIAvailtoComStockholders,"287,000,000","2,194,000,000","-2,669,000,000","3,366,000,000","-545,000,000","618,000,000","744,000,000","662,000,000","993,000,000","1,478,000,000","993,000,000","678,520,800","2,881,856,000"
BasicEPS,,"1.78","-2.17","3.05","-0.65","0.75","0.98","0.88","1.31","1.96","1.32","0.901","3.846"
DilutedEPS,,"1.78","-2.17","3.05","-0.65","0.75","0.98","0.87","1.31","1.95","1.32","0.901","3.834"
BasicAverageShares,,"1,228,800,000","1,228,800,000","1,102,500,000","833,300,000","818,700,000","756,900,000","755,900,000","755,600,000","754,000,000","751,900,000","751,000,000","750,100,000"
DilutedAverageShares,,"1,229,400,000","1,229,200,000","1,102,500,000","833,300,000","818,700,000","757,600,000","757,500,000","758,500,000","757,700,000","752,700,000","751,400,000","751,800,000"
TotalExpenses,"19,913,000,000","19,612,000,000","22,777,000,000","17,120,000,000","12,714,000,000","14,157,000,000","18,534,000,000","17,059,000,000","15,218,000,000","13,243,000,000","11,531,000,000","9,394,581,200","16,122,816,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"287,000,000","2,194,000,000","-2,669,000,000","3,366,000,000","-545,000,000","618,000,000","744,000,000","662,000,000","993,000,000","1,478,000,000","993,000,000","678,520,800","2,881,856,000"
NormalizedIncome,"858,095,000","2,130,790,000","-1,427,028,000","-225,304,000","-434,015,000","-924,633,000","800,070,000","965,710,000","978,000,000","1,426,434,073.403","993,000,000","678,520,800","2,881,856,000"
InterestIncome,"11,000,000","12,000,000","19,000,000","62,000,000","52,000,000","28,000,000","33,000,000","96,000,000","109,000,000","124,000,000",,,
InterestExpense,"469,000,000","489,000,000","516,000,000","571,000,000","341,000,000","328,000,000","307,000,000","369,000,000","348,000,000","447,000,000","279,000,000","228,267,800","265,306,000"
NetInterestIncome,"-417,000,000","-441,000,000","-546,000,000","-535,000,000","-310,000,000","-328,000,000","-292,000,000","-336,000,000","-260,000,000","-323,000,000","-279,000,000","-228,267,800","-265,306,000"
EBIT,"-436,000,000","1,886,000,000","-3,410,000,000","2,787,000,000","-586,000,000","865,000,000","1,502,000,000","1,463,000,000","2,124,000,000","2,654,000,000","1,442,000,000","1,223,012,800","4,029,487,000"
EBITDA,"2,190,000,000"
ReconciledCostOfRevenue,"11,781,000,000","11,848,000,000","11,420,000,000","10,142,000,000","8,624,000,000","9,631,000,000","13,366,000,000","12,568,000,000","11,195,000,000","11,901,000,000","8,885,000,000","6,705,628,400","13,305,461,000"
ReconciledDepreciation,"2,626,000,000","2,249,000,000","2,131,000,000","2,030,000,000","1,498,000,000","2,114,000,000","1,946,000,000","1,833,000,000","1,585,000,000","1,295,000,000","1,310,000,000","1,406,255,300","1,604,006,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"287,000,000","2,194,000,000","-2,916,000,000","2,268,000,000","-545,000,000","618,000,000","744,000,000","662,000,000","993,000,000","1,478,000,000","993,000,000","678,520,800","2,881,856,000"
TotalUnusualItemsExcludingGoodwill,"-777,000,000","86,000,000","-2,004,000,000","2,552,000,000","-151,000,000","1,817,000,000","-90,000,000","-502,000,000","20,000,000","77,000,000",,,
TotalUnusualItems,"-777,000,000","86,000,000","-2,004,000,000","2,552,000,000","-151,000,000","1,817,000,000","-90,000,000","-502,000,000","20,000,000","77,000,000",,,
NormalizedEBITDA,"2,967,000,000","4,049,000,000","725,000,000","2,265,000,000","1,063,000,000","1,162,000,000","3,538,000,000","3,798,000,000","3,689,000,000","3,872,000,000","2,752,000,000","2,629,268,100","5,633,493,000"
TaxRateForCalcs,"0.265","0.265","0.257","0.023","0.265","0.151","0.377","0.395","0.25","0.33","0.146","0.318","0.234"
TaxEffectOfUnusualItems,"-205,905,000","22,790,000","-515,028,000","58,696,000","-40,015,000","274,367,000","-33,930,000","-198,290,000","5,000,000","25,434,073.403","0","0","0"
