name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014
TotalAssets,"1,143,071,000","967,933,000","950,717,000","979,105,000","984,041,000","1,096,912,000"
	CurrentAssets,"317,028,000","178,114,000","129,971,000","133,248,000","94,721,000","133,321,000"
		CashCashEquivalentsAndShortTermInvestments,"131,920,000","23,275,000","26,485,000","37,099,000","14,880,000","54,285,000"
			CashAndCashEquivalents,"131,920,000","23,275,000","26,485,000","37,099,000","14,880,000","54,285,000"
		Receivables,"155,662,000","133,449,000","83,079,000","79,767,000","65,088,000","65,248,000"
			AccountsReceivable,"127,877,000","85,120,000","55,599,000","48,270,000","46,352,000","52,468,000"
				GrossAccountsReceivable,,,,,"48,076,000","58,323,000"
				AllowanceForDoubtfulAccountsReceivable,,,,,"-1,724,000","-5,855,000"
			OtherReceivables,"28,368,000","49,361,000","28,153,000","34,719,000","18,736,000","12,780,000"
			ReceivablesAdjustmentsAllowances,"-583,000","-1,032,000","-673,000","-3,222,000",,
		PrepaidAssets,"29,446,000","21,383,000","20,400,000","16,074,000","11,896,000","12,684,000"
		RestrictedCash,"0","7,000","7,000","308,000","2,857,000","1,104,000"
	TotalNonCurrentAssets,"826,043,000","789,819,000","820,746,000","845,857,000","889,320,000","963,591,000"
		NetPPE,"99,444,000","52,255,000","48,739,000","43,805,000","37,512,000","38,084,000"
			GrossPPE,"131,073,000","85,366,000","74,859,000","61,432,000","48,185,000","42,605,000"
				Properties,"0","0","0","0","0","0"
				LandAndImprovements,"1,577,000","1,240,000","972,000","543,000","940,000","1,036,000"
				BuildingsAndImprovements,"13,272,000","30,897,000","25,311,000","25,005,000","25,591,000","25,899,000"
				MachineryFurnitureEquipment,"60,807,000","47,895,000","43,022,000","33,044,000","21,350,000","15,378,000"
				OtherProperties,"52,152,000",,,,,
				ConstructionInProgress,"3,265,000","5,334,000","5,554,000","2,840,000","304,000","292,000"
			AccumulatedDepreciation,"-31,629,000","-33,111,000","-26,120,000","-17,627,000","-10,673,000","-4,521,000"
