name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002
TotalRevenue,"661,200,000","644,900,000","575,800,000","491,596,000","412,111,000","385,292,000","359,862,000","348,646,000","358,647,000","342,724,000","342,350,000","343,826,000","336,663,000","292,051,000","269,210,000","240,598,000","221,675,000","210,796,000","196,748,000"
	NetInterestIncome,"502,100,000","495,000,000","432,500,000","349,843,000","279,765,000","264,363,000","248,461,000","236,967,000","243,786,000","250,852,000","251,439,000","243,136,000","235,377,000","199,603,000","187,463,000","170,308,000","150,419,000","140,644,000","135,847,000"
		InterestIncome,"546,500,000","554,000,000","473,400,000","377,777,000","297,426,000","282,423,000","267,067,000","257,662,000","273,900,000","292,883,000","314,546,000","328,034,000","355,919,000","325,557,000","293,423,000","233,857,000","192,840,000","189,258,000","201,306,000"
			InterestIncomeFromLoansAndLease,,"470,900,000","404,300,000","324,769,000","259,219,000","246,015,000","231,469,000","220,687,000","230,882,000","245,767,000","266,472,000","279,985,000","305,152,000","272,482,000","245,435,000","195,431,000","161,787,000","158,854,000","163,231,000"
				InterestIncomeFromLoans,,"470,900,000","404,300,000","324,769,000","259,219,000","246,015,000","231,469,000","220,687,000","230,882,000","245,767,000","266,472,000","279,985,000","305,152,000","272,482,000","245,435,000","195,431,000","161,787,000","158,854,000","163,231,000"
			InterestIncomeFromSecurities,,"64,300,000","57,800,000","45,853,000","35,607,000","34,859,000","34,257,000","35,965,000","41,770,000","46,053,000","46,959,000","47,276,000","49,496,000","47,346,000","45,432,000","34,639,000","29,701,000","29,840,000","36,442,000"
			InterestIncomeFromDeposits,,"18,800,000","11,300,000","7,146,000","2,589,000","1,537,000","1,334,000","992,000","1,235,000","1,050,000","1,093,000","520,000","191,000","1,307,000","360,000","1,021,000","281,000","19,000","306,000"
			InterestIncomeFromFederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,,,,"9,000","11,000","12,000","7,000","18,000","13,000","13,000","22,000","253,000","1,080,000","4,422,000","2,196,000","2,766,000","1,071,000","545,000","1,327,000"
		InterestExpense,,"59,000,000","40,900,000","27,934,000","17,661,000","18,060,000","18,606,000","20,695,000","30,114,000","42,031,000","63,107,000","84,898,000","120,542,000","125,954,000","105,960,000","63,549,000","42,421,000","48,614,000","65,459,000"
			InterestExpenseForDeposit,,"49,300,000","32,600,000","21,367,000","12,662,000","13,107,000","13,779,000","15,800,000","22,306,000","33,533,000","53,949,000","73,226,000","96,863,000","99,549,000","73,267,000","45,587,000","34,304,000","41,387,000","56,251,000"
			InterestExpenseForShortTermDebt,,,,,,,,,,"0","3,000","1,347,000","1,741,000","161,000","709,000","122,000","60,000","51,000","85,000"
			InterestExpenseForLongTermDebtAndCapitalSecurities,,"5,800,000","5,600,000","5,314,000","4,570,000","4,722,000","4,590,000","4,442,000","7,098,000","7,803,000","8,276,000","9,529,000","12,855,000","4,765,000","5,057,000","5,212,000","4,303,000","3,810,000","2,045,000"
			InterestExpenseForFederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,,"3,900,000","2,700,000","1,253,000","429,000","231,000","237,000","294,000","579,000","695,000","879,000","756,000","9,083,000","20,945,000","23,629,000","12,576,000","3,686,000","2,180,000","3,543,000"
			OtherInterestExpense,,,,,,,,"159,000","131,000",,,"149,186,000",,"199,954,000","151,250,000","91,470,000","68,796,000","84,062,000","116,207,000"
	NonInterestIncome,"159,100,000","149,900,000","143,300,000","141,753,000","132,346,000","120,929,000","111,401,000","111,679,000","114,861,000","91,872,000","90,911,000","100,690,000","101,286,000","92,448,000","81,747,000","70,290,000","71,256,000","70,152,000","60,901,000"
		FeesAndCommissions,"143,800,000","133,900,000","128,300,000","127,905,000","121,988,000","80,092,000","76,305,000","69,899,000","65,952,000","62,493,000","60,062,000","49,070,000","66,604,000","61,088,000","65,937,000","53,124,000","51,299,000","59,603,000","47,933,000"
			FeesandCommissionIncome,"143,800,000","133,900,000","128,300,000","127,905,000","121,988,000","80,092,000","76,305,000","69,899,000","65,952,000","62,493,000","60,062,000","49,070,000","66,604,000","61,088,000","65,937,000","53,124,000","51,299,000","59,603,000","47,933,000"
