name,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,06/30/2003
		GainsLossesNotAffectingRetainedEarnings,"-260,156,000,000","5,901,000,000","-186,978,000,000","-454,320,000,000","-753,220,000,000","-810,602,000,000","-755,155,000,000","-815,547,000,000","-529,734,000,000","-347,043,000,000","-252,980,000,000","-222,275,000,000","-102,583,000,000","49,003,000,000","254,399,000,000","452,399,000,000","304,771,000,000","500,677,000,000","510,124,000,000","694,827,000,000","637,894,000,000","670,211,000,000","572,631,000,000","649,727,000,000","671,807,000,000","696,224,000,000","754,540,000,000","1,103,189,000,000","1,134,820,000,000","1,322,756,000,000","1,090,019,000,000","1,247,792,000,000","1,188,948,000,000","1,260,023,000,000","1,385,381,000,000","1,667,084,000,000","1,135,888,000,000","762,632,024,088.69","359,552,912,950.44","-99,140,601,612.9","152,520,000,000","60,922,500,000","19,568,750,000"
		OtherEquityInterest,"614,465,000,000","614,390,000,000","876,061,000,000","968,103,000,000","978,864,000,000","1,110,993,000,000","176,668,000,000","26,914,000,000","25,886,000,000","25,917,000,000","-197,601,000,000","102,400,000,000","39,855,000,000","282,598,000,000","343,899,000,000","343,899,000,000","313,362,000,000","313,362,000,000","313,321,000,000","114,450,000,000","144,038,000,000","143,795,000,000","143,807,000,000","144,320,000,000","144,315,000,000","143,226,000,000","144,086,000,000","144,315,000,000","144,346,000,000","144,595,000,000","144,595,000,000","-154,262,000,000","-154,072,000,000","-390,853,000,000","-390,279,000,000","-390,853,000,000",,,,,,,
	MinorityInterest,"2,752,435,000,000","2,752,081,000,000","2,677,554,000,000","2,431,019,000,000","925,805,000,000","716,702,000,000","711,684,000,000","706,029,000,000","883,397,000,000","892,791,000,000","837,729,000,000","633,750,000,000","635,282,000,000","645,284,000,000","970,714,000,000","965,313,000,000","969,981,000,000","1,033,407,000,000","1,027,154,000,000","1,024,995,000,000","1,330,809,000,000","1,320,357,000,000","1,318,202,000,000","2,312,940,000,000","2,316,988,000,000","2,308,277,000,000","2,306,858,000,000","2,015,918,000,000","2,469,146,000,000","2,463,609,000,000","2,459,486,000,000","2,466,133,000,000","2,462,304,000,000","2,459,862,000,000","2,454,616,000,000","2,464,289,000,000","412,825,000,000","211,569,288,838.04","154,461,101,278.44","78,913,760,394.81","63,318,000,000","610,995,000,000","349,322,500,000"
TotalCapitalization,"145,578,224,000,000","136,390,648,000,000","132,309,549,000,000","125,679,865,000,000","131,771,311,000,000","122,402,040,000,000","118,925,891,000,000","111,616,247,000,000","115,804,219,000,000","111,787,533,000,000","108,321,240,000,000","101,829,191,000,000","104,177,802,000,000","99,264,586,000,000","97,158,302,000,000","94,531,223,000,000","96,766,827,000,000","95,303,632,000,000","94,226,313,000,000","91,666,053,000,000","91,513,190,000,000","87,571,681,000,000","84,962,449,000,000","86,772,959,000,000","87,476,949,000,000","86,093,235,000,000","88,210,308,000,000","87,957,154,000,000","86,419,732,000,000","48,224,565,000,000","46,792,027,000,000","85,315,957,000,000","84,166,705,000,000","47,647,179,000,000","85,907,141,000,000","83,815,708,000,000","77,587,065,000,000","63,442,282,906,033.22","48,318,123,688,971.51","33,986,581,404,682.28","28,999,272,000,000","26,556,460,000,000","13,922,043,750,000"
PreferredStockEquity,"361,465,000,000","361,465,000,000","361,465,000,000","274,055,000,000","274,055,000,000","274,055,000,000","274,055,000,000","274,055,000,000","274,055,000,000","274,055,000,000","274,055,000,000","274,055,000,000","274,055,000,000","274,055,000,000","274,055,000,000","274,055,000,000","274,055,000,000","274,055,000,000","274,055,000,000",,"274,055,000,000",,,,"274,055,000,000",,,,"274,055,000,000","274,055,000,000","274,055,000,000","274,055,000,000","274,055,000,000","274,055,000,000",,"218,555,000,000","218,555,000,000","218,678,839,414.91",,"363,974,218,172.21","710,795,000,000","745,736,250,000",
CommonStockEquity,"38,816,481,000,000","38,583,579,000,000","37,697,843,000,000","35,889,339,000,000","35,451,570,000,000","35,025,752,000,000","33,313,154,000,000","32,174,246,000,000","32,545,084,000,000","32,520,951,000,000","31,577,198,000,000","31,020,333,000,000","30,835,643,000,000","30,624,981,000,000","30,193,459,000,000","29,717,687,000,000","30,565,600,000,000","30,367,177,000,000","29,707,266,000,000","29,282,732,000,000","28,910,044,000,000","28,915,980,000,000","28,193,899,000,000","27,701,426,000,000","27,268,618,000,000","27,230,032,000,000","26,773,484,000,000","26,510,074,000,000","26,036,622,000,000","25,852,203,000,000","25,141,983,000,000","24,374,415,000,000","24,122,446,000,000","27,205,189,000,000","26,900,992,000,000","24,891,505,000,000","22,576,815,000,000","16,700,985,054,132.68","9,518,735,001,695.7","7,728,038,375,789.52","5,472,630,000,000","3,560,610,000,000","3,750,726,250,000"
CapitalLeaseObligations,"1,104,259,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetTangibleAssets,"33,619,232,000,000","33,276,891,000,000","32,474,078,000,000","30,538,823,000,000","31,405,491,000,000","31,002,628,000,000","29,273,799,000,000","28,158,199,000,000","28,547,170,000,000","28,570,882,000,000","27,612,861,000,000","27,054,058,000,000","26,883,186,000,000","26,671,529,000,000","26,231,867,000,000","25,729,106,000,000","26,564,759,000,000","26,418,017,000,000","25,760,986,000,000","25,037,869,000,000","25,031,256,000,000","24,747,081,000,000","24,005,070,000,000","23,492,567,000,000","23,316,295,000,000","23,003,752,000,000","22,528,740,000,000","22,256,665,000,000","22,119,901,000,000","21,883,618,000,000","21,162,733,000,000","20,399,202,000,000","20,193,041,000,000","23,422,972,000,000","22,835,732,000,000","21,061,335,000,000","18,008,508,000,000","10,756,496,277,485.42","7,054,422,049,009.5","5,165,856,901,941.77","4,580,034,000,000","2,548,857,500,000","3,581,927,500,000"
InvestedCapital,"145,303,550,000,000","136,029,183,000,000","131,948,084,000,000","125,405,810,000,000","131,497,256,000,000","122,127,985,000,000","118,651,836,000,000","111,342,192,000,000","115,530,164,000,000","111,513,478,000,000","108,047,185,000,000","101,555,136,000,000","103,903,747,000,000","98,990,531,000,000","96,884,247,000,000","94,257,168,000,000","96,492,772,000,000","95,029,577,000,000","93,952,258,000,000","91,666,053,000,000","91,239,135,000,000","87,571,681,000,000","84,962,449,000,000","86,772,959,000,000","87,202,894,000,000","86,093,235,000,000","88,210,308,000,000","87,957,154,000,000","86,145,677,000,000","47,950,510,000,000","46,517,972,000,000","85,041,902,000,000","83,892,650,000,000","47,373,124,000,000","85,907,141,000,000","83,597,153,000,000","85,439,769,000,000","90,492,118,169,371.38","58,805,668,232,655.3","45,464,120,131,513.05","38,870,599,000,000","37,560,660,000,000","28,510,907,500,000"
TangibleBookValue,"33,257,767,000,000","32,915,426,000,000","32,112,613,000,000","30,264,768,000,000","31,131,436,000,000","30,728,573,000,000","28,999,744,000,000","27,884,144,000,000","28,273,115,000,000","28,296,827,000,000","27,338,806,000,000","26,780,003,000,000","26,609,131,000,000","26,397,474,000,000","25,957,812,000,000","25,455,051,000,000","26,290,704,000,000","26,143,962,000,000","25,486,931,000,000","25,037,869,000,000","24,757,201,000,000","24,747,081,000,000","24,005,070,000,000","23,492,567,000,000","23,042,240,000,000","23,003,752,000,000","22,528,740,000,000","22,256,665,000,000","21,845,846,000,000","21,609,563,000,000","20,888,678,000,000","20,125,147,000,000","19,918,986,000,000","23,148,917,000,000","22,835,732,000,000","20,842,780,000,000","17,789,953,000,000","10,537,817,438,070.51","7,054,422,049,009.5","4,801,882,683,769.56","3,869,239,000,000","1,803,121,250,000","3,581,927,500,000"
TotalDebt,"107,591,328,000,000","97,445,604,000,000","94,250,241,000,000","89,516,471,000,000","96,045,686,000,000","87,102,233,000,000","85,338,682,000,000","79,167,946,000,000","82,985,080,000,000","78,992,527,000,000","76,469,987,000,000","70,534,803,000,000","73,068,104,000,000","68,365,550,000,000","66,690,788,000,000","64,539,481,000,000","65,927,172,000,000","64,662,400,000,000","64,244,992,000,000","62,383,321,000,000","62,329,091,000,000","58,655,701,000,000","56,768,550,000,000","59,071,533,000,000","59,934,276,000,000","58,863,203,000,000","61,436,824,000,000","61,447,080,000,000","60,109,055,000,000","22,098,307,000,000","21,375,989,000,000","60,667,487,000,000","59,770,204,000,000","20,167,935,000,000","59,006,149,000,000","58,705,648,000,000","62,862,954,000,000","73,791,133,115,238.7","49,286,933,230,959.6","37,736,081,755,723.53","33,397,969,000,000","34,000,050,000,000","24,760,181,250,000"
NetDebt,"76,878,753,000,000","72,369,964,000,000","69,168,087,000,000","67,633,696,000,000","77,544,626,000,000","67,966,271,000,000","64,146,303,000,000","61,154,448,000,000","59,157,789,000,000","56,503,591,000,000","56,045,943,000,000","48,186,774,000,000","52,719,894,000,000","49,279,000,000,000","44,205,403,000,000","43,736,148,000,000","42,688,569,000,000","39,384,058,000,000","43,077,773,000,000","42,296,949,000,000","40,436,553,000,000","37,323,447,000,000","38,028,951,000,000","38,565,981,000,000","42,107,869,000,000","38,061,382,000,000","43,826,974,000,000","44,687,452,000,000","45,357,774,000,000","6,448,202,000,000","5,372,551,000,000","42,692,388,000,000","45,039,272,000,000","4,076,867,000,000","46,458,598,000,000","42,411,263,000,000","54,795,038,000,000","69,114,852,206,448.58","46,981,974,486,961.8","34,707,357,861,409.97","30,823,939,000,000","31,582,017,500,000","20,686,093,750,000"
ShareIssued,"474,199,587","474,199,587","474,199,587","474,199,587","474,199,587","474,199,587","474,199,587","474,199,587","474,199,587","474,199,587","474,199,587","474,199,587","474,199,587","474,199,587","474,199,587","474,199,587","474,199,587","474,199,587","474,199,587","474,199,587","474,199,587","474,199,587","474,199,587","474,199,587","474,199,587","474,199,587","474,199,587","474,199,587","474,199,587","474,199,587","474,199,587","474,199,587","474,199,587","474,199,587","474,199,587","474,199,587","474,199,587","416,584,718","401,199,564","377,689,116","345,209,928","278,139,700","307,399,304"
OrdinarySharesNumber,"460,317,525","460,317,525","466,644,324","470,250,928","470,550,928","473,649,587","474,199,587","474,199,587","474,199,587","474,199,587","474,199,587","474,199,587","474,199,587","474,199,587","474,199,587","474,199,587","474,199,587","474,199,587","474,199,587","474,199,587","474,199,587","474,199,587","474,199,587","474,199,587","474,199,587","474,199,587","474,199,587","474,199,587","474,199,587","474,199,587","474,199,587","474,199,587","474,199,587","474,199,587","474,199,587","474,199,587","474,199,587","416,584,162","393,702,853","365,481,726","335,749,080","278,139,700","307,399,304"
PreferredSharesNumber,,,,"11,100,000","11,100,000","11,100,000","11,100,000","11,100,000","11,100,000","11,100,000","11,100,000","11,100,000","11,100,000","11,100,000","11,100,000","11,100,000","11,100,000","11,100,000","11,100,000","11,100,000","11,100,000","11,100,000","11,100,000","11,100,000","11,100,000","11,100,000","11,100,000",,"11,100,000","11,100,000","11,100,000","11,100,000","54,811,000","54,811,000","54,811,000","43,711,000","43,711,000","43,711,000",,"22,360,301","44,720,603",,
TreasurySharesNumber,"13,882,062","13,882,062","7,555,263","3,948,659","3,648,659","550,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"556","7,496,711","12,207,390","9,460,848",,
