name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002
TotalRevenue,"1,629,814,000","554,738,000","412,379,000","381,430,000","281,267,000","304,912,000","280,320,000","222,701,000","214,653,000","198,237,000","212,364,000","176,709,000","189,894,000","168,528,000","133,215,055.334","100,084,426.697","91,316,143.394","84,579,828.048","38,676,864.245","47,445,653.845","48,181,568.683","42,787,120.897","47,754,223.667","49,502,254.977","40,826,922.065","41,372,048.214","39,415,389.899","42,139,945.652","50,921,660.162","29,401,671.887","37,108,421.684","32,589,339.189","43,353,304.621","43,709,289.683","40,544,591.305","37,419,287.212","36,092,118.894","25,363,001.496","29,876,878.499","19,004,120.222","17,691,584.045","5,783,500.609","6,408,852.383","20,899,177.001","15,931,429.81","6,935,160.754","7,361,157.535","7,758,092.683","12,937,935.507","9,539,543.757","7,744,517.961","10,611,429.242","10,943,169.799","6,961,837.911","8,375,840.463","7,528,885.746","10,013,166.598","9,716,463.644","5,063,937.394","6,044,761.282","5,388,441.944","5,141,942.457","4,212,013.467","2,699,388.2","2,849,507.909","2,558,633.208","1,209,912.34","503,885.21","1,445,459.115","1,415,223.349","5,179,854.754",
	OperatingRevenue,"1,629,814,000","554,738,000","412,379,000","381,430,000","281,267,000","304,912,000","280,320,000","222,701,000","214,653,000","198,237,000","212,364,000","176,709,000","189,894,000","168,528,000","133,215,055.334","100,084,426.697","91,316,143.394","84,579,828.048","38,676,864.245","47,445,653.845","48,181,568.683","42,787,120.897","47,754,223.667","49,502,254.977","40,826,922.065","41,372,048.214","39,415,389.899","42,139,945.652","50,921,660.162","29,401,671.887","37,108,421.684","32,589,339.189","43,353,304.621","43,709,289.683","40,544,591.305","37,419,287.212","36,092,118.894","25,363,001.496","29,876,878.499","19,004,120.222","17,691,584.045","5,783,500.609","6,408,852.383","20,899,177.001","15,931,429.81","6,935,160.754","7,361,157.535","7,758,092.683","12,937,935.507","9,539,543.757","7,744,517.961","10,611,429.242","10,943,169.799","6,961,837.911","8,375,840.463","7,528,885.746","10,013,166.598","9,716,463.644","5,063,937.394","6,044,761.282","5,388,441.944","5,141,942.457","4,212,013.467","2,699,388.2","2,849,507.909","2,558,633.208","1,209,912.34","503,885.21","1,445,459.115","1,415,223.349","5,179,854.754",
CostOfRevenue,"642,443,000","275,680,000","135,036,000","125,786,000","105,941,000","119,624,000","109,505,000","107,419,000","105,195,000","100,063,000","120,104,000","103,303,000","114,224,000","120,735,000","94,154,534.702","57,615,516.258","63,179,211.303","59,891,836.923","28,656,214.149","34,946,806.875","36,218,926.988","32,792,383.765","38,623,781.119","37,799,288.674","37,515,518.602","42,108,706.367","37,868,958.806","36,118,982.919","39,695,679.991","26,324,242.364","30,048,009.602","26,568,177.281","27,133,269.97","25,346,380.585","23,665,680.89","25,492,662.474","17,950,828.344","17,953,205.985","17,126,622.139","13,684,531.66","5,366,161.845","11,764,765.471","12,911,449.329","17,849,273.141","10,878,554.64","8,241,003.852","8,979,231.924","8,942,050.732",,"9,288,433.531","8,487,646.347","8,341,891.257",,"7,917,938.284","7,404,871.658","7,459,230.939","9,999,637.857","5,286,542.783","4,217,334.179","8,551,671.844","5,661,735.321","7,826,512.176","7,805,789.949","7,041,474.634","6,404,553.061","4,890,687.547","4,075,701.395","2,704,456.313","2,335,760.959","1,880,151.944","3,232,298.089",
GrossProfit,"987,371,000","279,058,000","277,343,000","255,644,000","175,326,000","185,288,000","170,815,000","115,282,000","109,458,000","98,174,000","92,260,000","73,406,000","75,670,000","47,793,000","39,060,520.631","42,468,910.439","28,136,932.09","24,687,991.125","10,020,650.096","12,498,846.97","11,962,641.695","9,994,737.132","9,130,442.547","11,702,966.304","3,311,403.463","-736,658.153","1,546,431.093","6,020,962.733","11,225,980.172","3,077,429.523","7,060,412.082","6,021,161.909","16,220,034.651","18,362,909.098","16,878,910.415","11,926,624.738","18,141,290.55","7,409,795.511","12,750,256.36","5,319,588.561","12,325,422.2","-5,981,264.863","-6,502,596.946","3,049,903.86","5,052,875.17","-1,305,843.098","-1,618,074.389","-1,183,958.049",,"251,110.226","-743,128.386","2,269,537.985",,"-956,100.373","970,968.806","69,654.807","13,528.741","4,429,920.86","846,603.215","-2,506,910.562","-273,293.377","-2,684,569.719","-3,593,776.482","-4,342,086.434","-3,555,045.152","-2,332,054.34","-2,865,789.055","-2,200,571.103","-890,301.844","-464,928.595","1,947,556.665",
OperatingExpense,"78,355,000","22,044,000","20,379,000","17,172,000","18,760,000","24,562,000","25,050,000","27,043,000","23,785,000","26,534,000","15,103,000","28,607,000","21,151,000","20,216,000","8,025,575.395","9,390,378.399","8,163,675.432","5,256,386.552","2,882,600.382","2,872,582.48","3,305,860.73","2,045,449.19","2,443,118.906","3,332,050.013","2,490,816.612","2,283,461.039","4,014,424.453","3,662,655.28","4,761,825.763","5,427,647.986","5,877,175.435","6,365,542.024","6,322,545.205","4,956,559.037","5,186,392.259","3,682,389.937","13,078,200.415","3,448,132.668","4,205,716.531","2,207,161.755","7,841,347.091","1,820,792.997","3,133,336.418","1,614,510.241","3,474,465.616","2,589,868.234","2,455,378.2","2,381,762.927","36,130,303.694","2,493,222.095","2,221,679.903","2,588,940.746","34,048,715.341","1,933,413.869","2,350,459.002","3,158,607.735","8,026,402.624","591,183.595","1,685,664.975","1,773,243.95","9,942,437.012","479,396.178","463,655.773","2,092,298.384","4,268,923.341","278,196.226","214,906.013","159,133.376","1,246,054.788","732,674.601","870,706.28","651,353.297"
	SellingGeneralAndAdministration,"45,828,000","12,562,000","10,576,000","10,559,000","12,131,000","12,099,000","9,316,000","6,021,000","7,468,000","8,760,000","6,839,000","6,578,000","5,203,000","5,565,000","932,506.75","2,916,143.754","4,972,251.851","3,268,004.068","1,526,577.438","1,184,546.321","1,809,698.855","873,479.07","999,214.202","2,226,561.068","1,416,983.677","920,374.602","1,759,172.693","1,145,186.335","958,349.478","1,354,667.518","1,166,233.247","2,041,325.614","1,708,725.214","1,372,554.887","1,747,238.819","629,979.036","1,234,103.945","745,116.209","1,830,811.315","746,390.429","1,544,608.625","783,679.431","1,280,758.908","599,916.4","1,261,465.25","1,006,059.599","956,280.544","713,735.61","-766,061.096","600,262.987","847,564.298","931,727.862","-413,170.624","543,026.45","543,105.169","682,470.718","692,900.985","220,454.724","608,077.834","310,506.867","1,121,245.201","355,524.815","463,167.187","289,924.84","452,021.96","345,741.132","318,611.681","280,230.72","879,976.843","215,768.167","256,680.759","203,345.518"
		GeneralAndAdministrativeExpense,"45,828,000","12,562,000","10,576,000","10,559,000","12,131,000","12,099,000","9,316,000","6,021,000","7,468,000","8,760,000","6,839,000","6,578,000","5,203,000","5,565,000","932,506.75","2,916,143.754","4,972,251.851","3,268,004.068","1,526,577.438","1,184,546.321","1,809,698.855","873,479.07","999,214.202","2,226,561.068","1,416,983.677","920,374.602","1,759,172.693","1,145,186.335","958,349.478","1,354,667.518","1,166,233.247","2,041,325.614","1,708,725.214","1,372,554.887",,"629,979.036","1,234,103.945","745,116.209","1,830,811.315",,,,"1,280,758.908",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,,"2,457,000",,"2,665,000","2,377,000","3,401,000","1,294,000","462,000","1,633,000","1,829,000","697,000","1,012,000","1,080,000","1,158,000","-110,178.741","438,866.705","704,138.262","211,087.486","321,988.528","215,232.297","648,697.2","32,991.116","309,854.627","1,429,985.7","5,181.948","0","45,791.914","258,152.174","178,020.516","189,533.747","277,055.411","573,966.86","836,668.891","534,658.008",,"0","21,451.814","2,918.703","133,723.603",,,,"400,059.232",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"46,772,000","10,105,000","19,068,000","7,894,000","9,754,000","8,698,000","8,022,000","5,559,000","5,835,000","6,931,000","6,142,000","5,566,000","4,123,000","4,407,000","1,042,685.492","2,477,277.049","4,268,113.59","3,056,916.582","1,204,588.91","969,314.024","1,161,001.655","840,487.954","689,359.574","796,575.368","1,411,801.729","920,374.602","1,713,380.779","887,034.161","780,328.963","1,165,133.771","889,177.836","1,467,358.754","872,056.323","837,896.879",,"629,979.036","1,212,652.131","742,197.506","1,697,087.712",,,,"880,699.676",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,808,352.814",,,,"869,851.92",,"1,269,227.588","803,198.865","804,779.418","874,255.61","1,054,130.042","904,913.085",,"918,339.75","1,047,376.287","664,058.155","770,661.319","723,820.552","1,814,385.621","591,183.595","529,279.188","463,073.905","882,216.05","548,791.308","583,737.888","511,732.431","437,327.473","425,600","240,011.516","163,583.992","280,603.554","154,674.325","148,676.807","120,817.471"
