name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999
			InvestmentinFinancialAssets,"922,000,000","738,000,000","1,917,000,000","2,011,000,000","2,869,000,000","2,170,000,000","1,641,000,000","1,800,000,000","1,832,000,000",,,,,,,,,,,,
				AvailableForSaleSecurities,"922,000,000","738,000,000","1,917,000,000","2,011,000,000","2,869,000,000","2,170,000,000","1,641,000,000","1,800,000,000",,,,,,,,,,,,,
			OtherInvestments,"120,000,000","3,101,000,000",,,"0","3,059,000,000","3,048,000,000","3,708,000,000",,,,,,,,,,,,,
		NonCurrentDeferredAssets,"24,259,000,000","23,498,000,000","26,724,000,000","20,360,000,000","16,927,000,000","14,995,000,000","11,226,000,000","1,443,000,000","505,000,000","284,000,000","289,000,000","496,000,000",,,,,,,,,
			NonCurrentDeferredTaxesAssets,"24,259,000,000","23,498,000,000","26,724,000,000","20,360,000,000","16,927,000,000","14,995,000,000","11,226,000,000","1,443,000,000","505,000,000","284,000,000","289,000,000","496,000,000",,,,,,,,,
		NonCurrentPrepaidAssets,"0","19,382,000,000","73,896,000,000","17,700,000,000","17,841,000,000","17,639,000,000","17,255,000,000","16,469,000,000",,,,,,,,,,,,,
		OtherNonCurrentAssets,"38,272,000,000","37,771,000,000","33,341,000,000","38,971,000,000","34,504,000,000","37,107,000,000","42,816,000,000","17,379,000,000","50,938,000,000","39,643,000,000","31,566,000,000",,"57,585,945,640","57,873,045,000","33,287,040,500","21,680,474,850","7,408,944,250","5,678,762,880","100,048,874,880","4,786,824,600","3,799,638,720"
TotalLiabilitiesNetMinorityInterest,"1,288,605,000,000","1,021,608,000,000","1,023,293,000,000","1,023,916,000,000","1,049,810,000,000","1,087,692,000,000","1,072,175,000,000","988,148,000,000","835,040,000,000","646,358,000,000","542,587,000,000","347,048,000,000","283,802,358,000","254,081,537,500","234,470,587,000","175,322,938,850","169,519,955,700","161,579,843,520","154,179,240,000","149,937,566,400","196,637,512,320"
	CurrentLiabilities,"661,419,000,000","586,386,000,000","576,667,000,000","499,263,000,000","471,407,000,000","579,829,000,000","645,489,000,000","574,748,000,000","560,038,000,000","429,736,000,000","388,553,000,000","264,337,000,000","198,106,464,520","179,537,437,500","153,888,983,500","120,091,122,050","114,031,516,250","89,337,039,360","89,734,387,200","92,330,323,200","109,866,677,760"
		PayablesAndAccruedExpenses,"395,696,000,000","380,572,000,000","334,074,000,000","295,289,000,000","314,251,000,000","356,694,000,000","405,918,000,000","385,370,000,000","382,219,000,000","298,369,000,000","218,509,000,000","171,576,000,000","40,455,533,040","119,948,942,500","99,796,533,500","70,695,401,000","64,180,496,950","57,780,998,400","58,269,405,120","10,714,550,400","45,181,760,640"
			Payables,"390,977,000,000","377,602,000,000","329,951,000,000","290,630,000,000","311,152,000,000","353,909,000,000","402,920,000,000","383,230,000,000","379,279,000,000","289,796,000,000","211,925,000,000","165,118,000,000","40,448,227,960","22,449,002,500","13,757,244,000","70,695,401,000","64,180,496,950","57,780,998,400","58,269,405,120","10,681,480,800","45,181,760,640"
				AccountsPayable,"148,335,000,000","121,312,000,000","103,201,000,000","80,606,000,000","69,496,000,000","84,929,000,000","130,353,000,000","131,928,000,000","113,411,000,000","97,361,000,000","62,840,000,000","29,431,000,000","40,448,227,960","22,449,002,500","13,757,244,000","70,695,401,000","64,180,496,950","57,780,998,400","58,269,405,120","10,681,480,800","45,181,760,640"
				TotalTaxPayable,"67,382,000,000","82,744,000,000","57,431,000,000","45,199,000,000","34,141,000,000","46,641,000,000","69,718,000,000","72,045,000,000","119,740,000,000","57,277,000,000","34,963,000,000","15,186,000,000",,,,,,,,,
					IncomeTaxPayable,"7,564,000,000","5,728,000,000","9,533,000,000","8,743,000,000","7,879,000,000","6,917,000,000","16,013,000,000","12,708,000,000","18,310,000,000","22,169,000,000","9,721,000,000","1,262,000,000",,,,,,,,,
				DividendsPayable,"389,000,000","355,000,000","139,000,000","2,356,000,000","475,000,000","274,000,000","1,017,000,000","2,288,000,000","2,464,000,000","199,000,000","105,000,000","61,000,000",,,,,,,,,
				DuetoRelatedPartiesCurrent,,,"0","1,432,000,000","11,055,000,000",,,,,,,,,,,,,,,,
				OtherPayable,"174,871,000,000","173,191,000,000","169,180,000,000","161,037,000,000","195,985,000,000","222,065,000,000","201,832,000,000","176,969,000,000","143,664,000,000","134,959,000,000","114,017,000,000","120,440,000,000",,,,,,,,,
			CurrentAccruedExpenses,"4,719,000,000","2,970,000,000","4,123,000,000","4,659,000,000","3,099,000,000","2,785,000,000","2,998,000,000","2,140,000,000","2,940,000,000","8,573,000,000","6,584,000,000","6,458,000,000","7,305,080","97,499,940,000","86,039,289,500",,,,,"33,069,600",
				InterestPayable,"4,719,000,000","2,965,000,000","3,910,000,000","4,536,000,000","2,995,000,000","2,621,000,000","2,861,000,000","1,999,000,000","2,560,000,000","2,545,000,000","1,448,000,000","82,000,000",,,,,,,,,
		PensionandOtherPostRetirementBenefitPlansCurrent,,,,,,,,,"5,991,000,000",,,,,,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,"183,233,000,000","137,738,000,000","175,417,000,000","143,384,000,000","106,226,000,000","169,128,000,000","192,767,000,000","151,247,000,000","137,698,000,000","102,268,000,000","148,851,000,000","92,761,000,000","30,937,013,800","35,696,955,000","28,701,292,500","27,276,504,250","28,890,743,500","20,628,975,360","21,233,275,200","39,022,128,000","59,949,855,360"
			CurrentDebt,"175,840,000,000","137,738,000,000","175,417,000,000","143,384,000,000","106,226,000,000","169,128,000,000","192,767,000,000","151,247,000,000","137,698,000,000","102,268,000,000","148,851,000,000","92,761,000,000","30,937,013,800","35,696,955,000","28,701,292,500","27,276,504,250","28,890,743,500","20,628,975,360","21,233,275,200","39,022,128,000","59,949,855,360"
				OtherCurrentBorrowings,"175,840,000,000",,,,,,,,,,,,,,,,,,,,
			CurrentCapitalLeaseObligation,"7,393,000,000",,,,,,,,,,,,,,,,,,,,
