name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000
TotalRevenue,"919,599,000","896,281,000","841,937,000","620,051,718","393,026,482","288,832,257","235,952,704","214,686,916","197,020,759","189,404,621","180,688,432","170,442,889","148,933,266","98,232,939","76,739,312","34,431,612","25,737,198","16,186,287","9,931,246","4,831,111","496,057"
	NetInterestIncome,"772,448,000","766,142,000","736,342,000","543,307,011","324,994,281","236,632,915","192,984,549","175,898,636","162,864,458","151,464,411","144,373,386","130,791,263","114,214,899","75,712,012","60,952,794","29,038,038","20,264,477","12,898,807","8,199,303","3,489,706","381,076"
		InterestIncome,"1,073,122,000","1,067,936,000","946,717,000","636,138,249","363,608,928","255,169,880","206,169,962","191,282,415","185,421,558","188,346,835","203,348,364","205,716,198","206,081,498","150,931,441","109,696,019","46,307,660","27,679,029","18,261,911","12,560,932","6,069,094","506,423"
			InterestIncomeFromLoansAndLease,"962,429,000","955,388,000","850,472,000","578,286,155","335,734,531","232,847,334","184,648,800","169,252,739","160,036,709","154,748,491","162,901,763","162,271,036","175,128,097","129,888,784","92,005,602","35,166,671","19,909,900","13,709,159","10,509,655","4,863,803","170,143"
				InterestIncomeFromLoans,"962,429,000","955,388,000","850,472,000","578,286,155","335,734,531","232,847,334","184,648,800","169,252,739","160,036,709",,,,,"129,888,784","92,005,602","35,166,671","19,909,900","13,709,159","10,509,655","4,863,803","170,143"
			InterestIncomeFromSecurities,"96,667,000","97,787,000","84,187,000","52,771,954","25,193,049","20,843,835","20,394,436","20,882,809","23,508,118","31,365,921","38,222,785","41,597,501","28,831,058","17,028,233","14,630,667","10,201,620","7,426,659","4,375,348","1,872,659","934,298","220,997"
			InterestIncomeFromFederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,"14,026,000","14,761,000","12,058,000","5,080,140","2,681,348","1,478,711","1,126,726","1,146,867","1,876,731","2,232,423","2,223,816","1,847,661","2,122,343","4,014,424","3,059,750","939,369","342,470","177,404","178,618","237,433","115,283"
			OtherInterestIncome,,,,,,,,,,,,,,,,,,,,"33,560",
		InterestExpense,"300,674,000","301,794,000","210,375,000","92,831,238","38,614,647","18,536,965","13,185,413","15,383,779","22,557,100","36,882,424","58,974,978","74,924,935","91,866,599","75,219,429","48,743,225","17,269,622","7,414,552","5,363,104","4,361,629","2,579,388","125,347"
			InterestExpenseForDeposit,"228,122,000","231,641,000","151,043,000","59,583,527","23,917,318","13,209,425","9,953,930","11,721,387","16,842,852","30,588,033","49,856,815","63,128,940","76,998,042","61,671,734","40,032,020","13,690,649","5,829,395","4,349,365","3,813,019","2,342,282","88,935"
