name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998
MarketCap,"3,119,349,494","2,355,724,268","4,661,503,523","4,455,278,336","5,092,840,675","5,217,578,263","4,335,531,552","4,804,832,267","4,933,492,339","4,129,277,968","4,752,233,286","4,922,575,236","4,912,959,300","4,764,130,579","4,741,266,722","5,184,688,447","5,155,287,577","5,020,592,253","7,024,432,758","6,639,531,200","7,263,555,690","7,194,434,335","6,956,083,475","6,748,395,038","7,103,532,379","7,618,645,302","7,617,552,158","6,716,657,574","6,381,665,894","5,859,165,451","5,080,262,447","4,427,726,849","3,764,501,307","4,273,683,159","3,390,125,324","2,457,124,182","3,354,515,367","2,806,962,133","2,568,718,141","2,034,765,173","1,530,872,440","2,015,151,782","1,832,382,111","1,570,079,496","892,621,896","456,035,513","430,780,382","1,090,930,952","1,694,839,157","1,645,103,338","1,875,218,448","1,891,191,783","1,815,042,505","1,851,576,611","1,364,517,435","905,128,461","798,619,360","892,982,854","629,068,642","598,949,179","521,270,934","570,034,825","903,645,762","621,459,376","407,527,320","204,722,949","168,485,370","203,231,381","291,058,476","97,003,640","128,314,781","104,746,760","196,400,175","144,053,800","101,369,380","101,457,582","114,549,750","150,549,961","208,552,584","449,645,625","825,168,008","867,285,750","980,472,750","1,175,037,250","1,352,021,000","838,443,750","1,137,427,064","914,255,190","1,279,690,874","1,432,537,000"
EnterpriseValue,"4,904,449,494","4,089,124,268","6,457,403,523","6,307,478,336","6,903,540,675","7,000,378,263","6,171,331,552","6,659,932,267","6,330,092,339","5,520,377,968","6,144,933,286","6,363,775,236","6,392,259,300","6,257,630,579","6,127,066,722","6,579,388,447","6,327,387,577","6,919,592,253","8,909,132,758","8,495,931,200","9,169,355,690","8,652,734,335","8,375,083,475","7,537,895,038","7,751,132,379","7,902,345,302","7,182,552,158","6,370,557,574","6,148,365,894","5,618,365,451","4,839,462,447","4,358,126,849","3,790,801,307","4,250,083,159","3,470,225,324","2,537,224,182","3,443,615,367","2,959,662,133","2,519,218,141","1,140,065,173","707,172,440","1,248,151,782","962,882,111","806,879,496","277,521,896","-100,264,487","-39,119,618","737,030,952","1,253,039,157","1,123,803,338","1,298,818,448","1,381,891,783","1,338,042,505","1,318,776,611","914,417,435","465,528,461","359,019,360","480,182,854","168,768,642","138,649,179","128,770,934","106,434,825","406,745,762","254,059,376","48,827,320","-104,677,051","-133,914,630","-85,768,619","10,558,476","-174,596,360","-151,285,219","-139,953,240","56,900,175","-29,446,200","-72,130,620","41,357,582","517,349,750","380,549,961","370,652,584","505,745,625","881,268,008","907,585,750","916,872,750","1,174,237,250","1,480,421,000","927,443,750","1,185,527,064","1,108,455,190","1,456,490,874","1,447,737,000"
PeRatio,"24.291","18.836","20.913","24.014","34.284","31.341",,"649.636","431.235","382.688","31.733","34.194","36.005","45.862","34.866","40.773","43.577","35.769","51.87","34.084","27.035","27.237","25.235","24.122","29.82","30.052","84.504","68.281","75.036","63.016","54.659","16.642","13.822","16.19","13.466","9.765","14.912","13.974","12.637","9.943","7.822","12.175","25.867","22.884","17.181","7.022","3.554","9.45","18.069","18.403","23.375","38.371","76.118","97.852","104.211","34","30","14",,,,,,"17.5",,,,,,"13.455","5.765","1.524","2.564","1.833","1.292",,,,"1.586","3.544","6.347","6.922","8.026",,,,,"10.631","14.584","16.132"
ForwardPeRatio,"10.373","7.429","14.245","13.369","16.611","16.978","14.409","15.873","18.657","16.103","19.048","19.685","21.505","20.121","19.418","20.619","23.256","18.248","18.45","16.447","17.762","17.483","18.349","16.234","12.887",,"14.065","12.121","11.364","11.416","11.751","9.862","8.375","13.21","11.198","8.251","13.316","12.771","13.514",,,,"16.529",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PegRatio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PsRatio,"1.569","1.216","2.369","2.239","2.592","2.718","2.342","2.678","2.849","2.433","2.832","2.987","3.079","3.074","1.597","1.757","1.744","1.693","2.361","2.18","2.338","2.323","2.287","2.259","2.38","2.518","2.482","2.173","2.067","1.874","1.626","1.374","1.17","1.359","1.12","0.812","1.179","1.036","0.977","0.781","0.568","0.736","0.651","0.538","0.293","0.141","0.13","0.327","0.522","0.522","0.602","0.636","0.62","0.638","0.486","0.334","0.295","0.341","0.249","0.237","0.212","0.24","0.396","0.285","0.192","0.1","0.085","0.106","0.155","0.052","0.071","0.058","0.114","0.083","0.059","0.059","0.071","0.096","0.145","0.327","0.585","0.627","0.708","0.799","0.933","0.609","0.8","0.636","0.872","0.965"
PbRatio,"7.677","5.953","10.466","11.691","14.6","15.781","15.829","16.626","20.606","16.071","12.098","12.149","12.53","12.918","9.405","10.672","13.171","24.161","27.765","17.413","19.906","19.662","13.573","12.064","12.674","13.59","12.658","12.828","16.041","19.069","16.473","15.911","15.056","27.039","49.03","35.508","32.568",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.836","2.929","5.376","6.213","6.261","8.322","15.191","11.194","12.984","2.811","4.148","4.911"
EnterprisesValueRevenueRatio,"2.568","9.701","12.8","13.406","13.441","14.91","11.868","13.457","13.033","12.793","13.373","14.817","14.883","15.723","13.9","16.265","16.203","19.073","11.743","10.753","11.724","12.008","10.415","8.802","9.25","10.614","9.248","8.26","7.659","7.914","6.066","5.612","4.585","5.634","4.203","2.936","4.167","4.254","3.635","1.671","1.032","2.03","1.42","1.071","0.39","-0.147","-0.051","0.829","1.392","1.48","1.616","1.765","1.646","1.843","1.311","0.628","0.492","0.729","0.265","0.212","0.19","0.176","0.69","0.438","0.085","-0.202","-0.268","-0.164","0.021","-0.387","-0.334","-0.292","0.119","-0.07","-0.168","0.092","1.133","0.918","0.818","1.281","2.291","2.487","2.405","3.155","3.969","2.685","3.183","2.915","3.938","4.248"
EnterprisesValueEBITDARatio,"12.849","40.247","424.829","50.379","49.417","87.069","43.521","107.073","57.862","49.07","79.908","59.364","57.953","58.211","100.609","61.204","61.55","90.334","74.119","75.587","54.128","61.805","128.65","35.506","41.295","59.194","32.693","42.414","37.559","45.715","-23.189","28.559","25.858","32.004","31.207","15.499","22.537","24.85","26.435","10.421","6.286","15.68","12.142","7.185","3.563","3.932","-2.855","7.552","14.353","13.475","18.475","15.44","13.695","16.715","91.442","5.999","6.469","7.732","3.99","1.653","1.555","1.399","12.751","3.939","0.654","-1.756","-0.813","-3.812","0.198","-3.63","-52.167","-2.352","0.733","-0.54","-1.062","0.629","6.395","6.28","6.549","6.672","13.114","16.472","13.767","17.658","22.129","18.512","22.326","18.444","25.824","36.013"
