name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003
TotalRevenue,"7,184,607,000","1,762,311,000","1,740,548,000","1,763,783,000","1,917,965,000","1,871,759,000","2,104,977,000","1,898,892,000","1,788,484,000","1,866,235,000","1,588,916,000","1,302,924,000","1,242,804,000","1,153,860,000","867,138,000","1,048,527,000","1,120,673,000","1,257,254,000","1,419,926,000","1,559,194,000","1,868,078,000","2,253,555,000","2,676,505,000","2,420,631,000","2,660,882,000","2,579,944,000","2,674,145,000","2,415,061,000","2,829,270,000","2,678,305,000","2,758,120,000","2,657,069,000","2,801,492,000","2,617,349,000","2,750,551,000","2,494,840,000","2,403,122,000","2,323,965,000","2,063,873,000","2,027,242,000","1,981,762,000","1,638,721,000","1,847,213,000","1,771,475,000","2,096,344,000","2,449,485,000","3,238,752,000","3,118,512,000","3,148,385,000","2,626,187,000","2,488,950,000","2,523,553,000","2,604,206,000","2,425,299,000","2,059,837,000","1,922,491,000","1,962,265,000","1,783,152,000","1,898,574,000","1,640,385,000","1,744,311,000","1,452,927,000","1,272,711,000","1,007,157,000","996,849,000","859,346,000","761,566,000","759,615,000","868,892,000","789,579,000"
	OperatingRevenue,"7,184,607,000","1,762,311,000","1,740,548,000","1,763,783,000","1,917,965,000","1,871,759,000","2,104,977,000","1,898,892,000","1,788,484,000","1,866,235,000","1,588,916,000","1,302,924,000","1,242,804,000","1,153,860,000","867,138,000","1,048,527,000","1,120,673,000","1,257,254,000","1,419,926,000","1,559,194,000","1,868,078,000","2,253,555,000","2,676,505,000","2,420,631,000","2,660,882,000","2,579,944,000","2,674,145,000","2,415,061,000","2,829,270,000","2,678,305,000","2,758,120,000","2,657,069,000","2,801,492,000","2,617,349,000","2,750,551,000","2,494,840,000","2,403,122,000","2,323,965,000","2,063,873,000","2,027,242,000","1,981,762,000","1,638,721,000","1,847,213,000","1,771,475,000","2,096,344,000","2,449,485,000","3,238,752,000","3,118,512,000","3,148,385,000","2,626,187,000","2,488,950,000","2,523,553,000","2,604,206,000","2,425,299,000","2,059,837,000","1,922,491,000","1,962,265,000","1,783,152,000","1,898,574,000","1,640,385,000","1,744,311,000","1,452,927,000","1,272,711,000","1,007,157,000","996,849,000","859,346,000","761,566,000","759,615,000","868,892,000","789,579,000"
CostOfRevenue,"5,129,361,000","1,293,665,000","1,244,186,000","1,248,691,000","1,342,819,000","1,271,799,000","1,442,005,000","1,305,232,000","1,226,557,000","1,305,506,000","1,077,134,000","918,338,000","865,729,000","823,856,000","656,870,000","766,574,000","814,847,000","927,393,000","1,023,470,000","1,096,539,000","1,324,377,000","1,440,692,000","1,659,372,000","1,510,166,000","1,590,888,000","1,527,034,000","1,589,205,000","1,507,706,000","1,714,443,000","1,645,432,000","1,672,517,000","1,658,967,000","1,694,712,000","1,611,097,000","1,722,894,000","1,548,822,000","1,523,448,000","1,434,362,000","1,277,755,000","1,252,583,000","1,183,429,000","987,043,000","1,156,550,000","1,080,161,000","1,264,899,000","1,380,415,000","1,710,525,000","1,745,064,000","1,842,911,000","1,500,689,000","1,383,200,000","1,436,511,000","1,404,558,000","1,291,498,000","910,211,000","982,487,000","1,019,036,000","972,492,000","1,070,927,000","962,929,000","1,043,774,000","865,128,000","837,531,000","641,293,000","677,655,000","620,457,000","536,357,000","508,814,000","604,122,000","558,534,000"
GrossProfit,"2,055,246,000","468,646,000","496,362,000","515,092,000","575,146,000","599,960,000","662,972,000","593,660,000","561,927,000","560,729,000","511,782,000","384,586,000","377,075,000","330,004,000","210,268,000","281,953,000","305,826,000","329,861,000","396,456,000","462,655,000","543,701,000","812,863,000","1,017,133,000","910,465,000","1,069,994,000","1,052,910,000","1,084,940,000","907,355,000","1,114,827,000","1,032,873,000","1,085,603,000","998,102,000","1,106,780,000","1,006,252,000","1,027,657,000","946,018,000","879,674,000","889,603,000","786,118,000","774,659,000","798,333,000","651,678,000","690,663,000","691,314,000","831,445,000","1,069,070,000","1,528,227,000","1,373,448,000","1,305,474,000","1,125,498,000","1,105,750,000","1,087,042,000","1,199,648,000","1,133,801,000","1,149,626,000","940,004,000","943,229,000","810,660,000","827,647,000","677,456,000","700,537,000","587,799,000","435,180,000","365,864,000","319,194,000","238,889,000","225,209,000","250,801,000","264,770,000","231,045,000"
OperatingExpense,"1,374,103,000","355,789,000","349,684,000","327,972,000","340,658,000","340,944,000","489,198,000","335,163,000","339,491,000","348,532,000","347,960,000","305,531,000","325,585,000","293,990,000","262,659,000","295,764,000","345,640,000","287,697,000","378,432,000","782,114,000","432,579,000","433,490,000","464,963,000","476,860,000","520,712,000","487,140,000","499,026,000","443,675,000","536,631,000","479,288,000","453,377,000","458,716,000","486,655,000","440,051,000","342,906,000","460,761,000","467,313,000","448,153,000","319,942,000","369,573,000","393,030,000","347,387,000","360,047,000","330,762,000","394,648,000","390,971,000","968,914,000","439,532,000","481,752,000","414,585,000","373,844,000","399,734,000","419,234,000","376,204,000","346,616,000","244,232,000","250,431,000","209,754,000","250,728,000","202,241,000","209,908,000","182,116,000","79,804,000","164,005,000","165,482,000","136,318,000","257,277,000","141,565,000","152,316,000","132,477,000"
	SellingGeneralAndAdministration,"1,161,668,000","293,575,000","290,725,000","333,111,000","338,608,000","345,366,000","167,055,000","335,714,000","337,574,000","301,920,000","272,039,000","304,723,000","327,132,000","221,888,000","176,594,000","312,481,000","341,996,000","220,944,000","240,507,000","381,582,000","437,620,000","327,640,000","369,350,000","480,103,000","518,237,000","366,035,000","38,372,000","439,191,000","529,329,000","363,082,000","22,098,000","458,716,000","486,655,000","326,310,000","-89,088,000","462,415,000","468,341,000","449,774,000","-441,681,000","370,267,000","391,144,000","347,387,000","-28,019,000","327,234,000","395,926,000","392,355,000","468,176,000","459,165,000","481,752,000","343,810,000","402,548,000","400,886,000","419,234,000","330,982,000","452,367,000","246,506,000","250,431,000","212,079,000","239,044,000","205,937,000","212,510,000","185,083,000","196,162,000","168,922,000","167,547,000","139,818,000","140,477,000","141,565,000","146,238,000","132,998,000"
		GeneralAndAdministrativeExpense,"723,647,000","176,924,000","184,748,000",,,"178,569,000","178,478,000",,,"176,498,000","168,713,000",,,"151,227,000","112,018,000",,,"159,686,000","173,741,000",,,"209,919,000","219,983,000",,,"222,938,000",,,,"218,483,000",,,,"192,119,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,"486,219,000","126,785,000","119,041,000",,,"122,420,000","115,402,000",,,"122,261,000","113,368,000",,,"105,452,000","93,428,000",,,"113,642,000","114,081,000",,,"143,128,000","140,988,000",,,"150,563,000",,,,"151,538,000",,,,"139,051,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"237,428,000","50,139,000","65,707,000",,,"56,149,000","63,076,000",,,"54,237,000","55,345,000",,,"45,775,000","18,590,000",,,"46,044,000","59,660,000",,,"66,791,000","79,485,000",,,"72,375,000",,,,"66,945,000",,,,"53,068,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"438,021,000","116,651,000","105,977,000",,,"120,072,000","134,480,000",,,"125,422,000","103,326,000",,,"70,661,000","64,576,000",,,"61,258,000","66,766,000",,,"117,721,000","149,367,000",,,"143,097,000",,,,"144,599,000",,,,"134,191,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
