name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
		OtherNonCurrentAssets,"38,651,000","26,908,000","27,271,000","27,342,000","30,882,000","31,602,000","33,488,000","31,890,000","35,356,000","42,561,000","39,537,000","42,075,000","41,342,000","34,571,000","40,599,000","28,566,000","25,669,000","23,285,000","32,090,000","25,151,000","25,200,000","22,800,000","17,300,000","18,800,000","23,400,000","22,900,000","15,500,000","19,300,000","16,000,000","12,700,000","10,900,000","10,100,000","10,100,000","10,500,000","11,800,000"
TotalLiabilitiesNetMinorityInterest,"1,607,950,000","273,296,000","312,508,000","279,422,000","304,270,000","300,391,000","239,115,000","246,958,000","249,795,000","262,331,000","242,176,000","255,564,000","264,143,000","242,516,000","219,479,000","189,882,000","165,287,000","118,141,000","89,488,000","94,877,000","92,900,000","97,900,000","91,500,000","87,500,000","88,400,000","73,900,000","77,600,000","63,300,000","55,100,000","51,900,000","39,800,000","38,200,000","40,300,000","31,800,000","34,700,000"
	CurrentLiabilities,"359,934,000","151,470,000","154,743,000","127,411,000","124,555,000","124,901,000","130,856,000","107,792,000","106,649,000","101,191,000","99,967,000","83,864,000","106,351,000","90,179,000","86,888,000","125,618,000","105,805,000","66,144,000","44,663,000","50,200,000","44,700,000","50,400,000","47,800,000","64,000,000","60,700,000","43,400,000","42,600,000","28,100,000","36,600,000","40,400,000","27,900,000","26,900,000","29,500,000","16,200,000","19,400,000"
		PayablesAndAccruedExpenses,"223,755,000","107,677,000","109,428,000","94,865,000","91,195,000","90,904,000","88,454,000","77,158,000","68,125,000","82,705,000","60,939,000","63,970,000","82,489,000","69,437,000","60,650,000","48,875,000","39,240,000","37,715,000","28,305,000","21,762,000","22,400,000","26,100,000","22,900,000","23,400,000","21,000,000","8,100,000","18,100,000","14,000,000","11,100,000","13,100,000","11,200,000",,,,
			Payables,"199,608,000","102,574,000","107,769,000","94,195,000","84,892,000","90,904,000","88,454,000","77,158,000","68,125,000","63,893,000","60,939,000","48,849,000","65,202,000","54,212,000","50,832,000","40,183,000","39,240,000","27,461,000","20,196,000","21,762,000","22,400,000","26,100,000","22,900,000","23,400,000","21,000,000","8,100,000","18,100,000","14,000,000","11,100,000","13,100,000","11,200,000",,,,
				AccountsPayable,"164,101,000","87,819,000","93,008,000","77,583,000","67,291,000","74,987,000","72,281,000","67,586,000","65,026,000","61,192,000","58,389,000","48,849,000","65,202,000","54,212,000","50,832,000","40,183,000","39,240,000","27,461,000","20,196,000","21,762,000","22,400,000","26,100,000","22,900,000","23,400,000","21,000,000","8,100,000","18,100,000","14,000,000","11,100,000","13,100,000","11,200,000",,,,
				TotalTaxPayable,"28,679,000","9,820,000","10,037,000","12,031,000","13,349,000","11,927,000","12,874,000","6,364,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
					IncomeTaxPayable,"7,503,000","1,358,000","841,000","2,753,000","6,534,000","4,210,000","5,216,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
				DividendsPayable,"6,828,000","4,935,000","4,724,000","4,581,000","4,252,000","3,990,000","3,299,000","3,208,000","3,099,000","2,701,000","2,550,000",,,,,,,,,,,,,,,,,,,,,,,,
			CurrentAccruedExpenses,"24,147,000","5,103,000","1,659,000","670,000","6,303,000",,,,,"18,812,000",,"15,121,000","17,287,000","15,225,000","9,818,000","8,692,000",,"10,254,000","8,109,000",,,,,,,,,,,,,,,,
