name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009
TotalRevenue,"8,836,000,000","2,097,000,000","2,255,000,000","2,224,000,000","2,261,000,000","2,124,000,000","2,249,000,000","2,317,000,000","2,270,000,000","2,250,000,000","2,320,000,000","2,456,000,000","2,417,000,000","2,281,000,000","2,334,000,000","2,372,000,000","2,156,000,000","2,023,000,000","2,301,000,000","2,442,000,000","3,759,000,000","3,515,000,000","4,390,000,000","5,145,000,000","5,067,000,000","5,024,000,000","5,552,000,000","5,685,000,000","5,718,000,000","5,591,000,000","5,950,000,000","5,747,000,000","5,745,000,000","5,619,000,000","5,893,666,000","6,093,276,000","5,532,199,000","2,742,860,000","2,815,649,000","2,824,390,000","2,641,634,000","2,231,128,000","2,308,586,000","2,275,797,000","2,145,504,000","1,973,015,000"
	OperatingRevenue,"8,677,000,000","2,066,000,000","2,222,000,000","2,197,000,000","2,192,000,000","2,094,000,000","2,215,000,000","2,285,000,000","2,236,000,000","2,217,000,000","2,285,000,000","2,423,000,000","2,388,000,000","2,253,000,000","2,287,000,000","2,329,000,000","2,125,000,000","1,997,000,000","2,262,000,000","2,415,000,000","3,719,000,000","3,456,000,000","4,358,000,000","4,972,000,000","4,993,000,000","4,919,000,000","5,432,000,000","5,611,000,000","5,659,000,000","5,552,000,000","5,688,000,000","5,747,000,000","5,745,000,000","5,619,000,000","5,893,666,000","6,093,276,000","5,532,199,000","2,742,860,000","2,815,649,000","2,824,390,000","2,641,634,000","2,231,128,000","2,310,407,000","2,277,620,000","2,147,258,000","1,973,015,000"
	ExciseTaxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0",,"1,821,000","1,823,000","1,754,000",
CostOfRevenue,"2,045,000,000","470,000,000","556,000,000","514,000,000","506,000,000","458,000,000","541,000,000","547,000,000","531,000,000","497,000,000","543,000,000","562,000,000","535,000,000","499,000,000","507,000,000","559,000,000","474,000,000","445,000,000","551,000,000","558,000,000","909,000,000","851,000,000","1,144,000,000","1,272,000,000","1,306,000,000","1,244,000,000","1,416,000,000","1,482,000,000","1,530,000,000","1,485,000,000","2,003,000,000","1,431,000,000","1,337,000,000","1,361,000,000","1,689,414,000","1,700,777,000","1,527,229,000","707,580,000","700,616,000","638,963,000","600,901,000","527,938,000","532,604,000","515,301,000","472,312,000","468,903,000"
GrossProfit,"6,791,000,000","1,627,000,000","1,699,000,000","1,710,000,000","1,755,000,000","1,666,000,000","1,708,000,000","1,770,000,000","1,739,000,000","1,753,000,000","1,777,000,000","1,894,000,000","1,882,000,000","1,782,000,000","1,827,000,000","1,813,000,000","1,682,000,000","1,578,000,000","1,750,000,000","1,884,000,000","2,850,000,000","2,664,000,000","3,246,000,000","3,873,000,000","3,761,000,000","3,780,000,000","4,136,000,000","4,203,000,000","4,188,000,000","4,106,000,000","3,947,000,000","4,316,000,000","4,408,000,000","4,258,000,000","4,204,252,000","4,392,499,000","4,004,970,000","2,035,280,000","2,115,033,000","2,185,427,000","2,040,733,000","1,703,190,000","1,775,982,000","1,760,496,000","1,673,192,000","1,504,112,000"
OperatingExpense,"4,944,000,000","1,214,000,000","1,227,000,000","1,223,000,000","1,281,000,000","865,000,000","1,371,000,000","1,370,000,000","1,340,000,000","1,371,000,000","1,435,000,000","1,329,000,000","1,483,000,000","1,433,000,000","1,495,000,000","1,396,000,000","1,391,000,000","1,264,000,000","1,432,000,000","2,355,000,000","2,188,000,000","2,138,000,000","2,593,000,000","2,766,000,000","2,806,000,000","2,844,000,000","4,391,000,000","2,896,000,000","2,949,000,000","2,978,000,000","2,848,000,000","3,014,000,000","3,169,000,000","3,200,000,000","3,707,427,000","3,121,670,000","2,934,975,000","1,401,928,000","1,484,740,000","1,353,862,000","1,272,093,000","1,070,296,000","1,168,107,000","1,049,363,000","981,317,000","936,640,000"
	SellingGeneralAndAdministration,"2,729,000,000","706,000,000","540,000,000","723,000,000","761,000,000","718,000,000","715,000,000","922,000,000","882,000,000","899,000,000","746,000,000","852,000,000","951,000,000","921,000,000","742,000,000","917,000,000","887,000,000","820,000,000","939,000,000","1,826,000,000","1,339,000,000","1,268,000,000","1,647,000,000","1,668,000,000","1,685,000,000","1,692,000,000","3,123,000,000","1,729,000,000","1,763,000,000","1,758,000,000","1,501,000,000","1,786,000,000","1,927,000,000","1,947,000,000","1,987,582,000","1,806,959,000","1,773,538,000","812,921,000","854,713,000","799,122,000","766,416,000","632,406,000","679,800,000","599,186,000","573,471,000","537,541,000"
	DepreciationAmortizationDepletionIncomeStatement,"2,057,000,000","508,000,000","529,000,000","500,000,000","520,000,000","497,000,000","439,000,000","448,000,000","458,000,000","472,000,000","470,000,000","477,000,000","532,000,000","512,000,000","509,000,000","479,000,000","504,000,000","444,000,000","493,000,000","529,000,000","849,000,000","870,000,000","946,000,000","1,098,000,000","1,121,000,000","1,152,000,000","1,268,000,000","1,167,000,000","1,186,000,000","1,220,000,000","1,277,000,000","1,228,000,000","1,242,000,000","1,259,000,000","1,818,442,000","1,269,039,000","1,121,421,000","576,099,000","621,268,000","546,055,000","493,192,000","419,247,000","480,019,000","437,203,000","395,707,000","381,238,000"
		DepreciationAndAmortizationInIncomeStatement,"2,057,000,000","508,000,000","529,000,000","500,000,000","520,000,000","497,000,000","439,000,000","448,000,000","458,000,000","472,000,000","470,000,000","477,000,000","532,000,000","512,000,000","509,000,000","479,000,000","504,000,000","444,000,000","493,000,000","529,000,000","849,000,000","870,000,000","946,000,000","1,098,000,000","1,121,000,000","1,152,000,000","1,268,000,000","1,167,000,000","1,186,000,000","1,220,000,000","1,277,000,000","1,228,000,000","1,242,000,000","1,259,000,000","1,818,442,000","1,269,039,000","1,121,421,000","576,099,000","621,268,000","546,055,000","493,192,000","419,247,000","480,019,000","437,203,000","395,707,000","381,238,000"
			DepreciationIncomeStatement,"1,665,000,000","416,000,000","434,000,000","406,000,000","409,000,000","403,000,000","324,000,000","324,000,000","328,000,000","346,000,000","337,000,000","341,000,000","386,000,000","390,000,000","367,000,000","349,000,000","391,000,000","332,000,000","364,000,000","402,000,000","559,000,000","584,000,000","622,000,000","717,000,000","742,000,000","758,000,000","810,000,000","726,000,000","748,000,000","766,000,000","758,000,000","721,000,000","720,000,000","727,000,000","490,784,000","930,291,000","829,493,000","475,432,000","514,510,000","408,284,000","376,648,000","352,553,000","393,230,000","366,039,000","325,525,000","308,637,000"
