name,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,12/31/2003
CapitalLeaseObligations,"207,300,000","199,800,000","193,900,000","186,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetTangibleAssets,"-791,600,000","-866,900,000","-936,500,000","-1,031,200,000","-1,126,400,000","-1,164,800,000","-1,183,000,000","-627,700,000","-741,700,000","-186,900,000","-204,700,000","-136,200,000","-203,700,000","-280,900,000","-368,000,000","-339,200,000","-455,500,000","-532,900,000","-603,700,000","-708,100,000","-747,000,000","-836,575,000","-820,166,000","-374,113,000","135,155,000","39,204,000","17,136,000","-73,635,000","4,079,000","-45,368,000","-146,199,000","187,682,000","142,934,000","99,056,000","178,937,000","166,584,000","73,419,000","46,698,000","-19,874,000","-35,925,000","-55,014,000","-88,078,000","-104,763,000","-154,199,000","-179,006,000","-146,152,000","-191,565,000","-178,594,000","-239,293,000","-126,251,000","-114,828,000","-23,628,000","-71,139,000","-138,334,000","-172,422,000","-231,339,000","-280,226,000","-19,496,000","-66,954,000","-101,277,000","-432,187,000","-445,172,000","-252,948,000"
WorkingCapital,"523,800,000","468,700,000","393,400,000","304,000,000","216,200,000","210,500,000","-133,900,000","1,040,200,000","953,500,000","1,415,300,000","1,406,600,000","1,468,900,000","671,000,000","296,100,000","203,600,000","266,200,000","541,900,000","461,600,000","363,200,000","259,300,000","518,600,000","508,798,000","552,423,000","1,034,199,000","720,942,000","710,870,000","711,711,000","649,143,000","246,957,000","261,239,000","279,772,000","279,148,000","220,130,000","183,329,000","195,953,000","210,850,000","124,770,000","158,456,000","132,815,000","115,057,000","83,536,000","133,166,000","123,902,000","114,426,000","82,869,000","101,159,000","117,442,000","127,002,000","111,478,000","119,617,000","55,266,000","150,196,000","132,215,000","44,383,000","84,876,000","43,166,000","14,094,000","9,398,000","9,039,000","16,519,000","-1,556,000","35,602,000","1,521,000"
InvestedCapital,"1,413,000,000","1,335,300,000","1,935,700,000","1,832,600,000","1,730,400,000","1,685,500,000","1,421,300,000","1,992,400,000","1,933,400,000","2,499,700,000","2,488,400,000","2,570,200,000","1,644,200,000","1,566,600,000","1,462,100,000","1,467,700,000","1,568,500,000","1,522,700,000","1,486,600,000","1,511,600,000","1,477,300,000","1,407,358,000","1,433,919,000","1,890,393,000","1,482,715,000","1,405,670,000","1,396,205,000","1,318,269,000","908,362,000","871,842,000","826,533,000","836,552,000","763,809,000","738,539,000","756,629,000","763,239,000","665,378,000","669,715,000","637,467,000","625,193,000","754,333,000","647,176,000","629,939,000","612,017,000","723,731,000","601,408,000","600,658,000","576,658,000","547,396,000","528,575,000","522,123,000","554,551,000","539,328,000","487,136,000","516,360,000","463,321,000","431,980,000","419,144,000","437,982,000","455,784,000","550,559,000","542,945,000","562,980,000"
TangibleBookValue,"-791,600,000","-866,900,000","-936,500,000","-1,031,200,000","-1,126,400,000","-1,164,800,000","-1,183,000,000","-627,700,000","-741,700,000","-186,900,000","-204,700,000","-136,200,000","-203,700,000","-280,900,000","-368,000,000","-339,200,000","-455,500,000","-532,900,000","-603,700,000","-708,100,000","-747,000,000","-836,575,000","-820,166,000","-374,113,000","135,155,000","39,204,000","17,136,000","-73,635,000","4,079,000","-45,368,000","-146,199,000","187,682,000","142,934,000","99,056,000","178,937,000","166,584,000","73,419,000","46,698,000","-19,874,000","-35,925,000","-55,014,000","-88,078,000","-104,763,000","-154,199,000","-179,006,000","-146,152,000","-191,565,000","-178,594,000","-239,293,000","-126,251,000","-114,828,000","-23,628,000","-71,139,000","-138,334,000","-172,422,000","-231,339,000","-280,226,000","-19,496,000","-66,954,000","-101,277,000","-432,187,000","-445,172,000","-253,050,000"
TotalDebt,"2,010,300,000","2,002,600,000","2,663,800,000","2,648,200,000","2,453,800,000","2,446,600,000","2,200,700,000","2,211,400,000","2,268,100,000","2,280,700,000","2,288,400,000","2,302,800,000","1,447,900,000","1,442,900,000","1,426,600,000","1,402,800,000","1,622,000,000","1,653,400,000","1,683,000,000","1,812,800,000","1,811,700,000","1,827,919,000","1,837,987,000","1,848,287,000","931,269,000","950,079,000","962,586,000","975,324,000","487,607,000","500,437,000","555,814,000","231,788,000","203,621,000","222,060,000","160,578,000","182,941,000","178,166,000","209,126,000","243,351,000","247,380,000","395,022,000","309,843,000","313,965,000","345,479,000","482,000,000","326,173,000","370,851,000","333,711,000","365,152,000","233,374,000","215,826,000","154,182,000","185,438,000","187,791,000","247,946,000","251,043,000","263,092,000","288,328,000","336,290,000","375,955,000","486,217,000","501,739,000","325,294,000"
NetDebt,"963,600,000","1,087,600,000","1,215,000,000","1,252,700,000","1,254,900,000","1,336,100,000","1,361,300,000","881,200,000","989,300,000","644,400,000","664,300,000","519,900,000","603,900,000","654,600,000","489,900,000","628,600,000","732,200,000","840,200,000","933,400,000","1,097,300,000","1,166,300,000","1,149,785,000","1,064,470,000","586,366,000",,"57,531,000","112,883,000","252,850,000","154,073,000","178,715,000","269,648,000",,,,,"95,251,000",,"15,636,000","73,133,000","82,109,000","244,221,000","94,442,000","132,529,000","150,746,000","331,153,000","176,779,000","208,465,000","142,565,000","177,745,000","72,529,000","68,782,000",,"31,115,000","64,518,000","78,634,000","141,822,000","174,844,000","183,148,000","235,562,000","272,211,000","284,640,000","337,070,000","174,615,000"
ShareIssued,"147,400,000","147,200,000","151,200,000","151,100,000","152,800,000","156,100,000","157,100,000","176,200,000","174,600,000","187,800,000","188,000,000","186,600,000","186,200,000","186,200,000","186,000,000","185,600,000","185,400,000","185,200,000","185,000,000","185,000,000","184,400,000","183,800,000","183,600,000","202,600,000","202,200,000","202,600,000","206,000,000","206,000,000","213,800,000","215,800,000","223,600,000","233,200,000","231,600,000","232,200,000","236,400,000","237,600,000","235,600,000","236,800,000","236,400,000","239,600,000","240,800,000","243,200,000","246,800,000","246,400,000","245,600,000","255,200,000","254,800,000","260,000,000","257,600,000","271,600,000","274,800,000","287,200,000","286,400,000","285,200,000","284,400,000","280,000,000","279,600,000","277,388,792","274,813,812","274,667,652","274,523,336","263,777,164","263,777,164"
OrdinarySharesNumber,"137,400,000","137,200,000","141,200,000","141,100,000","142,800,000","146,100,000","147,100,000","166,200,000","164,600,000","178,600,000","180,400,000","184,400,000","186,200,000","186,200,000","186,000,000","185,600,000","185,400,000","185,200,000","185,000,000","185,000,000","184,400,000","183,800,000","183,600,000","202,600,000","202,200,000","202,600,000","206,000,000","206,000,000","213,800,000","215,800,000","223,600,000","233,200,000","231,600,000","232,200,000","236,400,000","237,600,000","235,600,000","236,800,000","236,400,000","239,600,000","240,800,000","243,200,000","246,800,000","246,400,000","245,600,000","255,200,000","254,800,000","260,000,000","257,600,000","271,600,000","274,800,000","287,200,000","286,400,000","285,200,000","284,400,000","280,000,000","279,600,000","277,388,792","274,813,812","274,667,652","274,523,336","263,777,164","263,777,164"
TreasurySharesNumber,"10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","9,200,000","7,600,000","2,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
