name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990
PretaxIncome,"83,408,000","67,031,000","55,939,000","74,492,000","79,991,000","71,339,000","68,246,000","56,294,000","44,317,000","21,513,000","32,693,000","43,892,000","44,068,000","35,343,000","26,198,000","18,332,000","12,379,000","21,853,000","23,110,000","22,486,000","20,359,000","15,641,000","8,545,000","4,071,000","3,391,000","3,300,000","8,700,000","4,300,000","2,500,000","500,000","1,400,000"
TaxProvision,"16,601,000","13,320,000","13,367,000","19,994,000","26,615,000","25,611,000","24,088,000","18,747,000","16,868,000","7,527,000","10,799,000","16,171,000","15,479,000","12,187,000","9,065,000","6,870,000","4,858,000","7,626,000","8,499,000","8,330,000","7,565,000","5,944,000","3,315,000","1,049,000","1,316,000","1,200,000","3,600,000","1,600,000","900,000","100,000","400,000"
NetIncomeCommonStockholders,"66,807,000","53,711,000","42,572,000","54,498,000","53,376,000","45,728,000","44,158,000","37,547,000","27,449,000","13,986,000","21,894,000","27,721,000","28,589,000","23,156,000","17,133,000","11,462,000","7,521,000","14,227,000","14,611,000","14,156,000","12,794,000","9,697,000","5,230,000","3,022,000","2,075,000","2,100,000","5,100,000","2,700,000","1,600,000","400,000","1,000,000"
	NetIncome,"66,807,000","53,711,000","42,572,000","54,498,000","53,376,000","45,728,000","44,158,000","37,547,000","27,449,000","13,986,000","21,894,000","27,721,000","28,589,000","23,156,000","17,133,000","11,462,000","7,521,000","14,227,000","14,611,000","14,156,000","12,794,000","9,697,000","5,230,000","3,022,000","2,075,000","2,100,000","5,100,000","2,700,000","1,600,000","400,000","1,000,000"
		NetIncomeIncludingNoncontrollingInterests,"66,807,000","53,711,000","42,572,000","54,498,000","53,376,000","45,728,000","44,158,000","37,547,000","27,449,000","13,986,000","21,894,000","27,721,000","28,589,000","23,156,000","17,133,000","11,462,000","7,521,000","14,227,000","14,611,000","14,156,000","12,794,000","9,697,000","5,230,000","3,022,000","2,075,000","2,100,000","5,100,000","2,700,000","1,600,000","400,000","1,000,000"
			NetIncomeContinuousOperations,"66,807,000","53,711,000","42,572,000","54,498,000","53,376,000","45,728,000","44,158,000","37,547,000","27,449,000","13,986,000","21,894,000","27,721,000","28,589,000","23,156,000","17,133,000","11,462,000","7,521,000","14,227,000","14,611,000","14,156,000","12,794,000","9,697,000","5,230,000","3,022,000","2,075,000","2,100,000","5,100,000","2,700,000","1,600,000","400,000","1,000,000"
DilutedNIAvailtoComStockholders,"66,807,000","53,711,000","42,572,000","54,498,000","53,376,000","45,728,000","44,158,000","37,547,000","27,449,000","13,986,000","21,894,000","27,721,000","28,589,000","23,156,000","17,133,000","11,462,000","7,521,000","14,227,000","14,611,000","14,156,000","12,794,000","9,697,000","5,230,000","3,022,000","2,075,000","2,100,000","5,100,000","2,700,000","1,600,000","400,000","1,000,000"
BasicEPS,,,"0.81","1.04","1.01","0.85","0.81","1.02","0.498","0.253","0.385","0.477","0.483","0.367","0.275","0.184","0.119","0.221","0.219","0.215","0.191","0.136","0.074","0.043","0.03","0.03","0.074","0.039","0.025","0.007","0.014"
DilutedEPS,,,"0.81","1.03","1","0.84","0.8","1.01","0.493","0.249","0.385","0.474","0.474","0.361","0.267","0.178","0.115","0.211","0.209","0.205","0.182","0.132","0.072","0.042","0.03","0.03","0.071","0.038","0.025","0.007","0.014"
BasicAverageShares,,,"52,284,616","52,572,496","52,924,398","54,045,841","54,809,319","36,746,100","55,237,500","55,552,500","56,696,625","58,006,125","59,265,000","62,869,500","62,289,000","62,471,250","62,952,187","64,217,812","66,612,375","65,769,468","66,771,843","71,088,890","70,645,054","70,156,875","69,699,234","69,539,765","69,053,570","69,792,289","64,991,334","56,868,444","71,085,555"
