name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006
MarketCap,"1,962,357,554","4,554,054,097","3,404,188,963","11,705,910,892","8,230,894,283","8,267,864,014","10,381,799,694","9,459,731,427","7,305,115,764","5,826,496,854","5,194,701,993","3,602,491,713","1,162,590,992","4,175,239,517","6,097,161,881"
EnterpriseValue,"7,338,357,554","9,845,054,097","8,399,188,963","17,317,910,892","13,347,894,283","13,191,864,014","14,992,799,694","14,021,731,427","11,672,115,764","9,480,496,854","8,782,701,993","5,462,491,713","3,010,590,992","7,572,239,517","8,439,161,881"
PeRatio,"7.948","11.092","4.741","20.803","14.63","15.793","20.566","23.468","19.349","14.835","14.615","12.528",,"10.709","26.683"
ForwardPeRatio,"3.867","8.865","6.739","14.535","12.151","12.642","17.857","16.34","14.599","13.193","14.104","12.707",,,
PegRatio,,,,"1.092","1.681","1.408","1.219","1.115","1.02","0.916","1.773","0.848",,,
PsRatio,"0.566","1.211","0.697","2.125","1.544","1.611","2.109","2.042","1.702","1.562","1.439","0.979","0.272","0.99","1.887"
PbRatio,,,,"18.552","10.168","8.138","7.373","5.631","3.785","2.3","1.781","1.34","0.496","1.187","1.688"
EnterprisesValueRevenueRatio,"1.992","2.435","2.137","3.412","2.384","2.383","2.839","2.799","2.574","2.229","2.281","1.457","0.703","1.737","2.197"
EnterprisesValueEBITDARatio,"10.904","10.223","11.931","18.058","10.051","10.347","12.588","13.613","12.351","9.674","9.726","6.959","-4.832","8.489","11.64"
