name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995
TotalRevenue,"2,406,036,000","2,352,717,000","2,027,877,000","1,807,732,000","1,810,394,000","1,779,149,000","1,756,212,000","1,652,432,000","1,576,871,000","1,566,768,000","1,401,461,000","1,399,946,000","1,293,145,000","1,001,270,000","707,933,000","539,545,000","427,005,000","375,695,000","224,113,000","166,359,000","134,764,000","84,600,000","58,600,000","44,200,000","30,600,000","20,300,000"
	OperatingRevenue,"2,406,036,000","2,352,717,000","2,027,877,000","1,807,732,000","1,810,394,000","1,779,149,000","1,756,212,000","1,652,432,000","1,576,871,000","1,566,768,000","1,401,461,000","1,399,946,000","1,293,145,000","1,001,270,000","707,933,000","539,545,000","427,005,000","375,695,000","224,113,000","166,359,000","134,764,000","84,600,000","58,600,000","44,200,000","30,600,000","20,300,000"
CostOfRevenue,"1,588,077,000","1,534,896,000","1,328,074,000","1,215,560,000","1,210,771,000","1,171,444,000","1,144,757,000","1,042,061,000","980,532,000","956,908,000","815,776,000","767,387,000","705,611,000","548,407,000","389,032,000","291,592,000","234,970,000","176,353,000","108,104,000","83,449,000","65,898,000","41,600,000","28,400,000","21,800,000","16,200,000","8,900,000"
GrossProfit,"817,959,000","817,821,000","699,803,000","592,172,000","599,623,000","607,705,000","611,455,000","610,371,000","596,339,000","609,860,000","585,685,000","632,559,000","587,534,000","452,863,000","318,901,000","247,953,000","192,035,000","199,342,000","116,009,000","82,910,000","68,866,000","43,000,000","30,200,000","22,400,000","14,400,000","11,400,000"
OperatingExpense,"526,470,000","512,226,000","473,798,000","440,285,000","444,858,000","444,394,000","449,366,000","417,635,000","400,423,000","395,666,000","365,224,000","369,019,000","348,876,000","265,853,000","212,719,000","134,261,000","113,566,000","85,517,000","52,680,000","50,640,000","44,224,000","33,700,000","24,500,000","16,900,000","11,700,000","9,300,000"
	SellingGeneralAndAdministration,"517,848,000","504,074,000","465,636,000","429,722,000","434,552,000","432,668,000","433,845,000","394,681,000","378,016,000","373,295,000","341,314,000","344,318,000","330,052,000","255,238,000","178,572,000","127,727,000","102,060,000","78,777,000","51,647,000","45,591,000","36,732,000","28,800,000","21,500,000","15,200,000","10,800,000","8,700,000"
	DepreciationAmortizationDepletionIncomeStatement,"8,622,000","8,152,000","8,162,000","10,563,000","10,306,000","11,726,000","15,521,000","22,954,000","22,407,000","22,371,000","23,910,000","24,701,000","18,824,000","10,615,000","11,175,000","6,534,000","6,836,000","3,680,000","1,033,000","5,049,000","7,492,000","4,900,000","3,000,000","1,700,000","900,000","600,000"
		DepreciationAndAmortizationInIncomeStatement,"8,622,000","8,152,000","8,162,000","10,563,000","10,306,000","11,726,000","15,521,000","22,954,000","22,407,000","22,371,000","23,910,000","24,701,000","18,824,000","10,615,000","11,175,000","6,534,000","6,836,000","3,680,000","1,033,000","5,049,000","7,492,000","4,900,000","3,000,000","1,700,000","900,000","600,000"
			Amortization,"8,622,000","8,152,000","8,162,000","10,563,000","10,306,000","11,726,000","15,521,000","22,954,000","22,407,000","22,371,000","23,910,000","24,701,000","18,824,000","10,615,000","11,175,000","6,534,000","6,836,000","3,680,000","1,033,000","5,049,000",,,,,,
				AmortizationOfIntangiblesIncomeStatement,"8,622,000","8,152,000","8,162,000","10,563,000","10,306,000","11,726,000","15,521,000","22,954,000","22,407,000","22,371,000","23,910,000","24,701,000","18,824,000","10,615,000","11,175,000","6,534,000","6,836,000","3,680,000","1,033,000","5,049,000",,,,,,
