name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000
TotalRevenue,"562,212,000","530,860,000","420,068,000","343,798,000","268,245,000","197,892,000","164,525,000","137,831,000","114,752,748","90,027,906","86,930,019","104,251,560","92,845,490","100,727,191","67,717,851","47,694,181","67,639,879","24,455,506","9,842,777","6,853,272","3,412,620"
	OperatingRevenue,"562,212,000","530,860,000","420,068,000","343,798,000","268,245,000","197,892,000","164,525,000","137,831,000","114,752,748","90,027,906","86,930,019","104,251,560","92,845,490","100,727,191","67,717,851","47,694,181","67,639,879","24,455,506","9,842,777","6,853,272","3,412,620"
CostOfRevenue,"235,235,000","223,574,000","161,485,000","136,710,000","97,709,000","69,245,000","62,977,000","51,988,000","47,038,173","45,498,669","41,563,144","40,849,151","35,841,263","43,117,423","24,538,790","17,511,237","22,455,496","9,402,616","4,306,551","2,914,430","1,713,586"
GrossProfit,"326,977,000","307,286,000","258,583,000","207,088,000","170,536,000","128,647,000","101,548,000","85,843,000","67,714,575","44,529,237","45,366,875","63,402,409","57,004,227","57,609,768","43,179,061","30,182,944","45,184,383","15,052,890","5,536,226","3,938,842","1,699,034"
OperatingExpense,"336,842,000","313,680,000","233,742,000","194,065,000","138,685,000","93,312,000","69,043,000","56,472,000","47,225,549","51,290,917","50,506,514","63,481,583","51,778,890","37,235,766","50,035,285","28,632,290","14,308,849","7,472,191","5,175,215","3,166,586","1,621,116"
	SellingGeneralAndAdministration,"227,355,000","207,220,000","150,835,000","138,692,000","108,076,000","67,837,000","52,912,000","45,354,000","39,086,190","41,301,698","39,094,625","43,479,232","38,860,729","32,814,170","29,680,764","27,058,242","13,485,256","6,973,721","5,038,712","3,123,224","1,613,979"
		GeneralAndAdministrativeExpense,,"178,259,000","131,408,000","121,324,000","92,944,000","57,061,000","44,788,000","39,329,000",,"41,301,698",,,,,,,,,,,
			SalariesAndWages,,"126,923,000","75,895,000","67,497,000","48,765,000","29,331,000","21,737,000","17,881,000",,,,,,,,,,,,,
			InsuranceAndClaims,,,,,,"1,442,000","1,303,000","2,012,000",,,,,,,,,,,,,
			OtherGandA,,"51,336,000","55,513,000","53,827,000","44,179,000","26,288,000","21,748,000","19,436,000",,"41,301,698",,,,,,,,,,,
		SellingAndMarketingExpense,,"28,961,000","19,427,000","17,368,000","15,132,000","10,776,000","8,124,000","6,025,000",,,,,,,,,,,,,
	ResearchAndDevelopment,"103,748,000","100,721,000","76,856,000","55,373,000","30,609,000","23,614,000","14,885,000","9,888,000","8,139,359","9,989,219","11,411,889","20,002,351","12,918,161","4,421,596","2,704,521","1,574,048","823,593","498,470","136,503","43,362","7,137"
	DepreciationAmortizationDepletionIncomeStatement,,"5,739,000","6,051,000",,,"1,861,000","1,246,000","1,230,000",,,,,,,,,,,,,"124,803"
		DepreciationAndAmortizationInIncomeStatement,,"5,739,000","6,051,000",,,"1,861,000","1,246,000","1,230,000",,,,,,,,,,,,,"124,803"
	OtherOperatingExpenses,,,,,,,,,,,,,,,"17,650,000",,,,,,"-124,803"
