name,12/31/2019,12/31/2018,12/31/2017,12/31/2016
TotalAssets,"8,270,692,652","7,107,189,550","6,041,617,152","2,834,832,827"
	CurrentAssets,"8,255,490,485","7,091,887,174","6,025,994,149","2,818,969,396"
		CashCashEquivalentsAndShortTermInvestments,"2,339,128,187","2,079,933,827","832,044,682","1,059,238,627"
			CashAndCashEquivalents,"766,430,471","126,855,518","86,415,282","69,509,827"
				CashFinancial,"766,430,471","126,855,518","86,415,282","69,509,827"
			OtherShortTermInvestments,"1,572,697,716","1,953,078,309","745,629,400","989,728,800"
		Receivables,"4,470,101,966","4,368,709,134","4,768,630,284","1,379,718,981"
			AccountsReceivable,"346,379,574","158,518,003","93,172,716","93,003,365"
			LoansReceivable,"1,200,980,200","1,538,254,651","2,203,140,000","0"
			TaxesReceivable,,"0","8,146,249","0"
			DuefromRelatedPartiesCurrent,"2,921,838,772","2,666,345,634","2,462,795,360","1,284,184,159"
			OtherReceivables,"903,420","5,590,846","1,375,959","2,531,457"
		PrepaidAssets,"35,537,552","27,753,013","21,827,484","16,902,771"
		RestrictedCash,,"615,491,200","403,491,699","363,109,017"
		HedgingAssetsCurrent,"1,165,220,000",,,
		OtherCurrentAssets,"245,502,780",,,
	TotalNonCurrentAssets,"15,202,167","15,302,376","15,623,003","15,863,431"
		NetPPE,"30,997","131,206","451,833","692,261"
			GrossPPE,"4,084,724","4,071,014","4,056,800","3,918,096"
				MachineryFurnitureEquipment,"4,084,724","4,071,014","4,056,800","3,918,096"
			AccumulatedDepreciation,"-4,053,727","-3,939,808","-3,604,967","-3,225,835"
		GoodwillAndOtherIntangibleAssets,"15,171,170","15,171,170","15,171,170","15,171,170"
			OtherIntangibleAssets,"15,171,170","15,171,170","15,171,170","15,171,170"
TotalLiabilitiesNetMinorityInterest,"1,442,197,708","3,912,787,450","3,372,340,682","2,498,828,204"
	CurrentLiabilities,"1,082,474,631","3,749,430,273","3,242,132,005","2,481,588,535"
		PayablesAndAccruedExpenses,"652,778,030","2,785,427,651","2,507,217,986","1,503,446,153"
			Payables,"586,734,599","2,760,415,781","2,500,701,308","1,493,866,363"
				AccountsPayable,"492,039,336","15,310,871","7,128,142","2,413,353"
				TotalTaxPayable,"94,695,263","25,109,794","0","14,195,803"
				DuetoRelatedPartiesCurrent,"0","2,719,995,116","2,493,573,166","1,477,257,207"
			CurrentAccruedExpenses,"66,043,431","25,011,870","6,516,678","9,579,790"
		CurrentDebtAndCapitalLeaseObligation,"317,722,438","321,999,549","351,609,630","638,350,783"
			CurrentDebt,"317,722,438","321,999,549","351,609,630","638,350,783"
				OtherCurrentBorrowings,"317,722,438","321,999,549","351,609,630","638,350,783"
		CurrentDeferredLiabilities,"111,974,163","55,111,818","0","0"
			CurrentDeferredRevenue,"111,974,163","55,111,818","0","0"
		OtherCurrentLiabilities,,"586,891,255","383,304,389","339,791,599"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"359,723,077","163,357,177","130,208,677","17,239,669"
		LongTermDebtAndCapitalLeaseObligation,"95,995,690",,,
			LongTermDebt,"95,995,690",,,
		NonCurrentDeferredLiabilities,"242,913,577","163,357,177","130,208,677","17,239,669"
			NonCurrentDeferredTaxesLiabilities,"242,913,577","163,357,177","130,208,677","17,239,669"
		DerivativeProductLiabilities,"20,813,810",,,
TotalEquityGrossMinorityInterest,"6,828,494,944","3,194,402,100","2,669,276,470","336,004,623"
	StockholdersEquity,"6,828,494,944","2,651,801,803","2,183,740,723","336,004,623"
		CapitalStock,"192,702","156,998","156,998","156,998"
			CommonStock,"192,702","156,998","156,998","156,998"
		RetainedEarnings,"2,277,115,014","1,338,842,129","870,781,050","302,514,622"
		GainsLossesNotAffectingRetainedEarnings,"4,551,187,228","1,312,802,676","1,312,802,675","33,333,003"
			OtherEquityAdjustments,"4,551,187,228","1,312,802,676","1,312,802,675","33,333,003"
	MinorityInterest,"0","542,600,297","485,535,747","0"
TotalCapitalization,"6,924,490,634","2,651,801,803","2,183,740,723","336,004,623"
CommonStockEquity,"6,828,494,944","2,651,801,803","2,183,740,723","336,004,623"
NetTangibleAssets,"6,813,323,774","2,636,630,633","2,168,569,553","320,833,453"
WorkingCapital,"7,173,015,854","3,342,456,901","2,783,862,144","337,380,861"
InvestedCapital,"7,242,213,072","2,973,801,352","2,535,350,353","974,355,406"
TangibleBookValue,"6,813,323,774","2,636,630,633","2,168,569,553","320,833,453"
TotalDebt,"413,718,128","321,999,549","351,609,630","638,350,783"
NetDebt,,"195,144,031","265,194,348","568,840,956"
ShareIssued,"245,611,479","230,663,205","230,663,205","230,663,205"
OrdinarySharesNumber,"245,611,479","230,663,205","230,663,205","230,663,205"
