name,ttm,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,03/31/2011,03/31/2010,03/31/2009,03/31/2008,03/31/2007,03/31/2006,03/31/2005,03/31/2004,03/31/2003,03/31/2002,03/31/2001,03/31/2000,03/31/1999,03/31/1998,03/31/1997,03/31/1996,03/31/1995,03/31/1994,03/31/1993,03/31/1992,03/31/1991,03/31/1990,03/31/1989,03/31/1988,03/31/1987,03/31/1986
NetInterestIncome,"-207,000,000","-206,000,000","-246,000,000","-82,000,000","-85,000,000","-128,000,000","-131,000,000","-161,000,000","-138,000,000","-131,000,000","-225,000,000","-219,500,000","-148,300,000","-125,700,000","-63,400,000","-140,700,000","-160,600,000","-134,300,000","-142,500,000",,,,,,,,,,,,,,,,
EBIT,"-939,000,000","1,849,000,000","2,006,000,000","-57,000,000","133,000,000","-128,000,000","1,057,000,000","663,000,000","-4,171,000,000","1,136,000,000","1,290,000,000","1,209,600,000","1,103,300,000","782,200,000","925,300,000","872,200,000","916,700,000","754,400,000","651,600,000","816,000,000","693,060,000","545,400,000","462,000,000","384,500,000","261,700,000","203,100,000","160,000,000","144,400,000","128,200,000","106,600,000","96,000,000","87,800,000","77,700,000","63,700,000","48,400,000"
EBITDA,"999,000,000"
ReconciledCostOfRevenue,"14,947,000,000","14,891,000,000","17,894,000,000","5,534,000,000","5,076,000,000","9,534,000,000","9,567,000,000","11,793,000,000","14,854,000,000","12,858,000,000","12,738,000,000","13,176,200,000","13,064,100,000","11,729,400,000","11,624,100,000","11,220,600,000","11,949,000,000","9,021,000,000","9,222,800,000","8,425,100,000","7,352,544,000","5,973,800,000","5,149,200,000","4,413,200,000","3,349,700,000","2,685,600,000","2,065,000,000","1,977,700,000","1,718,400,000","1,567,600,000","1,349,500,000","1,166,100,000","1,026,400,000","925,600,000","756,100,000"
ReconciledDepreciation,"1,938,000,000","2,023,000,000","2,014,000,000","658,000,000","767,000,000","977,000,000","1,018,000,000","1,134,000,000","1,212,000,000","1,140,000,000","1,156,000,000","1,270,000,000","1,286,400,000","1,162,000,000","1,187,500,000","1,145,500,000","1,038,100,000","857,500,000","857,600,000","649,300,000","545,723,000","445,000,000","386,900,000","333,200,000","252,100,000","172,600,000","130,700,000","118,700,000","81,700,000","40,200,000","34,000,000","31,100,000","32,000,000","28,400,000","22,300,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"-1,600,000,000","1,222,000,000","1,751,000,000","-123,000,000","60,000,000","21,000,000","605,000,000","497,000,000","-4,243,000,000","706,000,000","817,000,000","1,115,200,000","544,600,000","388,800,000","577,000,000","496,400,000","519,400,000","440,200,000","344,100,000","233,200,000","402,872,000","341,200,000","260,400,000","192,400,000","141,700,000","110,700,000","90,900,000","78,100,000","68,200,000","65,000,000","65,500,000","52,500,000","43,500,000","32,200,000","23,900,000"
TotalUnusualItemsExcludingGoodwill,"-2,603,000,000","-496,000,000","-732,000,000","-230,000,000","-136,000,000","-272,000,000","-91,000,000","-281,000,000","-2,885,000,000","0","0","-18,900,000","-155,800,000","-316,100,000","-77,300,000","-28,600,000","-22,700,000","-5,200,000","0","-232,900,000","-41,065,000","14,600,000","-220,200,000","-40,900,000","4,700,000","-500,000",,"4,200,000","2,400,000","9,800,000","18,900,000","6,000,000","3,200,000","3,900,000","900,000"
TotalUnusualItems,"-2,603,000,000","-496,000,000","-732,000,000","-230,000,000","-136,000,000","-272,000,000","-91,000,000","-281,000,000","-2,885,000,000","0","0","-18,900,000","-155,800,000","-316,100,000","-77,300,000","-28,600,000","-22,700,000","-5,200,000","0","-232,900,000","-41,065,000","14,600,000","-220,200,000","-40,900,000","4,700,000","-500,000",,"4,200,000","2,400,000","9,800,000","18,900,000","6,000,000","3,200,000","3,900,000","900,000"
NormalizedEBITDA,"3,602,000,000","4,368,000,000","4,752,000,000","831,000,000","1,036,000,000","1,121,000,000","2,166,000,000","2,078,000,000","-74,000,000","2,276,000,000","2,446,000,000","2,498,500,000","2,545,500,000","2,260,300,000","2,190,100,000","2,046,300,000","1,977,500,000","1,617,100,000","1,509,200,000","1,698,200,000","1,279,848,000","975,800,000","1,069,100,000","758,600,000","509,100,000","376,200,000","290,700,000","258,900,000","207,500,000","137,000,000","111,100,000","112,900,000","106,500,000","88,200,000","69,800,000"
TaxRateForCalcs,"0.27","0.19","0.066","0.4","0.4","0.4","0.318","0.073","0.028","0.251","0.197","0.35","0.35","0.359","0.297","0.306","0.305","0.28","0.307","0.294","0.341","0.333","0.4","0.366","0.388","0.363","0.39","0.391","0.375","0.366","0.365","0.379","0.39","0.4","0.4"
TaxEffectOfUnusualItems,"-702,810,000","-94,240,000","-48,312,000","-92,000,000","-54,400,000","-108,800,000","-28,938,000","-20,513,000","-80,780,000","0","0","-6,615,000","-54,530,000","-113,629,357.496","-22,980,063.33","-8,755,102.041","-6,914,245.548","-1,457,292.348","0","-68,466,818.044","-14,009,078.094","4,859,053.578","-88,080,000","-14,954,863.172","1,821,910.112","-181,347.15","0","1,641,341.654","901,098.901","3,591,423.002","6,904,360.465","2,272,189.349","1,247,685.835","1,560,000","360,000"
