name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991
TotalExpenses,"9,237,000,000","8,995,000,000","8,164,000,000","7,517,000,000","7,067,000,000","6,487,000,000","6,478,000,000","6,259,000,000","6,318,000,000","5,904,000,000","6,568,000,000","8,986,000,000","6,560,000,000","8,110,000,000","6,651,000,000","5,039,000,000","3,985,000,000","2,742,000,000","2,224,000,000","2,291,000,000","1,989,000,000","2,117,000,000","2,456,000,000","1,457,500,000","1,120,200,000","822,000,000","318,900,000","271,500,000","222,400,000","159,500,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"4,287,000,000","4,700,000,000","1,671,000,000","104,000,000","347,000,000","-239,000,000","-119,000,000","-121,000,000","-4,068,000,000","441,000,000","-1,065,000,000","-1,025,000,000","-2,036,000,000","-495,000,000","-3,577,000,000","628,000,000","1,062,000,000","472,000,000","373,000,000","-54,000,000","373,000,000","371,000,000","-264,400,000","160,400,000","167,100,000","8,000,000","79,700,000","69,700,000","56,600,000","41,500,000"
NormalizedIncome,"4,917,720,000","5,146,030,000","1,661,510,000","315,800,000","890,600,000","569,200,000","657,100,000","388,600,000","664,200,000","987,098,130.841","175,200,000","-944,285,168.196","-51,550,000","699,437,609.842","-836,200,000","1,523,129,068.462","1,311,506,024.096","555,682,737.17","400,176,684.882","113,400,000","428,206,831.12","403,346,975.089","-278,517,980.385","248,381,291.071","187,260,000","122,600,000","79,081,691.234","67,790,410.959","55,610,273.224","41,377,581.121"
InterestIncome,"24,000,000","30,000,000","3,000,000","5,000,000","5,000,000","5,000,000","5,000,000","6,000,000","5,000,000",,,,,,,,,,,,,,,,,,,,,
InterestExpense,"452,000,000","473,000,000","241,000,000","229,000,000","233,000,000","284,000,000","216,000,000","324,000,000","261,000,000","281,000,000","393,000,000","407,000,000","468,000,000",,,,,,,,,,,,,,,,,
NetInterestIncome,"-428,000,000","-443,000,000","-238,000,000","-224,000,000","-228,000,000","-279,000,000","-211,000,000","-318,000,000","-256,000,000","-281,000,000","-393,000,000","-407,000,000","-468,000,000",,,,,,,,,,,,,,,,,
EBIT,"704,000,000","1,160,000,000","1,663,000,000","1,162,000,000","410,000,000","-366,000,000","-293,000,000","101,000,000","-3,846,000,000","923,000,000","-670,000,000","-901,000,000","-1,563,000,000","247,000,000","1,170,000,000","1,244,000,000","1,639,000,000","734,000,000","695,000,000","382,000,000","675,000,000","725,000,000","-222,400,000","414,800,000","341,800,000","285,000,000","130,000,000","108,600,000","92,800,000","70,500,000"
EBITDA,"1,444,000,000"
ReconciledCostOfRevenue,"3,192,000,000","2,804,000,000","2,518,000,000","2,314,000,000","2,154,000,000","1,899,000,000","1,923,000,000","1,895,000,000","2,061,000,000","2,363,000,000","2,296,000,000","2,253,000,000","2,148,000,000","2,044,000,000","1,956,000,000","1,224,000,000","1,129,000,000","854,000,000","781,000,000","823,000,000","742,000,000","900,000,000","658,900,000","463,700,000","339,600,000","277,000,000","153,100,000","133,900,000","111,900,000","78,400,000"
ReconciledDepreciation,"740,000,000","1,011,000,000","894,000,000","844,000,000","815,000,000","769,000,000","725,000,000","689,000,000","683,000,000","717,000,000","816,000,000","834,000,000","864,000,000","939,000,000","781,000,000","314,000,000","275,000,000","196,000,000","161,000,000","232,000,000","181,000,000","178,000,000","128,600,000","86,700,000","61,400,000","40,000,000","9,100,000","6,400,000","4,600,000","3,400,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"4,287,000,000","4,700,000,000","1,671,000,000","104,000,000","347,000,000","-239,000,000","-119,000,000","-121,000,000","-4,068,000,000","441,000,000","-1,065,000,000","-1,025,000,000","-2,036,000,000","-495,000,000","-3,577,000,000","628,000,000","1,062,000,000","472,000,000","373,000,000","-54,000,000","373,000,000","371,000,000","-264,400,000","160,400,000","167,100,000","8,000,000","79,700,000","69,700,000","56,600,000","41,500,000"
TotalUnusualItemsExcludingGoodwill,"-864,000,000","-611,000,000","13,000,000","-353,000,000","-906,000,000","-1,347,000,000","-1,194,000,000","-784,000,000","-4,780,000,000","-795,000,000","-1,908,000,000","-103,000,000","-3,053,000,000","-1,373,000,000","-4,568,000,000","-1,270,000,000","-351,000,000","-114,000,000","-40,000,000","-279,000,000","-78,000,000","-49,000,000","14,700,000","-141,900,000","-33,600,000","-191,000,000","1,000,000","3,000,000","1,600,000","200,000"
TotalUnusualItems,"-864,000,000","-611,000,000","13,000,000","-353,000,000","-906,000,000","-1,347,000,000","-1,194,000,000","-784,000,000","-4,780,000,000","-795,000,000","-1,908,000,000","-103,000,000","-3,053,000,000","-1,373,000,000","-4,568,000,000","-1,270,000,000","-351,000,000","-114,000,000","-40,000,000","-279,000,000","-78,000,000","-49,000,000","14,700,000","-141,900,000","-33,600,000","-191,000,000","1,000,000","3,000,000","1,600,000","200,000"
NormalizedEBITDA,"2,308,000,000","2,782,000,000","2,544,000,000","2,359,000,000","2,131,000,000","1,750,000,000","1,626,000,000","1,574,000,000","1,617,000,000","2,435,000,000","2,054,000,000","36,000,000","2,354,000,000","2,559,000,000","6,519,000,000","2,828,000,000","2,265,000,000","1,044,000,000","896,000,000","893,000,000","934,000,000","952,000,000","-108,500,000","643,400,000","436,800,000","516,000,000","138,100,000","112,000,000","95,800,000","73,700,000"
TaxRateForCalcs,"0.27","0.27","0.27","0.4","0.4","0.4","0.35","0.35","0.01","0.313","0.35","0.216","0.35","0.13","0.4","0.295","0.289","0.266","0.321","0.4","0.292","0.34","0.04","0.38","0.4","0.4","0.382","0.363","0.381","0.388"
TaxEffectOfUnusualItems,"-233,280,000","-164,970,000","3,510,000","-141,200,000","-362,400,000","-538,800,000","-417,900,000","-274,400,000","-47,800,000","-248,901,869.159","-667,800,000","-22,285,168.196","-1,068,550,000","-178,562,390.158","-1,827,200,000","-374,870,931.538","-101,493,975.904","-30,317,262.83","-12,823,315.118","-111,600,000","-22,793,168.88","-16,653,024.911","582,019.615","-53,918,708.929","-13,440,000","-76,400,000","381,691.234","1,090,410.959","610,273.224","77,581.121"
